date,open,high,low,close,volume
2015-02-03 09:15:00+05:30,34.5,37.5,34.5,37.5,1000
2015-02-03 09:30:00+05:30,37.5,37.5,36.5,36.5,750
2015-02-03 09:45:00+05:30,36.5,36.5,35.6,35.8,400
2015-02-03 10:00:00+05:30,35.8,36.35,35.8,36.35,10
2015-02-03 10:15:00+05:30,35.45,35.45,35.15,35.15,810
2015-02-03 10:30:00+05:30,35.15,35.8,35.1,35.2,90
2015-02-03 10:45:00+05:30,35.2,36.4,35.05,36.4,730
2015-02-03 11:00:00+05:30,36.4,36.4,36.35,36.35,10
2015-02-03 11:15:00+05:30,36.35,36.35,35.25,35.25,80
2015-02-03 11:30:00+05:30,35.25,37.3,35.25,37.3,1720
2015-02-03 11:45:00+05:30,37.3,37.3,37.0,37.0,8340
2015-02-03 12:00:00+05:30,37.0,37.15,37.0,37.15,3220
2015-02-03 12:15:00+05:30,37.15,37.15,37.0,37.0,270
2015-02-03 12:30:00+05:30,37.0,37.15,37.0,37.0,1000
2015-02-03 12:45:00+05:30,37.0,37.0,37.0,37.0,0
2015-02-03 13:00:00+05:30,37.0,37.15,37.0,37.0,3260
2015-02-03 13:15:00+05:30,37.0,37.0,37.0,37.0,1000
2015-02-03 13:30:00+05:30,37.0,37.0,37.0,37.0,0
2015-02-03 13:45:00+05:30,37.0,37.0,37.0,37.0,1950
2015-02-03 14:00:00+05:30,37.0,37.0,37.0,37.0,2800
2015-02-03 14:15:00+05:30,37.0,37.15,37.0,37.15,310
2015-02-03 14:30:00+05:30,37.15,37.25,37.15,37.25,3170
2015-02-03 14:45:00+05:30,37.25,37.25,36.95,36.95,1830
2015-02-03 15:00:00+05:30,36.95,37.25,36.9,37.2,4150
2015-02-03 15:15:00+05:30,37.2,37.25,37.05,37.25,760
2015-02-04 09:15:00+05:30,37.25,38.0,37.0,38.0,1010
2015-02-04 09:30:00+05:30,38.0,38.0,37.0,37.7,2180
2015-02-04 09:45:00+05:30,37.7,37.7,37.7,37.7,0
2015-02-04 10:00:00+05:30,37.7,37.7,37.0,37.0,1300
2015-02-04 10:15:00+05:30,37.0,37.0,37.0,37.0,0
2015-02-04 10:30:00+05:30,37.0,37.0,37.0,37.0,0
2015-02-04 10:45:00+05:30,37.0,37.0,37.0,37.0,0
2015-02-04 11:00:00+05:30,37.0,37.1,36.9,36.9,1060
2015-02-04 11:15:00+05:30,36.9,36.9,36.6,36.6,10
2015-02-04 11:30:00+05:30,36.5,36.6,36.5,36.6,1230
2015-02-04 11:45:00+05:30,36.6,36.8,36.5,36.5,1700
2015-02-04 12:00:00+05:30,36.5,36.5,35.55,35.6,1340
2015-02-04 12:15:00+05:30,35.6,35.8,35.6,35.8,20
2015-02-04 12:30:00+05:30,35.8,37.5,35.8,37.45,5810
2015-02-04 12:45:00+05:30,37.45,37.45,37.2,37.2,100
2015-02-04 13:00:00+05:30,37.2,37.2,37.2,37.2,0
2015-02-04 13:15:00+05:30,37.2,37.2,37.2,37.2,0
2015-02-04 13:30:00+05:30,37.2,37.2,37.2,37.2,0
2015-02-04 13:45:00+05:30,37.2,37.2,37.2,37.2,0
2015-02-04 14:00:00+05:30,37.2,37.2,37.2,37.2,0
2015-02-04 14:15:00+05:30,37.2,38.1,37.15,38.0,26880
2015-02-04 14:30:00+05:30,38.0,38.0,37.4,37.7,330
2015-02-04 14:45:00+05:30,37.7,37.7,36.5,36.75,1130
2015-02-04 15:00:00+05:30,36.75,36.75,36.2,36.7,7800
2015-02-04 15:15:00+05:30,36.65,37.0,36.45,36.6,1550
2015-02-05 09:15:00+05:30,35.1,36.7,35.1,36.35,2590
2015-02-05 09:30:00+05:30,36.35,36.45,36.25,36.45,530
2015-02-05 09:45:00+05:30,36.45,36.6,36.25,36.45,720
2015-02-05 10:00:00+05:30,36.45,36.45,36.45,36.45,220
2015-02-05 10:15:00+05:30,36.45,36.8,36.45,36.8,550
2015-02-05 10:30:00+05:30,36.8,37.2,36.8,37.2,2140
2015-02-05 10:45:00+05:30,37.2,37.2,37.0,37.0,30
2015-02-05 11:00:00+05:30,37.0,37.0,36.5,36.5,50
2015-02-05 11:15:00+05:30,36.5,37.2,36.5,37.2,720
2015-02-05 11:30:00+05:30,37.2,37.2,36.9,36.9,300
2015-02-05 11:45:00+05:30,36.9,36.9,36.6,36.6,170
2015-02-05 12:00:00+05:30,36.6,36.6,36.6,36.6,100
2015-02-05 12:15:00+05:30,36.6,36.6,36.6,36.6,0
2015-02-05 12:30:00+05:30,36.6,36.75,36.6,36.75,10
2015-02-05 12:45:00+05:30,36.75,36.75,36.75,36.75,0
2015-02-05 13:00:00+05:30,36.75,36.75,36.5,36.5,20
2015-02-05 13:15:00+05:30,36.5,36.8,36.5,36.8,40
2015-02-05 13:30:00+05:30,36.8,36.8,36.8,36.8,0
2015-02-05 13:45:00+05:30,36.8,37.0,36.8,37.0,1000
2015-02-05 14:00:00+05:30,37.0,37.0,37.0,37.0,1410
2015-02-05 14:15:00+05:30,37.0,37.1,37.0,37.1,550
2015-02-05 14:30:00+05:30,37.1,37.1,36.9,36.9,100
2015-02-05 14:45:00+05:30,36.9,36.9,36.5,36.5,1010
2015-02-05 15:00:00+05:30,36.5,36.5,35.3,35.6,1920
2015-02-05 15:15:00+05:30,35.6,36.2,35.6,36.0,650
2015-02-06 09:15:00+05:30,36.0,36.0,36.0,36.0,0
2015-02-06 09:30:00+05:30,36.0,36.9,35.4,36.9,40
2015-02-06 09:45:00+05:30,36.9,36.9,35.8,36.2,3790
2015-02-06 10:00:00+05:30,36.2,36.2,36.0,36.1,3890
