date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,30.4,31.0,30.3,30.9,3195818
2015-02-02 09:30:00+05:30,30.9,30.95,30.75,30.8,1241712
2015-02-02 09:45:00+05:30,30.8,30.8,30.65,30.75,1128534
2015-02-02 10:00:00+05:30,30.75,30.75,30.5,30.5,1387266
2015-02-02 10:15:00+05:30,30.5,30.6,30.4,30.6,1520652
2015-02-02 10:30:00+05:30,30.55,30.7,30.5,30.7,1483076
2015-02-02 10:45:00+05:30,30.65,30.8,30.6,30.7,909380
2015-02-02 11:00:00+05:30,30.7,30.7,30.5,30.6,730240
2015-02-02 11:15:00+05:30,30.6,30.7,30.6,30.6,397118
2015-02-02 11:30:00+05:30,30.6,30.6,30.5,30.55,491032
2015-02-02 11:45:00+05:30,30.5,30.55,30.3,30.4,1224196
2015-02-02 12:00:00+05:30,30.4,30.5,30.3,30.5,609104
2015-02-02 12:15:00+05:30,30.5,30.5,30.4,30.5,219426
2015-02-02 12:30:00+05:30,30.5,30.5,30.4,30.45,331510
2015-02-02 12:45:00+05:30,30.4,30.9,30.4,30.7,3987950
2015-02-02 13:00:00+05:30,30.7,30.7,30.5,30.6,965508
2015-02-02 13:15:00+05:30,30.6,30.7,30.5,30.7,459672
2015-02-02 13:30:00+05:30,30.7,30.75,30.55,30.6,934032
2015-02-02 13:45:00+05:30,30.6,30.7,30.5,30.6,608232
2015-02-02 14:00:00+05:30,30.6,30.7,30.6,30.65,554390
2015-02-02 14:15:00+05:30,30.65,30.7,30.5,30.6,543840
2015-02-02 14:30:00+05:30,30.6,30.6,30.4,30.5,939754
2015-02-02 14:45:00+05:30,30.55,30.65,30.5,30.6,809438
2015-02-02 15:00:00+05:30,30.6,30.65,30.45,30.5,1053336
2015-02-02 15:15:00+05:30,30.5,30.65,30.45,30.6,1980082
2015-02-03 09:15:00+05:30,30.85,31.0,30.8,30.8,2966698
2015-02-03 09:30:00+05:30,30.8,30.9,30.8,30.8,1069010
2015-02-03 09:45:00+05:30,30.8,30.9,30.6,30.65,1267494
2015-02-03 10:00:00+05:30,30.65,30.8,30.6,30.7,525284
2015-02-03 10:15:00+05:30,30.7,30.75,30.6,30.7,510016
2015-02-03 10:30:00+05:30,30.7,30.7,30.6,30.7,380388
2015-02-03 10:45:00+05:30,30.7,30.7,30.6,30.7,305544
2015-02-03 11:00:00+05:30,30.7,30.7,30.6,30.7,965430
2015-02-03 11:15:00+05:30,30.7,30.7,30.6,30.6,580892
2015-02-03 11:30:00+05:30,30.6,30.65,30.45,30.5,1269298
2015-02-03 11:45:00+05:30,30.5,30.5,30.15,30.2,1688308
2015-02-03 12:00:00+05:30,30.2,30.45,30.15,30.4,729632
2015-02-03 12:15:00+05:30,30.4,30.5,30.3,30.35,629126
2015-02-03 12:30:00+05:30,30.35,30.4,30.3,30.4,366984
2015-02-03 12:45:00+05:30,30.4,30.4,30.25,30.3,575318
2015-02-03 13:00:00+05:30,30.3,30.3,30.0,30.1,1164760
2015-02-03 13:15:00+05:30,30.1,30.15,30.0,30.1,616722
2015-02-03 13:30:00+05:30,30.1,30.4,30.1,30.3,847984
2015-02-03 13:45:00+05:30,30.3,30.4,30.25,30.3,727826
2015-02-03 14:00:00+05:30,30.3,30.4,30.0,30.1,1361648
2015-02-03 14:15:00+05:30,30.1,30.2,30.1,30.2,711324
2015-02-03 14:30:00+05:30,30.2,30.3,30.15,30.2,965020
2015-02-03 14:45:00+05:30,30.2,30.4,30.2,30.3,1092900
2015-02-03 15:00:00+05:30,30.3,30.3,30.05,30.1,1259318
2015-02-03 15:15:00+05:30,30.1,30.1,29.7,29.9,2917356
2015-02-04 09:15:00+05:30,30.15,30.2,29.6,29.7,1995968
2015-02-04 09:30:00+05:30,29.7,29.7,29.0,29.0,2728610
2015-02-04 09:45:00+05:30,29.05,29.3,29.05,29.3,1571678
2015-02-04 10:00:00+05:30,29.3,29.3,29.2,29.2,1092208
2015-02-04 10:15:00+05:30,29.2,29.45,29.15,29.4,769192
2015-02-04 10:30:00+05:30,29.4,29.55,29.3,29.3,965716
2015-02-04 10:45:00+05:30,29.3,29.45,29.3,29.35,731582
2015-02-04 11:00:00+05:30,29.35,29.5,29.3,29.45,872886
2015-02-04 11:15:00+05:30,29.45,29.55,29.4,29.5,656042
2015-02-04 11:30:00+05:30,29.5,29.55,29.4,29.5,531702
2015-02-04 11:45:00+05:30,29.5,29.8,29.45,29.8,990960
2015-02-04 12:00:00+05:30,29.8,29.85,29.65,29.7,868906
2015-02-04 12:15:00+05:30,29.65,29.7,29.55,29.65,591948
2015-02-04 12:30:00+05:30,29.65,29.8,29.6,29.7,415476
2015-02-04 12:45:00+05:30,29.7,30.0,29.7,29.95,847932
2015-02-04 13:00:00+05:30,29.9,30.0,29.8,29.9,823318
2015-02-04 13:15:00+05:30,29.9,29.9,29.7,29.7,492242
2015-02-04 13:30:00+05:30,29.7,29.8,29.7,29.8,217606
2015-02-04 13:45:00+05:30,29.75,29.8,29.7,29.8,307132
2015-02-04 14:00:00+05:30,29.75,29.85,29.75,29.75,334512
2015-02-04 14:15:00+05:30,29.75,29.8,29.7,29.8,248010
2015-02-04 14:30:00+05:30,29.8,29.9,29.75,29.8,602888
2015-02-04 14:45:00+05:30,29.8,29.9,29.65,29.65,573320
2015-02-04 15:00:00+05:30,29.65,29.7,29.4,29.5,1477586
2015-02-04 15:15:00+05:30,29.45,29.5,29.35,29.5,1691636
2015-02-05 09:15:00+05:30,29.4,29.7,29.2,29.6,2177502
2015-02-05 09:30:00+05:30,29.7,29.9,29.6,29.8,1487948
2015-02-05 09:45:00+05:30,29.8,29.85,29.6,29.7,912754
2015-02-05 10:00:00+05:30,29.7,29.8,29.6,29.7,1068638
2015-02-05 10:15:00+05:30,29.7,29.8,29.7,29.75,923444
2015-02-05 10:30:00+05:30,29.7,30.0,29.7,29.8,1674866
2015-02-05 10:45:00+05:30,29.8,29.85,29.7,29.75,656216
2015-02-05 11:00:00+05:30,29.75,29.8,29.65,29.7,484960
2015-02-05 11:15:00+05:30,29.65,29.7,29.6,29.65,425560
2015-02-05 11:30:00+05:30,29.7,29.7,29.45,29.5,759668
2015-02-05 11:45:00+05:30,29.45,29.5,29.4,29.4,506858
2015-02-05 12:00:00+05:30,29.4,29.5,29.35,29.45,490796
2015-02-05 12:15:00+05:30,29.5,29.5,29.4,29.5,355262
2015-02-05 12:30:00+05:30,29.5,29.5,29.4,29.4,424494
2015-02-05 12:45:00+05:30,29.4,29.5,29.3,29.4,655806
2015-02-05 13:00:00+05:30,29.4,29.6,29.35,29.6,609742
2015-02-05 13:15:00+05:30,29.6,29.65,29.5,29.5,732830
2015-02-05 13:30:00+05:30,29.5,29.55,29.4,29.5,570752
2015-02-05 13:45:00+05:30,29.5,29.5,29.4,29.4,382162
2015-02-05 14:00:00+05:30,29.4,29.45,29.3,29.3,840486
2015-02-05 14:15:00+05:30,29.3,29.4,29.1,29.2,1329868
2015-02-05 14:30:00+05:30,29.2,29.2,29.05,29.15,1340138
2015-02-05 14:45:00+05:30,29.15,29.2,28.9,29.0,1136070
2015-02-05 15:00:00+05:30,29.0,29.0,28.8,28.9,2096542
2015-02-05 15:15:00+05:30,28.9,28.9,28.45,28.8,2871456
2015-02-06 09:15:00+05:30,28.7,28.7,28.2,28.4,2179286
2015-02-06 09:30:00+05:30,28.4,28.4,27.5,27.95,3728456
2015-02-06 09:45:00+05:30,28.0,28.2,27.9,28.1,1389728
2015-02-06 10:00:00+05:30,28.1,28.15,27.9,27.95,795298
2015-02-06 10:15:00+05:30,27.95,28.0,27.85,28.0,676674
2015-02-06 10:30:00+05:30,27.95,28.0,27.7,27.9,862922
2015-02-06 10:45:00+05:30,27.9,28.0,27.8,27.9,732732
2015-02-06 11:00:00+05:30,27.9,28.1,27.9,27.95,587766
2015-02-06 11:15:00+05:30,27.95,28.0,27.9,27.9,358156
2015-02-06 11:30:00+05:30,27.9,28.15,27.9,28.1,765714
2015-02-06 11:45:00+05:30,28.1,28.4,28.05,28.3,1418244
2015-02-06 12:00:00+05:30,28.25,28.3,28.0,28.1,615006
