date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,850.05,851.1,830.75,831.1,302162
2015-02-02 09:30:00+05:30,831.1,832.05,823.6,825.2,327704
2015-02-02 09:45:00+05:30,825.0,829.0,820.4,820.9,363170
2015-02-02 10:00:00+05:30,820.5,820.9,815.8,816.5,344795
2015-02-02 10:15:00+05:30,816.5,817.5,810.85,814.45,282329
2015-02-02 10:30:00+05:30,814.45,817.1,813.15,814.85,207384
2015-02-02 10:45:00+05:30,814.85,815.0,808.85,812.8,254075
2015-02-02 11:00:00+05:30,812.8,817.45,810.5,812.4,206553
2015-02-02 11:15:00+05:30,812.4,814.4,810.0,811.15,93714
2015-02-02 11:30:00+05:30,811.2,813.15,810.65,811.0,107442
2015-02-02 11:45:00+05:30,811.0,811.15,805.85,808.5,212967
2015-02-02 12:00:00+05:30,808.3,810.3,806.35,810.1,133966
2015-02-02 12:15:00+05:30,810.1,811.5,809.0,810.95,87295
2015-02-02 12:30:00+05:30,810.95,812.75,810.1,810.25,120500
2015-02-02 12:45:00+05:30,810.55,810.65,807.7,809.95,108534
2015-02-02 13:00:00+05:30,809.95,811.35,809.0,810.9,82004
2015-02-02 13:15:00+05:30,811.0,811.05,809.65,811.05,113585
2015-02-02 13:30:00+05:30,811.15,813.0,810.05,811.05,283636
2015-02-02 13:45:00+05:30,812.0,813.2,811.0,811.8,172353
2015-02-02 14:00:00+05:30,811.85,813.1,811.0,812.4,124343
2015-02-02 14:15:00+05:30,812.4,812.4,803.8,803.85,196966
2015-02-02 14:30:00+05:30,803.85,809.75,803.55,807.3,168812
2015-02-02 14:45:00+05:30,807.3,809.0,806.0,807.8,166360
2015-02-02 15:00:00+05:30,807.75,808.55,807.0,808.0,128151
2015-02-02 15:15:00+05:30,807.75,809.45,806.5,809.2,215381
2015-02-03 09:15:00+05:30,810.95,820.7,807.25,815.15,297623
2015-02-03 09:30:00+05:30,815.0,822.9,814.95,822.9,186190
2015-02-03 09:45:00+05:30,822.7,826.4,819.0,819.2,232970
2015-02-03 10:00:00+05:30,819.2,819.45,816.85,817.3,84760
2015-02-03 10:15:00+05:30,817.05,818.75,814.1,814.15,87807
2015-02-03 10:30:00+05:30,814.45,816.35,810.3,815.8,113480
2015-02-03 10:45:00+05:30,815.8,815.8,810.1,810.55,69331
2015-02-03 11:00:00+05:30,810.65,816.25,809.1,814.05,106147
2015-02-03 11:15:00+05:30,814.05,815.5,812.3,813.6,75344
2015-02-03 11:30:00+05:30,813.6,814.3,811.15,812.0,73594
2015-02-03 11:45:00+05:30,811.75,812.25,804.0,805.0,129790
2015-02-03 12:00:00+05:30,805.45,808.2,804.05,805.1,76634
2015-02-03 12:15:00+05:30,805.1,806.85,802.0,803.2,109335
2015-02-03 12:30:00+05:30,803.7,805.85,802.0,805.65,63715
2015-02-03 12:45:00+05:30,805.6,807.3,803.5,804.1,82327
2015-02-03 13:00:00+05:30,804.6,809.75,804.1,808.95,82690
2015-02-03 13:15:00+05:30,808.95,811.9,808.4,811.0,111884
2015-02-03 13:30:00+05:30,811.0,813.0,808.0,812.9,106049
2015-02-03 13:45:00+05:30,812.9,815.3,812.55,814.95,183923
2015-02-03 14:00:00+05:30,814.95,815.75,814.0,815.4,108785
2015-02-03 14:15:00+05:30,815.4,817.5,812.0,815.0,132926
2015-02-03 14:30:00+05:30,815.0,815.1,808.2,809.75,135002
2015-02-03 14:45:00+05:30,810.15,814.8,808.75,813.7,114906
2015-02-03 15:00:00+05:30,813.7,814.95,811.7,814.9,120634
2015-02-03 15:15:00+05:30,814.8,815.75,814.35,815.5,159142
2015-02-04 09:15:00+05:30,819.65,823.1,812.75,812.85,87424
2015-02-04 09:30:00+05:30,812.8,816.35,808.35,809.0,68356
2015-02-04 09:45:00+05:30,809.35,812.4,808.0,809.5,34992
2015-02-04 10:00:00+05:30,809.5,810.5,804.0,805.9,63148
2015-02-04 10:15:00+05:30,806.55,810.85,805.5,810.1,29841
2015-02-04 10:30:00+05:30,810.1,810.8,808.5,809.15,24611
2015-02-04 10:45:00+05:30,809.15,810.65,808.0,808.1,26099
2015-02-04 11:00:00+05:30,808.1,810.25,808.1,809.0,23809
2015-02-04 11:15:00+05:30,809.1,810.0,809.05,809.9,20724
