date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,173.25,173.25,171.2,172.75,1842
2015-02-02 09:30:00+05:30,172.75,172.75,171.85,171.9,1890
2015-02-02 09:45:00+05:30,171.9,173.25,171.85,173.25,14670
2015-02-02 10:00:00+05:30,173.25,173.25,170.25,172.65,7071
2015-02-02 10:15:00+05:30,172.65,173.55,172.2,173.55,1290
2015-02-02 10:30:00+05:30,173.55,173.7,172.3,173.7,1809
2015-02-02 10:45:00+05:30,173.7,174.1,173.7,173.7,44
2015-02-02 11:00:00+05:30,173.7,173.8,173.0,173.0,750
2015-02-02 11:15:00+05:30,173.0,173.25,172.4,173.25,8951
2015-02-02 11:30:00+05:30,173.25,173.7,173.25,173.7,24
2015-02-02 11:45:00+05:30,173.7,173.7,172.4,172.95,390
2015-02-02 12:00:00+05:30,172.95,173.25,172.3,173.25,629
2015-02-02 12:15:00+05:30,173.25,173.7,173.25,173.45,792
2015-02-02 12:30:00+05:30,173.45,173.9,173.45,173.9,241
2015-02-02 12:45:00+05:30,174.1,174.45,174.1,174.15,3631
2015-02-02 13:00:00+05:30,174.15,174.6,174.1,174.15,6859
2015-02-02 13:15:00+05:30,174.15,174.7,173.7,174.6,15399
2015-02-02 13:30:00+05:30,174.6,174.6,174.05,174.15,2745
2015-02-02 13:45:00+05:30,174.15,175.0,174.15,174.5,283
2015-02-02 14:00:00+05:30,174.6,174.6,173.7,174.15,1060
2015-02-02 14:15:00+05:30,174.15,174.6,174.15,174.6,1609
2015-02-02 14:30:00+05:30,174.6,175.4,174.6,174.85,3173
2015-02-02 14:45:00+05:30,174.85,175.25,174.85,174.85,221
2015-02-02 15:00:00+05:30,174.85,175.0,174.15,174.6,1267
2015-02-02 15:15:00+05:30,174.6,174.9,174.0,174.15,3685
2015-02-03 09:15:00+05:30,174.15,174.15,170.95,173.25,2018
2015-02-03 09:30:00+05:30,173.45,174.55,173.45,173.95,650
2015-02-03 09:45:00+05:30,173.95,175.75,173.95,175.75,373
2015-02-03 10:00:00+05:30,175.75,175.75,174.8,175.05,1515
