date,open,high,low,close,volume
2017-07-11 09:15:00+05:30,268.0,283.6,266.5,283.35,7368112
2017-07-11 09:30:00+05:30,283.6,287.0,281.55,284.45,4138452
2017-07-11 09:45:00+05:30,284.4,284.75,281.15,281.15,738720
2017-07-11 10:00:00+05:30,281.15,282.0,279.45,281.55,969080
2017-07-11 10:15:00+05:30,281.55,281.85,279.6,279.8,545612
2017-07-11 10:30:00+05:30,279.8,280.0,279.1,279.7,482202
2017-07-11 10:45:00+05:30,279.75,281.0,279.6,279.8,373942
2017-07-11 11:00:00+05:30,279.8,283.75,278.25,283.55,1256578
2017-07-11 11:15:00+05:30,283.6,284.9,282.95,283.5,1344272
2017-07-11 11:30:00+05:30,283.55,283.85,281.75,282.1,424244
2017-07-11 11:45:00+05:30,282.0,282.95,281.55,281.65,288398
2017-07-11 12:00:00+05:30,281.7,283.45,281.55,282.95,276760
2017-07-11 12:15:00+05:30,282.9,283.55,282.5,282.9,211140
2017-07-11 12:30:00+05:30,282.9,284.5,282.75,283.65,407310
2017-07-11 12:45:00+05:30,283.65,284.95,283.65,284.35,670836
2017-07-11 13:00:00+05:30,284.4,287.3,283.75,286.25,1825562
2017-07-11 13:15:00+05:30,286.35,286.75,284.0,285.0,651834
2017-07-11 13:30:00+05:30,285.0,286.0,283.95,284.7,384644
2017-07-11 13:45:00+05:30,284.55,285.95,284.5,285.0,250390
2017-07-11 14:00:00+05:30,285.25,285.95,284.65,284.9,268568
2017-07-11 14:15:00+05:30,284.9,286.4,284.85,285.75,378674
2017-07-11 14:30:00+05:30,285.75,287.2,280.3,282.55,1892524
2017-07-11 14:45:00+05:30,282.55,282.95,280.05,280.95,841604
2017-07-11 15:00:00+05:30,281.0,284.0,280.75,283.45,862682
2017-07-11 15:15:00+05:30,283.45,285.95,282.0,285.5,1578798
2017-07-12 09:15:00+05:30,288.65,294.5,287.9,292.7,3086128
2017-07-12 09:30:00+05:30,292.6,297.2,291.75,297.15,2480944
2017-07-12 09:45:00+05:30,297.15,303.2,296.8,301.55,4841504
2017-07-12 10:00:00+05:30,301.7,308.9,300.8,304.65,4955798
2017-07-12 10:15:00+05:30,304.7,305.45,299.95,301.5,2567416
2017-07-12 10:30:00+05:30,301.45,303.8,301.0,301.75,600336
2017-07-12 10:45:00+05:30,301.8,303.8,301.6,302.85,398726
2017-07-12 11:00:00+05:30,302.95,306.0,302.8,306.0,871998
2017-07-12 11:15:00+05:30,306.0,306.35,304.3,304.8,491338
2017-07-12 11:30:00+05:30,304.8,304.9,304.3,304.5,250690
2017-07-12 11:45:00+05:30,304.65,305.0,304.0,304.2,290408
2017-07-12 12:00:00+05:30,304.1,304.55,302.65,303.3,401356
2017-07-12 12:15:00+05:30,303.3,305.5,303.25,304.5,426866
2017-07-12 12:30:00+05:30,304.5,305.05,303.8,304.0,205776
2017-07-12 12:45:00+05:30,304.0,304.35,303.65,304.0,138300
2017-07-12 13:00:00+05:30,304.0,307.75,303.5,305.35,1089088
2017-07-12 13:15:00+05:30,305.35,306.25,304.85,305.25,220762
2017-07-12 13:30:00+05:30,305.3,308.15,305.0,306.95,823028
2017-07-12 13:45:00+05:30,306.9,308.45,305.8,308.15,623346
2017-07-12 14:00:00+05:30,308.1,312.75,308.1,311.55,3261864
2017-07-12 14:15:00+05:30,311.7,312.0,307.5,308.5,1058388
2017-07-12 14:30:00+05:30,308.35,310.4,306.5,309.65,1148448
2017-07-12 14:45:00+05:30,309.65,311.3,308.6,309.7,661206
2017-07-12 15:00:00+05:30,309.65,311.0,308.9,309.8,745624
