date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,144.3,145.05,142.9,143.0,5220
2015-02-02 09:30:00+05:30,143.0,144.8,142.95,144.55,10400
2015-02-02 09:45:00+05:30,144.55,145.9,144.2,145.1,13450
2015-02-02 10:00:00+05:30,145.1,145.35,144.6,144.9,3750
2015-02-02 10:15:00+05:30,144.9,145.4,144.5,144.95,5540
2015-02-02 10:30:00+05:30,144.95,145.45,144.2,145.0,6470
2015-02-02 10:45:00+05:30,145.0,145.0,144.8,144.95,6930
2015-02-02 11:00:00+05:30,144.9,145.0,144.9,144.9,9090
2015-02-02 11:15:00+05:30,144.9,145.0,144.25,144.25,17640
2015-02-02 11:30:00+05:30,144.2,145.3,144.0,145.2,12300
2015-02-02 11:45:00+05:30,145.2,146.0,145.2,145.2,1772140
2015-02-02 12:00:00+05:30,145.2,146.0,145.2,145.7,7060
2015-02-02 12:15:00+05:30,145.8,146.45,145.35,146.45,13980
2015-02-02 12:30:00+05:30,146.45,148.25,146.2,147.35,55570
2015-02-02 12:45:00+05:30,147.35,152.1,147.2,151.7,238340
2015-02-02 13:00:00+05:30,151.7,152.0,150.5,150.85,140110
2015-02-02 13:15:00+05:30,150.85,151.0,150.5,150.9,41780
2015-02-02 13:30:00+05:30,150.9,150.9,150.5,150.7,19640
2015-02-02 13:45:00+05:30,150.7,151.0,149.25,150.9,52080
2015-02-02 14:00:00+05:30,150.9,151.0,149.6,150.0,38040
2015-02-02 14:15:00+05:30,150.0,150.0,149.85,149.9,43170
2015-02-02 14:30:00+05:30,150.0,150.0,149.9,149.95,17880
2015-02-02 14:45:00+05:30,149.9,150.0,149.9,149.9,29010
2015-02-02 15:00:00+05:30,149.9,151.0,149.9,150.9,31070
2015-02-02 15:15:00+05:30,151.0,151.0,150.6,150.9,122620
2015-02-03 09:15:00+05:30,150.9,153.15,150.4,153.05,63510
2015-02-03 09:30:00+05:30,153.05,153.05,151.1,151.8,32030
2015-02-03 09:45:00+05:30,151.8,152.1,151.2,151.2,27840
2015-02-03 10:00:00+05:30,151.2,152.45,151.15,151.15,19780
2015-02-03 10:15:00+05:30,151.15,151.95,151.15,151.7,19470
2015-02-03 10:30:00+05:30,151.7,152.0,151.35,151.85,10610
2015-02-03 10:45:00+05:30,151.85,151.85,151.5,151.7,12230
2015-02-03 11:00:00+05:30,151.7,151.8,150.85,151.8,13410
2015-02-03 11:15:00+05:30,151.8,151.9,151.05,151.3,5400
2015-02-03 11:30:00+05:30,151.3,151.5,150.8,150.9,7840
2015-02-03 11:45:00+05:30,150.85,151.0,147.75,148.9,41490
2015-02-03 12:00:00+05:30,148.9,149.0,148.0,148.0,19600
2015-02-03 12:15:00+05:30,148.0,148.0,145.55,147.35,43780
2015-02-03 12:30:00+05:30,147.35,147.4,146.3,146.85,8140
2015-02-03 12:45:00+05:30,146.85,147.1,146.5,147.0,4140
2015-02-03 13:00:00+05:30,147.0,147.5,146.2,146.2,9680
2015-02-03 13:15:00+05:30,146.2,146.9,145.9,146.65,6160
2015-02-03 13:30:00+05:30,146.65,147.8,146.45,147.8,10200
2015-02-03 13:45:00+05:30,147.8,148.4,147.55,147.7,12510
2015-02-03 14:00:00+05:30,147.7,148.1,147.6,147.85,4860
2015-02-03 14:15:00+05:30,147.85,148.4,147.65,148.3,7560
2015-02-03 14:30:00+05:30,148.3,148.4,146.5,146.5,12080
2015-02-03 14:45:00+05:30,146.5,147.2,146.2,146.8,16530
2015-02-03 15:00:00+05:30,146.8,146.8,146.4,146.8,80020
2015-02-03 15:15:00+05:30,146.8,148.0,146.75,147.8,178170
2015-02-04 09:15:00+05:30,147.1,148.75,147.05,147.5,34670
2015-02-04 09:30:00+05:30,147.5,148.2,147.5,147.7,16830
2015-02-04 09:45:00+05:30,147.7,148.7,147.6,148.2,19090
2015-02-04 10:00:00+05:30,148.2,148.75,147.9,147.9,11760
2015-02-04 10:15:00+05:30,147.9,148.0,147.6,147.8,7310
2015-02-04 10:30:00+05:30,147.8,148.7,147.8,148.55,14170
2015-02-04 10:45:00+05:30,148.55,148.55,147.9,148.1,5150
2015-02-04 11:00:00+05:30,148.1,150.9,148.0,150.5,34280
2015-02-04 11:15:00+05:30,150.2,151.0,149.5,150.25,40320
2015-02-04 11:30:00+05:30,150.25,150.35,148.85,149.25,14960
2015-02-04 11:45:00+05:30,149.25,149.9,149.1,149.6,2010
2015-02-04 12:00:00+05:30,149.6,149.6,148.5,148.65,6360
2015-02-04 12:15:00+05:30,148.65,149.0,148.6,149.0,1370
2015-02-04 12:30:00+05:30,149.0,149.6,148.75,149.25,2030
2015-02-04 12:45:00+05:30,149.25,150.3,149.1,150.15,13180
2015-02-04 13:00:00+05:30,150.0,150.2,149.5,149.7,6540
2015-02-04 13:15:00+05:30,149.7,149.9,149.5,149.65,1000
2015-02-04 13:30:00+05:30,149.65,149.65,148.85,149.1,8990
2015-02-04 13:45:00+05:30,149.1,149.4,148.8,149.35,7900
2015-02-04 14:00:00+05:30,149.35,149.35,148.9,149.15,1490
2015-02-04 14:15:00+05:30,149.15,149.2,148.9,149.15,2290
2015-02-04 14:30:00+05:30,149.15,150.5,148.4,148.5,88730
2015-02-04 14:45:00+05:30,148.3,148.7,147.25,147.75,70170
2015-02-04 15:00:00+05:30,147.75,147.9,146.15,146.2,33200
2015-02-04 15:15:00+05:30,146.2,149.1,145.5,149.0,55040
2015-02-05 09:15:00+05:30,147.2,147.2,146.05,146.8,18300
2015-02-05 09:30:00+05:30,146.8,146.9,146.5,146.65,7040
2015-02-05 09:45:00+05:30,146.65,148.3,146.5,147.9,12140
2015-02-05 10:00:00+05:30,147.9,149.0,147.9,148.7,8340
2015-02-05 10:15:00+05:30,148.7,149.0,148.2,148.2,6220
2015-02-05 10:30:00+05:30,148.65,148.7,148.05,148.3,6130
2015-02-05 10:45:00+05:30,148.3,148.3,147.65,147.85,5060
2015-02-05 11:00:00+05:30,147.85,148.2,147.85,147.85,490
2015-02-05 11:15:00+05:30,147.85,148.0,147.6,147.7,1150
2015-02-05 11:30:00+05:30,147.75,148.0,147.4,147.4,3390
2015-02-05 11:45:00+05:30,147.4,148.0,146.7,148.0,3870
2015-02-05 12:00:00+05:30,148.0,149.45,147.8,149.0,8890
2015-02-05 12:15:00+05:30,149.0,149.0,148.5,149.0,3860
2015-02-05 12:30:00+05:30,149.0,150.9,148.85,150.6,38970
2015-02-05 12:45:00+05:30,150.6,150.6,148.85,148.95,13710
2015-02-05 13:00:00+05:30,148.95,149.0,148.8,148.85,6660
2015-02-05 13:15:00+05:30,148.85,149.0,148.5,148.5,6130
2015-02-05 13:30:00+05:30,148.7,148.95,148.5,148.95,990
2015-02-05 13:45:00+05:30,148.95,149.0,148.3,148.85,4630
2015-02-05 14:00:00+05:30,148.85,149.0,148.65,148.8,1310
2015-02-05 14:15:00+05:30,148.8,148.8,148.3,148.3,2950
2015-02-05 14:30:00+05:30,148.3,148.5,147.5,148.05,2870
2015-02-05 14:45:00+05:30,148.05,148.5,147.9,147.9,2420
2015-02-05 15:00:00+05:30,147.9,148.35,147.0,147.35,21790
2015-02-05 15:15:00+05:30,147.3,148.6,147.0,147.3,23470
2015-02-06 09:15:00+05:30,147.3,148.0,147.3,147.5,7040
2015-02-06 09:30:00+05:30,147.5,147.75,147.3,147.4,8170
2015-02-06 09:45:00+05:30,147.4,150.65,147.4,149.5,46020
2015-02-06 10:00:00+05:30,149.5,149.55,149.0,149.3,20890
2015-02-06 10:15:00+05:30,149.2,149.5,148.55,149.1,16840
2015-02-06 10:30:00+05:30,149.1,149.4,146.95,147.05,34130
2015-02-06 10:45:00+05:30,147.15,148.3,147.15,148.15,8750
2015-02-06 11:00:00+05:30,148.15,148.35,147.15,147.2,11360
2015-02-06 11:15:00+05:30,147.2,147.8,147.15,147.2,3900
2015-02-06 11:30:00+05:30,147.2,147.25,147.0,147.05,12910
2015-02-06 11:45:00+05:30,147.05,147.4,147.05,147.3,5530
2015-02-06 12:00:00+05:30,147.3,147.45,147.1,147.4,3190
2015-02-06 12:15:00+05:30,147.4,147.55,147.25,147.55,4950
2015-02-06 12:30:00+05:30,147.55,148.0,147.5,148.0,3260
2015-02-06 12:45:00+05:30,148.0,148.5,148.0,148.5,8190
2015-02-06 13:00:00+05:30,148.5,148.8,148.1,148.3,7280
2015-02-06 13:15:00+05:30,148.3,148.4,147.5,147.9,1990
2015-02-06 13:30:00+05:30,147.9,147.9,146.9,147.15,25090
2015-02-06 13:45:00+05:30,147.0,147.5,147.0,147.15,12590
2015-02-06 14:00:00+05:30,147.15,147.3,146.95,147.1,4440
2015-02-06 14:15:00+05:30,147.1,147.3,146.6,147.15,9520
2015-02-06 14:30:00+05:30,147.15,147.3,147.15,147.25,4810
2015-02-06 14:45:00+05:30,147.25,147.3,147.0,147.05,9190
2015-02-06 15:00:00+05:30,147.0,147.35,146.6,147.0,14550
2015-02-06 15:15:00+05:30,147.0,147.3,146.25,146.5,23510
2015-02-09 09:15:00+05:30,145.4,145.4,143.9,145.05,18180
2015-02-09 09:30:00+05:30,145.05,145.2,144.2,144.2,13920
2015-02-09 09:45:00+05:30,144.2,144.5,143.35,144.3,6540
2015-02-09 10:00:00+05:30,144.3,145.4,144.25,145.4,11720
2015-02-09 10:15:00+05:30,145.4,146.35,144.9,146.35,8070
2015-02-09 10:30:00+05:30,146.35,147.0,145.95,146.9,9190
2015-02-09 10:45:00+05:30,146.9,147.4,146.5,147.2,15080
2015-02-09 11:00:00+05:30,147.2,147.2,146.5,146.5,3370
2015-02-09 11:15:00+05:30,146.5,146.8,146.5,146.7,3290
2015-02-09 11:30:00+05:30,146.75,146.75,146.5,146.6,1900
2015-02-09 11:45:00+05:30,146.6,146.7,146.5,146.7,2690
2015-02-09 12:00:00+05:30,146.7,146.7,146.4,146.7,1790
2015-02-09 12:15:00+05:30,146.7,146.7,145.4,145.85,17420
2015-02-09 12:30:00+05:30,145.85,146.45,145.7,146.0,6510
2015-02-09 12:45:00+05:30,146.0,146.8,146.0,146.6,2990
2015-02-09 13:00:00+05:30,146.6,146.6,146.1,146.55,3270
2015-02-09 13:15:00+05:30,146.55,146.6,146.4,146.5,1620
2015-02-09 13:30:00+05:30,146.5,146.5,146.25,146.35,1500
2015-02-09 13:45:00+05:30,146.4,146.4,146.1,146.35,2290
2015-02-09 14:00:00+05:30,146.35,146.8,146.2,146.6,3800
2015-02-09 14:15:00+05:30,146.6,146.8,146.2,146.2,3210
2015-02-09 14:30:00+05:30,146.2,146.8,145.95,146.1,4700
2015-02-09 14:45:00+05:30,146.2,146.35,145.25,145.7,3580
2015-02-09 15:00:00+05:30,145.7,145.95,145.6,145.6,5310
2015-02-09 15:15:00+05:30,145.6,145.85,144.0,144.0,28260
2015-02-10 09:15:00+05:30,144.0,146.3,143.15,145.9,10310
2015-02-10 09:30:00+05:30,145.9,146.3,145.9,146.15,3330
2015-02-10 09:45:00+05:30,146.15,147.1,146.1,146.5,10180
2015-02-10 10:00:00+05:30,146.4,146.6,145.9,146.6,3180
2015-02-10 10:15:00+05:30,146.6,146.75,145.9,146.2,10090
2015-02-10 10:30:00+05:30,146.2,146.3,146.1,146.1,9190
2015-02-10 10:45:00+05:30,146.1,146.1,145.6,145.85,12080
2015-02-10 11:00:00+05:30,145.9,146.0,145.3,145.95,6040
2015-02-10 11:15:00+05:30,145.95,145.95,144.1,144.55,13740
2015-02-10 11:30:00+05:30,144.8,145.2,144.15,144.5,8260
2015-02-10 11:45:00+05:30,144.9,144.9,144.5,144.5,6220
2015-02-10 12:00:00+05:30,144.5,144.6,144.0,144.0,8550
2015-02-10 12:15:00+05:30,144.0,144.6,144.0,144.0,10010
2015-02-10 12:30:00+05:30,144.0,144.3,144.0,144.0,5080
2015-02-10 12:45:00+05:30,144.0,144.1,142.8,142.95,17930
2015-02-10 13:00:00+05:30,142.95,143.5,142.15,142.4,56400
2015-02-10 13:15:00+05:30,142.5,142.75,142.1,142.15,11730
2015-02-10 13:30:00+05:30,142.15,142.65,142.1,142.2,8230
2015-02-10 13:45:00+05:30,142.2,142.25,140.25,140.75,12290
2015-02-10 14:00:00+05:30,140.75,141.6,140.35,140.6,21190
2015-02-10 14:15:00+05:30,140.6,142.0,140.35,142.0,10850
2015-02-10 14:30:00+05:30,142.0,144.8,142.0,144.65,26120
2015-02-10 14:45:00+05:30,144.6,144.8,144.25,144.65,8820
2015-02-10 15:00:00+05:30,144.65,144.7,142.9,143.2,18000
2015-02-10 15:15:00+05:30,143.2,143.9,142.55,142.55,18070
2015-02-11 09:15:00+05:30,144.1,144.8,144.0,144.7,7460
2015-02-11 09:30:00+05:30,144.7,144.7,144.45,144.65,1720
2015-02-11 09:45:00+05:30,144.65,144.65,144.3,144.3,1030
2015-02-11 10:00:00+05:30,144.3,144.5,144.0,144.15,2180
2015-02-11 10:15:00+05:30,144.15,144.65,144.1,144.4,2030
2015-02-11 10:30:00+05:30,144.4,145.0,143.8,144.35,12600
2015-02-11 10:45:00+05:30,144.35,144.65,144.15,144.5,5470
2015-02-11 11:00:00+05:30,144.5,144.5,142.85,143.5,12570
2015-02-11 11:15:00+05:30,143.65,143.8,142.7,142.8,7200
2015-02-11 11:30:00+05:30,142.8,143.5,142.7,142.7,3850
2015-02-11 11:45:00+05:30,142.7,143.5,142.5,143.3,6310
2015-02-11 12:00:00+05:30,143.3,143.3,142.95,143.15,1450
2015-02-11 12:15:00+05:30,143.0,143.0,142.1,142.65,1100
2015-02-11 12:30:00+05:30,142.65,142.85,142.4,142.55,430
2015-02-11 12:45:00+05:30,142.55,142.9,141.7,142.7,7570
2015-02-11 13:00:00+05:30,142.7,143.0,142.5,142.5,1820
2015-02-11 13:15:00+05:30,142.5,142.9,142.5,142.65,1010
2015-02-11 13:30:00+05:30,142.65,142.9,142.5,142.5,1060
2015-02-11 13:45:00+05:30,142.5,142.9,142.5,142.9,2800
2015-02-11 14:00:00+05:30,142.9,142.9,141.8,142.0,10230
2015-02-11 14:15:00+05:30,142.0,142.25,141.25,141.6,11810
2015-02-11 14:30:00+05:30,141.6,142.2,141.5,141.75,14680
2015-02-11 14:45:00+05:30,141.75,142.1,141.0,141.0,16570
2015-02-11 15:00:00+05:30,141.0,141.35,140.9,141.2,27700
2015-02-11 15:15:00+05:30,141.2,141.3,140.8,141.0,20860
2015-02-12 09:15:00+05:30,141.5,146.0,141.5,145.6,49870
2015-02-12 09:30:00+05:30,145.6,145.85,144.15,144.55,18910
2015-02-12 09:45:00+05:30,144.55,146.7,144.25,146.7,30710
2015-02-12 10:00:00+05:30,146.7,147.25,145.9,146.5,30490
2015-02-12 10:15:00+05:30,146.5,146.85,146.1,146.6,12410
2015-02-12 10:30:00+05:30,146.7,146.95,146.35,146.65,16680
2015-02-12 10:45:00+05:30,146.65,146.8,146.5,146.75,7560
2015-02-12 11:00:00+05:30,146.75,146.75,146.5,146.65,6030
2015-02-12 11:15:00+05:30,146.65,146.75,146.15,146.45,8610
2015-02-12 11:30:00+05:30,146.7,146.7,146.25,146.45,6680
2015-02-12 11:45:00+05:30,146.6,146.65,146.2,146.5,3310
2015-02-12 12:00:00+05:30,146.5,146.75,146.4,146.45,4590
2015-02-12 12:15:00+05:30,146.45,146.5,146.35,146.4,3660
2015-02-12 12:30:00+05:30,146.4,146.5,146.3,146.4,5500
2015-02-12 12:45:00+05:30,146.4,146.4,146.2,146.4,3920
2015-02-12 13:00:00+05:30,146.4,146.4,145.8,146.3,6850
2015-02-12 13:15:00+05:30,146.3,146.3,145.4,145.5,23720
2015-02-12 13:30:00+05:30,145.5,145.85,145.25,145.85,19180
2015-02-12 13:45:00+05:30,145.85,146.0,145.4,145.95,18650
2015-02-12 14:00:00+05:30,145.95,146.0,144.8,145.8,15420
2015-02-12 14:15:00+05:30,145.8,146.0,145.15,145.8,15230
2015-02-12 14:30:00+05:30,145.8,147.0,145.5,147.0,25040
2015-02-12 14:45:00+05:30,147.0,151.0,146.5,151.0,148550
2015-02-12 15:00:00+05:30,151.0,151.0,149.25,149.8,85560
2015-02-12 15:15:00+05:30,149.8,150.5,149.3,150.5,85960
2015-02-13 09:15:00+05:30,149.9,154.0,149.9,152.8,262140
2015-02-13 09:30:00+05:30,152.9,153.0,151.5,152.1,32800
2015-02-13 09:45:00+05:30,152.1,152.1,151.6,151.75,9960
2015-02-13 10:00:00+05:30,151.75,151.75,150.5,151.0,14920
2015-02-13 10:15:00+05:30,151.0,151.5,150.9,151.5,6410
2015-02-13 10:30:00+05:30,151.5,151.5,151.3,151.5,8630
2015-02-13 10:45:00+05:30,151.5,151.5,151.15,151.4,4910
2015-02-13 11:00:00+05:30,151.4,151.5,151.3,151.35,7120
2015-02-13 11:15:00+05:30,151.35,151.5,151.2,151.5,3760
2015-02-13 11:30:00+05:30,151.5,151.5,151.2,151.25,4350
2015-02-13 11:45:00+05:30,151.25,152.9,150.9,151.9,108510
2015-02-13 12:00:00+05:30,151.9,152.0,151.8,151.95,22620
2015-02-13 12:15:00+05:30,151.95,152.0,150.9,151.9,8230
2015-02-13 12:30:00+05:30,152.0,152.0,151.2,151.95,8790
2015-02-13 12:45:00+05:30,151.7,152.0,150.9,151.25,25080
2015-02-13 13:00:00+05:30,151.25,151.75,151.1,151.7,3740
2015-02-13 13:15:00+05:30,151.7,152.0,151.5,151.55,14030
2015-02-13 13:30:00+05:30,151.55,151.65,150.8,150.8,15940
2015-02-13 13:45:00+05:30,150.8,151.8,150.45,151.45,43840
2015-02-13 14:00:00+05:30,151.45,151.5,151.05,151.2,24350
2015-02-13 14:15:00+05:30,151.2,151.5,151.0,151.5,9700
2015-02-13 14:30:00+05:30,151.5,151.5,151.35,151.4,10980
2015-02-13 14:45:00+05:30,151.5,151.5,150.65,151.2,18530
2015-02-13 15:00:00+05:30,151.2,151.45,150.6,151.3,19010
2015-02-13 15:15:00+05:30,151.3,151.8,150.45,151.0,39420
2015-02-16 09:15:00+05:30,151.0,152.2,151.0,151.9,13940
2015-02-16 09:30:00+05:30,151.9,152.4,151.75,152.05,15950
2015-02-16 09:45:00+05:30,152.05,152.3,151.9,151.95,7680
2015-02-16 10:00:00+05:30,151.95,152.8,151.9,152.55,46450
2015-02-16 10:15:00+05:30,152.55,153.5,152.5,153.4,25760
2015-02-16 10:30:00+05:30,153.4,154.6,153.2,153.2,38440
2015-02-16 10:45:00+05:30,153.2,154.6,153.2,153.7,113190
2015-02-16 11:00:00+05:30,153.7,153.7,151.85,152.0,39170
2015-02-16 11:15:00+05:30,152.0,152.0,150.2,150.8,22450
2015-02-16 11:30:00+05:30,150.8,151.3,150.5,150.5,20070
2015-02-16 11:45:00+05:30,150.65,151.0,148.9,148.9,11590
2015-02-16 12:00:00+05:30,148.8,150.0,148.4,149.8,16650
2015-02-16 12:15:00+05:30,149.8,149.8,149.55,149.6,6320
