date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,82.48,83.2,81.56,83.05,884830
2015-02-02 09:30:00+05:30,83.05,83.2,82.52,83.01,434835
2015-02-02 09:45:00+05:30,83.01,83.83,82.91,83.54,421240
2015-02-02 10:00:00+05:30,83.54,83.59,83.1,83.25,240075
2015-02-02 10:15:00+05:30,83.2,83.39,82.81,82.96,322035
2015-02-02 10:30:00+05:30,82.91,83.2,82.67,83.15,191310
2015-02-02 10:45:00+05:30,83.15,83.49,83.05,83.25,145740
2015-02-02 11:00:00+05:30,83.25,83.49,83.2,83.34,98710
2015-02-02 11:15:00+05:30,83.34,83.59,83.25,83.39,137515
2015-02-02 11:30:00+05:30,83.39,83.68,83.3,83.39,151255
2015-02-02 11:45:00+05:30,83.39,84.07,83.3,83.39,511835
2015-02-02 12:00:00+05:30,83.39,83.68,83.3,83.59,125040
2015-02-02 12:15:00+05:30,83.59,83.78,83.49,83.68,117220
2015-02-02 12:30:00+05:30,83.63,83.78,83.49,83.68,96835
2015-02-02 12:45:00+05:30,83.68,83.68,83.39,83.59,87490
2015-02-02 13:00:00+05:30,83.59,83.78,83.54,83.59,101695
2015-02-02 13:15:00+05:30,83.59,84.16,83.54,84.16,140080
2015-02-02 13:30:00+05:30,84.21,85.03,84.02,84.31,775530
2015-02-02 13:45:00+05:30,84.41,84.7,84.31,84.55,220630
2015-02-02 14:00:00+05:30,84.6,84.99,84.5,84.7,297390
2015-02-02 14:15:00+05:30,84.7,84.74,84.36,84.45,247795
2015-02-02 14:30:00+05:30,84.45,84.65,84.12,84.45,301580
2015-02-02 14:45:00+05:30,84.41,84.7,84.26,84.5,179880
2015-02-02 15:00:00+05:30,84.5,84.74,84.5,84.74,488845
2015-02-02 15:15:00+05:30,84.7,84.84,84.6,84.7,462570
2015-02-03 09:15:00+05:30,85.13,85.13,84.55,84.84,457005
2015-02-03 09:30:00+05:30,84.89,84.94,84.6,84.74,182455
2015-02-03 09:45:00+05:30,84.65,84.74,84.07,84.12,246625
2015-02-03 10:00:00+05:30,84.12,84.45,84.02,84.21,202395
2015-02-03 10:15:00+05:30,84.21,84.21,83.83,84.21,170385
2015-02-03 10:30:00+05:30,84.12,84.7,84.07,84.5,175565
2015-02-03 10:45:00+05:30,84.55,84.74,84.21,84.6,154905
2015-02-03 11:00:00+05:30,84.6,85.95,83.59,85.71,1206345
2015-02-03 11:15:00+05:30,85.66,85.66,83.73,83.73,1052555
2015-02-03 11:30:00+05:30,83.68,84.16,83.59,83.73,409410
2015-02-03 11:45:00+05:30,83.68,84.02,82.33,82.52,904205
2015-02-03 12:00:00+05:30,82.62,83.2,82.57,82.96,509705
2015-02-03 12:15:00+05:30,82.91,83.1,82.62,82.81,176200
2015-02-03 12:30:00+05:30,82.81,83.3,82.81,83.2,268995
2015-02-03 12:45:00+05:30,83.15,83.2,82.62,82.86,312100
2015-02-03 13:00:00+05:30,82.86,83.05,82.48,82.76,321185
2015-02-03 13:15:00+05:30,82.67,82.96,82.52,82.67,240240
2015-02-03 13:30:00+05:30,82.67,82.81,82.23,82.57,333375
2015-02-03 13:45:00+05:30,82.57,83.01,82.48,82.67,256710
2015-02-03 14:00:00+05:30,82.72,82.91,82.57,82.57,211760
2015-02-03 14:15:00+05:30,82.57,82.91,82.43,82.91,166560
2015-02-03 14:30:00+05:30,82.91,82.91,82.48,82.72,206305
2015-02-03 14:45:00+05:30,82.72,82.76,82.23,82.33,368025
2015-02-03 15:00:00+05:30,82.33,82.52,81.75,81.8,566690
2015-02-03 15:15:00+05:30,81.75,81.75,81.12,81.27,735825
2015-02-04 09:15:00+05:30,82.04,82.04,79.92,80.06,1377740
2015-02-04 09:30:00+05:30,80.01,80.79,79.72,80.45,1135330
