date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,698.0,706.0,696.4,703.8,85575
2015-02-02 09:30:00+05:30,703.5,705.0,702.6,704.5,21299
2015-02-02 09:45:00+05:30,704.5,706.2,702.5,705.45,31338
2015-02-02 10:00:00+05:30,705.45,705.55,702.25,702.75,19863
2015-02-02 10:15:00+05:30,702.75,702.75,700.0,701.6,18308
2015-02-02 10:30:00+05:30,701.6,701.95,700.5,701.7,10323
2015-02-02 10:45:00+05:30,701.7,705.0,701.05,702.15,20698
2015-02-02 11:00:00+05:30,702.05,706.0,702.05,704.65,21834
2015-02-02 11:15:00+05:30,705.1,705.6,703.15,703.75,22957
2015-02-02 11:30:00+05:30,703.75,703.75,700.4,700.45,22695
2015-02-02 11:45:00+05:30,700.4,703.5,698.0,698.45,34891
2015-02-02 12:00:00+05:30,698.45,699.8,698.1,699.2,21763
2015-02-02 12:15:00+05:30,699.6,699.6,696.0,698.2,24520
2015-02-02 12:30:00+05:30,698.1,700.4,697.05,699.2,64161
2015-02-02 12:45:00+05:30,699.2,699.2,697.1,697.55,15486
2015-02-02 13:00:00+05:30,697.55,698.5,695.05,696.65,24565
2015-02-02 13:15:00+05:30,696.65,697.05,695.2,696.0,29165
2015-02-02 13:30:00+05:30,696.0,700.0,695.5,699.0,55523
2015-02-02 13:45:00+05:30,699.0,699.5,697.55,698.0,26008
2015-02-02 14:00:00+05:30,698.0,698.5,695.0,696.3,40395
2015-02-02 14:15:00+05:30,696.3,697.85,692.3,694.0,87970
2015-02-02 14:30:00+05:30,694.0,694.95,691.3,692.55,24384
2015-02-02 14:45:00+05:30,692.8,696.2,691.25,693.6,45813
2015-02-02 15:00:00+05:30,693.6,696.4,693.6,695.2,52870
2015-02-02 15:15:00+05:30,695.6,696.5,694.1,695.0,55298
2015-02-03 09:15:00+05:30,695.15,699.75,694.05,697.8,25353
2015-02-03 09:30:00+05:30,697.8,697.8,695.0,696.2,9505
2015-02-03 09:45:00+05:30,696.2,696.5,693.9,694.4,12956
2015-02-03 10:00:00+05:30,694.4,694.65,693.0,693.0,13004
2015-02-03 10:15:00+05:30,693.0,693.65,688.65,692.8,29315
2015-02-03 10:30:00+05:30,692.8,693.2,691.25,692.5,11334
2015-02-03 10:45:00+05:30,692.4,692.5,690.2,691.55,13411
2015-02-03 11:00:00+05:30,691.75,696.7,690.1,696.0,18052
2015-02-03 11:15:00+05:30,695.95,697.65,693.3,694.1,33684
2015-02-03 11:30:00+05:30,694.1,694.5,692.0,693.25,8010
2015-02-03 11:45:00+05:30,693.25,693.55,689.0,691.05,20590
2015-02-03 12:00:00+05:30,691.05,692.0,689.15,689.6,18753
2015-02-03 12:15:00+05:30,689.6,691.0,688.75,690.7,9816
2015-02-03 12:30:00+05:30,690.8,691.3,690.25,690.95,9404
2015-02-03 12:45:00+05:30,690.3,690.95,688.8,690.2,20526
2015-02-03 13:00:00+05:30,690.4,692.0,690.05,690.35,17356
2015-02-03 13:15:00+05:30,690.35,690.8,688.25,689.95,10451
2015-02-03 13:30:00+05:30,690.0,690.8,688.95,690.5,13375
2015-02-03 13:45:00+05:30,690.5,694.0,689.6,692.7,30486
2015-02-03 14:00:00+05:30,693.0,695.0,691.1,692.25,119236
2015-02-03 14:15:00+05:30,692.25,693.95,690.0,691.25,25889
2015-02-03 14:30:00+05:30,691.25,691.85,689.4,689.55,11070
2015-02-03 14:45:00+05:30,689.55,689.55,679.3,679.6,91168
2015-02-03 15:00:00+05:30,679.9,681.1,672.35,679.0,139645
2015-02-03 15:15:00+05:30,679.05,680.0,675.75,678.2,57621
2015-02-05 09:15:00+05:30,676.55,676.55,662.8,667.45,90056
2015-02-05 09:30:00+05:30,667.5,669.65,665.8,668.3,24804
2015-02-05 09:45:00+05:30,668.3,668.35,666.0,667.4,17479
2015-02-05 10:00:00+05:30,667.4,668.55,666.6,667.2,17346
2015-02-05 10:15:00+05:30,667.2,672.0,665.1,671.05,40386
2015-02-05 10:30:00+05:30,671.05,672.0,670.0,670.4,13251
2015-02-05 10:45:00+05:30,670.4,671.55,669.55,670.05,12319
2015-02-05 11:00:00+05:30,670.6,670.6,667.8,667.8,8074
2015-02-05 11:15:00+05:30,668.0,669.8,667.0,668.5,22286
2015-02-05 11:30:00+05:30,669.05,669.05,667.05,668.35,24708
2015-02-05 11:45:00+05:30,668.3,670.35,667.7,669.7,43005
2015-02-05 12:00:00+05:30,669.55,670.5,667.1,667.5,15029
2015-02-05 12:15:00+05:30,667.1,667.6,665.3,667.0,19503
2015-02-05 12:30:00+05:30,666.75,667.0,663.95,665.0,47226
2015-02-05 12:45:00+05:30,664.9,665.45,663.75,665.0,27113
2015-02-05 13:00:00+05:30,664.85,669.0,664.6,668.5,30886
2015-02-05 13:15:00+05:30,668.95,671.55,666.7,667.95,70943
2015-02-05 13:30:00+05:30,667.95,669.9,666.25,668.85,31534
2015-02-05 13:45:00+05:30,668.9,669.9,667.5,669.0,24900
2015-02-05 14:00:00+05:30,668.55,672.0,667.85,669.85,54867
2015-02-05 14:15:00+05:30,669.4,670.2,669.0,670.0,42147
2015-02-05 14:30:00+05:30,670.0,671.75,669.0,669.35,46910
2015-02-05 14:45:00+05:30,669.3,670.5,664.4,664.6,34407
2015-02-05 15:00:00+05:30,664.65,666.35,663.0,663.6,68646
2015-02-05 15:15:00+05:30,663.6,665.7,657.3,659.95,83579
2015-02-06 09:15:00+05:30,674.05,680.0,670.95,679.2,206591
2015-02-06 09:30:00+05:30,679.5,682.5,676.35,676.55,125385
2015-02-06 09:45:00+05:30,676.55,678.0,672.5,675.1,84269
2015-02-06 10:00:00+05:30,675.1,677.9,673.0,676.9,48640
2015-02-06 10:15:00+05:30,676.65,678.0,674.7,675.5,41922
2015-02-06 10:30:00+05:30,675.65,676.4,672.0,674.8,69070
2015-02-06 10:45:00+05:30,674.35,676.9,673.0,676.4,35437
2015-02-06 11:00:00+05:30,676.3,677.55,674.5,677.55,35087
2015-02-06 11:15:00+05:30,677.55,678.6,674.1,674.6,42213
2015-02-06 11:30:00+05:30,674.6,675.3,673.1,674.35,31200
2015-02-06 11:45:00+05:30,674.35,677.0,673.45,675.8,27635
2015-02-06 12:00:00+05:30,675.8,676.35,673.8,675.85,25398
2015-02-06 12:15:00+05:30,675.95,676.95,675.2,675.9,30365
2015-02-06 12:30:00+05:30,675.9,677.0,675.0,676.95,23821
2015-02-06 12:45:00+05:30,676.95,677.0,675.25,676.4,47904
2015-02-06 13:00:00+05:30,676.1,678.35,676.05,677.6,67085
2015-02-06 13:15:00+05:30,677.55,680.0,677.55,678.25,63136
2015-02-06 13:30:00+05:30,678.25,678.25,673.9,676.35,58177
2015-02-06 13:45:00+05:30,676.35,677.9,675.85,676.4,24524
2015-02-06 14:00:00+05:30,676.65,677.4,674.0,674.05,15785
2015-02-06 14:15:00+05:30,674.0,674.3,663.5,666.4,79055
2015-02-06 14:30:00+05:30,666.6,668.25,645.9,651.2,151570
2015-02-06 14:45:00+05:30,651.4,657.4,651.2,655.5,70573
2015-02-06 15:00:00+05:30,655.85,658.0,653.2,655.75,51344
2015-02-06 15:15:00+05:30,655.65,657.85,651.3,657.0,103555
2015-02-09 09:15:00+05:30,650.0,650.0,644.3,647.45,57624
2015-02-09 09:30:00+05:30,647.45,652.95,646.05,649.4,28638
2015-02-09 09:45:00+05:30,649.25,652.5,648.8,649.95,24700
2015-02-09 10:00:00+05:30,649.95,650.55,646.45,647.1,18736
2015-02-09 10:15:00+05:30,646.8,648.25,644.05,646.85,25644
2015-02-09 10:30:00+05:30,646.85,648.9,646.6,648.5,14044
2015-02-09 10:45:00+05:30,648.75,649.5,645.75,649.35,25672
2015-02-09 11:00:00+05:30,649.35,650.95,645.35,650.0,21927
2015-02-09 11:15:00+05:30,650.0,656.0,649.15,653.0,48403
2015-02-09 11:30:00+05:30,653.0,654.25,640.5,640.95,72943
2015-02-09 11:45:00+05:30,641.0,642.25,640.4,641.05,41068
2015-02-09 12:00:00+05:30,641.05,641.25,631.65,634.4,96865
2015-02-09 12:15:00+05:30,634.4,636.65,632.25,636.6,43320
2015-02-09 12:30:00+05:30,636.6,637.6,635.85,636.95,34165
2015-02-09 12:45:00+05:30,636.95,637.9,635.55,636.8,51860
2015-02-09 13:00:00+05:30,636.8,637.45,636.0,636.4,25127
2015-02-09 13:15:00+05:30,636.4,639.55,636.0,638.5,41305
