date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,71.0,71.0,69.0,70.0,18750
2015-02-02 09:30:00+05:30,70.0,70.5,69.5,70.0,17920
2015-02-02 09:45:00+05:30,70.0,70.0,70.0,70.0,5955
2015-02-02 10:00:00+05:30,70.0,70.5,70.0,70.0,8195
2015-02-02 10:15:00+05:30,70.0,70.0,70.0,70.0,5050
2015-02-02 10:30:00+05:30,70.0,70.0,70.0,70.0,6770
2015-02-02 10:45:00+05:30,70.0,70.0,70.0,70.0,6065
2015-02-02 11:00:00+05:30,70.0,71.0,70.0,71.0,15595
2015-02-02 11:15:00+05:30,70.5,70.5,70.0,70.5,12090
2015-02-02 11:30:00+05:30,70.0,70.0,70.0,70.0,9810
2015-02-02 11:45:00+05:30,70.0,70.0,70.0,70.0,7795
2015-02-02 12:00:00+05:30,70.0,70.0,70.0,70.0,11695
2015-02-02 12:15:00+05:30,70.0,70.0,70.0,70.0,3615
2015-02-02 12:30:00+05:30,70.0,70.0,70.0,70.0,8035
2015-02-02 12:45:00+05:30,70.0,70.0,70.0,70.0,8820
2015-02-02 13:00:00+05:30,70.0,70.5,70.0,70.0,16520
2015-02-02 13:15:00+05:30,70.0,70.5,70.0,70.5,700
2015-02-02 13:30:00+05:30,70.5,70.5,70.5,70.5,5910
2015-02-02 13:45:00+05:30,70.5,70.5,70.5,70.5,3665
2015-02-02 14:00:00+05:30,70.5,70.5,70.0,70.5,3550
2015-02-02 14:15:00+05:30,70.5,70.5,70.0,70.5,2315
2015-02-02 14:30:00+05:30,70.5,70.5,70.5,70.5,1255
2015-02-02 14:45:00+05:30,70.5,70.5,70.5,70.5,5330
2015-02-02 15:00:00+05:30,70.5,70.5,70.0,70.0,6085
2015-02-02 15:15:00+05:30,70.0,70.5,70.0,70.0,14070
2015-02-03 09:15:00+05:30,70.0,71.0,70.0,70.5,20580
2015-02-03 09:30:00+05:30,70.5,70.5,70.5,70.5,11680
2015-02-03 09:45:00+05:30,70.5,70.5,70.0,70.0,4280
2015-02-03 10:00:00+05:30,70.0,70.5,70.0,70.5,3780
2015-02-03 10:15:00+05:30,70.5,70.5,70.0,70.5,1435
2015-02-03 10:30:00+05:30,70.5,70.5,70.0,70.5,2330
2015-02-03 10:45:00+05:30,70.5,70.5,70.5,70.5,1445
2015-02-03 11:00:00+05:30,70.5,70.5,70.0,70.5,6865
2015-02-03 11:15:00+05:30,70.5,70.5,70.0,70.5,3930
2015-02-03 11:30:00+05:30,70.5,70.5,70.5,70.5,3565
2015-02-03 11:45:00+05:30,70.5,70.5,70.0,70.0,9995
2015-02-03 12:00:00+05:30,70.0,70.5,70.0,70.0,4715
2015-02-03 12:15:00+05:30,70.0,70.0,70.0,70.0,6790
2015-02-03 12:30:00+05:30,70.0,70.0,70.0,70.0,635
2015-02-03 12:45:00+05:30,70.0,70.0,70.0,70.0,1150
2015-02-03 13:00:00+05:30,70.0,70.0,70.0,70.0,3555
2015-02-03 13:15:00+05:30,70.0,70.0,70.0,70.0,2015
2015-02-03 13:30:00+05:30,70.0,70.0,70.0,70.0,110
2015-02-03 13:45:00+05:30,70.0,70.0,70.0,70.0,1330
2015-02-03 14:00:00+05:30,70.0,70.0,70.0,70.0,10800
