date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,72.85,74.35,71.7,74.35,1707449
2015-02-02 09:30:00+05:30,74.5,75.35,73.7,74.0,2250340
2015-02-02 09:45:00+05:30,73.9,74.4,72.35,73.0,809982
2015-02-02 10:00:00+05:30,72.95,73.05,71.9,72.3,647777
2015-02-02 10:15:00+05:30,72.3,72.3,71.4,71.85,639992
2015-02-02 10:30:00+05:30,71.85,72.05,71.55,71.55,571579
2015-02-02 10:45:00+05:30,71.55,72.0,71.5,71.8,262333
2015-02-02 11:00:00+05:30,71.8,72.35,71.8,72.3,319826
2015-02-02 11:15:00+05:30,72.3,72.45,71.9,71.95,225243
2015-02-02 11:30:00+05:30,71.95,72.45,71.95,72.15,166944
2015-02-02 11:45:00+05:30,72.15,72.4,71.95,71.95,163412
2015-02-02 12:00:00+05:30,71.95,72.3,71.75,71.9,293806
2015-02-02 12:15:00+05:30,71.85,71.9,71.55,71.75,232706
2015-02-02 12:30:00+05:30,71.8,71.9,71.55,71.55,105250
2015-02-02 12:45:00+05:30,71.55,71.7,71.45,71.55,290267
2015-02-02 13:00:00+05:30,71.55,71.85,71.45,71.55,305493
2015-02-02 13:15:00+05:30,71.55,71.55,71.25,71.25,417455
2015-02-02 13:30:00+05:30,71.25,71.75,71.25,71.3,460533
2015-02-02 13:45:00+05:30,71.25,71.5,70.3,70.55,928862
2015-02-02 14:00:00+05:30,70.6,71.2,70.5,70.7,633095
2015-02-02 14:15:00+05:30,70.7,70.8,70.5,70.6,497971
2015-02-02 14:30:00+05:30,70.6,70.6,70.4,70.4,762702
2015-02-02 14:45:00+05:30,70.4,70.7,70.4,70.5,711424
2015-02-02 15:00:00+05:30,70.5,70.7,70.1,70.1,830043
2015-02-02 15:15:00+05:30,70.1,70.7,69.8,70.35,1462848
2015-02-03 09:15:00+05:30,70.85,70.85,68.95,69.5,926873
2015-02-03 09:30:00+05:30,69.5,70.0,69.4,69.65,369407
2015-02-03 09:45:00+05:30,69.75,70.05,69.5,69.75,345933
2015-02-03 10:00:00+05:30,69.75,70.8,69.75,70.05,416626
2015-02-03 10:15:00+05:30,70.05,70.1,69.75,70.1,372134
2015-02-03 10:30:00+05:30,70.05,70.25,69.7,69.75,625732
2015-02-03 10:45:00+05:30,69.75,70.1,69.55,69.75,263419
2015-02-03 11:00:00+05:30,69.75,69.9,68.95,69.35,923753
2015-02-03 11:15:00+05:30,69.35,69.35,68.9,69.15,645212
2015-02-03 11:30:00+05:30,69.15,69.45,69.05,69.15,220633
2015-02-03 11:45:00+05:30,69.15,69.35,68.55,68.55,248976
2015-02-03 12:00:00+05:30,68.55,68.9,68.55,68.55,285761
2015-02-03 12:15:00+05:30,68.55,68.65,68.2,68.35,228598
2015-02-03 12:30:00+05:30,68.35,68.6,68.25,68.4,80235
2015-02-03 12:45:00+05:30,68.4,68.45,68.05,68.25,238580
2015-02-03 13:00:00+05:30,68.25,68.5,68.0,68.05,432520
