date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,326.68,327.27,320.64,322.64,2719624
2015-02-02 09:30:00+05:30,322.64,322.95,320.95,322.14,1138482
2015-02-02 09:45:00+05:30,322.14,323.0,321.32,322.82,992245
2015-02-02 10:00:00+05:30,322.82,322.86,321.59,322.05,559540
2015-02-02 10:15:00+05:30,322.0,322.27,320.41,321.09,1113718
2015-02-02 10:30:00+05:30,321.05,322.5,320.36,322.18,505957
2015-02-02 10:45:00+05:30,322.32,323.45,321.55,321.73,760815
2015-02-02 11:00:00+05:30,321.68,322.0,321.18,321.23,728957
2015-02-02 11:15:00+05:30,321.23,321.68,320.45,320.68,711484
2015-02-02 11:30:00+05:30,320.68,321.36,320.09,320.59,790797
2015-02-02 11:45:00+05:30,320.5,320.95,320.23,320.41,621049
2015-02-02 12:00:00+05:30,320.41,320.55,319.55,319.77,807110
2015-02-02 12:15:00+05:30,319.91,319.95,318.55,319.14,1800978
2015-02-02 12:30:00+05:30,319.18,319.55,318.91,319.14,944351
2015-02-02 12:45:00+05:30,319.14,319.59,318.91,319.18,1229166
2015-02-02 13:00:00+05:30,319.18,319.41,318.64,318.91,657473
2015-02-02 13:15:00+05:30,318.91,319.82,318.18,319.82,987407
2015-02-02 13:30:00+05:30,320.36,325.5,319.23,322.27,3129405
2015-02-02 13:45:00+05:30,322.5,322.64,321.45,321.64,2485292
2015-02-02 14:00:00+05:30,321.64,323.45,321.5,322.36,1551998
2015-02-02 14:15:00+05:30,322.36,322.41,319.59,320.14,1332896
2015-02-02 14:30:00+05:30,320.14,320.95,318.91,319.27,1368686
2015-02-02 14:45:00+05:30,319.18,320.23,318.86,319.64,1509312
2015-02-02 15:00:00+05:30,319.64,320.27,319.14,319.68,1917082
2015-02-02 15:15:00+05:30,319.59,320.59,319.05,320.59,6676291
2015-02-03 09:15:00+05:30,320.09,323.09,319.82,322.45,1328762
2015-02-03 09:30:00+05:30,322.36,322.45,321.05,321.55,561150
2015-02-03 09:45:00+05:30,321.55,322.68,321.14,321.32,610069
2015-02-03 10:00:00+05:30,321.32,321.82,320.73,320.91,598667
2015-02-03 10:15:00+05:30,320.91,321.14,319.09,320.45,605312
2015-02-03 10:30:00+05:30,320.45,324.0,320.27,323.27,793570
2015-02-03 10:45:00+05:30,323.05,323.14,320.45,320.91,1433298
2015-02-03 11:00:00+05:30,320.86,324.09,317.86,323.86,2204680
2015-02-03 11:15:00+05:30,323.86,323.86,320.36,320.36,625953
2015-02-03 11:30:00+05:30,320.27,320.64,318.32,319.45,954089
2015-02-03 11:45:00+05:30,319.45,319.64,315.09,315.45,1764671
2015-02-03 12:00:00+05:30,315.36,316.32,314.82,315.23,913554
2015-02-03 12:15:00+05:30,315.23,315.45,313.77,314.55,1268895
2015-02-03 12:30:00+05:30,314.64,316.82,314.14,316.32,1231894
2015-02-03 12:45:00+05:30,316.05,316.45,314.45,314.64,765658
2015-02-03 13:00:00+05:30,314.64,314.86,314.5,314.59,617110
2015-02-03 13:15:00+05:30,314.59,314.86,314.14,314.55,849750
2015-02-03 13:30:00+05:30,314.45,316.36,314.45,315.32,910974
2015-02-03 13:45:00+05:30,315.23,316.45,315.05,315.23,729946
2015-02-03 14:00:00+05:30,315.09,316.0,314.55,315.45,672144
2015-02-03 14:15:00+05:30,315.45,317.23,315.27,317.23,816638
2015-02-03 14:30:00+05:30,317.27,317.45,315.36,315.5,796487
2015-02-03 14:45:00+05:30,315.59,316.68,315.45,316.0,569269
2015-02-03 15:00:00+05:30,316.05,316.32,314.91,315.18,1168700
2015-02-03 15:15:00+05:30,315.18,315.5,314.09,314.91,3135551
