date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,93.15,93.85,92.1,92.3,350373
2015-02-02 09:30:00+05:30,92.35,92.4,91.45,92.0,202401
2015-02-02 09:45:00+05:30,92.0,92.1,91.75,92.0,166910
2015-02-02 10:00:00+05:30,92.0,92.1,91.65,91.7,97271
2015-02-02 10:15:00+05:30,91.7,91.95,91.65,91.8,73196
2015-02-02 10:30:00+05:30,91.85,92.1,91.75,91.95,71262
2015-02-02 10:45:00+05:30,91.95,92.3,91.9,92.25,97561
2015-02-02 11:00:00+05:30,92.25,92.4,92.15,92.35,88781
2015-02-02 11:15:00+05:30,92.35,92.6,92.25,92.3,69173
2015-02-02 11:30:00+05:30,92.3,92.45,92.15,92.15,70993
2015-02-02 11:45:00+05:30,92.25,92.6,92.15,92.4,98918
2015-02-02 12:00:00+05:30,92.4,92.6,92.4,92.55,117501
2015-02-02 12:15:00+05:30,92.55,92.7,92.4,92.65,79621
2015-02-02 12:30:00+05:30,92.7,92.95,92.4,92.75,91893
2015-02-02 12:45:00+05:30,92.75,92.9,92.0,92.65,403873
2015-02-02 13:00:00+05:30,92.65,92.7,92.5,92.6,58425
2015-02-02 13:15:00+05:30,92.7,92.95,92.55,92.85,94942
2015-02-02 13:30:00+05:30,92.85,92.95,92.4,92.55,111830
2015-02-02 13:45:00+05:30,92.6,92.75,92.5,92.7,66150
2015-02-02 14:00:00+05:30,92.65,92.85,92.55,92.85,59455
2015-02-02 14:15:00+05:30,92.85,92.95,92.7,92.9,67940
2015-02-02 14:30:00+05:30,92.9,92.95,92.6,92.85,76454
2015-02-02 14:45:00+05:30,92.85,92.95,92.5,92.95,120941
2015-02-02 15:00:00+05:30,92.95,93.25,92.75,93.2,282034
2015-02-02 15:15:00+05:30,93.2,93.4,92.75,93.15,352010
2015-02-03 09:15:00+05:30,93.6,93.6,92.7,93.1,104560
2015-02-03 09:30:00+05:30,93.1,93.3,93.05,93.15,43774
2015-02-03 09:45:00+05:30,93.15,93.35,93.0,93.15,70453
2015-02-03 10:00:00+05:30,93.15,93.25,92.55,92.55,82497
2015-02-03 10:15:00+05:30,92.55,93.0,91.85,92.3,231207
2015-02-03 10:30:00+05:30,92.3,92.55,92.15,92.45,53554
2015-02-03 10:45:00+05:30,92.55,93.0,92.3,92.95,90271
2015-02-03 11:00:00+05:30,92.95,93.15,92.65,93.1,73832
2015-02-03 11:15:00+05:30,93.1,93.15,92.65,92.75,39047
2015-02-03 11:30:00+05:30,92.75,92.75,92.5,92.6,70019
2015-02-03 11:45:00+05:30,92.6,92.6,92.1,92.3,95771
2015-02-03 12:00:00+05:30,92.3,92.55,92.15,92.25,77926
2015-02-03 12:15:00+05:30,92.25,92.45,92.2,92.25,62500
2015-02-03 12:30:00+05:30,92.3,92.65,92.2,92.65,40242
2015-02-03 12:45:00+05:30,92.65,92.65,92.45,92.5,21079
2015-02-03 13:00:00+05:30,92.45,92.7,92.45,92.7,36026
2015-02-03 13:15:00+05:30,92.7,92.7,92.3,92.4,47549
2015-02-03 13:30:00+05:30,92.4,93.0,92.3,93.0,200882
2015-02-03 13:45:00+05:30,92.95,93.4,92.85,93.0,252791
2015-02-03 14:00:00+05:30,93.0,94.6,92.85,93.65,519504
2015-02-03 14:15:00+05:30,93.55,94.05,93.45,93.6,173681
2015-02-03 14:30:00+05:30,93.6,93.6,93.15,93.3,112920
2015-02-03 14:45:00+05:30,93.3,93.5,93.15,93.3,120622
2015-02-03 15:00:00+05:30,93.3,93.3,93.0,93.1,210696
2015-02-03 15:15:00+05:30,93.05,93.55,92.95,93.35,364587
2015-02-04 09:15:00+05:30,93.8,94.45,93.7,94.2,240809
2015-02-04 09:30:00+05:30,94.3,94.35,93.7,93.85,140099
2015-02-04 09:45:00+05:30,93.85,94.05,93.65,94.05,109832
2015-02-04 10:00:00+05:30,94.05,94.2,93.9,94.05,76937
2015-02-04 10:15:00+05:30,94.1,95.15,94.0,95.15,146489
2015-02-04 10:30:00+05:30,95.15,95.45,94.45,94.5,215886
