date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,180.35,181.35,177.85,179.75,18108
2015-02-02 09:30:00+05:30,179.75,180.85,179.55,179.85,11404
2015-02-02 09:45:00+05:30,179.85,180.3,178.8,179.15,18253
2015-02-02 10:00:00+05:30,179.15,179.9,179.15,179.7,11575
2015-02-02 10:15:00+05:30,179.7,180.15,179.4,179.9,18934
2015-02-02 10:30:00+05:30,179.9,184.3,179.8,180.95,34706
2015-02-02 10:45:00+05:30,180.95,182.85,180.95,181.7,9646
2015-02-02 11:00:00+05:30,181.7,181.7,180.4,180.4,8812
2015-02-02 11:15:00+05:30,180.4,180.85,180.4,180.6,6585
2015-02-02 11:30:00+05:30,180.6,180.9,180.5,180.6,8529
2015-02-02 11:45:00+05:30,180.6,180.7,180.45,180.5,6508
2015-02-02 12:00:00+05:30,180.5,180.75,179.55,180.15,18038
2015-02-02 12:15:00+05:30,180.15,180.4,179.5,179.7,12574
2015-02-02 12:30:00+05:30,179.7,180.25,179.4,179.4,7961
2015-02-02 12:45:00+05:30,179.4,179.9,179.15,179.8,8221
2015-02-02 13:00:00+05:30,179.9,180.15,179.5,180.15,6052
2015-02-02 13:15:00+05:30,180.15,180.5,179.9,180.35,10911
2015-02-02 13:30:00+05:30,180.35,185.1,180.2,181.95,57357
2015-02-02 13:45:00+05:30,181.95,187.2,181.6,185.75,55236
2015-02-02 14:00:00+05:30,185.75,186.25,175.65,180.65,544145
2015-02-02 14:15:00+05:30,180.45,186.25,178.65,183.9,301039
2015-02-02 14:30:00+05:30,183.8,184.05,181.0,182.35,101760
2015-02-02 14:45:00+05:30,182.35,182.95,181.75,182.55,27684
2015-02-02 15:00:00+05:30,182.4,184.0,181.65,182.2,68100
2015-02-02 15:15:00+05:30,182.2,182.2,179.7,181.25,112380
2015-02-03 09:15:00+05:30,183.35,187.45,183.35,185.65,26079
2015-02-03 09:30:00+05:30,185.6,185.75,185.05,185.75,11644
2015-02-03 09:45:00+05:30,185.75,186.55,185.4,185.65,7250
2015-02-03 10:00:00+05:30,185.65,185.85,185.25,185.6,4945
2015-02-03 10:15:00+05:30,185.25,185.45,184.4,184.85,5949
2015-02-03 10:30:00+05:30,184.85,185.75,183.8,184.3,8833
2015-02-03 10:45:00+05:30,184.3,184.3,182.95,183.35,15661
2015-02-03 11:00:00+05:30,183.35,183.8,182.75,183.5,33935
2015-02-03 11:15:00+05:30,183.5,183.5,182.65,183.3,9100
2015-02-03 11:30:00+05:30,183.3,183.3,182.65,182.65,8718
2015-02-03 11:45:00+05:30,182.55,182.85,179.6,180.1,25512
2015-02-03 12:00:00+05:30,180.1,180.35,179.0,179.65,11435
2015-02-03 12:15:00+05:30,179.5,180.3,179.4,179.65,4856
2015-02-03 12:30:00+05:30,179.65,180.65,179.4,180.65,4863
2015-02-03 12:45:00+05:30,180.4,180.85,179.9,180.4,3588
2015-02-03 13:00:00+05:30,180.4,180.6,180.2,180.2,3323
2015-02-03 13:15:00+05:30,180.2,180.5,179.9,180.1,3235
2015-02-03 13:30:00+05:30,179.95,180.2,179.25,179.75,5117
2015-02-03 13:45:00+05:30,179.75,180.3,179.65,180.05,7571
2015-02-03 14:00:00+05:30,180.05,180.15,179.4,179.65,8243
2015-02-03 14:15:00+05:30,179.65,179.65,179.3,179.5,2226
2015-02-03 14:30:00+05:30,179.5,179.5,178.75,178.85,4016
2015-02-03 14:45:00+05:30,178.85,179.9,178.65,179.4,9255
2015-02-03 15:00:00+05:30,179.4,179.4,177.45,178.1,12129
2015-02-03 15:15:00+05:30,178.1,178.3,176.5,177.35,22799
2015-02-04 09:15:00+05:30,179.4,181.45,178.75,180.1,13108
2015-02-04 09:30:00+05:30,180.1,180.3,179.0,179.0,7551
2015-02-04 09:45:00+05:30,179.0,179.4,178.95,179.4,5765
2015-02-04 10:00:00+05:30,179.4,179.4,178.45,178.55,8870
2015-02-04 10:15:00+05:30,178.55,178.55,177.0,178.35,8398
2015-02-04 10:30:00+05:30,178.5,178.7,177.85,177.85,4149
2015-02-04 10:45:00+05:30,177.85,178.45,177.7,178.35,3263
2015-02-04 11:00:00+05:30,178.45,178.55,177.9,178.15,6528
2015-02-04 11:15:00+05:30,178.15,178.5,177.65,177.85,7643
2015-02-04 11:30:00+05:30,177.85,178.35,177.85,178.25,2410
2015-02-04 11:45:00+05:30,178.25,178.45,177.6,178.4,2916
2015-02-04 12:00:00+05:30,178.4,178.65,178.15,178.35,3442
2015-02-04 12:15:00+05:30,178.45,178.45,178.0,178.15,1020
2015-02-04 12:30:00+05:30,177.95,178.25,177.7,177.7,2756
2015-02-04 12:45:00+05:30,178.1,178.45,177.95,178.15,2420
2015-02-04 13:00:00+05:30,178.15,178.85,177.95,178.35,17704
2015-02-04 13:15:00+05:30,178.35,178.6,178.25,178.4,3588
2015-02-04 13:30:00+05:30,178.4,178.55,177.95,178.15,2050
2015-02-04 13:45:00+05:30,178.15,178.55,177.7,177.8,3788
2015-02-04 14:00:00+05:30,177.8,178.4,177.8,178.15,2834
2015-02-04 14:15:00+05:30,178.15,178.45,178.05,178.15,4104
2015-02-04 14:30:00+05:30,178.15,178.45,178.1,178.15,1682
2015-02-04 14:45:00+05:30,178.15,178.45,177.7,177.7,4323
2015-02-04 15:00:00+05:30,177.7,177.7,176.7,177.05,8786
2015-02-04 15:15:00+05:30,177.05,177.6,176.6,176.65,15994
2015-02-05 09:15:00+05:30,177.45,178.4,177.15,178.25,8333
2015-02-05 09:30:00+05:30,178.25,179.3,177.85,179.25,8119
2015-02-05 09:45:00+05:30,179.25,179.3,178.5,179.0,6050
2015-02-05 10:00:00+05:30,179.0,179.15,178.95,178.95,2798
2015-02-05 10:15:00+05:30,178.95,179.3,178.6,179.05,3002
2015-02-05 10:30:00+05:30,179.05,179.25,178.45,178.95,3457
2015-02-05 10:45:00+05:30,178.95,180.25,178.95,179.55,13720
2015-02-05 11:00:00+05:30,179.55,179.9,178.95,179.5,4489
2015-02-05 11:15:00+05:30,179.5,179.6,179.2,179.4,785
2015-02-05 11:30:00+05:30,179.4,179.55,178.95,179.45,2881
2015-02-05 11:45:00+05:30,179.45,179.7,178.95,179.0,4047
2015-02-05 12:00:00+05:30,179.1,179.4,178.65,178.85,4328
2015-02-05 12:15:00+05:30,178.85,179.5,178.85,179.4,52268
2015-02-05 12:30:00+05:30,179.4,179.4,179.05,179.15,2814
2015-02-05 12:45:00+05:30,179.15,179.3,179.05,179.3,522
2015-02-05 13:00:00+05:30,179.3,179.3,179.05,179.2,601
2015-02-05 13:15:00+05:30,179.2,179.35,177.3,178.65,13054
2015-02-05 13:30:00+05:30,178.65,179.15,177.3,179.0,5174
2015-02-05 13:45:00+05:30,179.0,179.0,178.45,178.95,1456
2015-02-05 14:00:00+05:30,178.95,179.15,178.9,178.95,2191
2015-02-05 14:15:00+05:30,178.95,178.95,178.15,178.25,2661
2015-02-05 14:30:00+05:30,178.25,178.3,175.65,175.75,13716
2015-02-05 14:45:00+05:30,175.75,176.25,173.9,174.85,11772
2015-02-05 15:00:00+05:30,174.85,175.45,174.65,175.45,10445
2015-02-05 15:15:00+05:30,175.3,176.2,174.55,175.6,117573
2015-02-06 09:15:00+05:30,175.5,176.35,173.55,175.6,4693
2015-02-06 09:30:00+05:30,175.6,176.15,172.05,172.6,4781
2015-02-06 09:45:00+05:30,172.6,174.35,172.6,173.75,8051
2015-02-06 10:00:00+05:30,173.75,173.95,173.4,173.55,2490
2015-02-06 10:15:00+05:30,173.45,173.75,173.1,173.2,1330
2015-02-06 10:30:00+05:30,173.2,173.6,171.5,172.1,431996
2015-02-06 10:45:00+05:30,172.05,173.0,171.8,172.35,3913
2015-02-06 11:00:00+05:30,172.35,172.65,172.25,172.4,924
2015-02-06 11:15:00+05:30,172.4,172.6,172.25,172.6,815
2015-02-06 11:30:00+05:30,172.6,173.35,172.25,173.1,3129
2015-02-06 11:45:00+05:30,173.1,173.85,173.05,173.75,5772
2015-02-06 12:00:00+05:30,173.75,174.65,173.75,174.05,2883
2015-02-06 12:15:00+05:30,174.05,174.55,173.75,174.25,2131
2015-02-06 12:30:00+05:30,174.25,174.55,174.25,174.25,2083
2015-02-06 12:45:00+05:30,174.25,174.3,174.15,174.3,1164
2015-02-06 13:00:00+05:30,174.3,174.3,174.05,174.05,2277
2015-02-06 13:15:00+05:30,174.05,174.1,173.65,174.0,802
2015-02-06 13:30:00+05:30,174.05,174.25,173.95,174.25,2220
2015-02-06 13:45:00+05:30,174.25,174.3,173.75,174.05,2541
2015-02-06 14:00:00+05:30,174.05,174.35,173.95,174.15,2259
2015-02-06 14:15:00+05:30,173.55,173.75,173.05,173.45,4449
2015-02-06 14:30:00+05:30,173.45,173.45,172.1,172.1,3180
2015-02-06 14:45:00+05:30,172.1,173.85,172.1,173.3,2342
2015-02-06 15:00:00+05:30,173.35,173.55,172.9,173.3,3867
2015-02-06 15:15:00+05:30,173.1,174.55,172.3,173.3,17150
2015-02-09 09:15:00+05:30,171.6,172.8,171.4,171.75,2966
2015-02-09 09:30:00+05:30,171.75,171.85,169.95,170.65,5074
2015-02-09 09:45:00+05:30,170.55,171.05,170.0,170.85,77387
2015-02-09 10:00:00+05:30,170.85,170.85,170.35,170.8,4810
2015-02-09 10:15:00+05:30,170.45,170.9,170.35,170.4,1452
2015-02-09 10:30:00+05:30,170.65,170.65,170.35,170.55,2058
2015-02-09 10:45:00+05:30,170.65,170.65,170.65,170.65,503
2015-02-09 11:00:00+05:30,170.65,170.65,170.35,170.45,2263
2015-02-09 11:15:00+05:30,170.45,170.75,170.45,170.6,21872
2015-02-09 11:30:00+05:30,170.6,170.8,170.55,170.65,52398
2015-02-09 11:45:00+05:30,170.65,170.75,170.55,170.65,2165
2015-02-09 12:00:00+05:30,170.65,170.75,170.15,170.2,2196
2015-02-09 12:15:00+05:30,170.2,170.45,170.05,170.45,1867
2015-02-09 12:30:00+05:30,170.45,170.65,170.45,170.55,722
2015-02-09 12:45:00+05:30,170.55,170.65,170.5,170.6,3015
2015-02-09 13:00:00+05:30,170.6,170.75,170.15,170.65,3446
2015-02-09 13:15:00+05:30,170.65,171.0,170.65,170.95,1266
2015-02-09 13:30:00+05:30,170.95,171.4,170.9,170.95,1878
2015-02-09 13:45:00+05:30,170.95,171.1,170.75,171.1,1271
2015-02-09 14:00:00+05:30,171.1,171.1,170.6,170.65,3333
2015-02-09 14:15:00+05:30,170.65,170.85,169.15,169.15,6366
2015-02-09 14:30:00+05:30,169.1,169.5,168.45,169.4,5030
2015-02-09 14:45:00+05:30,169.4,171.1,169.35,170.95,6339
2015-02-09 15:00:00+05:30,170.95,171.4,170.65,170.9,9701
2015-02-09 15:15:00+05:30,170.7,172.6,170.7,172.6,10693
2015-02-10 09:15:00+05:30,171.6,174.5,169.45,173.4,16555
2015-02-10 09:30:00+05:30,172.9,179.9,172.9,178.9,24143
2015-02-10 09:45:00+05:30,178.9,179.9,178.1,178.45,13673
2015-02-10 10:00:00+05:30,178.55,179.6,177.0,177.85,10191
2015-02-10 10:15:00+05:30,177.85,177.9,177.55,177.65,5045
2015-02-10 10:30:00+05:30,177.65,178.15,177.55,178.1,2466
2015-02-10 10:45:00+05:30,178.15,178.15,177.55,177.55,4304
2015-02-10 11:00:00+05:30,177.55,177.75,177.15,177.55,3021
2015-02-10 11:15:00+05:30,177.6,178.35,177.45,178.1,3459
2015-02-10 11:30:00+05:30,178.1,178.3,177.65,177.9,4042
