date,open,high,low,close,volume
2019-10-14 09:30:00+05:30,125.2,125.2,125.2,125.2,11083435
2019-10-14 09:45:00+05:30,125.2,125.2,125.2,125.2,0
2019-10-14 10:00:00+05:30,130.0,137.65,125.6,134.5,68015745
2019-10-14 10:15:00+05:30,134.5,139.5,134.45,137.2,16839600
2019-10-14 10:30:00+05:30,137.1,138.6,136.45,136.85,5914995
2019-10-14 10:45:00+05:30,136.9,138.0,136.65,137.2,2715335
2019-10-14 11:00:00+05:30,137.2,139.4,137.2,139.2,4426540
2019-10-14 11:15:00+05:30,139.15,141.75,139.15,140.75,12140870
2019-10-14 11:30:00+05:30,140.75,144.65,140.75,144.6,10942115
2019-10-14 11:45:00+05:30,144.65,148.75,143.2,144.35,17698515
2019-10-14 12:00:00+05:30,144.25,145.0,144.0,144.35,2623345
2019-10-14 12:15:00+05:30,144.3,144.35,142.4,143.45,4052705
2019-10-14 12:30:00+05:30,143.45,143.55,140.0,141.4,6284405
2019-10-14 12:45:00+05:30,141.45,143.0,141.05,142.9,3940015
2019-10-14 13:00:00+05:30,142.9,143.0,142.05,142.65,1369830
2019-10-14 13:15:00+05:30,142.65,143.15,141.65,142.4,1931880
2019-10-14 13:30:00+05:30,142.4,143.0,142.25,142.45,1345145
2019-10-14 13:45:00+05:30,142.45,145.75,142.2,144.55,4724995
2019-10-14 14:00:00+05:30,144.55,146.4,144.0,145.3,5609720
2019-10-14 14:15:00+05:30,145.35,146.85,145.3,146.3,5661665
2019-10-14 14:30:00+05:30,146.3,148.4,142.0,143.3,11215550
2019-10-14 14:45:00+05:30,143.25,144.95,142.4,144.5,4490060
2019-10-14 15:00:00+05:30,144.45,145.6,144.0,144.3,4558375
2019-10-14 15:15:00+05:30,144.4,147.85,144.4,146.6,10837395
2019-10-15 09:15:00+05:30,147.2,149.35,140.4,142.3,13240060
2019-10-15 09:30:00+05:30,142.2,144.8,142.15,143.95,4024445
2019-10-15 09:45:00+05:30,143.8,146.8,143.8,145.65,5202165
2019-10-15 10:00:00+05:30,145.65,147.35,145.1,145.35,3087025
2019-10-15 10:15:00+05:30,145.25,145.55,143.4,144.15,3762575
2019-10-15 10:30:00+05:30,144.1,144.7,143.2,143.6,1149265
2019-10-15 10:45:00+05:30,143.7,144.25,143.2,143.8,929245
2019-10-15 11:00:00+05:30,143.8,144.0,143.4,143.4,416350
2019-10-15 11:15:00+05:30,143.4,143.7,142.6,143.45,1314090
2019-10-15 11:30:00+05:30,143.45,144.6,143.2,143.65,966120
2019-10-15 11:45:00+05:30,143.75,144.0,143.4,143.45,334455
2019-10-15 12:00:00+05:30,143.45,143.9,143.4,143.8,351335
2019-10-15 12:15:00+05:30,143.75,144.4,143.5,143.65,566960
2019-10-15 12:30:00+05:30,143.6,143.8,143.2,143.45,396975
2019-10-15 12:45:00+05:30,143.45,143.85,143.45,143.75,304580
2019-10-15 13:00:00+05:30,143.7,143.8,143.45,143.65,249325
2019-10-15 13:15:00+05:30,143.65,143.65,143.45,143.55,199770
2019-10-15 13:30:00+05:30,143.55,144.2,142.0,142.35,1790630
2019-10-15 13:45:00+05:30,142.4,142.75,141.0,141.55,2500795
2019-10-15 14:00:00+05:30,141.65,142.6,141.3,141.7,1302680
2019-10-15 14:15:00+05:30,141.75,142.4,141.65,142.0,657390
2019-10-15 14:30:00+05:30,142.0,142.2,141.6,141.7,475750
2019-10-15 14:45:00+05:30,141.75,142.15,139.6,140.7,2509510
2019-10-15 15:00:00+05:30,140.7,142.4,140.4,141.75,2167985
2019-10-15 15:15:00+05:30,141.75,144.05,141.7,143.2,4515130
2019-10-16 09:15:00+05:30,142.8,144.1,141.25,142.05,2364875
2019-10-16 09:30:00+05:30,142.15,143.0,141.7,142.0,992765
2019-10-16 09:45:00+05:30,142.0,142.8,141.9,142.0,673700
2019-10-16 10:00:00+05:30,142.0,142.2,141.7,141.8,438870
2019-10-16 10:15:00+05:30,141.8,141.85,141.0,141.3,860800
2019-10-16 10:30:00+05:30,141.3,141.8,141.2,141.55,548550
2019-10-16 10:45:00+05:30,141.65,141.65,141.4,141.6,158195
2019-10-16 11:00:00+05:30,141.6,141.6,140.7,140.95,477505
2019-10-16 11:15:00+05:30,141.0,141.1,140.0,140.35,1232185
2019-10-16 11:30:00+05:30,140.35,140.6,139.95,140.5,1079870
