date,open,high,low,close,volume
2023-11-29 09:15:00+05:30,46.8,46.8,46.8,46.8,0
2023-11-29 09:30:00+05:30,50.0,50.0,50.0,50.0,86217091
2023-11-29 09:45:00+05:30,50.0,50.0,50.0,50.0,0
2023-11-29 10:00:00+05:30,50.3,55.7,50.3,54.2,181570968
2023-11-29 10:15:00+05:30,54.2,55.65,53.5,55.15,43188743
2023-11-29 10:30:00+05:30,55.1,55.25,54.05,54.05,17269334
2023-11-29 10:45:00+05:30,54.1,54.6,54.0,54.45,13860398
2023-11-29 11:00:00+05:30,54.5,55.0,54.4,54.65,10518274
2023-11-29 11:15:00+05:30,54.7,55.85,54.65,55.6,20056525
2023-11-29 11:30:00+05:30,55.6,57.75,55.55,57.6,39957672
2023-11-29 11:45:00+05:30,57.65,58.9,56.55,58.6,34925467
2023-11-29 12:00:00+05:30,58.65,59.7,58.3,59.5,30906437
2023-11-29 12:15:00+05:30,59.5,59.85,59.1,59.15,19098752
2023-11-29 12:30:00+05:30,59.1,59.7,58.75,59.4,13913983
2023-11-29 12:45:00+05:30,59.35,59.75,59.15,59.45,10058832
2023-11-29 13:00:00+05:30,59.45,60.0,59.15,59.5,29125115
2023-11-29 13:15:00+05:30,59.45,60.0,59.4,60.0,7077102
2023-11-29 13:30:00+05:30,60.0,60.0,60.0,60.0,1341240
2023-11-29 13:45:00+05:30,60.0,60.0,60.0,60.0,883383
2023-11-29 14:00:00+05:30,60.0,60.0,60.0,60.0,559747
2023-11-29 14:15:00+05:30,60.0,60.0,60.0,60.0,384196
2023-11-29 14:30:00+05:30,60.0,60.0,60.0,60.0,631803
2023-11-29 14:45:00+05:30,60.0,60.0,60.0,60.0,359603
2023-11-29 15:00:00+05:30,60.0,60.0,60.0,60.0,407059
2023-11-29 15:15:00+05:30,60.0,60.0,60.0,60.0,713153
2023-11-30 09:15:00+05:30,64.3,68.9,64.25,67.2,104904981
2023-11-30 09:30:00+05:30,67.15,68.0,66.25,67.75,25940556
2023-11-30 09:45:00+05:30,67.75,67.85,66.0,66.6,17547113
2023-11-30 10:00:00+05:30,66.6,66.7,62.6,64.05,34998225
2023-11-30 10:15:00+05:30,64.2,64.4,60.55,63.1,28786512
2023-11-30 10:30:00+05:30,63.1,64.9,62.4,64.75,15753539
2023-11-30 10:45:00+05:30,64.75,65.4,64.6,64.95,13198908
2023-11-30 11:00:00+05:30,64.95,66.0,64.95,65.7,9673179
2023-11-30 11:15:00+05:30,65.7,65.9,65.15,65.65,5382362
2023-11-30 11:30:00+05:30,65.7,65.9,65.45,65.6,4154911
2023-11-30 11:45:00+05:30,65.6,65.65,65.1,65.3,4171595
2023-11-30 12:00:00+05:30,65.3,67.3,65.05,66.7,14064123
2023-11-30 12:15:00+05:30,66.75,67.35,66.5,66.55,6850493
2023-11-30 12:30:00+05:30,66.55,67.95,66.2,67.2,13576726
2023-11-30 12:45:00+05:30,67.2,67.8,66.9,67.6,7060520
2023-11-30 13:00:00+05:30,67.55,68.0,67.2,67.3,7234472
2023-11-30 13:15:00+05:30,67.25,67.9,67.25,67.35,4295831
2023-11-30 13:30:00+05:30,67.35,67.45,66.2,66.75,7156242
2023-11-30 13:45:00+05:30,66.75,67.8,66.65,67.55,5984872
2023-11-30 14:00:00+05:30,67.6,67.7,67.1,67.3,5041941
2023-11-30 14:15:00+05:30,67.25,67.7,67.2,67.4,3235690
2023-11-30 14:30:00+05:30,67.35,67.6,66.7,66.75,7081830
2023-11-30 14:45:00+05:30,66.8,67.2,66.1,66.15,6921418
2023-11-30 15:00:00+05:30,66.1,66.2,64.3,65.4,13679323
2023-11-30 15:15:00+05:30,65.4,66.1,64.8,66.1,14530908
2023-12-01 09:15:00+05:30,67.0,68.4,65.0,66.35,22637988
2023-12-01 09:30:00+05:30,66.4,66.7,65.25,66.3,10593902
2023-12-01 09:45:00+05:30,66.3,66.3,65.5,65.8,5128825
2023-12-01 10:00:00+05:30,65.8,65.8,64.0,64.25,15162957
2023-12-01 10:15:00+05:30,64.3,65.1,63.8,64.3,9485514
2023-12-01 10:30:00+05:30,64.3,65.6,64.25,65.05,6004552
