date,open,high,low,close,volume
2025-01-29 09:15:00+05:30,180.0,180.0,180.0,180.0,0
2025-01-29 09:30:00+05:30,180.0,180.0,180.0,180.0,0
2025-01-29 09:45:00+05:30,180.0,180.0,180.0,180.0,0
2025-01-29 10:00:00+05:30,179.5,180.0,172.05,174.0,6996479
2025-01-29 10:15:00+05:30,174.0,178.6,172.0,173.15,1739444
2025-01-29 10:30:00+05:30,173.15,180.0,173.0,176.5,1010117
2025-01-29 10:45:00+05:30,176.5,178.0,175.1,175.5,596343
2025-01-29 11:00:00+05:30,175.55,178.0,175.05,176.6,791472
2025-01-29 11:15:00+05:30,176.7,180.0,172.55,172.9,927232
2025-01-29 11:30:00+05:30,172.85,174.0,172.75,173.8,499336
2025-01-29 11:45:00+05:30,173.8,177.0,173.55,175.15,577840
2025-01-29 12:00:00+05:30,175.0,176.0,174.1,175.0,351543
2025-01-29 12:15:00+05:30,174.8,175.5,174.15,174.75,250686
2025-01-29 12:30:00+05:30,174.65,177.0,174.0,174.2,665796
2025-01-29 12:45:00+05:30,174.2,175.0,174.0,174.0,275282
2025-01-29 13:00:00+05:30,174.2,175.0,174.0,174.2,232011
2025-01-29 13:15:00+05:30,174.2,175.0,172.55,172.9,407539
2025-01-29 13:30:00+05:30,173.05,174.0,171.45,171.5,740494
2025-01-29 13:45:00+05:30,171.5,173.0,171.0,173.0,690456
2025-01-29 14:00:00+05:30,172.7,173.0,171.05,171.25,355241
2025-01-29 14:15:00+05:30,171.3,173.0,171.2,171.5,207921
2025-01-29 14:30:00+05:30,171.5,172.8,171.15,171.45,344138
2025-01-29 14:45:00+05:30,171.5,173.0,171.2,171.6,416678
2025-01-29 15:00:00+05:30,172.2,173.0,171.5,172.15,645827
2025-01-29 15:15:00+05:30,172.15,173.65,171.25,173.65,530253
2025-01-30 09:15:00+05:30,168.0,175.1,166.05,173.3,1167751
2025-01-30 09:30:00+05:30,173.05,175.8,172.0,173.0,789980
2025-01-30 09:45:00+05:30,172.3,173.0,172.0,172.5,456083
2025-01-30 10:00:00+05:30,172.7,173.0,171.1,172.0,403281
2025-01-30 10:15:00+05:30,171.7,172.55,170.0,170.0,416615
2025-01-30 10:30:00+05:30,170.0,170.1,168.0,168.45,412548
2025-01-30 10:45:00+05:30,168.95,169.0,167.0,167.0,700745
2025-01-30 11:00:00+05:30,167.05,167.05,164.75,164.95,1345918
2025-01-30 11:15:00+05:30,165.0,167.95,164.0,165.3,749010
2025-01-30 11:30:00+05:30,165.5,168.0,164.9,164.9,290455
2025-01-30 11:45:00+05:30,165.05,168.0,164.95,165.1,294543
2025-01-30 12:00:00+05:30,165.15,167.0,165.0,165.15,269611
2025-01-30 12:15:00+05:30,165.5,166.0,164.1,164.4,335986
2025-01-30 12:30:00+05:30,164.2,165.0,163.55,163.8,652248
2025-01-30 12:45:00+05:30,163.7,163.8,163.25,163.25,1104263
2025-01-30 13:00:00+05:30,163.25,165.0,163.25,163.7,821341
2025-01-30 13:15:00+05:30,163.75,164.0,163.25,163.5,744501
2025-01-30 13:30:00+05:30,163.65,164.0,163.25,163.25,397937
2025-01-30 13:45:00+05:30,163.25,163.5,163.25,163.25,242050
2025-01-30 14:00:00+05:30,163.25,163.75,163.25,163.25,2404811
2025-01-30 14:15:00+05:30,163.25,163.25,163.25,163.25,854940
2025-01-30 14:30:00+05:30,163.25,163.25,163.25,163.25,124693
2025-01-30 14:45:00+05:30,163.25,163.25,163.25,163.25,255821
2025-01-30 15:00:00+05:30,163.25,164.5,163.25,163.25,6161845
2025-01-30 15:15:00+05:30,163.25,163.25,163.25,163.25,744345
2025-01-31 09:15:00+05:30,155.1,161.8,155.1,161.8,3587736
2025-01-31 09:30:00+05:30,159.7,161.7,158.55,160.0,1208937
2025-01-31 09:45:00+05:30,159.65,160.5,159.15,160.05,611629
2025-01-31 10:00:00+05:30,160.0,160.5,158.1,159.05,793233
2025-01-31 10:15:00+05:30,159.0,159.3,158.0,159.2,774010
2025-01-31 10:30:00+05:30,159.25,159.3,158.55,159.3,525516
2025-01-31 10:45:00+05:30,159.3,161.05,159.15,160.9,351378
2025-01-31 11:00:00+05:30,160.9,163.2,160.8,163.2,345372
2025-01-31 11:15:00+05:30,163.1,164.3,162.25,163.55,405674
2025-01-31 11:30:00+05:30,163.55,163.65,160.3,160.4,413490
2025-01-31 11:45:00+05:30,160.45,160.45,157.75,159.0,1669432
2025-01-31 12:00:00+05:30,159.0,161.1,158.95,161.1,237507
2025-01-31 12:15:00+05:30,160.95,162.1,159.3,159.35,297530
2025-01-31 12:30:00+05:30,159.4,161.5,159.35,160.2,251924
2025-01-31 12:45:00+05:30,160.3,162.05,159.9,160.9,366210
2025-01-31 13:00:00+05:30,160.9,161.9,160.25,161.0,221311
