date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,121.6,124.0,121.6,123.1,348430
2015-02-02 09:30:00+05:30,123.1,123.4,122.45,122.7,205868
2015-02-02 09:45:00+05:30,123.05,123.05,121.5,122.15,221698
2015-02-02 10:00:00+05:30,122.15,122.85,121.85,122.4,121487
2015-02-02 10:15:00+05:30,122.5,122.8,121.9,122.5,75895
2015-02-02 10:30:00+05:30,122.5,123.25,122.35,122.8,96973
2015-02-02 10:45:00+05:30,122.8,123.0,122.1,122.35,69947
2015-02-02 11:00:00+05:30,122.35,122.7,122.35,122.6,39790
2015-02-02 11:15:00+05:30,122.6,122.6,122.25,122.45,70039
2015-02-02 11:30:00+05:30,122.45,122.75,122.35,122.45,170798
2015-02-02 11:45:00+05:30,122.45,122.85,122.35,122.7,66322
2015-02-02 12:00:00+05:30,122.7,123.45,120.05,121.4,681829
2015-02-02 12:15:00+05:30,121.4,122.2,121.2,121.9,126243
2015-02-02 12:30:00+05:30,121.9,122.25,121.1,121.85,124263
2015-02-02 12:45:00+05:30,121.85,122.0,121.15,121.6,55169
2015-02-02 13:00:00+05:30,121.6,122.0,121.35,121.9,64842
2015-02-02 13:15:00+05:30,121.9,122.0,121.45,122.0,56505
2015-02-02 13:30:00+05:30,121.95,123.45,121.9,122.75,309094
2015-02-02 13:45:00+05:30,122.75,123.0,122.2,122.35,57101
2015-02-02 14:00:00+05:30,122.25,122.5,122.0,122.35,62760
2015-02-02 14:15:00+05:30,122.4,122.45,122.1,122.1,12898
2015-02-02 14:30:00+05:30,122.2,123.25,122.0,123.1,128326
2015-02-02 14:45:00+05:30,123.05,124.4,121.55,124.0,1587770
2015-02-02 15:00:00+05:30,123.95,125.25,123.65,124.15,911663
2015-02-02 15:15:00+05:30,124.0,125.0,124.0,124.65,420964
2015-02-03 09:15:00+05:30,125.9,126.2,124.65,124.7,1189597
2015-02-03 09:30:00+05:30,124.75,124.75,121.75,122.15,670044
2015-02-03 09:45:00+05:30,122.2,122.5,120.65,120.8,219308
2015-02-03 10:00:00+05:30,120.8,121.9,120.5,121.6,250154
2015-02-03 10:15:00+05:30,121.6,121.8,121.1,121.4,91503
2015-02-03 10:30:00+05:30,121.4,121.9,121.2,121.65,60457
2015-02-03 10:45:00+05:30,121.6,121.8,121.2,121.55,67445
2015-02-03 11:00:00+05:30,121.6,121.6,120.8,121.25,190738
2015-02-03 11:15:00+05:30,121.0,121.0,117.1,118.9,763587
2015-02-03 11:30:00+05:30,118.75,119.2,118.3,119.0,496440
2015-02-03 11:45:00+05:30,119.0,119.1,117.3,117.4,282643
2015-02-03 12:00:00+05:30,117.35,117.5,116.5,117.1,209675
2015-02-03 12:15:00+05:30,117.15,117.45,116.7,116.95,61404
2015-02-03 12:30:00+05:30,117.05,117.05,114.8,116.4,334927
2015-02-03 12:45:00+05:30,116.4,116.9,116.15,116.2,80939
2015-02-03 13:00:00+05:30,116.25,116.3,115.1,116.05,132232
2015-02-03 13:15:00+05:30,116.05,116.2,114.8,115.45,142783
2015-02-03 13:30:00+05:30,115.45,115.7,114.55,115.5,183662
2015-02-03 13:45:00+05:30,115.5,117.15,115.3,116.8,217231
2015-02-03 14:00:00+05:30,116.75,116.9,115.5,115.75,202629
2015-02-03 14:15:00+05:30,115.75,116.25,115.45,116.2,55010
2015-02-03 14:30:00+05:30,116.2,116.45,115.3,115.3,119440
2015-02-03 14:45:00+05:30,115.3,115.5,111.35,114.3,750941
2015-02-03 15:00:00+05:30,114.35,114.45,113.45,113.8,214800
2015-02-03 15:15:00+05:30,113.8,114.0,111.2,111.5,526242
2015-02-04 09:15:00+05:30,112.55,113.0,109.0,109.65,694165
2015-02-04 09:30:00+05:30,109.6,112.2,109.6,112.0,456251
2015-02-04 09:45:00+05:30,112.0,113.9,112.0,112.75,418506
2015-02-04 10:00:00+05:30,112.75,113.4,112.45,113.1,226963
2015-02-04 10:15:00+05:30,113.1,114.1,113.0,113.6,213107
2015-02-04 10:30:00+05:30,113.6,114.6,113.4,113.6,192426
2015-02-04 10:45:00+05:30,113.6,113.95,108.2,110.3,708790
2015-02-04 11:00:00+05:30,110.3,111.3,109.55,110.55,269638
2015-02-04 11:15:00+05:30,110.55,111.25,110.25,110.95,124959
2015-02-04 11:30:00+05:30,110.95,111.2,110.7,110.8,47769
2015-02-04 11:45:00+05:30,110.8,110.8,108.6,109.8,254334
2015-02-04 12:00:00+05:30,109.85,110.0,109.5,109.6,46058
2015-02-04 12:15:00+05:30,109.6,110.0,108.95,109.5,72955
2015-02-04 12:30:00+05:30,109.5,110.05,109.15,109.85,62276
2015-02-04 12:45:00+05:30,109.85,110.1,109.25,109.85,82693
2015-02-04 13:00:00+05:30,110.0,110.65,109.7,110.25,113455
2015-02-04 13:15:00+05:30,110.25,110.5,109.4,109.55,121336
2015-02-04 13:30:00+05:30,109.65,109.65,108.6,109.2,110086
2015-02-04 13:45:00+05:30,109.1,109.35,108.1,109.1,119087
2015-02-04 14:00:00+05:30,109.15,109.5,108.8,108.85,73741
2015-02-04 14:15:00+05:30,108.85,109.5,108.7,109.0,72710
2015-02-04 14:30:00+05:30,109.0,109.3,108.9,109.15,36656
2015-02-04 14:45:00+05:30,109.2,110.5,108.8,109.3,280281
2015-02-04 15:00:00+05:30,109.3,109.4,107.7,107.7,201940
2015-02-04 15:15:00+05:30,107.9,107.9,106.5,107.1,378562
2015-02-05 09:15:00+05:30,108.1,109.9,108.1,108.65,483292
2015-02-05 09:30:00+05:30,108.65,110.75,108.65,110.35,259550
2015-02-05 09:45:00+05:30,110.35,110.6,109.8,110.25,156283
2015-02-05 10:00:00+05:30,110.25,110.5,110.1,110.2,64980
2015-02-05 10:15:00+05:30,110.3,110.3,108.9,109.2,149507
2015-02-05 10:30:00+05:30,109.3,109.8,108.6,109.1,164293
2015-02-05 10:45:00+05:30,109.25,109.25,108.0,108.85,180574
2015-02-05 11:00:00+05:30,108.85,108.85,107.9,108.35,140869
2015-02-05 11:15:00+05:30,108.35,108.8,108.15,108.6,144614
2015-02-05 11:30:00+05:30,108.6,109.15,108.45,108.7,139528
2015-02-05 11:45:00+05:30,108.7,109.1,108.65,109.1,36037
2015-02-05 12:00:00+05:30,109.1,109.3,108.65,109.05,108122
2015-02-05 12:15:00+05:30,109.05,109.3,108.9,109.0,35651
2015-02-05 12:30:00+05:30,109.0,109.25,108.55,108.65,92496
2015-02-05 12:45:00+05:30,108.65,109.0,108.55,108.8,37242
2015-02-05 13:00:00+05:30,108.8,109.25,108.8,109.25,47776
2015-02-05 13:15:00+05:30,109.3,109.9,109.25,109.5,114307
2015-02-05 13:30:00+05:30,109.3,109.4,108.6,109.1,37623
2015-02-05 13:45:00+05:30,109.1,109.2,108.75,108.8,22700
2015-02-05 14:00:00+05:30,108.8,109.0,107.45,108.8,303886
2015-02-05 14:15:00+05:30,108.8,109.2,108.45,108.5,154916
2015-02-05 14:30:00+05:30,108.5,108.6,106.2,106.35,309845
2015-02-05 14:45:00+05:30,106.35,106.9,106.0,106.25,183927
2015-02-05 15:00:00+05:30,106.25,106.5,104.1,104.45,310038
2015-02-05 15:15:00+05:30,104.5,105.05,103.15,104.65,428398
2015-02-09 09:15:00+05:30,100.6,102.55,99.6,101.1,441173
2015-02-09 09:30:00+05:30,101.1,103.4,101.1,103.05,369205
2015-02-09 09:45:00+05:30,103.05,103.15,102.6,102.7,343693
2015-02-09 10:00:00+05:30,102.7,103.1,102.15,102.75,192023
2015-02-09 10:15:00+05:30,102.75,103.5,102.25,103.45,174976
2015-02-09 10:30:00+05:30,103.45,103.7,102.5,103.35,207850
2015-02-09 10:45:00+05:30,103.35,105.45,103.3,104.8,550003
2015-02-09 11:00:00+05:30,104.7,105.45,104.15,105.15,299190
2015-02-09 11:15:00+05:30,105.15,106.7,105.1,106.5,532466
2015-02-09 11:30:00+05:30,106.55,106.75,105.55,105.7,436243
2015-02-09 11:45:00+05:30,105.7,105.75,104.5,105.25,269200
2015-02-09 12:00:00+05:30,105.35,105.4,104.8,105.2,102637
2015-02-09 12:15:00+05:30,105.25,105.4,104.8,105.35,59082
2015-02-09 12:30:00+05:30,105.35,105.4,104.85,105.1,38119
2015-02-09 12:45:00+05:30,105.1,105.6,105.0,105.35,74671
2015-02-09 13:00:00+05:30,105.35,105.5,105.1,105.45,32421
2015-02-09 13:15:00+05:30,105.45,105.6,105.25,105.4,39976
2015-02-09 13:30:00+05:30,105.4,105.6,105.3,105.55,46437
2015-02-09 13:45:00+05:30,105.55,105.55,105.25,105.4,59988
2015-02-09 14:00:00+05:30,105.4,106.5,105.4,105.8,212416
2015-02-09 14:15:00+05:30,105.8,106.0,104.6,104.9,203209
2015-02-09 14:30:00+05:30,104.95,105.5,104.85,105.35,146399
2015-02-09 14:45:00+05:30,105.35,106.2,105.0,106.1,316699
2015-02-09 15:00:00+05:30,106.05,106.15,105.8,106.0,1098771
2015-02-09 15:15:00+05:30,106.0,106.0,103.9,104.4,417031
2015-02-10 09:15:00+05:30,103.5,106.2,103.1,106.0,503940
2015-02-10 09:30:00+05:30,106.0,107.25,105.8,107.2,208515
2015-02-10 09:45:00+05:30,107.2,108.8,107.1,107.5,565471
2015-02-10 10:00:00+05:30,107.4,107.7,107.1,107.5,93961
2015-02-10 10:15:00+05:30,107.5,107.85,107.35,107.55,57679
2015-02-10 10:30:00+05:30,107.5,108.1,107.4,108.0,85297
2015-02-10 10:45:00+05:30,108.0,108.2,107.9,108.2,64983
2015-02-10 11:00:00+05:30,108.15,108.15,107.8,107.85,51566
