date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,98.19,99.4,98.13,98.88,348720
2015-02-02 09:30:00+05:30,98.88,99.29,98.77,98.86,193150
2015-02-02 09:45:00+05:30,98.86,99.25,98.8,99.25,124080
2015-02-02 10:00:00+05:30,99.25,99.7,99.25,99.5,309750
2015-02-02 10:15:00+05:30,99.52,100.94,99.5,100.71,545230
2015-02-02 10:30:00+05:30,100.61,100.87,100.2,100.29,330770
2015-02-02 10:45:00+05:30,100.29,100.45,99.4,99.57,442050
2015-02-02 11:00:00+05:30,99.59,99.97,99.57,99.63,107720
2015-02-02 11:15:00+05:30,99.63,99.93,99.63,99.73,89870
2015-02-02 11:30:00+05:30,99.75,99.76,99.5,99.52,86410
2015-02-02 11:45:00+05:30,99.52,99.57,99.4,99.4,73940
2015-02-02 12:00:00+05:30,99.38,99.97,99.3,99.8,250980
2015-02-02 12:15:00+05:30,99.8,100.11,99.76,99.82,72920
2015-02-02 12:30:00+05:30,99.82,100.25,99.32,99.56,343380
2015-02-02 12:45:00+05:30,99.56,99.68,99.35,99.39,88040
2015-02-02 13:00:00+05:30,99.39,99.43,99.3,99.3,46160
2015-02-02 13:15:00+05:30,99.33,100.0,99.22,99.92,95790
2015-02-02 13:30:00+05:30,99.92,100.11,99.52,99.7,208920
2015-02-02 13:45:00+05:30,99.75,99.87,99.5,99.59,111560
2015-02-02 14:00:00+05:30,99.59,99.75,99.5,99.68,66210
2015-02-02 14:15:00+05:30,99.63,99.7,99.5,99.51,84760
2015-02-02 14:30:00+05:30,99.51,99.62,99.4,99.56,200900
2015-02-02 14:45:00+05:30,99.52,100.0,99.45,99.9,120270
2015-02-02 15:00:00+05:30,99.9,100.0,99.5,99.63,260510
2015-02-02 15:15:00+05:30,99.63,99.99,99.5,99.89,356090
2015-02-03 09:15:00+05:30,100.0,100.17,99.44,99.44,349030
2015-02-03 09:30:00+05:30,99.43,99.6,99.21,99.22,217720
2015-02-03 09:45:00+05:30,99.24,99.4,98.8,99.0,212260
2015-02-03 10:00:00+05:30,99.0,99.42,98.95,99.16,268730
2015-02-03 10:15:00+05:30,99.16,99.21,98.73,99.05,159750
2015-02-03 10:30:00+05:30,99.05,99.35,99.0,99.18,115780
2015-02-03 10:45:00+05:30,99.18,99.75,99.1,99.5,171540
2015-02-03 11:00:00+05:30,99.5,99.62,99.1,99.48,180860
2015-02-03 11:15:00+05:30,99.48,99.48,99.07,99.16,192240
2015-02-03 11:30:00+05:30,99.16,100.58,99.1,99.3,831290
2015-02-03 11:45:00+05:30,99.3,99.46,99.1,99.1,163840
2015-02-03 12:00:00+05:30,99.1,99.22,98.57,98.7,201810
2015-02-03 12:15:00+05:30,98.7,98.72,98.34,98.6,133300
2015-02-03 12:30:00+05:30,98.6,98.8,98.4,98.44,110460
2015-02-03 12:45:00+05:30,98.44,98.8,98.03,98.29,172110
2015-02-03 13:00:00+05:30,98.29,98.6,98.12,98.28,74670
2015-02-03 13:15:00+05:30,98.28,98.38,97.9,97.9,116340
2015-02-03 13:30:00+05:30,97.93,98.58,97.85,98.5,145550
2015-02-03 13:45:00+05:30,98.5,98.6,98.35,98.53,75940
2015-02-03 14:00:00+05:30,98.53,98.79,98.37,98.46,96120
2015-02-03 14:15:00+05:30,98.46,98.96,98.1,98.76,184220
2015-02-03 14:30:00+05:30,98.76,98.76,98.12,98.28,113200
2015-02-03 14:45:00+05:30,98.28,99.2,98.28,98.71,187620
2015-02-03 15:00:00+05:30,98.71,99.0,98.5,98.75,317960
2015-02-03 15:15:00+05:30,98.65,98.7,98.01,98.01,351970
2015-02-04 09:15:00+05:30,98.9,99.9,98.76,99.61,399680
2015-02-04 09:30:00+05:30,99.55,100.04,99.55,99.6,326270
2015-02-04 09:45:00+05:30,99.6,99.99,99.55,99.57,211350
2015-02-04 10:00:00+05:30,99.57,99.97,99.55,99.58,156070
2015-02-04 10:15:00+05:30,99.58,100.17,99.52,100.16,190370
2015-02-04 10:30:00+05:30,100.16,100.73,99.97,100.33,431790
2015-02-04 10:45:00+05:30,100.33,100.51,99.94,100.2,234720
2015-02-04 11:00:00+05:30,100.2,100.58,100.08,100.17,266790
2015-02-04 11:15:00+05:30,100.17,100.37,100.11,100.11,67830
2015-02-04 11:30:00+05:30,100.11,100.2,99.55,99.66,77980
2015-02-04 11:45:00+05:30,99.64,99.8,99.0,99.34,195030
2015-02-04 12:00:00+05:30,99.34,99.59,99.01,99.01,162330
2015-02-04 12:15:00+05:30,99.01,99.47,99.0,99.2,160120
2015-02-04 12:30:00+05:30,99.2,99.2,98.88,99.07,128970
2015-02-04 12:45:00+05:30,99.07,99.48,99.07,99.46,99680
2015-02-04 13:00:00+05:30,99.46,99.91,99.37,99.78,160960
2015-02-04 13:15:00+05:30,99.78,99.83,99.36,99.5,74250
2015-02-04 13:30:00+05:30,99.5,99.96,99.5,99.96,106420
2015-02-04 13:45:00+05:30,99.91,100.14,99.79,99.85,99430
2015-02-04 14:00:00+05:30,99.85,100.25,99.83,100.2,174230
2015-02-04 14:15:00+05:30,100.2,100.33,100.06,100.16,169980
2015-02-04 14:30:00+05:30,100.18,100.43,100.16,100.33,254420
2015-02-04 14:45:00+05:30,100.33,100.38,100.02,100.08,135760
2015-02-04 15:00:00+05:30,100.09,100.27,99.66,99.7,206060
2015-02-04 15:15:00+05:30,99.71,99.73,98.97,99.11,395730
2015-02-05 09:15:00+05:30,99.89,99.9,99.0,99.37,283490
2015-02-05 09:30:00+05:30,99.35,99.61,99.0,99.18,175160
2015-02-05 09:45:00+05:30,99.18,99.3,98.58,98.98,221600
2015-02-05 10:00:00+05:30,98.98,99.59,98.92,99.59,176550
2015-02-05 10:15:00+05:30,99.55,99.6,99.45,99.5,179280
2015-02-05 10:30:00+05:30,99.52,99.6,99.42,99.42,129970
2015-02-05 10:45:00+05:30,99.42,100.0,99.25,99.68,454920
2015-02-05 11:00:00+05:30,99.68,99.93,99.6,99.81,156720
2015-02-05 11:15:00+05:30,99.81,99.9,99.55,99.59,171710
2015-02-05 11:30:00+05:30,99.59,99.59,98.81,98.9,223620
2015-02-05 11:45:00+05:30,98.9,99.17,98.81,98.89,83350
2015-02-05 12:00:00+05:30,98.9,98.95,98.81,98.86,108250
2015-02-05 12:15:00+05:30,98.86,98.91,98.62,98.72,126140
2015-02-05 12:30:00+05:30,98.72,98.95,98.4,98.76,226980
2015-02-05 12:45:00+05:30,98.76,98.95,98.63,98.77,103360
2015-02-05 13:00:00+05:30,98.77,98.99,98.65,98.85,67990
2015-02-05 13:15:00+05:30,98.85,99.49,98.77,98.77,183910
2015-02-05 13:30:00+05:30,98.78,99.0,98.62,98.85,117300
2015-02-05 13:45:00+05:30,98.85,99.0,98.66,98.95,102860
2015-02-05 14:00:00+05:30,98.87,98.9,98.65,98.66,107440
2015-02-05 14:15:00+05:30,98.66,98.8,98.62,98.64,120380
2015-02-05 14:30:00+05:30,98.64,98.75,98.43,98.45,176570
2015-02-05 14:45:00+05:30,98.46,98.64,98.2,98.38,277550
2015-02-05 15:00:00+05:30,98.38,98.38,97.51,97.52,607520
2015-02-05 15:15:00+05:30,97.53,97.53,97.13,97.5,599830
2015-02-06 09:15:00+05:30,97.9,98.47,97.74,97.9,203660
2015-02-06 09:30:00+05:30,97.9,97.9,97.03,97.43,232430
2015-02-06 09:45:00+05:30,97.4,97.46,96.8,96.93,158010
2015-02-06 10:00:00+05:30,96.91,97.0,96.22,96.6,353520
2015-02-06 10:15:00+05:30,96.6,96.76,96.4,96.58,310150
2015-02-06 10:30:00+05:30,96.58,96.78,96.4,96.68,198030
2015-02-06 10:45:00+05:30,96.71,96.74,95.8,96.4,587300
2015-02-06 11:00:00+05:30,96.4,96.6,96.4,96.5,79920
2015-02-06 11:15:00+05:30,96.5,96.62,96.4,96.5,121130
2015-02-06 11:30:00+05:30,96.5,97.35,96.4,97.0,250490
2015-02-06 11:45:00+05:30,97.0,97.0,96.61,96.95,69260
2015-02-06 12:00:00+05:30,96.95,97.2,96.61,96.92,125040
2015-02-06 12:15:00+05:30,96.92,97.2,96.8,97.01,131660
2015-02-06 12:30:00+05:30,97.0,97.2,96.63,96.78,181750
2015-02-06 12:45:00+05:30,96.78,96.96,96.66,96.71,38330
2015-02-06 13:00:00+05:30,96.71,96.88,96.5,96.6,372970
2015-02-06 13:15:00+05:30,96.6,96.72,96.5,96.58,62720
2015-02-06 13:30:00+05:30,96.6,96.72,96.5,96.55,81490
2015-02-06 13:45:00+05:30,96.55,96.9,96.55,96.7,34660
2015-02-06 14:00:00+05:30,96.7,96.72,96.5,96.51,48470
2015-02-06 14:15:00+05:30,96.5,96.54,96.15,96.22,97330
2015-02-06 14:30:00+05:30,96.22,96.3,96.0,96.22,137990
2015-02-06 14:45:00+05:30,96.1,96.4,96.1,96.15,46880
2015-02-06 15:00:00+05:30,96.2,96.2,96.0,96.0,409090
2015-02-06 15:15:00+05:30,96.0,96.39,96.0,96.0,384220
2015-02-09 09:15:00+05:30,95.4,95.4,93.82,93.84,746400
2015-02-09 09:30:00+05:30,93.51,94.23,92.21,93.2,1124510
2015-02-09 09:45:00+05:30,93.2,93.8,93.01,93.41,673150
2015-02-09 10:00:00+05:30,93.41,94.97,93.1,94.29,560390
2015-02-09 10:15:00+05:30,94.29,94.88,94.1,94.78,168880
2015-02-09 10:30:00+05:30,94.78,94.88,94.1,94.35,521150
2015-02-09 10:45:00+05:30,94.35,94.9,94.27,94.42,186660
2015-02-09 11:00:00+05:30,94.42,94.57,93.83,93.83,113590
2015-02-09 11:15:00+05:30,93.83,93.99,93.8,93.91,116360
2015-02-09 11:30:00+05:30,93.91,93.99,93.78,93.8,132310
2015-02-09 11:45:00+05:30,93.8,93.92,93.79,93.8,120510
2015-02-09 12:00:00+05:30,93.82,93.88,93.71,93.72,100980
2015-02-09 12:15:00+05:30,93.72,93.89,93.65,93.87,147230
2015-02-09 12:30:00+05:30,93.87,93.87,93.63,93.7,184610
2015-02-09 12:45:00+05:30,93.7,94.25,93.6,93.8,252950
2015-02-09 13:00:00+05:30,93.8,93.95,93.63,93.93,197620
2015-02-09 13:15:00+05:30,93.93,93.99,93.72,93.8,125260
2015-02-09 13:30:00+05:30,93.8,93.83,93.5,93.66,174420
2015-02-09 13:45:00+05:30,93.66,93.9,93.5,93.5,176220
2015-02-09 14:00:00+05:30,93.5,93.7,93.45,93.5,120580
2015-02-09 14:15:00+05:30,93.48,94.04,93.36,93.9,204380
2015-02-09 14:30:00+05:30,93.9,94.15,93.6,93.95,178000
2015-02-09 14:45:00+05:30,93.95,94.63,93.81,94.3,261150
2015-02-09 15:00:00+05:30,94.3,94.37,93.24,93.66,309620
2015-02-09 15:15:00+05:30,93.68,93.79,93.45,93.6,312800
2015-02-10 09:15:00+05:30,93.36,94.58,92.74,94.46,511050
2015-02-10 09:30:00+05:30,94.46,96.17,94.14,95.44,394210
2015-02-10 09:45:00+05:30,95.44,95.44,94.66,94.66,112880
2015-02-10 10:00:00+05:30,94.66,95.3,94.54,94.6,106410
2015-02-10 10:15:00+05:30,94.6,94.8,94.34,94.59,92330
2015-02-10 10:30:00+05:30,94.59,94.9,94.5,94.68,92560
2015-02-10 10:45:00+05:30,94.7,94.76,94.42,94.64,59710
2015-02-10 11:00:00+05:30,94.68,94.85,94.43,94.55,88930
2015-02-10 11:15:00+05:30,94.55,95.16,94.54,94.7,156620
2015-02-10 11:30:00+05:30,94.7,94.73,94.52,94.56,47630
2015-02-10 11:45:00+05:30,94.56,95.15,94.41,94.59,248010
2015-02-10 12:00:00+05:30,94.57,94.82,94.14,94.16,395840
2015-02-10 12:15:00+05:30,94.16,94.92,94.16,94.59,182710
2015-02-10 12:30:00+05:30,94.59,94.67,94.4,94.55,76950
2015-02-10 12:45:00+05:30,94.55,95.15,94.46,94.5,127100
2015-02-10 13:00:00+05:30,94.5,94.63,94.3,94.36,74500
2015-02-10 13:15:00+05:30,94.36,94.47,94.31,94.43,87900
2015-02-10 13:30:00+05:30,94.43,94.48,94.2,94.2,95270
2015-02-10 13:45:00+05:30,94.2,94.4,93.65,93.67,102490
2015-02-10 14:00:00+05:30,93.67,93.83,93.48,93.5,246620
2015-02-10 14:15:00+05:30,93.66,93.73,93.48,93.68,89850
2015-02-10 14:30:00+05:30,93.62,93.98,93.62,93.86,72560
2015-02-10 14:45:00+05:30,93.82,94.3,93.82,94.05,84220
2015-02-10 15:00:00+05:30,94.0,94.45,93.69,93.71,326280
2015-02-10 15:15:00+05:30,93.7,94.06,93.56,93.71,451940
2015-02-11 09:15:00+05:30,93.8,94.9,93.71,94.52,165690
2015-02-11 09:30:00+05:30,94.52,94.52,93.69,94.39,142740
2015-02-11 09:45:00+05:30,94.38,94.38,93.8,93.95,121670
2015-02-11 10:00:00+05:30,93.97,94.23,93.9,94.16,59130
2015-02-11 10:15:00+05:30,94.16,94.6,93.95,94.15,77510
2015-02-11 10:30:00+05:30,94.15,94.38,94.1,94.13,30250
2015-02-11 10:45:00+05:30,94.13,94.4,94.08,94.26,39280
2015-02-11 11:00:00+05:30,94.26,94.58,93.96,94.17,124330
2015-02-11 11:15:00+05:30,94.17,94.3,94.13,94.13,20210
2015-02-11 11:30:00+05:30,94.13,94.58,94.11,94.33,121350
2015-02-11 11:45:00+05:30,94.33,94.6,94.26,94.52,41670
2015-02-11 12:00:00+05:30,94.58,95.09,94.55,95.0,221030
2015-02-11 12:15:00+05:30,95.0,95.1,94.53,95.1,251570
2015-02-11 12:30:00+05:30,95.1,95.6,95.07,95.43,281550
2015-02-11 12:45:00+05:30,95.43,95.5,95.18,95.45,142730
2015-02-11 13:00:00+05:30,95.45,96.89,95.45,96.86,439470
2015-02-11 13:15:00+05:30,96.86,98.14,96.75,97.72,406200
2015-02-11 13:30:00+05:30,97.71,97.8,96.62,97.12,207550
2015-02-11 13:45:00+05:30,97.1,97.74,97.07,97.61,195690
2015-02-11 14:00:00+05:30,97.61,98.38,97.41,98.07,289370
2015-02-11 14:15:00+05:30,98.07,98.7,97.99,98.65,322860
2015-02-11 14:30:00+05:30,98.65,98.98,98.25,98.36,304600
2015-02-11 14:45:00+05:30,98.36,98.55,98.03,98.17,244620
2015-02-11 15:00:00+05:30,98.17,98.24,97.63,97.72,348950
2015-02-11 15:15:00+05:30,97.73,98.08,97.5,98.08,366810
2015-02-12 09:15:00+05:30,98.11,98.6,97.93,97.93,270820
2015-02-12 09:30:00+05:30,97.92,97.96,97.18,97.45,226580
2015-02-12 09:45:00+05:30,97.45,97.8,97.11,97.6,180580
2015-02-12 10:00:00+05:30,97.6,98.44,96.8,97.14,455120
2015-02-12 10:15:00+05:30,97.14,97.35,96.5,96.92,171200
2015-02-12 10:30:00+05:30,96.92,97.3,96.7,96.99,191320
2015-02-12 10:45:00+05:30,96.99,97.2,96.91,97.1,57420
2015-02-12 11:00:00+05:30,97.1,97.55,96.2,96.4,579720
2015-02-12 11:15:00+05:30,96.4,97.02,96.4,96.6,294630
2015-02-12 11:30:00+05:30,96.6,96.75,96.36,96.65,59100
2015-02-12 11:45:00+05:30,96.65,96.77,96.49,96.76,41940
2015-02-12 12:00:00+05:30,96.76,96.79,96.53,96.72,47600
2015-02-12 12:15:00+05:30,96.72,96.78,96.6,96.65,27710
2015-02-12 12:30:00+05:30,96.65,96.7,96.3,96.45,134920
2015-02-12 12:45:00+05:30,96.45,96.48,96.33,96.44,24660
2015-02-12 13:00:00+05:30,96.44,96.58,96.34,96.48,17230
2015-02-12 13:15:00+05:30,96.48,96.99,96.45,96.58,68790
2015-02-12 13:30:00+05:30,96.58,96.75,96.54,96.75,43150
2015-02-12 13:45:00+05:30,96.71,97.11,96.6,96.7,158060
2015-02-12 14:00:00+05:30,96.7,96.9,96.61,96.66,46170
2015-02-12 14:15:00+05:30,96.66,96.9,96.6,96.85,70880
2015-02-12 14:30:00+05:30,96.85,97.16,96.8,97.1,106580
2015-02-12 14:45:00+05:30,97.1,97.2,96.61,96.86,118330
2015-02-12 15:00:00+05:30,96.92,97.0,96.58,97.0,355560
2015-02-12 15:15:00+05:30,96.88,98.0,96.56,97.8,1121680
2015-02-13 09:15:00+05:30,98.05,99.13,97.63,97.96,671360
2015-02-13 09:30:00+05:30,97.96,98.16,97.6,97.97,406490
2015-02-13 09:45:00+05:30,98.0,98.87,97.81,98.24,546350
2015-02-13 10:00:00+05:30,98.24,98.42,97.63,97.86,200130
