date,open,high,low,close,volume
2021-03-26 09:15:00+05:30,47.85,47.85,47.85,47.85,0
2021-03-26 09:30:00+05:30,73.95,73.95,73.95,73.95,0
2021-03-26 09:45:00+05:30,73.95,73.95,73.95,73.95,0
2021-03-26 10:00:00+05:30,73.25,80.8,73.25,79.4,19525671
2021-03-26 10:15:00+05:30,79.2,81.0,78.3,78.75,5568597
2021-03-26 10:30:00+05:30,78.65,79.75,77.65,78.2,2136466
2021-03-26 10:45:00+05:30,78.3,78.8,77.8,78.2,982830
2021-03-26 11:00:00+05:30,78.1,78.25,77.3,78.05,1066828
2021-03-26 11:15:00+05:30,78.0,78.5,77.8,78.0,774218
2021-03-26 11:30:00+05:30,78.0,78.0,76.5,77.3,1263057
2021-03-26 11:45:00+05:30,77.25,78.2,75.95,75.95,1313414
2021-03-26 12:00:00+05:30,75.95,76.45,75.35,76.25,1476521
2021-03-26 12:15:00+05:30,76.25,76.95,76.1,76.45,924001
2021-03-26 12:30:00+05:30,76.45,76.6,76.1,76.2,442074
2021-03-26 12:45:00+05:30,76.25,76.8,76.15,76.35,435658
2021-03-26 13:00:00+05:30,76.35,76.75,76.1,76.65,389122
2021-03-26 13:15:00+05:30,76.6,76.65,75.65,76.25,584257
2021-03-26 13:30:00+05:30,76.25,76.3,76.0,76.25,267155
2021-03-26 13:45:00+05:30,76.25,78.2,76.0,77.15,889786
2021-03-26 14:00:00+05:30,77.15,77.9,76.6,76.75,630046
2021-03-26 14:15:00+05:30,76.75,76.85,76.1,76.7,452548
2021-03-26 14:30:00+05:30,76.7,77.45,76.5,76.75,637068
2021-03-26 14:45:00+05:30,76.75,77.05,76.5,76.6,438600
2021-03-26 15:00:00+05:30,76.6,76.65,75.6,75.8,1139583
2021-03-26 15:15:00+05:30,75.75,75.85,74.05,74.35,2496638
2021-03-30 09:15:00+05:30,75.95,77.85,75.25,75.9,1540885
2021-03-30 09:30:00+05:30,75.85,75.85,73.05,73.9,1121029
2021-03-30 09:45:00+05:30,73.85,74.7,73.7,74.55,446959
2021-03-30 10:00:00+05:30,74.55,76.25,74.5,74.75,696918
2021-03-30 10:15:00+05:30,74.8,76.05,74.75,75.7,415861
2021-03-30 10:30:00+05:30,75.7,75.9,75.5,75.6,200098
2021-03-30 10:45:00+05:30,75.6,75.6,75.2,75.35,193128
2021-03-30 11:00:00+05:30,75.35,75.35,74.5,74.55,223043
2021-03-30 11:15:00+05:30,74.55,74.8,74.0,74.3,338610
2021-03-30 11:30:00+05:30,74.3,74.35,73.8,74.0,334044
2021-03-30 11:45:00+05:30,74.0,74.4,73.75,74.05,155396
