date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,57.45,58.3,57.45,57.75,19609
2015-02-02 09:30:00+05:30,57.8,59.0,57.6,58.0,26574
2015-02-02 09:45:00+05:30,58.0,58.7,58.0,58.6,6842
2015-02-02 10:00:00+05:30,58.6,58.65,57.9,58.3,13505
2015-02-02 10:15:00+05:30,58.3,58.35,58.0,58.05,12188
2015-02-02 10:30:00+05:30,58.05,58.25,58.0,58.15,7444
2015-02-02 10:45:00+05:30,58.25,58.25,58.15,58.25,6209
2015-02-02 11:00:00+05:30,58.25,58.8,58.1,58.4,14105
2015-02-02 11:15:00+05:30,58.35,58.5,58.25,58.3,3711
2015-02-02 11:30:00+05:30,58.3,58.55,58.2,58.5,5084
2015-02-02 11:45:00+05:30,58.5,58.55,58.15,58.2,9865
2015-02-02 12:00:00+05:30,58.2,59.1,58.2,59.1,18549
2015-02-02 12:15:00+05:30,59.1,60.0,58.9,59.0,68460
2015-02-02 12:30:00+05:30,59.0,59.3,58.8,59.2,10384
2015-02-02 12:45:00+05:30,59.2,59.3,59.2,59.2,5480
2015-02-02 13:00:00+05:30,59.2,60.0,59.1,60.0,44576
2015-02-02 13:15:00+05:30,60.0,61.2,59.75,60.85,151834
2015-02-02 13:30:00+05:30,60.85,61.15,60.0,60.05,65838
2015-02-02 13:45:00+05:30,60.05,60.35,60.05,60.2,11582
2015-02-02 14:00:00+05:30,60.2,60.4,60.0,60.1,9628
2015-02-02 14:15:00+05:30,60.1,60.1,59.75,59.75,5666
2015-02-02 14:30:00+05:30,59.75,59.95,59.6,59.75,12895
2015-02-02 14:45:00+05:30,59.75,59.8,59.25,59.75,16718
2015-02-02 15:00:00+05:30,59.8,60.6,59.8,60.3,39617
2015-02-02 15:15:00+05:30,60.25,60.4,59.9,60.3,69401
2015-02-03 09:15:00+05:30,60.3,61.7,60.3,60.7,64536
2015-02-03 09:30:00+05:30,60.7,61.1,60.7,61.1,18770
2015-02-03 09:45:00+05:30,61.1,61.1,60.3,60.4,12208
2015-02-03 10:00:00+05:30,60.4,60.4,59.5,59.7,20843
2015-02-03 10:15:00+05:30,59.7,59.75,59.5,59.55,5565
2015-02-03 10:30:00+05:30,59.55,60.0,59.55,59.75,2504
2015-02-03 10:45:00+05:30,59.6,59.65,59.3,59.5,26849
2015-02-03 11:00:00+05:30,59.5,59.5,59.2,59.5,10200
2015-02-03 11:15:00+05:30,59.5,59.55,59.3,59.55,16103
2015-02-03 11:30:00+05:30,59.55,59.9,59.55,59.9,3107
2015-02-03 11:45:00+05:30,59.9,60.1,59.55,59.9,18823
2015-02-03 12:00:00+05:30,59.8,59.8,59.45,59.5,13254
2015-02-03 12:15:00+05:30,59.5,59.5,59.45,59.5,6306
2015-02-03 12:30:00+05:30,59.5,59.5,59.45,59.5,5666
2015-02-03 12:45:00+05:30,59.5,59.9,59.45,59.9,4440
2015-02-03 13:00:00+05:30,59.9,59.95,59.75,59.75,1346
2015-02-03 13:15:00+05:30,59.75,59.85,59.6,59.7,4638
2015-02-03 13:30:00+05:30,59.7,59.9,59.65,59.9,1374
2015-02-03 13:45:00+05:30,59.9,60.7,59.9,60.3,10045
2015-02-03 14:00:00+05:30,60.3,60.75,60.3,60.6,11514
2015-02-03 14:15:00+05:30,60.6,60.6,60.2,60.2,12096
2015-02-03 14:30:00+05:30,60.2,60.2,60.05,60.05,3914
2015-02-03 14:45:00+05:30,60.05,60.2,60.05,60.15,7884
2015-02-03 15:00:00+05:30,60.15,60.2,59.4,59.45,18237
2015-02-03 15:15:00+05:30,59.45,59.5,59.0,59.0,27531
2015-02-04 09:15:00+05:30,59.75,61.35,59.75,60.95,61441
2015-02-04 09:30:00+05:30,60.95,61.0,60.0,60.15,13986
2015-02-04 09:45:00+05:30,60.15,60.35,60.0,60.05,12795
2015-02-04 10:00:00+05:30,60.05,60.5,60.05,60.3,8734
2015-02-04 10:15:00+05:30,60.25,60.4,60.0,60.4,12250
2015-02-04 10:30:00+05:30,60.4,60.4,60.1,60.2,5467
2015-02-04 10:45:00+05:30,60.3,60.3,59.95,60.0,12815
2015-02-04 11:00:00+05:30,60.0,60.9,60.0,60.85,12991
2015-02-04 11:15:00+05:30,60.85,60.95,60.25,60.35,17803
2015-02-04 11:30:00+05:30,60.35,60.35,59.95,60.0,4894
2015-02-04 11:45:00+05:30,60.0,60.35,60.0,60.0,2355
2015-02-04 12:00:00+05:30,60.0,60.4,59.9,60.25,9392
2015-02-04 12:15:00+05:30,60.25,60.4,60.2,60.4,2019
2015-02-04 12:30:00+05:30,60.25,60.4,60.25,60.25,577
2015-02-04 12:45:00+05:30,60.25,60.3,60.1,60.25,915
2015-02-04 13:00:00+05:30,60.25,60.6,60.1,60.4,4500
2015-02-04 13:15:00+05:30,60.4,60.6,60.4,60.5,4672
2015-02-04 13:30:00+05:30,60.5,60.6,60.35,60.45,6469
2015-02-04 13:45:00+05:30,60.45,60.45,60.35,60.4,975
2015-02-04 14:00:00+05:30,60.4,60.4,60.2,60.3,7131
