date,open,high,low,close,volume
2022-05-17 09:30:00+05:30,872.0,872.0,872.0,872.0,3759243
2022-05-17 09:45:00+05:30,872.0,872.0,872.0,872.0,0
2022-05-17 10:00:00+05:30,862.0,918.1,862.0,902.15,17686580
2022-05-17 10:15:00+05:30,902.3,905.0,900.0,903.35,2375101
2022-05-17 10:30:00+05:30,903.5,903.7,896.1,898.95,2299316
2022-05-17 10:45:00+05:30,899.0,903.0,897.8,898.2,1082937
2022-05-17 11:00:00+05:30,898.15,898.75,877.6,881.25,4332736
2022-05-17 11:15:00+05:30,881.5,890.0,876.1,888.7,1588594
2022-05-17 11:30:00+05:30,888.7,888.9,884.1,887.45,686117
2022-05-17 11:45:00+05:30,887.35,894.75,887.2,893.1,1027060
2022-05-17 12:00:00+05:30,893.05,896.9,890.0,890.7,709235
2022-05-17 12:15:00+05:30,890.55,891.65,886.3,888.85,594521
2022-05-17 12:30:00+05:30,888.55,889.7,885.4,888.0,447013
2022-05-17 12:45:00+05:30,888.2,888.8,883.0,886.6,550130
2022-05-17 13:00:00+05:30,886.1,886.8,880.7,882.85,583911
2022-05-17 13:15:00+05:30,882.85,884.95,882.0,882.65,412551
2022-05-17 13:30:00+05:30,882.4,882.5,874.0,876.0,1572901
2022-05-17 13:45:00+05:30,876.0,883.7,875.55,879.8,1069036
2022-05-17 14:00:00+05:30,880.0,883.65,878.0,881.0,740331
2022-05-17 14:15:00+05:30,881.0,887.9,878.7,880.0,827583
2022-05-17 14:30:00+05:30,880.0,880.0,874.0,878.25,1023061
2022-05-17 14:45:00+05:30,877.85,878.25,872.55,875.65,1089889
2022-05-17 15:00:00+05:30,875.7,883.0,875.0,875.5,1337456
2022-05-17 15:15:00+05:30,875.5,875.5,872.0,873.0,2282995
2022-05-18 09:15:00+05:30,885.55,889.9,880.0,887.05,2281061
2022-05-18 09:30:00+05:30,887.05,890.45,883.15,883.65,881220
2022-05-18 09:45:00+05:30,883.65,885.95,880.05,884.2,591933
2022-05-18 10:00:00+05:30,884.35,884.6,877.1,881.1,622630
2022-05-18 10:15:00+05:30,881.1,881.25,879.05,880.75,412436
2022-05-18 10:30:00+05:30,880.35,882.45,880.35,881.9,210752
2022-05-18 10:45:00+05:30,881.75,882.0,880.05,880.65,155092
2022-05-18 11:00:00+05:30,880.65,885.95,880.3,882.8,353248
2022-05-18 11:15:00+05:30,882.8,882.95,881.0,882.2,122170
2022-05-18 11:30:00+05:30,882.2,882.35,880.3,880.8,106546
2022-05-18 11:45:00+05:30,880.9,882.3,880.2,882.25,110786
2022-05-18 12:00:00+05:30,882.25,882.3,880.1,880.75,91811
2022-05-18 12:15:00+05:30,880.75,881.0,876.25,877.8,446094
2022-05-18 12:30:00+05:30,877.55,879.5,876.05,879.0,192488
2022-05-18 12:45:00+05:30,878.95,879.9,877.1,879.8,165852
2022-05-18 13:00:00+05:30,879.8,879.8,878.0,879.2,80987
2022-05-18 13:15:00+05:30,879.2,880.0,878.05,878.75,98959
2022-05-18 13:30:00+05:30,878.25,880.95,878.25,880.25,126189
2022-05-18 13:45:00+05:30,880.15,880.4,879.0,879.6,76434
2022-05-18 14:00:00+05:30,879.5,880.1,879.0,879.05,111659
2022-05-18 14:15:00+05:30,879.05,879.75,877.5,879.55,131959
2022-05-18 14:30:00+05:30,879.5,882.5,878.1,881.85,228815
2022-05-18 14:45:00+05:30,881.85,881.95,879.05,879.3,116996
2022-05-18 15:00:00+05:30,879.4,879.45,876.4,877.15,314428
2022-05-18 15:15:00+05:30,877.15,877.15,874.4,874.9,780673
2022-05-19 09:15:00+05:30,867.0,867.0,856.0,862.4,874195
2022-05-19 09:30:00+05:30,862.05,864.4,858.1,858.6,368420
2022-05-19 09:45:00+05:30,858.6,861.9,856.5,861.35,304928
2022-05-19 10:00:00+05:30,861.0,862.75,859.2,862.5,192524
2022-05-19 10:15:00+05:30,862.35,864.4,859.25,860.55,212199
2022-05-19 10:30:00+05:30,860.75,863.0,860.2,860.7,132462
2022-05-19 10:45:00+05:30,860.35,863.0,860.25,862.55,113338
2022-05-19 11:00:00+05:30,862.5,862.6,860.1,860.95,88167
2022-05-19 11:15:00+05:30,860.95,861.0,857.2,857.65,213230
2022-05-19 11:30:00+05:30,857.6,858.0,856.0,857.5,213987
2022-05-19 11:45:00+05:30,857.05,857.95,856.6,857.1,97241
2022-05-19 12:00:00+05:30,857.1,858.85,857.05,857.45,87034
2022-05-19 12:15:00+05:30,857.4,857.7,853.3,854.6,341191
2022-05-19 12:30:00+05:30,854.6,854.6,850.6,852.5,394508
2022-05-19 12:45:00+05:30,852.5,852.6,850.0,850.75,354272
2022-05-19 13:00:00+05:30,850.75,851.0,845.5,846.2,529470
2022-05-19 13:15:00+05:30,846.25,848.75,846.15,848.4,188971
2022-05-19 13:30:00+05:30,848.4,849.8,843.5,846.45,392206
2022-05-19 13:45:00+05:30,846.45,846.75,844.0,845.0,196110
2022-05-19 14:00:00+05:30,845.0,845.95,842.65,843.05,232523
2022-05-19 14:15:00+05:30,843.45,844.6,841.4,841.45,241131
2022-05-19 14:30:00+05:30,841.5,842.5,838.0,839.15,488244
2022-05-19 14:45:00+05:30,839.25,842.5,839.0,841.6,243775
2022-05-19 15:00:00+05:30,841.6,842.1,839.5,840.45,282263
2022-05-19 15:15:00+05:30,840.5,842.0,839.5,840.4,513395
2022-05-20 09:15:00+05:30,848.55,856.75,847.25,851.85,665088
2022-05-20 09:30:00+05:30,851.55,853.0,850.0,850.1,291855
2022-05-20 09:45:00+05:30,850.1,850.45,843.4,845.6,428971
2022-05-20 10:00:00+05:30,845.1,848.45,845.0,848.05,200397
2022-05-20 10:15:00+05:30,848.3,848.5,845.15,847.85,132768
2022-05-20 10:30:00+05:30,847.9,848.4,845.0,846.6,109338
2022-05-20 10:45:00+05:30,846.6,846.85,845.2,846.0,82379
2022-05-20 11:00:00+05:30,846.0,846.45,841.1,841.9,268078
2022-05-20 11:15:00+05:30,842.0,842.0,835.35,838.55,459145
2022-05-20 11:30:00+05:30,838.55,839.0,835.2,835.5,292466
2022-05-20 11:45:00+05:30,835.5,836.25,831.0,831.5,441949
2022-05-20 12:00:00+05:30,831.5,835.55,827.4,834.8,577562
2022-05-20 12:15:00+05:30,834.55,836.6,829.35,832.55,314867
2022-05-20 12:30:00+05:30,832.65,832.85,830.0,832.25,141051
2022-05-20 12:45:00+05:30,832.25,833.9,831.05,832.4,130773
2022-05-20 13:00:00+05:30,832.05,832.4,828.65,829.55,211181
2022-05-20 13:15:00+05:30,829.9,832.8,829.0,831.25,158537
2022-05-20 13:30:00+05:30,831.7,831.7,829.2,829.3,127863
2022-05-20 13:45:00+05:30,829.2,830.45,829.1,830.1,106226
2022-05-20 14:00:00+05:30,830.05,832.45,829.5,830.75,126955
2022-05-20 14:15:00+05:30,831.0,831.35,830.0,830.8,99321
2022-05-20 14:30:00+05:30,830.6,830.8,826.5,826.5,320197
2022-05-20 14:45:00+05:30,826.25,829.85,826.25,828.15,283421
2022-05-20 15:00:00+05:30,828.05,828.7,826.15,826.35,325342
2022-05-20 15:15:00+05:30,826.5,827.0,825.0,825.5,736110
2022-05-23 09:15:00+05:30,826.15,827.95,804.6,809.05,1251655
2022-05-23 09:30:00+05:30,809.4,814.95,808.0,813.25,568493
2022-05-23 09:45:00+05:30,814.15,814.5,809.15,814.1,354622
2022-05-23 10:00:00+05:30,813.8,814.3,811.5,813.05,207480
2022-05-23 10:15:00+05:30,812.75,818.7,811.6,814.9,321489
2022-05-23 10:30:00+05:30,814.85,825.3,814.5,822.85,591742
2022-05-23 10:45:00+05:30,822.9,842.2,822.85,836.5,1381464
2022-05-23 11:00:00+05:30,836.55,849.35,833.6,846.9,1340585
2022-05-23 11:15:00+05:30,846.9,850.0,842.05,847.0,911342
2022-05-23 11:30:00+05:30,847.0,852.7,846.05,846.75,740052
2022-05-23 11:45:00+05:30,846.75,848.7,838.0,840.4,581315
2022-05-23 12:00:00+05:30,840.5,843.5,834.1,836.3,476981
2022-05-23 12:15:00+05:30,836.3,839.85,833.15,836.2,320507
2022-05-23 12:30:00+05:30,836.0,836.4,826.3,828.0,488737
2022-05-23 12:45:00+05:30,827.95,833.95,826.6,832.4,308199
