date,open,high,low,close,volume
2015-02-03 09:15:00+05:30,66.3,66.3,65.45,65.5,433813
2015-02-03 09:30:00+05:30,65.45,66.1,65.4,65.55,301533
2015-02-03 09:45:00+05:30,65.5,65.55,65.3,65.35,164271
2015-02-03 10:00:00+05:30,65.35,65.45,65.2,65.25,142581
2015-02-03 10:15:00+05:30,65.25,65.3,64.9,65.1,177554
2015-02-03 10:30:00+05:30,65.1,65.35,65.1,65.25,68897
2015-02-03 10:45:00+05:30,65.25,65.25,65.0,65.05,124639
2015-02-03 11:00:00+05:30,65.05,65.5,64.8,65.4,298611
2015-02-03 11:15:00+05:30,65.4,65.45,65.1,65.1,91144
2015-02-03 11:30:00+05:30,65.1,65.1,64.75,64.8,114983
2015-02-03 11:45:00+05:30,64.8,64.85,64.15,64.2,414518
2015-02-03 12:00:00+05:30,64.2,64.5,64.1,64.4,152306
2015-02-03 12:15:00+05:30,64.4,64.65,64.15,64.35,101704
2015-02-03 12:30:00+05:30,64.35,64.6,64.3,64.35,130860
2015-02-03 12:45:00+05:30,64.35,64.4,64.2,64.3,65445
2015-02-03 13:00:00+05:30,64.3,64.35,64.2,64.25,37012
2015-02-03 13:15:00+05:30,64.25,64.3,64.15,64.3,60046
2015-02-03 13:30:00+05:30,64.3,64.7,64.25,64.55,98919
2015-02-03 13:45:00+05:30,64.6,64.85,64.55,64.7,203209
2015-02-03 14:00:00+05:30,64.7,64.85,64.5,64.75,161680
2015-02-03 14:15:00+05:30,64.75,64.85,64.45,64.6,108697
2015-02-03 14:30:00+05:30,64.6,64.75,64.3,64.35,128288
2015-02-03 14:45:00+05:30,64.35,64.75,64.25,64.55,175964
2015-02-03 15:00:00+05:30,64.55,64.65,64.2,64.25,163014
2015-02-03 15:15:00+05:30,64.25,64.3,63.9,64.1,443411
2015-02-04 09:15:00+05:30,64.45,64.6,64.0,64.2,201842
2015-02-04 09:30:00+05:30,64.1,64.2,63.3,63.4,321486
2015-02-04 09:45:00+05:30,63.4,63.75,63.2,63.5,271353
2015-02-04 10:00:00+05:30,63.5,63.55,63.15,63.2,148837
2015-02-04 10:15:00+05:30,63.25,63.55,63.15,63.5,140992
2015-02-04 10:30:00+05:30,63.5,63.6,63.4,63.4,59307
2015-02-04 10:45:00+05:30,63.4,63.7,63.35,63.55,61304
2015-02-04 11:00:00+05:30,63.55,63.85,63.55,63.75,125614
2015-02-04 11:15:00+05:30,63.7,63.85,63.6,63.75,75138
2015-02-04 11:30:00+05:30,63.75,63.85,63.7,63.7,57724
2015-02-04 11:45:00+05:30,63.75,63.75,63.7,63.75,15184
2015-02-04 12:00:00+05:30,63.75,63.95,63.7,63.85,85774
2015-02-04 12:15:00+05:30,63.85,63.9,63.6,63.7,74932
2015-02-04 12:30:00+05:30,63.7,63.75,63.6,63.6,42731
2015-02-04 12:45:00+05:30,63.6,63.85,63.55,63.85,81286
2015-02-04 13:00:00+05:30,63.85,64.4,63.7,64.3,274542
2015-02-04 13:15:00+05:30,64.3,64.3,63.85,63.95,89803
2015-02-04 13:30:00+05:30,63.95,64.1,63.85,64.0,28330
2015-02-04 13:45:00+05:30,64.0,64.1,63.85,64.05,90226
2015-02-04 14:00:00+05:30,64.0,64.15,63.95,64.0,80384
2015-02-04 14:15:00+05:30,64.0,64.1,63.95,64.05,60821
2015-02-04 14:30:00+05:30,64.05,64.2,64.0,64.05,118061
2015-02-04 14:45:00+05:30,64.05,64.15,63.65,63.75,119189
2015-02-04 15:00:00+05:30,63.7,63.75,63.45,63.55,150011
2015-02-04 15:15:00+05:30,63.55,63.55,63.25,63.4,231587
2015-02-05 09:15:00+05:30,63.7,63.8,63.35,63.55,230746
2015-02-05 09:30:00+05:30,63.6,63.75,63.55,63.7,75881
2015-02-05 09:45:00+05:30,63.7,63.75,63.5,63.55,61919
2015-02-05 10:00:00+05:30,63.55,63.7,63.55,63.6,81654
2015-02-05 10:15:00+05:30,63.6,63.9,63.55,63.55,126932
2015-02-05 10:30:00+05:30,63.55,63.65,63.5,63.55,80233
2015-02-05 10:45:00+05:30,63.55,63.55,63.15,63.25,165427
2015-02-05 11:00:00+05:30,63.25,63.45,63.2,63.45,44866
2015-02-05 11:15:00+05:30,63.45,63.55,63.4,63.45,31579
2015-02-05 11:30:00+05:30,63.45,63.45,63.05,63.1,93007
2015-02-05 11:45:00+05:30,63.15,63.2,63.0,63.1,47932
2015-02-05 12:00:00+05:30,63.1,63.25,63.1,63.25,43399
2015-02-05 12:15:00+05:30,63.25,63.3,63.1,63.25,44503
2015-02-05 12:30:00+05:30,63.25,63.3,63.1,63.2,45984
2015-02-05 12:45:00+05:30,63.2,63.35,63.15,63.2,21163
2015-02-05 13:00:00+05:30,63.2,63.35,63.1,63.35,50765
2015-02-05 13:15:00+05:30,63.25,63.45,63.25,63.3,54305
2015-02-05 13:30:00+05:30,63.3,63.35,63.15,63.3,47314
2015-02-05 13:45:00+05:30,63.3,63.3,63.2,63.3,40782
2015-02-05 14:00:00+05:30,63.3,63.4,63.25,63.3,74428
2015-02-05 14:15:00+05:30,63.3,63.35,63.2,63.25,51318
2015-02-05 14:30:00+05:30,63.25,63.25,62.9,62.9,114140
