date,open,high,low,close,volume
2020-10-12 09:15:00+05:30,72.5,72.5,72.5,72.5,0
2020-10-12 09:30:00+05:30,107.45,107.45,107.45,107.45,0
2020-10-12 09:45:00+05:30,107.45,107.45,107.45,107.45,0
2020-10-12 10:00:00+05:30,105.6,108.2,89.3,94.2,27080474
2020-10-12 10:15:00+05:30,94.2,96.9,93.75,94.5,5904198
2020-10-12 10:30:00+05:30,94.5,95.2,93.3,94.8,3717750
2020-10-12 10:45:00+05:30,94.8,95.9,93.75,95.25,2165380
2020-10-12 11:00:00+05:30,95.2,96.3,94.05,95.2,2634094
2020-10-12 11:15:00+05:30,95.1,95.75,94.55,94.6,1119178
2020-10-12 11:30:00+05:30,94.6,95.25,93.7,93.9,1525270
2020-10-12 11:45:00+05:30,93.9,94.0,90.8,91.35,3635338
2020-10-12 12:00:00+05:30,91.3,91.95,87.0,87.75,6472392
2020-10-12 12:15:00+05:30,87.7,88.9,86.65,88.8,2761732
2020-10-12 12:30:00+05:30,88.8,89.7,88.7,89.1,1670348
2020-10-12 12:45:00+05:30,89.1,89.6,89.05,89.15,831536
2020-10-12 13:00:00+05:30,89.15,89.2,88.25,88.55,1056332
2020-10-12 13:15:00+05:30,88.6,88.6,87.6,87.65,1469218
2020-10-12 13:30:00+05:30,87.6,87.8,87.0,87.5,1170960
2020-10-12 13:45:00+05:30,87.5,87.5,86.5,87.3,1635584
2020-10-12 14:00:00+05:30,87.3,87.9,86.5,86.65,1195344
2020-10-12 14:15:00+05:30,86.65,86.7,86.0,86.2,3603236
2020-10-12 14:30:00+05:30,86.2,86.4,86.0,86.0,2391622
2020-10-12 14:45:00+05:30,86.0,86.0,86.0,86.0,309572
2020-10-12 15:00:00+05:30,86.0,86.0,86.0,86.0,213672
2020-10-12 15:15:00+05:30,86.0,86.0,86.0,86.0,271600
2020-10-13 09:15:00+05:30,86.0,87.45,83.0,85.5,3372968
2020-10-13 09:30:00+05:30,85.5,85.75,82.85,83.2,2058336
2020-10-13 09:45:00+05:30,83.15,83.7,82.0,82.85,1970574
2020-10-13 10:00:00+05:30,82.85,84.95,82.5,84.2,2114984
2020-10-13 10:15:00+05:30,84.15,85.85,83.55,85.75,1112136
2020-10-13 10:30:00+05:30,85.7,87.9,85.4,86.4,3119584
2020-10-13 10:45:00+05:30,86.35,88.35,85.3,87.8,1666914
2020-10-13 11:00:00+05:30,87.9,89.4,87.55,89.15,2669268
2020-10-13 11:15:00+05:30,89.2,89.6,87.3,87.6,1605810
2020-10-13 11:30:00+05:30,87.6,88.15,87.6,87.65,512418
2020-10-13 11:45:00+05:30,87.65,88.65,87.4,88.5,569792
2020-10-13 12:00:00+05:30,88.4,88.5,87.7,88.2,251896
2020-10-13 12:15:00+05:30,88.2,90.75,88.0,90.2,2452226
2020-10-13 12:30:00+05:30,90.15,92.35,89.35,92.1,3119918
2020-10-13 12:45:00+05:30,92.0,92.1,89.6,90.3,1500676
2020-10-13 13:00:00+05:30,90.3,90.8,89.3,90.05,1093324
2020-10-13 13:15:00+05:30,90.0,90.6,89.65,89.8,418524
2020-10-13 13:30:00+05:30,89.8,90.0,88.5,88.9,830968
2020-10-13 13:45:00+05:30,88.9,89.4,88.15,89.3,719342
2020-10-13 14:00:00+05:30,89.3,90.25,89.1,89.8,666030
2020-10-13 14:15:00+05:30,89.8,90.0,88.9,89.35,522330
2020-10-13 14:30:00+05:30,89.35,89.4,89.0,89.2,208704
2020-10-13 14:45:00+05:30,89.2,90.0,88.85,89.5,638854
2020-10-13 15:00:00+05:30,89.55,91.7,89.35,90.65,2602980
2020-10-13 15:15:00+05:30,90.7,91.0,90.2,90.5,1757044
2020-10-14 09:15:00+05:30,90.2,91.9,89.05,91.35,2024896
2020-10-14 09:30:00+05:30,91.4,91.5,90.15,90.25,749816
2020-10-14 09:45:00+05:30,90.25,91.3,89.7,90.9,777398
2020-10-14 10:00:00+05:30,90.85,92.9,90.7,92.75,1433652
2020-10-14 10:15:00+05:30,92.75,93.7,92.2,92.25,2030942
2020-10-14 10:30:00+05:30,92.1,92.45,91.7,92.35,493246
2020-10-14 10:45:00+05:30,92.35,92.7,91.6,91.9,357044
2020-10-14 11:00:00+05:30,91.9,92.2,91.7,91.9,213696
2020-10-14 11:15:00+05:30,91.9,92.1,91.6,91.8,178316
2020-10-14 11:30:00+05:30,91.8,92.35,91.8,91.9,181736
2020-10-14 11:45:00+05:30,91.9,92.1,91.1,91.4,314432
2020-10-14 12:00:00+05:30,91.4,91.5,91.1,91.35,313036
2020-10-14 12:15:00+05:30,91.3,91.5,91.0,91.4,199636
2020-10-14 12:30:00+05:30,91.4,91.4,90.8,91.1,265618
2020-10-14 12:45:00+05:30,91.1,91.4,90.9,91.0,138230
2020-10-14 13:00:00+05:30,91.0,91.25,90.75,91.15,118666
2020-10-14 13:15:00+05:30,91.2,91.4,90.8,90.9,111278
2020-10-14 13:30:00+05:30,90.9,91.35,90.85,91.3,137666
2020-10-14 13:45:00+05:30,91.2,91.4,91.0,91.4,87992
2020-10-14 14:00:00+05:30,91.4,92.2,91.3,91.75,353666
2020-10-14 14:15:00+05:30,91.75,92.25,91.5,91.7,259374
2020-10-14 14:30:00+05:30,91.7,91.9,91.3,91.4,185810
2020-10-14 14:45:00+05:30,91.4,91.7,91.4,91.55,199838
2020-10-14 15:00:00+05:30,91.55,91.55,91.1,91.4,378608
2020-10-14 15:15:00+05:30,91.4,91.5,90.6,90.75,798218
2020-10-15 09:15:00+05:30,91.0,91.05,89.8,90.3,691096
2020-10-15 09:30:00+05:30,90.3,91.35,90.05,90.8,466770
2020-10-15 09:45:00+05:30,90.8,90.8,90.2,90.5,181356
2020-10-15 10:00:00+05:30,90.5,90.7,90.15,90.4,117842
2020-10-15 10:15:00+05:30,90.4,90.5,89.8,89.9,178676
2020-10-15 10:30:00+05:30,89.9,90.0,88.85,89.05,554406
2020-10-15 10:45:00+05:30,89.05,89.5,88.9,89.3,158488
2020-10-15 11:00:00+05:30,89.3,89.4,89.05,89.2,70484
2020-10-15 11:15:00+05:30,89.25,89.35,89.05,89.2,78982
2020-10-15 11:30:00+05:30,89.2,89.2,88.55,88.7,237674
2020-10-15 11:45:00+05:30,88.65,88.9,88.0,88.6,294574
2020-10-15 12:00:00+05:30,88.6,88.75,88.35,88.65,95748
2020-10-15 12:15:00+05:30,88.65,88.7,88.45,88.7,37952
2020-10-15 12:30:00+05:30,88.7,88.8,88.5,88.75,53878
2020-10-15 12:45:00+05:30,88.75,88.95,88.65,88.8,63610
2020-10-15 13:00:00+05:30,88.8,88.85,88.25,88.5,103414
2020-10-15 13:15:00+05:30,88.5,88.7,88.0,88.2,132178
2020-10-15 13:30:00+05:30,88.15,88.45,87.9,88.05,156934
2020-10-15 13:45:00+05:30,88.05,88.3,87.7,88.1,158120
2020-10-15 14:00:00+05:30,88.1,88.2,87.05,87.1,249982
2020-10-15 14:15:00+05:30,87.15,87.7,87.0,87.4,306996
2020-10-15 14:30:00+05:30,87.4,87.45,85.6,86.0,565040
2020-10-15 14:45:00+05:30,85.8,86.0,85.75,85.95,321564
2020-10-15 15:00:00+05:30,85.95,86.0,85.5,85.85,422334
2020-10-15 15:15:00+05:30,85.9,86.4,85.5,86.2,667572
2020-10-16 09:15:00+05:30,86.9,87.7,86.25,86.7,585802
2020-10-16 09:30:00+05:30,86.7,87.2,86.6,86.9,169644
2020-10-16 09:45:00+05:30,86.9,86.9,85.9,86.0,308870
2020-10-16 10:00:00+05:30,86.0,86.4,85.3,85.5,313524
2020-10-16 10:15:00+05:30,85.5,85.9,85.5,85.55,135580
2020-10-16 10:30:00+05:30,85.55,85.7,84.5,84.9,317826
2020-10-16 10:45:00+05:30,84.9,84.9,84.1,84.6,368902
2020-10-16 11:00:00+05:30,84.6,84.9,84.4,84.6,208310
2020-10-16 11:15:00+05:30,84.55,84.9,84.5,84.55,92956
2020-10-16 11:30:00+05:30,84.6,84.7,83.55,83.6,284240
2020-10-16 11:45:00+05:30,83.6,83.7,82.5,83.4,651098
2020-10-16 12:00:00+05:30,83.4,83.8,83.35,83.7,171916
2020-10-16 12:15:00+05:30,83.7,84.15,83.25,84.1,178818
2020-10-16 12:30:00+05:30,84.1,84.7,84.0,84.7,242320
2020-10-16 12:45:00+05:30,84.7,85.0,84.6,84.75,251456
2020-10-16 13:00:00+05:30,84.75,85.3,84.7,85.1,206828
2020-10-16 13:15:00+05:30,85.1,85.4,85.1,85.2,146032
2020-10-16 13:30:00+05:30,85.25,85.25,84.2,84.35,180236
2020-10-16 13:45:00+05:30,84.35,84.7,84.25,84.7,94046
2020-10-16 14:00:00+05:30,84.7,84.8,84.45,84.5,83890
2020-10-16 14:15:00+05:30,84.5,84.55,84.1,84.3,105468
2020-10-16 14:30:00+05:30,84.3,84.4,84.1,84.3,95826
2020-10-16 14:45:00+05:30,84.3,84.55,84.1,84.1,148244
2020-10-16 15:00:00+05:30,84.1,84.4,83.85,83.9,293026
2020-10-16 15:15:00+05:30,83.9,84.2,83.5,84.15,486426
2020-10-19 09:15:00+05:30,85.4,85.5,84.4,84.6,430874
2020-10-19 09:30:00+05:30,84.6,84.6,83.75,84.0,247538
2020-10-19 09:45:00+05:30,84.0,84.9,83.95,84.5,208140
2020-10-19 10:00:00+05:30,84.45,84.65,84.25,84.5,75520
2020-10-19 10:15:00+05:30,84.5,84.5,84.25,84.3,64086
2020-10-19 10:30:00+05:30,84.3,85.6,84.25,84.9,308124
2020-10-19 10:45:00+05:30,84.9,85.75,84.6,84.75,399840
2020-10-19 11:00:00+05:30,84.75,84.85,84.55,84.6,54726
2020-10-19 11:15:00+05:30,84.6,84.6,84.3,84.45,37024
2020-10-19 11:30:00+05:30,84.45,84.5,84.35,84.4,29372
2020-10-19 11:45:00+05:30,84.45,86.4,84.4,85.75,565536
2020-10-19 12:00:00+05:30,85.75,85.8,85.2,85.3,123348
2020-10-19 12:15:00+05:30,85.35,85.4,85.1,85.2,69270
2020-10-19 12:30:00+05:30,85.2,85.7,85.2,85.3,58200
2020-10-19 12:45:00+05:30,85.25,85.7,85.2,85.4,76354
2020-10-19 13:00:00+05:30,85.35,85.4,85.15,85.2,35552
2020-10-19 13:15:00+05:30,85.2,85.25,84.75,84.9,62496
2020-10-19 13:30:00+05:30,84.9,84.9,84.55,84.7,121136
2020-10-19 13:45:00+05:30,84.7,84.75,84.4,84.5,58066
2020-10-19 14:00:00+05:30,84.5,84.8,84.4,84.5,52998
2020-10-19 14:15:00+05:30,84.4,84.6,84.25,84.6,146362
2020-10-19 14:30:00+05:30,84.6,84.6,84.25,84.3,92112
2020-10-19 14:45:00+05:30,84.4,84.5,84.3,84.5,65962
2020-10-19 15:00:00+05:30,84.5,84.5,84.0,84.1,136240
2020-10-19 15:15:00+05:30,84.1,84.3,84.0,84.1,298168
2020-10-20 09:15:00+05:30,83.85,84.75,83.5,84.6,305746
2020-10-20 09:30:00+05:30,84.6,84.9,84.15,84.2,144742
2020-10-20 09:45:00+05:30,84.2,84.4,83.75,83.95,114610
2020-10-20 10:00:00+05:30,83.95,84.1,83.75,84.05,113104
2020-10-20 10:15:00+05:30,84.05,84.3,84.0,84.1,62040
2020-10-20 10:30:00+05:30,84.1,84.1,83.8,83.85,89338
2020-10-20 10:45:00+05:30,83.85,84.05,83.85,83.95,25856
2020-10-20 11:00:00+05:30,83.95,84.0,83.8,83.9,36372
2020-10-20 11:15:00+05:30,83.9,84.0,83.8,83.9,21586
2020-10-20 11:30:00+05:30,83.8,83.9,83.55,83.6,58270
2020-10-20 11:45:00+05:30,83.6,83.9,83.6,83.75,69896
2020-10-20 12:00:00+05:30,83.7,83.75,83.55,83.6,37178
2020-10-20 12:15:00+05:30,83.6,83.75,83.55,83.6,81842
2020-10-20 12:30:00+05:30,83.6,83.7,83.3,83.4,95566
2020-10-20 12:45:00+05:30,83.4,83.5,83.0,83.15,136146
2020-10-20 13:00:00+05:30,83.15,83.3,83.0,83.2,56340
2020-10-20 13:15:00+05:30,83.2,83.4,83.0,83.15,108532
2020-10-20 13:30:00+05:30,83.15,83.2,83.05,83.15,38104
2020-10-20 13:45:00+05:30,83.15,83.15,82.8,82.95,172248
2020-10-20 14:00:00+05:30,82.95,83.05,82.75,82.85,63032
2020-10-20 14:15:00+05:30,82.8,82.9,82.7,82.8,72668
2020-10-20 14:30:00+05:30,82.8,83.2,82.75,83.1,120272
2020-10-20 14:45:00+05:30,83.1,83.2,83.0,83.05,78684
2020-10-20 15:00:00+05:30,83.05,83.3,83.0,83.15,143270
2020-10-20 15:15:00+05:30,83.15,83.15,82.8,82.8,257908
2020-10-21 09:15:00+05:30,83.45,83.8,83.2,83.5,292596
2020-10-21 09:30:00+05:30,83.5,84.25,83.4,83.6,260052
2020-10-21 09:45:00+05:30,83.6,84.25,83.35,84.05,273398
2020-10-21 10:00:00+05:30,84.05,84.95,83.9,84.7,666624
2020-10-21 10:15:00+05:30,84.7,88.7,84.6,88.1,2298918
2020-10-21 10:30:00+05:30,88.0,88.35,87.1,87.1,1200302
2020-10-21 10:45:00+05:30,87.2,87.5,86.3,87.15,549002
2020-10-21 11:00:00+05:30,87.15,87.75,87.0,87.2,342278
2020-10-21 11:15:00+05:30,87.2,87.5,86.8,86.8,190296
2020-10-21 11:30:00+05:30,86.8,87.6,86.8,87.5,180388
2020-10-21 11:45:00+05:30,87.5,87.5,86.7,86.9,150812
2020-10-21 12:00:00+05:30,87.0,87.5,86.75,87.35,180004
2020-10-21 12:15:00+05:30,87.35,87.35,87.0,87.0,74788
2020-10-21 12:30:00+05:30,87.0,87.2,86.9,87.2,52924
2020-10-21 12:45:00+05:30,87.1,87.45,86.95,87.35,179246
2020-10-21 13:00:00+05:30,87.35,87.4,87.1,87.2,88202
2020-10-21 13:15:00+05:30,87.2,87.2,85.8,86.3,330242
2020-10-21 13:30:00+05:30,86.3,86.4,85.55,86.0,243602
2020-10-21 13:45:00+05:30,86.0,86.0,85.7,85.9,104688
2020-10-21 14:00:00+05:30,85.9,86.0,85.0,85.3,304070
2020-10-21 14:15:00+05:30,85.3,85.5,84.9,85.0,198658
2020-10-21 14:30:00+05:30,85.0,85.8,85.0,85.7,145602
2020-10-21 14:45:00+05:30,85.7,85.95,85.6,85.7,97816
2020-10-21 15:00:00+05:30,85.7,86.25,85.6,86.1,184428
2020-10-21 15:15:00+05:30,86.05,86.1,85.5,86.1,346420
2020-10-22 09:15:00+05:30,86.15,86.7,85.85,85.95,428392
2020-10-22 09:30:00+05:30,85.85,86.4,85.5,86.2,174150
2020-10-22 09:45:00+05:30,86.2,86.35,85.9,86.0,67514
2020-10-22 10:00:00+05:30,86.0,86.2,85.55,85.55,57906
2020-10-22 10:15:00+05:30,85.55,85.75,85.3,85.35,86254
2020-10-22 10:30:00+05:30,85.35,85.7,85.2,85.6,59406
2020-10-22 10:45:00+05:30,85.7,86.0,85.55,86.0,82128
2020-10-22 11:00:00+05:30,86.0,86.15,85.75,85.9,48488
2020-10-22 11:15:00+05:30,85.9,86.0,85.55,85.6,65106
2020-10-22 11:30:00+05:30,85.6,85.6,85.3,85.4,53252
2020-10-22 11:45:00+05:30,85.4,85.5,85.35,85.35,32450
2020-10-22 12:00:00+05:30,85.4,85.5,85.25,85.4,29026
2020-10-22 12:15:00+05:30,85.4,85.6,85.2,85.2,84614
2020-10-22 12:30:00+05:30,85.2,85.25,84.6,84.75,145270
2020-10-22 12:45:00+05:30,84.75,84.9,84.5,84.8,123222
2020-10-22 13:00:00+05:30,84.8,85.0,84.55,84.7,85162
2020-10-22 13:15:00+05:30,84.7,87.45,84.5,85.15,1096424
2020-10-22 13:30:00+05:30,85.15,85.3,85.0,85.2,46446
2020-10-22 13:45:00+05:30,85.2,85.3,84.95,85.3,40864
2020-10-22 14:00:00+05:30,85.1,85.5,84.95,85.15,99380
2020-10-22 14:15:00+05:30,85.15,86.2,84.9,85.2,318880
2020-10-22 14:30:00+05:30,85.2,85.3,84.85,85.0,126598
2020-10-22 14:45:00+05:30,85.0,85.5,85.0,85.35,76350
2020-10-22 15:00:00+05:30,85.35,85.5,85.05,85.2,161236
2020-10-22 15:15:00+05:30,85.2,85.5,85.05,85.2,376428
2020-10-23 09:15:00+05:30,87.1,89.5,86.3,88.9,1910290
2020-10-23 09:30:00+05:30,88.9,89.0,87.85,88.35,1461282
2020-10-23 09:45:00+05:30,88.35,88.4,87.7,88.25,240302
2020-10-23 10:00:00+05:30,88.25,88.4,87.7,87.7,232960
2020-10-23 10:15:00+05:30,87.7,88.2,87.7,87.8,163036
2020-10-23 10:30:00+05:30,87.85,88.0,87.75,87.9,95696
2020-10-23 10:45:00+05:30,87.9,88.0,87.75,87.8,94614
2020-10-23 11:00:00+05:30,87.8,88.95,87.6,88.7,278710
2020-10-23 11:15:00+05:30,88.7,88.9,88.45,88.5,271156
2020-10-23 11:30:00+05:30,88.5,88.7,88.4,88.5,110704
2020-10-23 11:45:00+05:30,88.5,88.6,88.4,88.5,142666
2020-10-23 12:00:00+05:30,88.5,88.6,88.1,88.2,97970
2020-10-23 12:15:00+05:30,88.2,88.45,88.1,88.25,54624
