date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,53.23,53.37,52.73,52.93,319661
2015-02-02 09:30:00+05:30,52.93,53.43,52.87,53.1,340418
2015-02-02 09:45:00+05:30,53.07,53.53,53.07,53.47,290525
2015-02-02 10:00:00+05:30,53.47,53.47,53.3,53.4,282577
2015-02-02 10:15:00+05:30,53.4,53.4,53.23,53.33,236833
2015-02-02 10:30:00+05:30,53.33,53.43,53.27,53.3,218714
2015-02-02 10:45:00+05:30,53.3,53.37,53.1,53.3,229202
2015-02-02 11:00:00+05:30,53.3,53.37,53.2,53.27,196229
2015-02-02 11:15:00+05:30,53.27,53.33,52.83,52.83,231739
2015-02-02 11:30:00+05:30,52.83,53.0,52.83,52.9,202278
2015-02-02 11:45:00+05:30,52.9,52.9,52.7,52.77,238048
2015-02-02 12:00:00+05:30,52.77,52.8,52.57,52.57,294119
2015-02-02 12:15:00+05:30,52.57,52.57,52.37,52.53,393734
2015-02-02 12:30:00+05:30,52.57,52.63,52.4,52.43,232216
2015-02-02 12:45:00+05:30,52.43,52.47,52.3,52.43,260728
2015-02-02 13:00:00+05:30,52.37,52.43,52.27,52.27,194645
2015-02-02 13:15:00+05:30,52.27,52.43,52.27,52.4,194174
2015-02-02 13:30:00+05:30,52.4,52.57,52.3,52.4,377686
2015-02-02 13:45:00+05:30,52.47,52.5,52.33,52.43,285430
2015-02-02 14:00:00+05:30,52.43,52.8,52.43,52.7,284345
2015-02-02 14:15:00+05:30,52.67,52.67,52.43,52.53,215322
2015-02-02 14:30:00+05:30,52.53,52.53,52.3,52.33,216408
2015-02-02 14:45:00+05:30,52.3,52.5,52.27,52.4,282676
2015-02-02 15:00:00+05:30,52.4,52.73,52.4,52.63,457445
2015-02-02 15:15:00+05:30,52.63,52.77,52.53,52.53,538314
2015-02-03 09:15:00+05:30,52.9,53.3,52.8,53.3,335110
2015-02-03 09:30:00+05:30,53.3,53.5,53.13,53.2,278481
2015-02-03 09:45:00+05:30,53.13,53.33,53.03,53.03,134560
2015-02-03 10:00:00+05:30,53.03,53.3,53.03,53.2,146109
2015-02-03 10:15:00+05:30,53.2,53.3,53.17,53.23,55368
2015-02-03 10:30:00+05:30,53.23,53.43,53.1,53.4,155400
2015-02-03 10:45:00+05:30,53.4,53.47,53.27,53.3,58052
2015-02-03 11:00:00+05:30,53.27,53.33,53.03,53.33,113592
2015-02-03 11:15:00+05:30,53.37,54.07,53.33,53.77,1001382
2015-02-03 11:30:00+05:30,53.77,53.97,53.67,53.67,302712
2015-02-03 11:45:00+05:30,53.67,53.7,53.03,53.1,370231
2015-02-03 12:00:00+05:30,53.1,53.4,53.1,53.1,256981
2015-02-03 12:15:00+05:30,53.13,53.37,53.1,53.37,201104
2015-02-03 12:30:00+05:30,53.37,53.37,53.27,53.3,153649
2015-02-03 12:45:00+05:30,53.3,53.33,53.1,53.17,265360
2015-02-03 13:00:00+05:30,53.17,53.17,52.83,53.03,503172
2015-02-03 13:15:00+05:30,53.0,53.1,52.83,52.87,273943
2015-02-03 13:30:00+05:30,52.87,53.03,52.83,53.03,302109
2015-02-03 13:45:00+05:30,53.03,53.07,52.83,52.9,325014
2015-02-03 14:00:00+05:30,52.9,53.13,52.8,53.03,2166473
2015-02-03 14:15:00+05:30,53.03,53.1,52.8,52.9,300001
2015-02-03 14:30:00+05:30,52.9,53.13,52.87,53.03,137034
2015-02-03 14:45:00+05:30,53.03,53.07,52.9,52.97,109363
2015-02-03 15:00:00+05:30,52.97,53.0,52.83,52.87,347972
2015-02-03 15:15:00+05:30,52.87,52.9,52.3,52.57,743509
2015-02-04 09:15:00+05:30,52.8,53.37,52.23,52.23,880908
2015-02-04 09:30:00+05:30,52.23,52.47,52.23,52.27,532348
2015-02-04 09:45:00+05:30,52.27,52.4,52.0,52.13,425106
2015-02-04 10:00:00+05:30,52.13,52.27,52.0,52.07,470745
2015-02-04 10:15:00+05:30,52.07,52.17,51.97,52.1,313515
2015-02-04 10:30:00+05:30,52.1,52.17,51.97,51.97,269491
2015-02-04 10:45:00+05:30,51.97,52.13,51.87,52.03,364651
2015-02-04 11:00:00+05:30,52.03,53.03,52.0,52.53,1452258
2015-02-04 11:15:00+05:30,52.53,52.6,52.27,52.5,314404
2015-02-04 11:30:00+05:30,52.5,52.57,52.23,52.3,369451
2015-02-04 11:45:00+05:30,52.3,52.37,52.23,52.27,326845
2015-02-04 12:00:00+05:30,52.27,52.5,52.23,52.37,367350
2015-02-04 12:15:00+05:30,52.37,52.5,52.17,52.2,340377
2015-02-04 12:30:00+05:30,52.2,52.27,52.07,52.13,268935
2015-02-04 12:45:00+05:30,52.13,52.23,52.0,52.23,236722
2015-02-04 13:00:00+05:30,52.17,52.23,52.0,52.2,327786
2015-02-04 13:15:00+05:30,52.2,52.27,51.97,52.0,351111
2015-02-04 13:30:00+05:30,52.0,52.13,51.97,51.97,344947
2015-02-04 13:45:00+05:30,51.97,52.1,51.87,51.93,308056
2015-02-04 14:00:00+05:30,51.93,52.07,51.87,51.93,491104
2015-02-04 14:15:00+05:30,51.9,52.0,51.73,51.8,514083
2015-02-04 14:30:00+05:30,51.8,51.9,51.63,51.77,442568
2015-02-04 14:45:00+05:30,51.77,51.83,51.6,51.67,534719
2015-02-04 15:00:00+05:30,51.67,51.7,51.5,51.5,590476
2015-02-04 15:15:00+05:30,51.53,51.53,51.3,51.4,747126
2015-02-05 09:15:00+05:30,51.8,51.87,51.27,51.53,419555
2015-02-05 09:30:00+05:30,51.53,51.83,51.43,51.83,242223
2015-02-05 09:45:00+05:30,51.83,52.0,51.77,51.93,289263
2015-02-05 10:00:00+05:30,51.93,52.37,51.93,52.27,447249
2015-02-05 10:15:00+05:30,52.27,52.3,51.6,51.73,363224
2015-02-05 10:30:00+05:30,51.8,52.13,51.63,51.93,191715
2015-02-05 10:45:00+05:30,51.93,51.97,51.77,51.87,118222
2015-02-05 11:00:00+05:30,51.87,51.9,51.73,51.83,110631
2015-02-05 11:15:00+05:30,51.83,52.53,51.8,52.27,591569
2015-02-05 11:30:00+05:30,52.23,52.5,51.9,52.03,299332
2015-02-05 11:45:00+05:30,52.07,52.17,51.97,52.0,125895
2015-02-05 12:00:00+05:30,52.0,52.2,51.9,52.0,168502
2015-02-05 12:15:00+05:30,52.0,52.17,51.97,52.1,122781
2015-02-05 12:30:00+05:30,52.1,52.17,52.0,52.13,111709
2015-02-05 12:45:00+05:30,52.13,52.17,52.07,52.13,84817
2015-02-05 13:00:00+05:30,52.13,52.2,52.07,52.2,74541
2015-02-05 13:15:00+05:30,52.2,52.37,52.2,52.27,287645
2015-02-05 13:30:00+05:30,52.27,52.37,52.23,52.27,190165
2015-02-05 13:45:00+05:30,52.27,52.3,52.23,52.27,51822
2015-02-05 14:00:00+05:30,52.27,52.43,52.27,52.27,124697
2015-02-05 14:15:00+05:30,52.27,52.37,52.23,52.3,142040
2015-02-05 14:30:00+05:30,52.3,52.3,52.1,52.27,465760
2015-02-05 14:45:00+05:30,52.27,52.27,51.7,51.73,342445
2015-02-05 15:00:00+05:30,51.73,51.8,51.5,51.67,381133
2015-02-05 15:15:00+05:30,51.67,51.8,50.83,51.4,904977
2015-02-06 09:15:00+05:30,51.6,51.67,50.9,51.03,438276
2015-02-06 09:30:00+05:30,51.03,51.2,50.9,51.13,263344
2015-02-06 09:45:00+05:30,51.17,51.27,51.03,51.03,238019
2015-02-06 10:00:00+05:30,51.03,51.2,50.97,51.0,185805
2015-02-06 10:15:00+05:30,51.0,51.77,50.9,51.27,545180
2015-02-06 10:30:00+05:30,51.27,51.4,51.13,51.23,181078
2015-02-06 10:45:00+05:30,51.23,51.3,51.13,51.13,148888
2015-02-06 11:00:00+05:30,51.13,51.3,51.13,51.23,205266
2015-02-06 11:15:00+05:30,51.27,51.37,51.2,51.33,815648
2015-02-06 11:30:00+05:30,51.33,51.7,51.33,51.63,338644
2015-02-06 11:45:00+05:30,51.63,51.67,51.4,51.53,167812
2015-02-06 12:00:00+05:30,51.53,51.53,51.3,51.4,143188
2015-02-06 12:15:00+05:30,51.4,51.5,51.27,51.33,245046
2015-02-06 12:30:00+05:30,51.33,51.37,51.13,51.17,138763
2015-02-06 12:45:00+05:30,51.17,51.3,51.13,51.2,109729
2015-02-06 13:00:00+05:30,51.23,51.27,51.17,51.2,90276
2015-02-06 13:15:00+05:30,51.23,51.23,51.07,51.13,174141
2015-02-06 13:30:00+05:30,51.13,51.13,50.8,50.87,346370
2015-02-06 13:45:00+05:30,50.87,50.93,50.57,50.7,549290
2015-02-06 14:00:00+05:30,50.7,50.8,50.6,50.77,437749
