date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,80.85,81.8,78.1,78.7,15592
2015-02-02 09:30:00+05:30,78.7,78.8,76.55,77.75,14072
2015-02-02 09:45:00+05:30,77.75,78.4,76.9,77.6,10192
2015-02-02 10:00:00+05:30,77.6,78.45,77.6,78.25,3880
2015-02-02 10:15:00+05:30,78.25,78.25,77.8,78.1,1424
2015-02-02 10:30:00+05:30,78.1,78.5,78.1,78.35,484
2015-02-02 10:45:00+05:30,78.25,79.0,78.25,78.75,3680
2015-02-02 11:00:00+05:30,78.75,86.0,78.75,83.75,136940
2015-02-02 11:15:00+05:30,83.75,84.0,83.5,83.9,15588
2015-02-02 11:30:00+05:30,83.9,84.0,81.5,81.5,25548
2015-02-02 11:45:00+05:30,81.5,83.2,81.4,82.4,24840
2015-02-02 12:00:00+05:30,82.4,82.4,79.0,79.9,29504
2015-02-02 12:15:00+05:30,79.85,81.1,79.55,80.85,10600
2015-02-02 12:30:00+05:30,80.85,81.7,80.85,81.5,7764
2015-02-02 12:45:00+05:30,81.55,82.0,81.5,82.0,5388
2015-02-02 13:00:00+05:30,82.0,82.4,81.5,81.5,9304
2015-02-02 13:15:00+05:30,81.7,82.0,81.6,81.8,596
2015-02-02 13:30:00+05:30,81.8,82.5,81.8,82.25,8092
2015-02-02 13:45:00+05:30,82.25,82.35,82.0,82.35,2400
2015-02-02 14:00:00+05:30,82.35,82.35,81.6,81.6,2144
2015-02-02 14:15:00+05:30,81.6,82.0,81.5,81.75,2944
2015-02-02 14:30:00+05:30,81.5,82.1,81.5,81.5,7676
2015-02-02 14:45:00+05:30,81.5,81.75,80.85,81.25,3576
2015-02-02 15:00:00+05:30,81.25,82.25,81.25,81.6,10620
2015-02-02 15:15:00+05:30,81.6,82.7,81.0,82.7,21100
2015-02-03 09:15:00+05:30,82.5,82.5,79.25,80.1,11480
2015-02-03 09:30:00+05:30,80.1,80.5,79.5,80.45,4432
2015-02-03 09:45:00+05:30,80.5,80.95,79.05,79.3,6928
2015-02-03 10:00:00+05:30,79.3,79.75,79.0,79.25,3596
2015-02-03 10:15:00+05:30,79.25,79.5,78.55,78.75,4164
2015-02-03 10:30:00+05:30,78.75,80.0,78.6,79.6,7000
2015-02-03 10:45:00+05:30,79.6,79.6,78.8,79.2,3128
2015-02-03 11:00:00+05:30,79.2,79.25,78.3,78.7,7504
2015-02-03 11:15:00+05:30,78.7,78.75,78.6,78.6,5712
2015-02-03 11:30:00+05:30,78.6,78.75,78.6,78.75,3192
2015-02-03 11:45:00+05:30,78.75,78.75,77.5,77.7,16016
2015-02-03 12:00:00+05:30,77.75,78.2,77.25,77.5,7272
2015-02-03 12:15:00+05:30,77.5,77.5,76.6,77.0,3604
2015-02-03 12:30:00+05:30,76.75,77.0,76.6,77.0,1916
