date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,44.35,44.7,44.3,44.6,31796
2015-02-02 09:30:00+05:30,44.6,44.75,44.55,44.6,45852
2015-02-02 09:45:00+05:30,44.6,44.94,44.6,44.94,32938
2015-02-02 10:00:00+05:30,44.99,44.99,44.65,44.65,26063
2015-02-02 10:15:00+05:30,44.65,44.75,44.65,44.75,9155
2015-02-02 10:30:00+05:30,44.75,44.79,44.6,44.79,12057
2015-02-02 10:45:00+05:30,44.79,44.94,44.65,44.65,25151
2015-02-02 11:00:00+05:30,44.65,44.75,44.65,44.7,10106
2015-02-02 11:15:00+05:30,44.7,45.04,44.7,44.94,30642
2015-02-02 11:30:00+05:30,44.94,45.33,44.89,44.94,1149859
2015-02-02 11:45:00+05:30,44.94,45.14,44.79,44.84,31942
2015-02-02 12:00:00+05:30,44.89,44.94,44.75,44.79,19577
2015-02-02 12:15:00+05:30,44.79,45.09,44.75,45.04,17794
2015-02-02 12:30:00+05:30,45.04,45.19,45.04,45.14,33626
2015-02-02 12:45:00+05:30,45.14,45.14,44.94,44.94,317566
2015-02-02 13:00:00+05:30,44.94,45.19,44.94,45.09,8796
2015-02-02 13:15:00+05:30,45.09,45.14,44.94,44.99,28183
2015-02-02 13:30:00+05:30,44.99,45.14,44.79,44.94,21495
2015-02-02 13:45:00+05:30,44.94,45.04,44.89,45.04,11447
2015-02-02 14:00:00+05:30,45.04,45.04,44.94,44.99,14118
2015-02-02 14:15:00+05:30,44.99,45.04,44.94,44.94,9717
2015-02-02 14:30:00+05:30,44.94,45.04,44.84,44.89,17088
2015-02-02 14:45:00+05:30,44.84,45.14,44.84,44.94,26032
2015-02-02 15:00:00+05:30,44.94,45.04,44.84,44.99,27438
2015-02-02 15:15:00+05:30,44.99,45.14,44.84,45.14,58822
2015-02-03 09:15:00+05:30,45.53,45.92,45.38,45.68,112379
2015-02-03 09:30:00+05:30,45.68,45.72,45.38,45.48,71828
2015-02-03 09:45:00+05:30,45.48,45.53,45.23,45.53,33783
2015-02-03 10:00:00+05:30,45.53,45.68,45.53,45.63,29649
2015-02-03 10:15:00+05:30,45.63,45.68,45.43,45.58,24615
2015-02-03 10:30:00+05:30,45.58,45.68,45.38,45.68,34204
2015-02-03 10:45:00+05:30,45.68,45.87,45.63,45.68,35865
2015-02-03 11:00:00+05:30,45.68,45.92,45.58,45.87,23640
2015-02-03 11:15:00+05:30,45.87,45.92,45.63,45.82,32978
2015-02-03 11:30:00+05:30,45.82,45.87,45.63,45.72,31837
2015-02-03 11:45:00+05:30,45.72,45.72,45.63,45.63,29719
2015-02-03 12:00:00+05:30,45.63,45.72,45.58,45.72,21084
2015-02-03 12:15:00+05:30,45.72,45.77,45.68,45.68,22046
2015-02-03 12:30:00+05:30,45.68,45.92,45.68,45.82,33126
