date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,19.1,19.3,19.1,19.25,397250
2015-02-02 09:30:00+05:30,19.3,19.3,19.25,19.3,54778
2015-02-02 09:45:00+05:30,19.3,19.4,19.25,19.35,147681
2015-02-02 10:00:00+05:30,19.4,19.4,19.3,19.4,181298
2015-02-02 10:15:00+05:30,19.4,19.5,19.35,19.5,264321
2015-02-02 10:30:00+05:30,19.5,19.6,19.45,19.55,168560
2015-02-02 10:45:00+05:30,19.55,19.6,19.45,19.5,260229
2015-02-02 11:00:00+05:30,19.5,19.6,19.5,19.55,216478
2015-02-02 11:15:00+05:30,19.55,20.2,19.5,19.95,1730423
2015-02-02 11:30:00+05:30,19.95,20.0,19.85,19.9,250419
2015-02-02 11:45:00+05:30,19.9,19.95,19.7,19.75,169888
2015-02-02 12:00:00+05:30,19.7,19.85,19.65,19.75,360109
2015-02-02 12:15:00+05:30,19.75,19.8,19.6,19.65,146252
2015-02-02 12:30:00+05:30,19.65,19.75,19.6,19.7,142360
2015-02-02 12:45:00+05:30,19.7,19.8,19.6,19.75,105411
2015-02-02 13:00:00+05:30,19.75,19.9,19.7,19.85,212982
2015-02-02 13:15:00+05:30,19.9,19.9,19.8,19.8,192694
2015-02-02 13:30:00+05:30,19.85,19.85,19.75,19.8,146726
2015-02-02 13:45:00+05:30,19.8,20.0,19.8,19.85,319976
2015-02-02 14:00:00+05:30,19.85,19.95,19.75,19.75,247443
2015-02-02 14:15:00+05:30,19.7,19.75,19.25,19.35,1359294
2015-02-02 14:30:00+05:30,19.35,19.35,19.25,19.3,435031
2015-02-02 14:45:00+05:30,19.3,19.4,19.3,19.35,459650
2015-02-02 15:00:00+05:30,19.35,19.55,19.35,19.5,547897
2015-02-02 15:15:00+05:30,19.55,19.65,19.5,19.6,1031793
2015-02-03 09:15:00+05:30,19.6,19.85,19.6,19.75,552247
2015-02-03 09:30:00+05:30,19.75,19.85,19.75,19.75,223318
2015-02-03 09:45:00+05:30,19.75,19.8,19.65,19.7,266928
2015-02-03 10:00:00+05:30,19.7,19.75,19.6,19.65,208718
2015-02-03 10:15:00+05:30,19.65,19.75,19.6,19.7,170714
2015-02-03 10:30:00+05:30,19.7,19.8,19.65,19.75,83448
2015-02-03 10:45:00+05:30,19.75,19.8,19.7,19.75,60666
2015-02-03 11:00:00+05:30,19.75,20.1,19.75,20.0,566427
2015-02-03 11:15:00+05:30,20.0,20.1,19.95,20.0,358019
2015-02-03 11:30:00+05:30,20.05,20.05,19.95,20.0,269936
2015-02-03 11:45:00+05:30,20.0,20.05,19.8,19.8,462881
2015-02-03 12:00:00+05:30,19.8,19.9,19.8,19.9,200553
2015-02-03 12:15:00+05:30,19.85,20.05,19.85,20.05,362780
2015-02-03 12:30:00+05:30,20.05,20.15,20.0,20.05,395286
2015-02-03 12:45:00+05:30,20.05,20.1,19.9,20.0,192562
2015-02-03 13:00:00+05:30,19.95,20.0,19.85,19.9,256718
2015-02-03 13:15:00+05:30,19.9,19.95,19.5,19.7,3495251
2015-02-03 13:30:00+05:30,19.7,20.2,19.65,20.2,1762277
2015-02-03 13:45:00+05:30,20.15,20.45,19.95,20.0,2059042
2015-02-03 14:00:00+05:30,20.0,20.05,19.95,20.05,258201
2015-02-03 14:15:00+05:30,20.05,20.05,19.9,19.9,342471
2015-02-03 14:30:00+05:30,19.95,19.95,19.85,19.9,368770
2015-02-03 14:45:00+05:30,19.9,20.0,19.9,19.95,350429
2015-02-03 15:00:00+05:30,19.95,20.0,19.9,19.95,318888
2015-02-03 15:15:00+05:30,19.95,20.0,19.9,19.9,994308
2015-02-04 09:15:00+05:30,19.9,20.0,19.6,19.65,595980
2015-02-04 09:30:00+05:30,19.65,19.7,19.6,19.7,368478
2015-02-04 09:45:00+05:30,19.7,19.8,19.65,19.7,413241
2015-02-04 10:00:00+05:30,19.7,19.75,19.65,19.65,359503
2015-02-04 10:15:00+05:30,19.7,19.75,19.65,19.65,144196
2015-02-04 10:30:00+05:30,19.65,19.75,19.65,19.75,58232
2015-02-04 10:45:00+05:30,19.7,19.75,19.7,19.7,50608
2015-02-04 11:00:00+05:30,19.75,19.8,19.75,19.8,66024
2015-02-04 11:15:00+05:30,19.8,19.9,19.75,19.9,154380
2015-02-04 11:30:00+05:30,19.9,20.1,19.85,20.05,632750
2015-02-04 11:45:00+05:30,20.05,20.15,20.0,20.1,514821
2015-02-04 12:00:00+05:30,20.1,20.1,20.05,20.1,94412
2015-02-04 12:15:00+05:30,20.05,20.1,20.0,20.0,273872
2015-02-04 12:30:00+05:30,20.0,20.05,20.0,20.05,68862
2015-02-04 12:45:00+05:30,20.05,20.3,20.0,20.25,429110
2015-02-04 13:00:00+05:30,20.25,20.3,20.2,20.25,216686
2015-02-04 13:15:00+05:30,20.25,20.25,20.1,20.15,259677
