date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,16.58,16.62,16.48,16.54,630918
2015-02-02 09:30:00+05:30,16.54,16.65,16.53,16.65,121518
2015-02-02 09:45:00+05:30,16.65,16.65,16.53,16.62,337461
2015-02-02 10:00:00+05:30,16.62,16.63,16.59,16.63,148089
2015-02-02 10:15:00+05:30,16.63,16.63,16.56,16.56,193827
2015-02-02 10:30:00+05:30,16.61,16.68,16.58,16.62,624819
2015-02-02 10:45:00+05:30,16.63,16.65,16.59,16.65,375870
2015-02-02 11:00:00+05:30,16.65,16.65,16.54,16.54,254310
2015-02-02 11:15:00+05:30,16.56,16.65,16.56,16.63,424971
2015-02-02 11:30:00+05:30,16.63,16.65,16.61,16.62,164484
2015-02-02 11:45:00+05:30,16.62,16.63,16.53,16.58,517299
2015-02-02 12:00:00+05:30,16.58,16.72,16.58,16.69,608925
2015-02-02 12:15:00+05:30,16.72,16.91,16.67,16.82,1004799
2015-02-02 12:30:00+05:30,16.84,16.84,16.69,16.69,339939
2015-02-02 12:45:00+05:30,16.69,16.76,16.65,16.72,696900
2015-02-02 13:00:00+05:30,16.72,16.76,16.72,16.76,128859
2015-02-02 13:15:00+05:30,16.76,16.79,16.72,16.76,182301
2015-02-02 13:30:00+05:30,16.76,16.89,16.76,16.84,256245
2015-02-02 13:45:00+05:30,16.84,16.89,16.79,16.79,237186
2015-02-02 14:00:00+05:30,16.79,16.82,16.69,16.77,502728
2015-02-02 14:15:00+05:30,16.77,16.84,16.71,16.79,350367
2015-02-02 14:30:00+05:30,16.79,16.79,16.68,16.71,494382
2015-02-02 14:45:00+05:30,16.69,16.74,16.68,16.71,358917
2015-02-02 15:00:00+05:30,16.71,16.72,16.68,16.71,548985
2015-02-02 15:15:00+05:30,16.71,16.74,16.65,16.72,1064826
2015-02-03 09:15:00+05:30,16.79,16.94,16.69,16.81,649509
2015-02-03 09:30:00+05:30,16.81,16.91,16.79,16.81,518697
2015-02-03 09:45:00+05:30,16.82,16.82,16.76,16.76,144390
2015-02-03 10:00:00+05:30,16.76,16.84,16.74,16.84,187296
2015-02-03 10:15:00+05:30,16.84,16.84,16.77,16.79,127068
2015-02-03 10:30:00+05:30,16.76,16.87,16.74,16.84,385797
2015-02-03 10:45:00+05:30,16.84,16.86,16.79,16.81,57630
2015-02-03 11:00:00+05:30,16.79,16.87,16.72,16.84,239652
2015-02-03 11:15:00+05:30,16.84,16.86,16.74,16.82,95586
2015-02-03 11:30:00+05:30,16.82,16.84,16.77,16.79,127536
2015-02-03 11:45:00+05:30,16.79,16.84,16.63,16.68,460293
2015-02-03 12:00:00+05:30,16.68,16.74,16.63,16.71,191583
2015-02-03 12:15:00+05:30,16.71,16.74,16.68,16.74,67461
2015-02-03 12:30:00+05:30,16.74,16.77,16.71,16.71,234105
2015-02-03 12:45:00+05:30,16.71,16.72,16.61,16.61,405807
2015-02-03 13:00:00+05:30,16.61,16.63,16.59,16.63,93039
2015-02-03 13:15:00+05:30,16.63,16.68,16.59,16.63,696870
2015-02-03 13:30:00+05:30,16.63,16.65,16.62,16.65,90138
2015-02-03 13:45:00+05:30,16.63,16.72,16.62,16.69,495558
2015-02-03 14:00:00+05:30,16.69,16.71,16.69,16.69,138738
2015-02-03 14:15:00+05:30,16.69,16.74,16.67,16.72,527646
2015-02-03 14:30:00+05:30,16.72,16.74,16.69,16.72,183057
2015-02-03 14:45:00+05:30,16.71,16.72,16.63,16.67,1351350
2015-02-03 15:00:00+05:30,16.67,16.72,16.65,16.67,671100
2015-02-03 15:15:00+05:30,16.67,16.81,16.67,16.74,1029333
2015-02-04 09:15:00+05:30,16.59,16.92,16.59,16.84,1066503
2015-02-04 09:30:00+05:30,16.84,16.87,16.79,16.79,341526
2015-02-04 09:45:00+05:30,16.77,16.84,16.72,16.77,728325
2015-02-04 10:00:00+05:30,16.77,16.81,16.69,16.76,612462
2015-02-04 10:15:00+05:30,16.76,16.77,16.65,16.71,662457
