date,open,high,low,close,volume
2015-02-16 09:15:00+05:30,110.7,111.4,110.45,110.6,527474
2015-02-16 09:30:00+05:30,110.6,111.05,110.2,110.45,291971
2015-02-16 09:45:00+05:30,110.45,111.0,110.0,110.7,236760
2015-02-16 10:00:00+05:30,110.7,111.35,110.7,111.3,385317
2015-02-16 10:15:00+05:30,111.25,111.55,110.9,111.45,241201
2015-02-16 10:30:00+05:30,111.45,111.5,110.9,111.4,243599
2015-02-16 10:45:00+05:30,111.4,111.6,111.0,111.25,215662
2015-02-16 11:00:00+05:30,111.25,112.0,111.1,111.8,350047
2015-02-16 11:15:00+05:30,111.8,112.2,111.25,111.75,274876
2015-02-16 11:30:00+05:30,111.75,112.1,111.35,111.95,194177
2015-02-16 11:45:00+05:30,111.95,112.0,111.7,111.9,88227
2015-02-16 12:00:00+05:30,111.9,112.3,111.85,111.95,200452
2015-02-16 12:15:00+05:30,111.95,112.15,111.9,112.1,94705
2015-02-16 12:30:00+05:30,112.15,112.3,112.0,112.15,119254
2015-02-16 12:45:00+05:30,112.1,112.4,112.0,112.35,147511
2015-02-16 13:00:00+05:30,112.35,112.65,112.05,112.4,212420
2015-02-16 13:15:00+05:30,112.4,112.6,112.15,112.4,113890
2015-02-16 13:30:00+05:30,112.4,112.5,112.1,112.4,137923
2015-02-16 13:45:00+05:30,112.4,112.45,112.1,112.4,145886
2015-02-16 14:00:00+05:30,112.4,112.4,112.1,112.4,172599
2015-02-16 14:15:00+05:30,112.4,112.45,112.1,112.3,209722
2015-02-16 14:30:00+05:30,112.3,112.5,112.1,112.45,211838
2015-02-16 14:45:00+05:30,112.4,112.95,112.15,112.85,423932
2015-02-16 15:00:00+05:30,112.85,113.3,112.2,112.35,550191
2015-02-16 15:15:00+05:30,112.3,112.6,112.2,112.2,428760
2015-02-18 09:15:00+05:30,112.75,112.9,111.9,111.9,346311
2015-02-18 09:30:00+05:30,111.9,112.2,111.4,111.5,213278
2015-02-18 09:45:00+05:30,111.4,111.95,111.2,111.5,219796
2015-02-18 10:00:00+05:30,111.5,111.7,111.2,111.4,168575
2015-02-18 10:15:00+05:30,111.4,111.55,110.85,111.5,164963
2015-02-18 10:30:00+05:30,111.5,111.7,111.4,111.55,89948
2015-02-18 10:45:00+05:30,111.5,111.6,111.25,111.3,49529
2015-02-18 11:00:00+05:30,111.3,111.6,111.25,111.55,45627
