date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,216.45,217.15,215.8,216.35,1244258
2015-02-02 09:30:00+05:30,216.4,216.45,215.75,215.8,611790
2015-02-02 09:45:00+05:30,215.8,216.2,215.5,215.9,492190
2015-02-02 10:00:00+05:30,215.9,216.1,215.15,215.75,441106
2015-02-02 10:15:00+05:30,215.75,216.0,215.5,215.75,192470
2015-02-02 10:30:00+05:30,215.8,215.9,215.6,215.7,171274
2015-02-02 10:45:00+05:30,215.7,215.9,215.55,215.7,289906
2015-02-02 11:00:00+05:30,215.7,215.75,215.3,215.3,172144
2015-02-02 11:15:00+05:30,215.3,215.6,215.2,215.5,173432
2015-02-02 11:30:00+05:30,215.5,215.8,215.2,215.65,1774588
2015-02-02 11:45:00+05:30,215.7,215.8,215.15,215.3,1402712
2015-02-02 12:00:00+05:30,215.3,215.8,215.2,215.75,270182
2015-02-02 12:15:00+05:30,215.8,215.8,214.6,214.85,458528
2015-02-02 12:30:00+05:30,214.9,215.5,214.9,215.2,233082
2015-02-02 12:45:00+05:30,215.2,215.5,214.9,215.1,297186
2015-02-02 13:00:00+05:30,215.2,215.75,215.1,215.7,519714
2015-02-02 13:15:00+05:30,215.6,215.9,215.3,215.9,343490
2015-02-02 13:30:00+05:30,215.9,216.6,215.7,216.0,1194310
2015-02-02 13:45:00+05:30,216.1,216.6,215.1,215.3,797188
2015-02-02 14:00:00+05:30,215.3,216.0,215.2,215.8,324332
2015-02-02 14:15:00+05:30,215.8,216.3,215.4,215.5,1729516
2015-02-02 14:30:00+05:30,215.6,215.85,214.7,214.7,1681164
2015-02-02 14:45:00+05:30,214.7,215.05,214.0,214.3,557206
2015-02-02 15:00:00+05:30,214.3,214.6,213.8,214.35,1419658
2015-02-02 15:15:00+05:30,214.3,214.7,214.1,214.4,1859188
2015-02-03 09:15:00+05:30,215.75,216.65,215.7,216.65,644406
2015-02-03 09:30:00+05:30,216.65,219.9,216.65,218.8,1268744
2015-02-03 09:45:00+05:30,218.8,219.05,217.55,218.05,577780
2015-02-03 10:00:00+05:30,218.05,218.6,217.8,218.3,239556
2015-02-03 10:15:00+05:30,218.3,218.55,217.5,218.1,357648
2015-02-03 10:30:00+05:30,218.1,219.0,218.1,218.75,321962
2015-02-03 10:45:00+05:30,218.8,219.1,218.6,218.7,219716
2015-02-03 11:00:00+05:30,218.75,219.55,218.35,219.2,665282
2015-02-03 11:15:00+05:30,219.15,219.4,218.5,219.1,271314
2015-02-03 11:30:00+05:30,219.1,219.5,218.4,219.25,289358
2015-02-03 11:45:00+05:30,219.2,219.4,216.7,217.2,695250
2015-02-03 12:00:00+05:30,217.35,218.1,217.2,217.8,248454
2015-02-03 12:15:00+05:30,217.8,218.7,217.4,217.6,398792
2015-02-03 12:30:00+05:30,217.6,218.7,217.6,218.5,331304
2015-02-03 12:45:00+05:30,218.5,218.8,218.15,218.4,271676
2015-02-03 13:00:00+05:30,218.55,218.95,218.4,218.7,264640
2015-02-03 13:15:00+05:30,218.7,219.1,218.5,218.9,316522
2015-02-03 13:30:00+05:30,218.9,220.3,218.5,219.45,1138718
2015-02-03 13:45:00+05:30,219.45,220.7,219.4,220.2,913754
2015-02-03 14:00:00+05:30,220.2,220.3,219.5,219.65,462152
2015-02-03 14:15:00+05:30,219.65,220.7,219.65,220.7,702516
2015-02-03 14:30:00+05:30,220.7,220.7,220.0,220.2,652294
2015-02-03 14:45:00+05:30,220.2,221.3,220.0,220.9,860630
2015-02-03 15:00:00+05:30,220.9,222.1,220.9,221.45,2152896
2015-02-03 15:15:00+05:30,221.45,221.75,220.5,221.0,2272628
2015-02-05 09:15:00+05:30,219.8,220.1,217.8,219.05,959146
2015-02-05 09:30:00+05:30,219.1,219.1,218.4,218.6,487680
2015-02-05 09:45:00+05:30,218.6,220.45,218.35,220.2,554962
2015-02-05 10:00:00+05:30,220.2,220.8,219.6,220.45,482710
2015-02-05 10:15:00+05:30,220.45,220.7,219.9,220.7,1047096
2015-02-05 10:30:00+05:30,220.8,220.8,220.0,220.65,340428
2015-02-05 10:45:00+05:30,220.65,220.7,219.9,220.25,225072
2015-02-05 11:00:00+05:30,220.3,220.35,219.9,219.95,215858
2015-02-05 11:15:00+05:30,219.95,220.2,219.6,220.15,488278
2015-02-05 11:30:00+05:30,219.95,220.2,219.1,219.2,375378
2015-02-05 11:45:00+05:30,219.2,219.8,218.4,219.1,461384
2015-02-05 12:00:00+05:30,219.05,220.15,219.0,219.7,424042
2015-02-05 12:15:00+05:30,219.65,220.0,219.4,219.7,215716
2015-02-05 12:30:00+05:30,219.7,219.8,218.8,219.05,233482
2015-02-05 12:45:00+05:30,219.05,219.25,218.6,218.7,164148
2015-02-05 13:00:00+05:30,218.7,219.7,218.6,219.55,184638
2015-02-05 13:15:00+05:30,219.55,221.1,219.2,220.2,752222
2015-02-05 13:30:00+05:30,220.2,221.9,219.55,220.0,809578
2015-02-05 13:45:00+05:30,220.0,220.4,219.7,220.2,201728
2015-02-05 14:00:00+05:30,220.3,220.9,219.9,220.0,336660
2015-02-05 14:15:00+05:30,220.0,221.05,219.9,220.4,288742
2015-02-05 14:30:00+05:30,220.35,220.7,219.1,219.4,273222
2015-02-05 14:45:00+05:30,219.35,220.35,218.4,218.9,547196
2015-02-05 15:00:00+05:30,218.9,219.4,218.15,218.15,642420
2015-02-05 15:15:00+05:30,218.15,218.55,216.65,217.55,1223270
2015-02-06 09:15:00+05:30,218.2,219.5,217.7,218.6,650896
2015-02-06 09:30:00+05:30,218.6,218.7,216.9,218.45,540612
2015-02-06 09:45:00+05:30,218.45,219.2,218.2,218.65,460584
2015-02-06 10:00:00+05:30,218.65,218.8,217.9,218.1,234704
2015-02-06 10:15:00+05:30,218.1,218.1,217.1,217.4,307222
2015-02-06 10:30:00+05:30,217.4,217.8,217.0,217.7,184504
2015-02-06 10:45:00+05:30,217.7,218.0,216.9,216.95,284134
2015-02-06 11:00:00+05:30,216.9,218.0,216.9,217.3,230952
2015-02-06 11:15:00+05:30,217.2,217.5,216.5,216.5,214896
2015-02-06 11:30:00+05:30,216.6,217.2,216.1,217.0,302450
2015-02-06 11:45:00+05:30,217.0,217.55,216.3,217.3,272852
2015-02-06 12:00:00+05:30,217.3,217.7,216.5,216.8,263046
2015-02-06 12:15:00+05:30,216.7,217.4,216.5,217.2,262492
2015-02-06 12:30:00+05:30,217.2,217.35,216.2,216.25,172858
2015-02-06 12:45:00+05:30,216.25,216.7,216.2,216.55,158962
2015-02-06 13:00:00+05:30,216.55,216.7,214.55,215.1,434624
2015-02-06 13:15:00+05:30,215.2,215.65,214.4,215.2,268722
2015-02-06 13:30:00+05:30,215.25,215.4,214.25,214.6,254436
2015-02-06 13:45:00+05:30,214.4,215.3,214.3,214.8,262712
2015-02-06 14:00:00+05:30,214.8,215.4,214.4,214.85,292062
2015-02-06 14:15:00+05:30,214.95,214.95,213.2,214.4,510470
2015-02-06 14:30:00+05:30,214.5,215.1,213.9,214.9,342496
2015-02-06 14:45:00+05:30,214.9,215.15,214.4,214.7,320172
2015-02-06 15:00:00+05:30,214.8,214.8,213.7,214.7,637236
2015-02-06 15:15:00+05:30,214.7,215.8,214.2,215.1,871016
2015-02-09 09:15:00+05:30,212.7,214.1,212.7,213.2,464054
2015-02-09 09:30:00+05:30,213.1,214.25,212.7,214.0,400726
2015-02-09 09:45:00+05:30,213.9,214.1,213.2,214.0,281464
2015-02-09 10:00:00+05:30,214.0,214.2,213.4,213.65,327312
2015-02-09 10:15:00+05:30,213.8,215.35,213.5,215.35,375806
2015-02-09 10:30:00+05:30,215.35,216.15,214.4,214.7,408588
2015-02-09 10:45:00+05:30,214.65,215.1,214.4,214.4,215930
2015-02-09 11:00:00+05:30,214.5,215.05,214.0,214.85,206420
2015-02-09 11:15:00+05:30,214.9,215.85,214.75,215.7,375532
2015-02-09 11:30:00+05:30,215.65,215.8,214.9,214.95,252230
2015-02-09 11:45:00+05:30,214.95,215.1,213.8,213.9,247244
2015-02-09 12:00:00+05:30,213.8,214.2,213.45,213.7,304972
2015-02-09 12:15:00+05:30,213.7,213.9,213.6,213.9,168998
2015-02-09 12:30:00+05:30,213.9,213.9,213.6,213.85,144758
2015-02-09 12:45:00+05:30,213.85,215.75,213.65,214.8,693436
2015-02-09 13:00:00+05:30,214.7,214.8,213.8,213.9,236312
2015-02-09 13:15:00+05:30,213.9,215.2,213.7,214.1,253468
2015-02-09 13:30:00+05:30,214.1,214.6,213.4,213.4,241426
2015-02-09 13:45:00+05:30,213.4,214.0,213.25,213.75,255132
2015-02-09 14:00:00+05:30,213.75,214.5,213.5,214.2,272890
2015-02-09 14:15:00+05:30,214.2,214.5,213.1,214.0,296646
2015-02-09 14:30:00+05:30,214.0,214.3,213.2,213.7,321946
2015-02-09 14:45:00+05:30,213.65,214.0,213.2,213.5,254976
2015-02-09 15:00:00+05:30,213.5,213.5,211.35,211.5,798344
2015-02-09 15:15:00+05:30,211.5,211.6,210.6,211.1,751728
2015-02-10 09:15:00+05:30,210.25,213.2,209.6,212.45,1239554
2015-02-10 09:30:00+05:30,212.45,213.45,211.9,212.7,554764
2015-02-10 09:45:00+05:30,212.7,213.5,212.45,213.25,389976
2015-02-10 10:00:00+05:30,213.25,213.35,212.0,212.4,336934
2015-02-10 10:15:00+05:30,212.35,213.0,211.5,211.8,276232
2015-02-10 10:30:00+05:30,211.9,212.9,211.8,212.55,160070
2015-02-10 10:45:00+05:30,212.55,212.9,212.45,212.8,211224
2015-02-10 11:00:00+05:30,212.8,212.8,211.9,212.4,178332
2015-02-10 11:15:00+05:30,212.45,213.15,212.0,213.0,194940
2015-02-10 11:30:00+05:30,213.0,213.1,212.05,212.1,170006
2015-02-10 11:45:00+05:30,212.1,212.35,211.4,211.7,332464
2015-02-10 12:00:00+05:30,211.5,212.4,211.05,211.75,438788
2015-02-10 12:15:00+05:30,211.8,211.8,209.95,210.6,393230
2015-02-10 12:30:00+05:30,210.6,210.9,209.8,210.15,502382
2015-02-10 12:45:00+05:30,210.15,211.1,210.15,210.55,562470
2015-02-10 13:00:00+05:30,210.5,210.9,209.95,210.1,232740
2015-02-10 13:15:00+05:30,210.1,211.3,210.0,210.3,663816
2015-02-10 13:30:00+05:30,210.3,210.5,208.95,208.95,831148
2015-02-10 13:45:00+05:30,209.1,209.7,207.7,207.8,426526
2015-02-10 14:00:00+05:30,207.75,208.15,203.4,205.0,1160816
2015-02-10 14:15:00+05:30,205.0,206.1,204.45,205.45,743952
2015-02-10 14:30:00+05:30,205.45,207.0,205.2,206.8,490706
2015-02-10 14:45:00+05:30,206.9,208.9,206.8,208.2,680274
2015-02-10 15:00:00+05:30,208.2,208.8,207.8,208.0,1016708
2015-02-10 15:15:00+05:30,207.7,208.9,207.55,208.8,991344
2015-02-11 09:15:00+05:30,209.15,210.2,209.15,209.95,588470
2015-02-11 09:30:00+05:30,209.95,210.7,209.15,210.2,416002
