date,open,high,low,close,volume
2019-04-11 09:15:00+05:30,18.9,18.9,18.9,18.9,0
2019-04-11 09:30:00+05:30,19.0,19.0,19.0,19.0,0
2019-04-11 09:45:00+05:30,19.0,19.0,19.0,19.0,0
2019-04-11 10:00:00+05:30,18.85,19.5,18.65,19.4,28154579
2019-04-11 10:15:00+05:30,19.35,19.4,19.05,19.15,7166916
2019-04-11 10:30:00+05:30,19.15,19.25,19.1,19.25,3378323
2019-04-11 10:45:00+05:30,19.25,19.4,19.2,19.35,4496758
2019-04-11 11:00:00+05:30,19.35,19.65,19.3,19.6,10193613
2019-04-11 11:15:00+05:30,19.6,19.75,19.55,19.75,4447653
2019-04-11 11:30:00+05:30,19.75,19.8,19.55,19.55,2654547
2019-04-11 11:45:00+05:30,19.55,19.65,19.5,19.6,1713524
2019-04-11 12:00:00+05:30,19.6,19.65,19.5,19.55,990076
2019-04-11 12:15:00+05:30,19.55,19.6,19.45,19.45,940555
2019-04-11 12:30:00+05:30,19.5,19.5,19.25,19.3,1526758
2019-04-11 12:45:00+05:30,19.25,19.3,19.2,19.25,840349
2019-04-11 13:00:00+05:30,19.2,19.3,19.2,19.25,682661
2019-04-11 13:15:00+05:30,19.25,19.25,19.0,19.0,3208893
2019-04-11 13:30:00+05:30,19.05,19.05,19.0,19.05,982263
2019-04-11 13:45:00+05:30,19.05,19.2,19.0,19.15,1049850
2019-04-11 14:00:00+05:30,19.15,19.15,19.05,19.15,481442
2019-04-11 14:15:00+05:30,19.15,19.2,19.1,19.2,711639
2019-04-11 14:30:00+05:30,19.2,19.25,19.1,19.2,2063542
2019-04-11 14:45:00+05:30,19.2,19.2,19.15,19.2,751517
2019-04-11 15:00:00+05:30,19.2,19.2,18.9,19.05,3974981
2019-04-11 15:15:00+05:30,19.1,19.15,19.0,19.1,3280005
2019-04-12 09:15:00+05:30,19.3,19.7,19.2,19.7,3487517
2019-04-12 09:30:00+05:30,19.65,19.7,19.4,19.5,2270791
2019-04-12 09:45:00+05:30,19.5,19.75,19.35,19.7,2780870
2019-04-12 10:00:00+05:30,19.7,19.8,19.65,19.7,3814603
2019-04-12 10:15:00+05:30,19.7,19.7,19.6,19.65,1024430
2019-04-12 10:30:00+05:30,19.65,19.75,19.6,19.7,643097
2019-04-12 10:45:00+05:30,19.7,19.85,19.7,19.8,3230633
2019-04-12 11:00:00+05:30,19.8,19.85,19.7,19.8,796607
2019-04-12 11:15:00+05:30,19.8,19.85,19.75,19.8,647277
2019-04-12 11:30:00+05:30,19.75,19.8,19.65,19.7,2234884
2019-04-12 11:45:00+05:30,19.7,19.75,19.6,19.7,937748
2019-04-12 12:00:00+05:30,19.75,19.75,19.65,19.7,358802
2019-04-12 12:15:00+05:30,19.7,19.7,19.6,19.7,276369
2019-04-12 12:30:00+05:30,19.7,19.7,19.6,19.7,308361
2019-04-12 12:45:00+05:30,19.7,19.7,19.65,19.65,185145
2019-04-12 13:00:00+05:30,19.7,19.7,19.6,19.65,260017
2019-04-12 13:15:00+05:30,19.65,19.7,19.6,19.7,333244
2019-04-12 13:30:00+05:30,19.7,19.7,19.65,19.7,187843
2019-04-12 13:45:00+05:30,19.7,19.7,19.65,19.65,176276
2019-04-12 14:00:00+05:30,19.7,19.7,19.65,19.7,349380
2019-04-12 14:15:00+05:30,19.7,19.7,19.65,19.65,175815
2019-04-12 14:30:00+05:30,19.65,19.7,19.6,19.6,427430
2019-04-12 14:45:00+05:30,19.6,19.7,19.6,19.65,405645
2019-04-12 15:00:00+05:30,19.7,19.85,19.65,19.8,2471208
2019-04-12 15:15:00+05:30,19.85,19.85,19.7,19.8,1913932
2019-04-15 09:15:00+05:30,20.0,20.1,19.9,19.95,2935864
2019-04-15 09:30:00+05:30,19.95,20.0,19.95,20.0,1010899
2019-04-15 09:45:00+05:30,20.0,20.3,19.95,20.15,3920567
2019-04-15 10:00:00+05:30,20.15,20.4,20.1,20.4,2311953
2019-04-15 10:15:00+05:30,20.35,20.6,20.35,20.6,3329300
2019-04-15 10:30:00+05:30,20.55,20.7,20.5,20.65,1474530
2019-04-15 10:45:00+05:30,20.6,20.7,20.55,20.6,1128261
2019-04-15 11:00:00+05:30,20.6,20.75,20.55,20.7,859226
2019-04-15 11:15:00+05:30,20.75,21.0,20.65,20.95,2542642
2019-04-15 11:30:00+05:30,20.9,22.1,20.9,21.8,8361837
2019-04-15 11:45:00+05:30,21.85,22.1,21.55,22.0,6413793
2019-04-15 12:00:00+05:30,21.95,22.65,21.95,22.55,7641333
2019-04-15 12:15:00+05:30,22.6,22.65,22.05,22.05,2939529
2019-04-15 12:30:00+05:30,22.05,22.4,22.05,22.35,1709816
2019-04-15 12:45:00+05:30,22.35,23.2,22.3,23.2,4954574
2019-04-15 13:00:00+05:30,23.2,23.4,23.1,23.2,4746066
2019-04-15 13:15:00+05:30,23.2,23.3,23.1,23.25,2212181
