date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,77.0,77.0,75.9,76.4,258842
2015-02-02 09:30:00+05:30,76.4,76.65,76.4,76.45,101257
2015-02-02 09:45:00+05:30,76.4,76.6,76.2,76.5,134100
2015-02-02 10:00:00+05:30,76.55,76.8,76.2,76.2,301789
2015-02-02 10:15:00+05:30,76.2,76.35,76.1,76.25,72618
2015-02-02 10:30:00+05:30,76.25,76.5,76.15,76.4,78819
2015-02-02 10:45:00+05:30,76.4,76.5,76.3,76.4,61825
2015-02-02 11:00:00+05:30,76.4,76.45,76.25,76.45,30855
2015-02-02 11:15:00+05:30,76.45,76.5,76.35,76.45,41306
2015-02-02 11:30:00+05:30,76.45,76.5,76.3,76.3,45312
2015-02-02 11:45:00+05:30,76.3,76.35,76.1,76.15,67659
2015-02-02 12:00:00+05:30,76.15,76.2,76.0,76.1,73260
2015-02-02 12:15:00+05:30,76.1,76.2,76.05,76.2,43620
2015-02-02 12:30:00+05:30,76.2,76.25,76.1,76.15,46106
2015-02-02 12:45:00+05:30,76.15,76.25,76.0,76.05,82764
2015-02-02 13:00:00+05:30,76.1,76.25,76.05,76.25,34724
2015-02-02 13:15:00+05:30,76.2,76.25,76.1,76.15,55901
2015-02-02 13:30:00+05:30,76.15,76.3,76.0,76.15,176749
2015-02-02 13:45:00+05:30,76.15,76.25,76.05,76.05,72266
2015-02-02 14:00:00+05:30,76.05,76.15,76.0,76.05,70326
2015-02-02 14:15:00+05:30,76.05,76.15,76.0,76.1,60419
2015-02-02 14:30:00+05:30,76.1,76.1,75.7,75.8,167139
2015-02-02 14:45:00+05:30,75.75,75.85,75.7,75.75,89544
2015-02-02 15:00:00+05:30,75.75,75.85,75.6,75.7,124793
2015-02-02 15:15:00+05:30,75.6,75.75,75.2,75.35,378611
2015-02-03 09:15:00+05:30,75.95,75.95,75.45,75.7,150852
2015-02-03 09:30:00+05:30,75.65,75.85,75.55,75.65,60974
2015-02-03 09:45:00+05:30,75.65,75.7,75.5,75.6,67357
2015-02-03 10:00:00+05:30,75.6,75.65,75.15,75.3,74750
2015-02-03 10:15:00+05:30,75.3,75.5,75.25,75.3,61868
2015-02-03 10:30:00+05:30,75.3,75.6,75.15,75.3,206367
