date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,929.65,943.0,928.3,937.85,321206
2015-02-02 09:30:00+05:30,937.85,937.9,930.05,932.65,82085
2015-02-02 09:45:00+05:30,932.0,935.0,929.15,934.55,57587
2015-02-02 10:00:00+05:30,934.55,935.0,932.95,934.15,34259
2015-02-02 10:15:00+05:30,934.1,935.0,932.65,934.15,27030
2015-02-02 10:30:00+05:30,934.15,938.0,931.0,937.3,47850
2015-02-02 10:45:00+05:30,937.3,938.0,934.5,934.6,42454
2015-02-02 11:00:00+05:30,934.6,935.0,934.25,934.85,27670
2015-02-02 11:15:00+05:30,934.85,935.0,934.2,934.95,39267
2015-02-02 11:30:00+05:30,934.95,935.0,934.2,934.65,20564
2015-02-02 11:45:00+05:30,934.75,936.5,933.1,934.1,66786
2015-02-02 12:00:00+05:30,934.1,935.15,933.4,934.95,21808
2015-02-02 12:15:00+05:30,935.0,935.0,932.3,934.0,33932
2015-02-02 12:30:00+05:30,934.15,934.6,928.5,929.15,46919
2015-02-02 12:45:00+05:30,929.15,934.25,926.4,929.5,87673
2015-02-02 13:00:00+05:30,929.5,931.0,922.0,928.1,73766
2015-02-02 13:15:00+05:30,928.0,931.65,927.0,929.6,75870
2015-02-02 13:30:00+05:30,929.9,931.0,922.0,929.8,93009
2015-02-02 13:45:00+05:30,929.75,929.75,925.1,925.6,49320
2015-02-02 14:00:00+05:30,925.6,928.4,924.55,926.1,46454
2015-02-02 14:15:00+05:30,925.0,927.4,924.55,926.55,49780
2015-02-02 14:30:00+05:30,926.6,930.7,925.75,926.2,81787
2015-02-02 14:45:00+05:30,926.3,930.0,924.0,925.65,92469
2015-02-02 15:00:00+05:30,925.4,929.9,925.25,929.55,116865
2015-02-02 15:15:00+05:30,929.6,930.6,927.15,928.0,110424
2015-02-03 09:15:00+05:30,933.9,936.15,926.55,928.9,148285
2015-02-03 09:30:00+05:30,928.95,932.8,928.9,929.15,52872
2015-02-03 09:45:00+05:30,929.0,931.0,929.0,929.85,41428
2015-02-03 10:00:00+05:30,929.85,930.0,928.8,929.3,36213
2015-02-03 10:15:00+05:30,929.3,930.0,928.0,928.15,24964
2015-02-03 10:30:00+05:30,928.6,928.6,926.8,927.1,42013
2015-02-03 10:45:00+05:30,927.2,927.25,921.25,921.5,92833
2015-02-03 11:00:00+05:30,921.5,929.5,919.35,929.1,145369
2015-02-03 11:15:00+05:30,929.1,930.0,927.85,928.35,62675
2015-02-03 11:30:00+05:30,928.5,928.5,924.55,927.3,41364
2015-02-03 11:45:00+05:30,927.3,927.95,923.55,924.2,41797
2015-02-03 12:00:00+05:30,924.0,926.5,923.9,925.2,21500
2015-02-03 12:15:00+05:30,925.1,925.5,923.5,924.9,25800
