date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,14.7,15.2,14.7,15.15,1934079
2015-02-02 09:30:00+05:30,15.15,15.5,15.15,15.4,3561558
2015-02-02 09:45:00+05:30,15.35,15.7,15.35,15.5,4086950
2015-02-02 10:00:00+05:30,15.5,15.6,15.45,15.5,1696845
2015-02-02 10:15:00+05:30,15.5,15.6,15.5,15.5,833852
2015-02-02 10:30:00+05:30,15.5,15.55,15.5,15.55,813909
2015-02-02 10:45:00+05:30,15.5,15.55,15.45,15.45,1172909
2015-02-02 11:00:00+05:30,15.45,15.5,15.45,15.45,801918
2015-02-02 11:15:00+05:30,15.45,15.45,15.35,15.4,716212
2015-02-02 11:30:00+05:30,15.35,15.45,15.25,15.25,1030625
2015-02-02 11:45:00+05:30,15.25,15.3,15.2,15.2,713887
2015-02-02 12:00:00+05:30,15.2,15.25,15.15,15.2,739685
2015-02-02 12:15:00+05:30,15.25,15.3,15.15,15.25,1008298
2015-02-02 12:30:00+05:30,15.25,15.35,15.25,15.3,889087
2015-02-02 12:45:00+05:30,15.3,15.35,15.2,15.25,609388
2015-02-02 13:00:00+05:30,15.2,15.25,15.2,15.25,326964
2015-02-02 13:15:00+05:30,15.2,15.25,15.1,15.25,987760
2015-02-02 13:30:00+05:30,15.25,15.55,15.2,15.5,3202956
2015-02-02 13:45:00+05:30,15.45,15.55,15.35,15.45,1581360
2015-02-02 14:00:00+05:30,15.45,15.5,15.4,15.45,983387
2015-02-02 14:15:00+05:30,15.45,15.45,15.25,15.4,1635488
2015-02-02 14:30:00+05:30,15.4,15.45,15.25,15.3,1043811
2015-02-02 14:45:00+05:30,15.3,15.35,15.2,15.25,1140696
2015-02-02 15:00:00+05:30,15.25,15.35,15.2,15.25,1543681
2015-02-02 15:15:00+05:30,15.25,15.35,15.25,15.25,2399829
2015-02-03 09:15:00+05:30,15.55,15.9,15.45,15.45,5344922
2015-02-03 09:30:00+05:30,15.45,15.55,15.4,15.45,2358839
2015-02-03 09:45:00+05:30,15.45,15.45,15.35,15.4,1043014
2015-02-03 10:00:00+05:30,15.4,15.55,15.4,15.5,1406936
2015-02-03 10:15:00+05:30,15.5,15.55,15.45,15.5,829465
2015-02-03 10:30:00+05:30,15.5,15.55,15.45,15.45,724799
2015-02-03 10:45:00+05:30,15.45,15.5,15.45,15.45,489311
2015-02-03 11:00:00+05:30,15.45,15.5,15.4,15.45,642911
2015-02-03 11:15:00+05:30,15.45,15.5,15.45,15.5,356477
2015-02-03 11:30:00+05:30,15.5,15.5,15.45,15.45,504045
2015-02-03 11:45:00+05:30,15.45,15.45,15.2,15.3,1560823
2015-02-03 12:00:00+05:30,15.25,15.3,15.1,15.15,1653178
2015-02-03 12:15:00+05:30,15.15,15.25,15.15,15.25,668064
2015-02-03 12:30:00+05:30,15.2,15.25,15.15,15.25,704165
2015-02-03 12:45:00+05:30,15.2,15.3,15.15,15.2,475647
2015-02-03 13:00:00+05:30,15.2,15.35,15.15,15.3,596985
2015-02-03 13:15:00+05:30,15.35,15.55,15.25,15.5,1633239
2015-02-03 13:30:00+05:30,15.5,15.85,15.5,15.7,6705900
2015-02-03 13:45:00+05:30,15.65,15.7,15.55,15.65,1379445
2015-02-03 14:00:00+05:30,15.7,15.95,15.65,15.7,3633764
2015-02-03 14:15:00+05:30,15.75,15.95,15.7,15.85,2735773
2015-02-03 14:30:00+05:30,15.85,16.4,15.8,16.3,13678262
2015-02-03 14:45:00+05:30,16.25,16.3,15.8,15.95,4430037
2015-02-03 15:00:00+05:30,15.9,15.95,15.6,15.65,4522600
2015-02-03 15:15:00+05:30,15.65,15.75,15.55,15.75,8276970
2015-02-04 09:15:00+05:30,15.85,15.95,15.6,15.7,3747881
2015-02-04 09:30:00+05:30,15.7,15.85,15.65,15.7,1811905
2015-02-04 09:45:00+05:30,15.65,15.8,15.65,15.7,1342972
2015-02-04 10:00:00+05:30,15.7,15.8,15.65,15.75,994101
2015-02-04 10:15:00+05:30,15.8,16.1,15.7,16.0,4404064
2015-02-04 10:30:00+05:30,16.0,16.0,15.8,15.8,1287312
2015-02-04 10:45:00+05:30,15.75,15.95,15.75,15.9,1487928
2015-02-04 11:00:00+05:30,15.85,15.95,15.85,15.9,703618
2015-02-04 11:15:00+05:30,15.9,16.05,15.9,16.0,1355492
2015-02-04 11:30:00+05:30,16.0,16.1,15.95,16.05,1655205
2015-02-04 11:45:00+05:30,16.05,16.2,16.0,16.15,2467953
2015-02-04 12:00:00+05:30,16.15,16.2,16.0,16.0,1511865
2015-02-04 12:15:00+05:30,16.0,16.1,15.95,16.0,1210402
2015-02-04 12:30:00+05:30,15.95,16.0,15.9,16.0,1230778
2015-02-04 12:45:00+05:30,16.0,16.2,16.0,16.1,2108854
2015-02-04 13:00:00+05:30,16.15,16.25,16.05,16.15,1984328
2015-02-04 13:15:00+05:30,16.15,16.35,16.1,16.3,3478779
2015-02-04 13:30:00+05:30,16.35,16.6,16.3,16.55,12974265
2015-02-04 13:45:00+05:30,16.55,16.75,16.45,16.5,8506308
2015-02-04 14:00:00+05:30,16.45,16.55,16.25,16.35,4965886
2015-02-04 14:15:00+05:30,16.3,16.4,16.25,16.3,1693804
2015-02-04 14:30:00+05:30,16.25,16.3,16.2,16.25,1647270
2015-02-04 14:45:00+05:30,16.2,16.25,16.0,16.15,6585898
2015-02-04 15:00:00+05:30,16.15,16.2,15.9,15.95,3574360
2015-02-04 15:15:00+05:30,15.95,16.2,15.9,16.1,5744534
2015-02-05 09:15:00+05:30,16.15,16.6,16.1,16.55,6037573
2015-02-05 09:30:00+05:30,16.55,16.65,16.5,16.55,3871521
2015-02-05 09:45:00+05:30,16.55,16.55,16.3,16.35,2662273
2015-02-05 10:00:00+05:30,16.35,16.4,16.2,16.4,1966391
2015-02-05 10:15:00+05:30,16.4,16.55,16.35,16.5,1454087
2015-02-05 10:30:00+05:30,16.5,16.55,16.4,16.5,1989498
2015-02-05 10:45:00+05:30,16.45,16.5,16.3,16.35,1009262
2015-02-05 11:00:00+05:30,16.3,16.5,16.3,16.4,1059309
2015-02-05 11:15:00+05:30,16.4,16.45,16.3,16.3,504972
2015-02-05 11:30:00+05:30,16.3,16.35,16.25,16.25,500436
2015-02-05 11:45:00+05:30,16.25,16.3,16.15,16.25,1238530
2015-02-05 12:00:00+05:30,16.25,16.5,16.25,16.4,1321267
2015-02-05 12:15:00+05:30,16.35,16.45,16.3,16.45,909759
2015-02-05 12:30:00+05:30,16.45,16.5,16.35,16.35,2671828
2015-02-05 12:45:00+05:30,16.35,16.4,16.3,16.35,609008
2015-02-05 13:00:00+05:30,16.35,16.4,16.3,16.35,550131
2015-02-05 13:15:00+05:30,16.35,16.5,16.35,16.45,1486570
2015-02-05 13:30:00+05:30,16.45,16.5,16.4,16.45,772897
2015-02-05 13:45:00+05:30,16.45,16.45,16.35,16.35,764268
2015-02-05 14:00:00+05:30,16.35,16.45,16.3,16.35,1175590
2015-02-05 14:15:00+05:30,16.35,16.4,16.3,16.3,615701
2015-02-05 14:30:00+05:30,16.3,16.35,16.1,16.15,2203952
2015-02-05 14:45:00+05:30,16.1,16.15,15.95,16.0,2725313
2015-02-05 15:00:00+05:30,16.05,16.05,15.65,15.7,4133216
2015-02-05 15:15:00+05:30,15.7,15.7,15.4,15.65,5987768
2015-02-06 09:15:00+05:30,15.7,15.9,15.35,15.9,4226673
2015-02-06 09:30:00+05:30,15.85,15.9,15.45,15.55,1998911
2015-02-06 09:45:00+05:30,15.5,15.75,15.5,15.65,1618330
2015-02-06 10:00:00+05:30,15.7,15.75,15.45,15.45,1147093
2015-02-06 10:15:00+05:30,15.45,15.55,15.3,15.3,1381839
2015-02-06 10:30:00+05:30,15.35,15.45,14.9,15.0,2953920
2015-02-06 10:45:00+05:30,15.0,15.3,14.75,15.25,2391883
2015-02-06 11:00:00+05:30,15.25,15.5,15.2,15.35,1761771
2015-02-06 11:15:00+05:30,15.35,15.4,15.3,15.3,558990
2015-02-06 11:30:00+05:30,15.3,15.4,15.3,15.35,459735
2015-02-06 11:45:00+05:30,15.35,15.45,15.35,15.35,295800
2015-02-06 12:00:00+05:30,15.35,15.5,15.35,15.45,609644
2015-02-06 12:15:00+05:30,15.4,15.65,15.4,15.6,1529080
2015-02-06 12:30:00+05:30,15.6,15.6,15.5,15.55,489001
2015-02-06 12:45:00+05:30,15.55,15.6,15.45,15.45,242123
2015-02-06 13:00:00+05:30,15.45,15.45,15.4,15.45,290100
2015-02-06 13:15:00+05:30,15.4,15.45,15.35,15.4,457841
2015-02-06 13:30:00+05:30,15.35,15.4,15.25,15.3,692952
2015-02-06 13:45:00+05:30,15.3,15.8,15.3,15.65,2094609
2015-02-06 14:00:00+05:30,15.65,15.7,15.45,15.45,832295
2015-02-06 14:15:00+05:30,15.5,15.55,15.4,15.45,897562
2015-02-06 14:30:00+05:30,15.45,15.5,15.35,15.4,919069
2015-02-06 14:45:00+05:30,15.45,15.45,15.35,15.4,807577
2015-02-06 15:00:00+05:30,15.4,15.5,15.3,15.3,1830314
2015-02-06 15:15:00+05:30,15.3,15.35,15.2,15.35,3505403
2015-02-09 09:15:00+05:30,15.1,15.25,14.85,15.2,2605709
2015-02-09 09:30:00+05:30,15.2,15.85,15.15,15.7,4439792
2015-02-09 09:45:00+05:30,15.7,16.0,15.65,15.75,3035023
2015-02-09 10:00:00+05:30,15.75,15.75,15.6,15.7,1022327
2015-02-09 10:15:00+05:30,15.7,15.75,15.5,15.6,1538900
2015-02-09 10:30:00+05:30,15.65,15.65,15.45,15.65,1281823
2015-02-09 10:45:00+05:30,15.6,15.75,15.55,15.75,1107430
2015-02-09 11:00:00+05:30,15.85,16.1,15.85,16.05,6608607
2015-02-09 11:15:00+05:30,16.05,16.25,16.0,16.15,3060306
2015-02-09 11:30:00+05:30,16.15,16.6,16.15,16.35,9553583
2015-02-09 11:45:00+05:30,16.35,16.4,16.25,16.3,1234459
2015-02-09 12:00:00+05:30,16.3,16.4,16.1,16.15,1319521
2015-02-09 12:15:00+05:30,16.15,16.15,16.0,16.15,1385389
2015-02-09 12:30:00+05:30,16.15,16.15,15.95,16.1,2761725
2015-02-09 12:45:00+05:30,16.1,16.4,16.0,16.35,1173762
2015-02-09 13:00:00+05:30,16.35,16.4,16.25,16.25,879817
2015-02-09 13:15:00+05:30,16.25,16.35,16.2,16.3,837047
2015-02-09 13:30:00+05:30,16.3,16.55,16.3,16.35,4801013
2015-02-09 13:45:00+05:30,16.35,16.4,16.2,16.25,1006249
2015-02-09 14:00:00+05:30,16.25,16.3,16.1,16.2,1121064
2015-02-09 14:15:00+05:30,16.2,16.25,16.0,16.2,1401748
2015-02-09 14:30:00+05:30,16.2,16.6,16.1,16.4,4654795
2015-02-09 14:45:00+05:30,16.45,16.5,16.3,16.3,1757928
2015-02-09 15:00:00+05:30,16.3,16.4,16.2,16.3,2223035
2015-02-09 15:15:00+05:30,16.25,16.3,16.0,16.05,9232437
2015-02-10 09:15:00+05:30,16.0,16.75,15.9,16.5,6484395
2015-02-10 09:30:00+05:30,16.5,16.55,16.35,16.35,1021989
2015-02-10 09:45:00+05:30,16.4,16.45,16.25,16.4,1108291
2015-02-10 10:00:00+05:30,16.35,16.4,16.3,16.35,423108
2015-02-10 10:15:00+05:30,16.35,16.75,16.35,16.65,5060959
2015-02-10 10:30:00+05:30,16.65,17.1,16.65,16.8,8025554
2015-02-10 10:45:00+05:30,16.8,16.85,16.6,16.7,1452791
2015-02-10 11:00:00+05:30,16.65,16.8,16.6,16.7,1337806
2015-02-10 11:15:00+05:30,16.75,16.8,16.55,16.6,1717280
2015-02-10 11:30:00+05:30,16.6,16.65,16.55,16.6,631496
2015-02-10 11:45:00+05:30,16.6,16.65,16.55,16.6,678613
2015-02-10 12:00:00+05:30,16.55,16.65,16.55,16.6,795274
2015-02-10 12:15:00+05:30,16.6,16.6,16.4,16.4,2784681
2015-02-10 12:30:00+05:30,16.45,16.5,16.4,16.45,1082630
2015-02-10 12:45:00+05:30,16.4,16.55,16.4,16.45,388058
2015-02-10 13:00:00+05:30,16.45,16.5,16.4,16.4,289437
2015-02-10 13:15:00+05:30,16.4,16.45,16.3,16.3,780091
2015-02-10 13:30:00+05:30,16.3,16.35,16.2,16.25,1993467
2015-02-10 13:45:00+05:30,16.25,16.3,15.8,15.9,2838551
2015-02-10 14:00:00+05:30,15.95,16.2,15.6,15.8,4340919
2015-02-10 14:15:00+05:30,15.85,16.0,15.75,16.0,1796028
2015-02-10 14:30:00+05:30,16.0,16.15,16.0,16.0,1329446
2015-02-10 14:45:00+05:30,16.05,16.1,15.95,16.0,1027635
2015-02-10 15:00:00+05:30,16.0,16.15,16.0,16.0,1595651
2015-02-10 15:15:00+05:30,16.0,16.3,16.0,16.3,3280136
2015-02-11 09:15:00+05:30,16.6,16.9,16.45,16.6,7544383
2015-02-11 09:30:00+05:30,16.6,16.65,16.45,16.5,2231042
2015-02-11 09:45:00+05:30,16.5,16.5,16.25,16.3,2028101
2015-02-11 10:00:00+05:30,16.3,16.35,16.25,16.3,1195261
2015-02-11 10:15:00+05:30,16.25,16.3,16.15,16.3,1103298
2015-02-11 10:30:00+05:30,16.3,16.3,16.1,16.25,1305736
2015-02-11 10:45:00+05:30,16.25,16.25,16.15,16.25,920140
2015-02-11 11:00:00+05:30,16.25,16.3,16.15,16.25,1080824
2015-02-11 11:15:00+05:30,16.25,16.4,16.25,16.3,1131879
2015-02-11 11:30:00+05:30,16.3,16.55,16.25,16.3,2233888
2015-02-11 11:45:00+05:30,16.3,16.35,16.25,16.35,484442
2015-02-11 12:00:00+05:30,16.35,16.45,16.25,16.3,609593
2015-02-11 12:15:00+05:30,16.25,16.4,16.25,16.4,637669
2015-02-11 12:30:00+05:30,16.4,16.4,16.25,16.25,650565
2015-02-11 12:45:00+05:30,16.25,16.4,16.25,16.35,769080
2015-02-11 13:00:00+05:30,16.35,16.45,16.3,16.4,667319
2015-02-11 13:15:00+05:30,16.45,16.45,16.35,16.4,363666
2015-02-11 13:30:00+05:30,16.4,16.4,16.25,16.3,568079
2015-02-11 13:45:00+05:30,16.35,16.35,16.25,16.3,346382
2015-02-11 14:00:00+05:30,16.3,16.4,16.25,16.35,469238
