date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,156.45,160.3,155.8,158.2,246160
2015-02-02 09:30:00+05:30,158.2,158.55,156.9,157.95,108192
2015-02-02 09:45:00+05:30,157.95,158.2,157.4,157.75,49037
2015-02-02 10:00:00+05:30,157.75,158.75,157.75,158.45,82413
2015-02-02 10:15:00+05:30,158.45,158.95,158.15,158.65,133027
2015-02-02 10:30:00+05:30,158.65,158.9,158.55,158.85,28889
2015-02-02 10:45:00+05:30,158.9,163.45,158.85,163.05,723950
2015-02-02 11:00:00+05:30,163.15,165.7,162.3,164.5,1039790
2015-02-02 11:15:00+05:30,164.4,164.4,163.4,163.4,299677
2015-02-02 11:30:00+05:30,163.4,163.95,162.8,163.3,204857
2015-02-02 11:45:00+05:30,163.3,163.65,162.8,163.05,137575
2015-02-02 12:00:00+05:30,163.0,163.45,162.75,163.35,253419
2015-02-02 12:15:00+05:30,163.35,163.35,162.3,162.5,182846
2015-02-02 12:30:00+05:30,162.55,162.95,161.85,162.5,310724
2015-02-02 12:45:00+05:30,162.5,162.55,162.0,162.05,137293
2015-02-02 13:00:00+05:30,162.1,162.25,161.85,162.0,115922
2015-02-02 13:15:00+05:30,162.05,162.2,160.9,162.1,219725
2015-02-02 13:30:00+05:30,162.1,162.45,161.2,161.55,177025
2015-02-02 13:45:00+05:30,161.55,162.9,161.1,162.5,148335
2015-02-02 14:00:00+05:30,162.5,162.9,161.3,162.0,97688
2015-02-02 14:15:00+05:30,162.0,162.25,161.75,161.8,52124
2015-02-02 14:30:00+05:30,161.8,162.35,161.05,161.75,110264
2015-02-02 14:45:00+05:30,161.75,162.05,161.55,161.95,91215
2015-02-02 15:00:00+05:30,161.95,162.15,161.2,161.5,211827
2015-02-02 15:15:00+05:30,161.5,162.0,161.2,161.45,321249
2015-02-03 09:15:00+05:30,161.65,162.5,161.15,161.4,197376
2015-02-03 09:30:00+05:30,161.4,161.7,160.25,160.7,122680
2015-02-03 09:45:00+05:30,160.7,160.75,159.55,160.0,111283
2015-02-03 10:00:00+05:30,160.0,160.2,159.3,159.35,73920
2015-02-03 10:15:00+05:30,159.35,160.0,159.35,159.95,39506
2015-02-03 10:30:00+05:30,159.95,160.1,159.6,159.9,31861
2015-02-03 10:45:00+05:30,159.9,160.35,159.5,159.7,44989
2015-02-03 11:00:00+05:30,159.7,161.05,159.0,160.65,165310
2015-02-03 11:15:00+05:30,160.75,160.95,159.05,159.15,136463
2015-02-03 11:30:00+05:30,159.2,159.5,158.7,158.75,94824
2015-02-03 11:45:00+05:30,158.75,159.0,157.25,157.95,95113
2015-02-03 12:00:00+05:30,157.95,158.5,157.55,157.85,82253
2015-02-03 12:15:00+05:30,157.85,158.3,157.6,158.15,42750
2015-02-03 12:30:00+05:30,158.15,158.9,158.05,158.9,41058
2015-02-03 12:45:00+05:30,158.9,158.9,158.25,158.35,29748
2015-02-03 13:00:00+05:30,158.35,158.9,157.75,157.95,227397
2015-02-03 13:15:00+05:30,157.95,158.2,157.65,157.85,36645
2015-02-03 13:30:00+05:30,157.85,158.15,157.45,158.15,27743
2015-02-03 13:45:00+05:30,158.15,158.95,158.05,158.5,34669
2015-02-03 14:00:00+05:30,158.4,158.7,158.15,158.25,14560
2015-02-03 14:15:00+05:30,158.25,158.8,158.25,158.75,9736
2015-02-03 14:30:00+05:30,158.8,159.0,158.55,158.75,52003
2015-02-03 14:45:00+05:30,158.75,159.0,158.65,158.9,36655
2015-02-03 15:00:00+05:30,158.95,159.0,158.45,158.55,89815
2015-02-03 15:15:00+05:30,158.55,158.7,157.85,158.05,109634
2015-02-05 09:15:00+05:30,157.2,157.85,156.75,157.15,45377
2015-02-05 09:30:00+05:30,157.05,157.7,156.65,157.15,55118
2015-02-05 09:45:00+05:30,157.15,157.35,155.75,156.05,69873
2015-02-05 10:00:00+05:30,156.05,156.5,155.55,155.6,87789
2015-02-05 10:15:00+05:30,155.7,156.15,155.55,155.95,39234
2015-02-05 10:30:00+05:30,155.95,156.1,155.15,155.15,35638
2015-02-05 10:45:00+05:30,155.15,155.9,155.0,155.35,52385
2015-02-05 11:00:00+05:30,155.35,155.7,155.25,155.7,14992
2015-02-05 11:15:00+05:30,155.65,155.95,155.25,155.6,23329
2015-02-05 11:30:00+05:30,155.6,155.65,155.15,155.5,15782
2015-02-05 11:45:00+05:30,155.5,155.9,155.3,155.9,22641
2015-02-05 12:00:00+05:30,155.9,155.9,155.05,155.1,222905
2015-02-05 12:15:00+05:30,155.1,155.25,154.95,155.25,77049
2015-02-05 12:30:00+05:30,155.25,155.25,154.85,155.1,21415
2015-02-05 12:45:00+05:30,154.95,155.1,154.75,154.8,22918
