date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,91.15,91.8,90.55,90.85,480091
2015-02-02 09:30:00+05:30,90.8,91.0,89.5,89.7,351091
2015-02-02 09:45:00+05:30,89.75,90.3,89.3,90.15,205211
2015-02-02 10:00:00+05:30,90.15,90.5,90.0,90.15,115292
2015-02-02 10:15:00+05:30,90.15,90.6,90.1,90.6,152330
2015-02-02 10:30:00+05:30,90.6,91.3,90.4,91.05,256983
2015-02-02 10:45:00+05:30,91.05,91.3,90.8,91.05,133552
2015-02-02 11:00:00+05:30,91.1,91.35,91.05,91.35,97600
2015-02-02 11:15:00+05:30,91.35,92.4,91.3,92.25,390844
2015-02-02 11:30:00+05:30,92.35,92.45,91.6,91.75,310004
2015-02-02 11:45:00+05:30,91.8,91.95,91.0,91.3,209124
2015-02-02 12:00:00+05:30,91.3,91.55,91.0,91.4,169103
2015-02-02 12:15:00+05:30,91.4,91.5,91.2,91.4,121712
2015-02-02 12:30:00+05:30,91.4,91.5,91.3,91.4,98638
2015-02-02 12:45:00+05:30,91.4,91.5,90.4,90.75,182581
2015-02-02 13:00:00+05:30,90.75,91.3,90.7,91.1,134485
2015-02-02 13:15:00+05:30,91.1,91.25,90.8,90.95,135970
2015-02-02 13:30:00+05:30,91.0,91.65,90.8,91.3,339904
2015-02-02 13:45:00+05:30,91.35,91.4,91.1,91.1,131026
2015-02-02 14:00:00+05:30,91.1,91.75,91.1,91.6,138118
2015-02-02 14:15:00+05:30,91.5,91.55,91.15,91.15,132921
2015-02-02 14:30:00+05:30,91.15,91.3,90.9,91.1,142537
2015-02-02 14:45:00+05:30,91.1,91.1,90.45,90.95,195599
2015-02-02 15:00:00+05:30,91.0,91.45,90.95,91.3,253886
2015-02-02 15:15:00+05:30,91.3,91.35,90.8,90.85,339972
2015-02-03 09:15:00+05:30,91.45,91.75,90.8,91.35,278188
2015-02-03 09:30:00+05:30,91.35,91.45,91.2,91.3,46841
2015-02-03 09:45:00+05:30,91.3,91.3,90.5,90.85,109134
2015-02-03 10:00:00+05:30,90.85,91.0,90.65,90.9,37008
2015-02-03 10:15:00+05:30,90.8,90.9,90.55,90.75,59419
2015-02-03 10:30:00+05:30,90.75,91.0,90.7,90.9,40073
2015-02-03 10:45:00+05:30,90.9,91.05,90.75,91.05,24295
