date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,34.59,34.79,34.45,34.59,2196070
2015-02-02 09:30:00+05:30,34.59,34.84,34.5,34.79,2071190
2015-02-02 09:45:00+05:30,34.79,34.94,34.74,34.94,1691470
2015-02-02 10:00:00+05:30,34.94,35.03,34.84,34.89,1580970
2015-02-02 10:15:00+05:30,34.89,34.94,34.79,34.89,692190
2015-02-02 10:30:00+05:30,34.89,34.89,34.74,34.79,907220
2015-02-02 10:45:00+05:30,34.79,34.89,34.74,34.79,833990
2015-02-02 11:00:00+05:30,34.79,34.84,34.74,34.79,535020
2015-02-02 11:15:00+05:30,34.79,34.84,34.59,34.59,1158140
2015-02-02 11:30:00+05:30,34.59,34.64,34.54,34.54,758410
2015-02-02 11:45:00+05:30,34.54,34.59,34.45,34.5,696610
2015-02-02 12:00:00+05:30,34.5,34.59,34.4,34.59,916630
2015-02-02 12:15:00+05:30,34.59,34.64,34.5,34.54,719320
2015-02-02 12:30:00+05:30,34.59,34.64,34.5,34.59,536260
2015-02-02 12:45:00+05:30,34.59,34.59,34.5,34.54,339250
2015-02-02 13:00:00+05:30,34.54,34.59,34.5,34.54,244000
2015-02-02 13:15:00+05:30,34.54,34.59,34.5,34.59,516730
2015-02-02 13:30:00+05:30,34.59,34.69,34.5,34.59,1232980
2015-02-02 13:45:00+05:30,34.69,34.69,34.35,34.35,1507200
2015-02-02 14:00:00+05:30,34.4,34.54,34.4,34.45,813340
2015-02-02 14:15:00+05:30,34.45,34.54,34.3,34.3,1085060
2015-02-02 14:30:00+05:30,34.3,34.3,33.86,34.01,4395420
2015-02-02 14:45:00+05:30,33.96,34.06,33.91,34.06,1485180
2015-02-02 15:00:00+05:30,34.06,34.06,33.91,34.01,1932780
2015-02-02 15:15:00+05:30,34.01,34.06,33.96,34.01,2819080
2015-02-03 09:15:00+05:30,34.3,34.3,34.06,34.15,1936430
2015-02-03 09:30:00+05:30,34.15,34.25,34.06,34.06,942710
2015-02-03 09:45:00+05:30,34.06,34.1,33.86,33.91,1134500
2015-02-03 10:00:00+05:30,33.91,34.06,33.86,34.01,723990
2015-02-03 10:15:00+05:30,34.01,34.15,34.01,34.1,729730
2015-02-03 10:30:00+05:30,34.1,34.3,34.06,34.2,1153650
2015-02-03 10:45:00+05:30,34.2,34.25,34.1,34.15,753730
2015-02-03 11:00:00+05:30,34.15,34.3,34.01,34.25,1229650
2015-02-03 11:15:00+05:30,34.25,34.25,34.06,34.15,854260
2015-02-03 11:30:00+05:30,34.15,34.2,34.01,34.06,740320
2015-02-03 11:45:00+05:30,34.06,34.06,33.66,33.71,2485890
2015-02-03 12:00:00+05:30,33.76,33.86,33.42,33.57,2797290
2015-02-03 12:15:00+05:30,33.57,33.76,33.52,33.71,1018270
2015-02-03 12:30:00+05:30,33.71,33.81,33.66,33.81,829410
2015-02-03 12:45:00+05:30,33.81,34.1,33.71,33.96,2541070
2015-02-03 13:00:00+05:30,33.96,34.01,33.81,33.91,774910
2015-02-03 13:15:00+05:30,33.91,33.96,33.71,33.76,874190
2015-02-03 13:30:00+05:30,33.71,33.91,33.66,33.76,1061560
2015-02-03 13:45:00+05:30,33.71,33.91,33.71,33.76,1047330
2015-02-03 14:00:00+05:30,33.76,33.86,33.66,33.66,1039440
2015-02-03 14:15:00+05:30,33.66,33.81,33.66,33.76,981390
2015-02-03 14:30:00+05:30,33.76,33.81,33.62,33.71,977860
2015-02-03 14:45:00+05:30,33.71,34.01,33.66,33.86,2311170
2015-02-03 15:00:00+05:30,33.86,33.91,33.71,33.76,2113820
2015-02-03 15:15:00+05:30,33.76,33.81,33.62,33.66,3321140
2015-02-05 09:15:00+05:30,34.74,34.84,34.5,34.74,2478700
2015-02-05 09:30:00+05:30,34.74,34.84,34.64,34.74,1150070
2015-02-05 09:45:00+05:30,34.74,34.79,34.54,34.64,1130470
2015-02-05 10:00:00+05:30,34.64,34.69,34.45,34.54,1184060
2015-02-05 10:15:00+05:30,34.54,34.59,34.4,34.5,743180
2015-02-05 10:30:00+05:30,34.5,34.5,34.25,34.3,1427620
2015-02-05 10:45:00+05:30,34.25,34.3,34.1,34.25,1411530
2015-02-05 11:00:00+05:30,34.25,34.35,34.2,34.3,557760
2015-02-05 11:15:00+05:30,34.3,34.35,34.25,34.3,457200
2015-02-05 11:30:00+05:30,34.35,34.35,34.06,34.15,1026240
2015-02-05 11:45:00+05:30,34.15,34.25,34.1,34.1,637380
2015-02-05 12:00:00+05:30,34.1,34.2,34.06,34.15,765300
2015-02-05 12:15:00+05:30,34.15,34.15,33.96,34.1,1686640
2015-02-05 12:30:00+05:30,34.1,34.1,34.01,34.1,581690
2015-02-05 12:45:00+05:30,34.1,34.15,34.06,34.1,462120
2015-02-05 13:00:00+05:30,34.1,34.2,34.06,34.2,499250
2015-02-05 13:15:00+05:30,34.2,34.5,34.2,34.25,2708090
2015-02-05 13:30:00+05:30,34.25,34.3,34.2,34.2,741600
2015-02-05 13:45:00+05:30,34.2,34.3,34.2,34.25,347170
2015-02-05 14:00:00+05:30,34.25,34.35,34.2,34.2,571960
2015-02-05 14:15:00+05:30,34.2,34.25,34.1,34.2,585030
2015-02-05 14:30:00+05:30,34.15,34.2,33.81,33.96,1658110
2015-02-05 14:45:00+05:30,33.96,34.01,33.76,33.81,1574840
2015-02-05 15:00:00+05:30,33.81,33.86,33.42,33.52,3332750
2015-02-05 15:15:00+05:30,33.52,33.57,33.42,33.47,3241710
2015-02-06 09:15:00+05:30,33.66,33.66,33.08,33.27,3971210
2015-02-06 09:30:00+05:30,33.27,33.27,32.93,33.13,2381170
2015-02-06 09:45:00+05:30,33.08,33.23,33.03,33.13,1856820
2015-02-06 10:00:00+05:30,33.08,33.18,32.93,32.98,1138140
2015-02-06 10:15:00+05:30,32.98,32.98,32.64,32.64,3201650
2015-02-06 10:30:00+05:30,32.64,32.79,32.64,32.79,2073080
2015-02-06 10:45:00+05:30,32.79,32.83,32.74,32.79,1019720
2015-02-06 11:00:00+05:30,32.83,32.88,32.79,32.88,842020
2015-02-06 11:15:00+05:30,32.88,32.88,32.79,32.83,573570
2015-02-06 11:30:00+05:30,32.83,33.08,32.79,33.03,1396620
2015-02-06 11:45:00+05:30,33.03,33.08,32.98,33.03,846660
2015-02-06 12:00:00+05:30,33.03,33.18,33.03,33.13,1376200
2015-02-06 12:15:00+05:30,33.18,33.27,33.08,33.08,1374610
2015-02-06 12:30:00+05:30,33.08,33.08,32.88,32.98,1037920
2015-02-06 12:45:00+05:30,32.98,33.03,32.93,32.98,500730
2015-02-06 13:00:00+05:30,32.98,32.98,32.54,32.64,3051480
2015-02-06 13:15:00+05:30,32.59,32.69,32.39,32.59,2665340
2015-02-06 13:30:00+05:30,32.59,32.59,32.39,32.49,1309570
2015-02-06 13:45:00+05:30,32.49,32.59,32.44,32.54,896200
2015-02-06 14:00:00+05:30,32.59,32.69,32.49,32.59,1348880
2015-02-06 14:15:00+05:30,32.64,32.64,32.35,32.49,1953780
2015-02-06 14:30:00+05:30,32.49,32.69,32.44,32.59,1742930
2015-02-06 14:45:00+05:30,32.59,32.74,32.44,32.49,2131560
2015-02-06 15:00:00+05:30,32.49,32.54,32.39,32.54,2159380
2015-02-06 15:15:00+05:30,32.54,32.64,32.35,32.35,4194080
2015-02-09 09:15:00+05:30,31.22,31.61,31.22,31.37,10761260
2015-02-09 09:30:00+05:30,31.37,31.76,31.37,31.76,4291620
2015-02-09 09:45:00+05:30,31.76,31.81,31.47,31.56,3299550
2015-02-09 10:00:00+05:30,31.56,31.61,31.47,31.52,2252290
2015-02-09 10:15:00+05:30,31.52,31.66,31.47,31.66,1716180
2015-02-09 10:30:00+05:30,31.66,31.66,31.27,31.27,2493950
2015-02-09 10:45:00+05:30,31.27,31.37,31.22,31.27,2702050
2015-02-09 11:00:00+05:30,31.27,31.32,31.03,31.03,4113010
2015-02-09 11:15:00+05:30,31.03,31.17,30.98,31.12,2085420
2015-02-09 11:30:00+05:30,31.17,31.17,31.03,31.03,1640870
2015-02-09 11:45:00+05:30,31.03,31.03,30.88,30.88,2872380
2015-02-09 12:00:00+05:30,30.88,31.03,30.83,30.98,2120050
2015-02-09 12:15:00+05:30,30.98,30.98,30.88,30.88,1327060
2015-02-09 12:30:00+05:30,30.88,30.98,30.73,30.88,2790390
2015-02-09 12:45:00+05:30,30.88,31.03,30.88,30.98,2169840
2015-02-09 13:00:00+05:30,30.98,30.98,30.88,30.93,820090
2015-02-09 13:15:00+05:30,30.93,31.03,30.88,30.88,1198580
2015-02-09 13:30:00+05:30,30.88,30.98,30.73,30.73,1869800
2015-02-09 13:45:00+05:30,30.73,30.83,30.68,30.73,2959450
2015-02-09 14:00:00+05:30,30.73,30.78,30.68,30.68,1657760
2015-02-09 14:15:00+05:30,30.68,30.88,30.59,30.83,2633310
2015-02-09 14:30:00+05:30,30.83,30.83,30.68,30.78,1559690
2015-02-09 14:45:00+05:30,30.78,30.83,30.59,30.64,2411490
2015-02-09 15:00:00+05:30,30.59,30.64,30.29,30.44,7633180
2015-02-09 15:15:00+05:30,30.44,30.54,30.29,30.34,5718380
2015-02-10 09:15:00+05:30,30.24,31.12,30.24,30.93,4360840
2015-02-10 09:30:00+05:30,30.88,31.22,30.88,31.12,2356470
2015-02-10 09:45:00+05:30,31.17,31.27,30.68,30.73,2647850
2015-02-10 10:00:00+05:30,30.73,30.98,30.73,30.93,1835050
2015-02-10 10:15:00+05:30,30.93,31.03,30.83,30.88,1144850
2015-02-10 10:30:00+05:30,30.88,30.98,30.83,30.93,829480
2015-02-10 10:45:00+05:30,30.93,31.03,30.88,30.93,978760
2015-02-10 11:00:00+05:30,30.98,30.98,30.83,30.88,708880
2015-02-10 11:15:00+05:30,30.88,30.98,30.83,30.93,923540
2015-02-10 11:30:00+05:30,30.93,31.08,30.88,30.93,1399310
2015-02-10 11:45:00+05:30,30.93,30.98,30.73,30.78,1206770
2015-02-10 12:00:00+05:30,30.78,30.98,30.73,30.73,2179270
2015-02-10 12:15:00+05:30,30.78,30.93,30.68,30.78,1451670
2015-02-10 12:30:00+05:30,30.78,30.83,30.68,30.68,1369900
2015-02-10 12:45:00+05:30,30.68,30.83,30.68,30.78,856710
2015-02-10 13:00:00+05:30,30.78,30.93,30.73,30.88,1239550
2015-02-10 13:15:00+05:30,30.88,30.98,30.83,30.83,1295460
2015-02-10 13:30:00+05:30,30.83,30.93,30.73,30.83,1322590
2015-02-10 13:45:00+05:30,30.83,30.83,30.73,30.73,961600
2015-02-10 14:00:00+05:30,30.73,30.78,30.39,30.59,3039280
2015-02-10 14:15:00+05:30,30.59,30.73,30.49,30.73,1636860
2015-02-10 14:30:00+05:30,30.73,30.98,30.68,30.78,2856400
2015-02-10 14:45:00+05:30,30.78,31.12,30.78,31.08,4050680
2015-02-10 15:00:00+05:30,31.08,31.52,31.08,31.27,5919730
2015-02-10 15:15:00+05:30,31.22,31.66,31.22,31.52,6154180
2015-02-11 09:15:00+05:30,31.66,31.76,31.42,31.56,2516060
2015-02-11 09:30:00+05:30,31.56,31.56,31.27,31.32,1931430
2015-02-11 09:45:00+05:30,31.32,31.32,30.98,31.27,2049540
2015-02-11 10:00:00+05:30,31.22,31.27,31.08,31.17,893170
2015-02-11 10:15:00+05:30,31.17,31.27,31.08,31.12,604340
2015-02-11 10:30:00+05:30,31.12,31.22,31.03,31.03,574160
2015-02-11 10:45:00+05:30,31.03,31.17,30.98,31.17,823230
2015-02-11 11:00:00+05:30,31.17,31.17,31.08,31.08,265580
2015-02-11 11:15:00+05:30,31.08,31.08,31.03,31.08,318370
2015-02-11 11:30:00+05:30,31.08,31.22,31.08,31.12,628330
2015-02-11 11:45:00+05:30,31.12,31.22,31.08,31.17,330120
2015-02-11 12:00:00+05:30,31.17,31.22,31.08,31.12,331370
2015-02-11 12:15:00+05:30,31.12,31.22,31.08,31.22,279630
2015-02-11 12:30:00+05:30,31.22,31.32,31.17,31.22,838500
2015-02-11 12:45:00+05:30,31.22,31.32,31.17,31.22,501840
2015-02-11 13:00:00+05:30,31.22,31.66,31.22,31.61,2068060
2015-02-11 13:15:00+05:30,31.61,31.95,31.56,31.76,3872400
2015-02-11 13:30:00+05:30,31.76,31.81,31.47,31.71,1909000
2015-02-11 13:45:00+05:30,31.66,31.81,31.66,31.71,878110
2015-02-11 14:00:00+05:30,31.71,31.86,31.56,31.86,1136580
2015-02-11 14:15:00+05:30,31.86,31.95,31.81,31.91,1176680
2015-02-11 14:30:00+05:30,31.91,32.49,31.76,32.44,5587120
2015-02-11 14:45:00+05:30,32.44,32.49,32.2,32.2,3768000
2015-02-11 15:00:00+05:30,32.2,32.3,32.05,32.15,2666140
2015-02-11 15:15:00+05:30,32.15,32.15,32.05,32.1,3487960
2015-02-12 09:15:00+05:30,32.3,32.35,31.95,31.95,2368480
2015-02-12 09:30:00+05:30,31.95,32.35,31.95,32.25,2358690
2015-02-12 09:45:00+05:30,32.25,32.35,32.1,32.2,1169700
2015-02-12 10:00:00+05:30,32.2,32.25,32.0,32.1,1039880
2015-02-12 10:15:00+05:30,32.1,32.1,31.91,32.1,1299180
2015-02-12 10:30:00+05:30,32.1,32.15,32.0,32.05,437360
2015-02-12 10:45:00+05:30,32.05,32.1,32.0,32.05,664910
2015-02-12 11:00:00+05:30,32.05,32.25,32.0,32.15,942550
2015-02-12 11:15:00+05:30,32.15,32.15,32.0,32.05,625850
2015-02-12 11:30:00+05:30,32.05,32.05,31.95,32.0,1007060
2015-02-12 11:45:00+05:30,32.0,32.0,31.71,31.86,1690900
2015-02-12 12:00:00+05:30,31.81,31.91,31.71,31.91,721290
2015-02-12 12:15:00+05:30,31.91,31.95,31.81,31.86,614460
2015-02-12 12:30:00+05:30,31.86,31.95,31.71,31.71,668250
2015-02-12 12:45:00+05:30,31.71,31.76,31.56,31.56,2070400
2015-02-12 13:00:00+05:30,31.56,31.56,31.37,31.47,1439730
2015-02-12 13:15:00+05:30,31.47,31.61,31.47,31.52,688590
