date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,145.87,147.0,145.62,147.0,1960
2015-02-02 09:30:00+05:30,147.0,147.0,146.99,146.99,560
2015-02-02 09:45:00+05:30,146.99,147.0,146.99,147.0,310
2015-02-02 10:00:00+05:30,147.0,147.4,146.92,147.1,950
2015-02-02 10:15:00+05:30,147.1,147.1,146.2,146.3,150
2015-02-02 10:30:00+05:30,146.3,146.91,145.87,146.85,3550
2015-02-02 10:45:00+05:30,146.85,147.5,146.33,147.3,1360
2015-02-02 11:00:00+05:30,147.3,147.8,147.13,147.2,22720
2015-02-02 11:15:00+05:30,147.2,147.22,147.01,147.05,1300
2015-02-02 11:30:00+05:30,147.05,147.12,146.51,146.65,920
2015-02-02 11:45:00+05:30,146.65,146.92,146.16,146.17,1020
2015-02-02 12:00:00+05:30,146.17,146.32,145.97,146.06,1760
2015-02-02 12:15:00+05:30,146.06,146.3,145.81,146.18,1110
2015-02-02 12:30:00+05:30,146.18,146.25,146.11,146.23,550
2015-02-02 12:45:00+05:30,146.23,146.23,146.01,146.01,870
2015-02-02 13:00:00+05:30,146.01,146.02,144.01,144.01,4240
2015-02-02 13:15:00+05:30,144.01,144.49,144.0,144.15,1140
2015-02-02 13:30:00+05:30,144.1,144.5,144.0,144.4,850
2015-02-02 13:45:00+05:30,144.4,144.68,144.17,144.4,1040
2015-02-02 14:00:00+05:30,144.4,145.25,144.16,144.71,1510
2015-02-02 14:15:00+05:30,144.71,144.84,144.22,144.3,880
2015-02-02 14:30:00+05:30,144.3,144.88,144.28,144.7,420
2015-02-02 14:45:00+05:30,144.7,144.87,144.7,144.7,470
2015-02-02 15:00:00+05:30,144.7,145.37,144.7,145.02,1240
2015-02-02 15:15:00+05:30,145.02,146.2,144.72,144.72,3150
2015-02-03 09:15:00+05:30,145.21,146.55,144.46,145.5,3850
2015-02-03 09:30:00+05:30,145.5,147.8,145.28,146.88,7250
2015-02-03 09:45:00+05:30,146.88,147.48,144.77,146.7,7930
2015-02-03 10:00:00+05:30,146.7,147.04,145.65,145.93,4740
2015-02-03 10:15:00+05:30,145.93,146.52,145.68,146.22,1960
2015-02-03 10:30:00+05:30,146.22,146.39,145.78,145.78,2910
2015-02-03 10:45:00+05:30,145.78,145.84,145.0,145.0,2940
2015-02-03 11:00:00+05:30,145.2,145.7,145.12,145.7,3600
2015-02-03 11:15:00+05:30,145.7,146.0,143.37,145.79,9340
2015-02-03 11:30:00+05:30,145.79,146.0,145.28,145.3,6920
2015-02-03 11:45:00+05:30,145.3,145.38,144.67,144.86,1520
2015-02-03 12:00:00+05:30,144.86,145.72,144.86,145.07,2120
2015-02-03 12:15:00+05:30,145.5,146.0,145.0,145.0,7630
2015-02-03 12:30:00+05:30,145.0,145.0,144.83,144.86,420
2015-02-03 12:45:00+05:30,144.9,144.9,144.4,144.8,880
2015-02-03 13:00:00+05:30,144.8,144.8,144.5,144.5,780
2015-02-03 13:15:00+05:30,144.5,144.75,144.5,144.5,670
2015-02-03 13:30:00+05:30,144.5,144.98,144.5,144.98,240
2015-02-03 13:45:00+05:30,144.98,144.98,143.94,143.94,1600
2015-02-03 14:00:00+05:30,143.94,144.3,143.94,143.95,850
2015-02-03 14:15:00+05:30,143.95,144.15,143.21,143.3,2690
2015-02-03 14:30:00+05:30,143.3,143.5,142.79,142.88,5680
2015-02-03 14:45:00+05:30,142.88,143.0,142.88,143.0,1120
2015-02-03 15:00:00+05:30,143.0,143.0,142.9,142.96,1940
2015-02-03 15:15:00+05:30,142.96,142.99,141.01,142.5,16020
2015-02-04 09:15:00+05:30,142.2,146.4,142.2,145.4,20330
2015-02-04 09:30:00+05:30,145.23,145.77,145.0,145.5,9090
2015-02-04 09:45:00+05:30,145.5,147.17,144.79,144.79,37660
2015-02-04 10:00:00+05:30,144.91,145.0,144.5,144.74,3210
2015-02-04 10:15:00+05:30,144.74,145.0,144.0,144.89,4950
2015-02-04 10:30:00+05:30,144.89,146.1,144.5,145.0,100250
2015-02-04 10:45:00+05:30,145.0,146.2,145.0,146.13,118430
2015-02-04 11:00:00+05:30,146.13,146.26,146.08,146.11,1460
2015-02-04 11:15:00+05:30,146.11,146.19,145.8,146.1,2940
2015-02-04 11:30:00+05:30,146.1,146.2,146.1,146.1,1060
2015-02-04 11:45:00+05:30,146.1,146.15,146.1,146.1,3710
2015-02-04 12:00:00+05:30,146.1,146.25,145.21,145.99,1510
2015-02-04 12:15:00+05:30,145.99,146.01,145.81,146.01,1330
2015-02-04 12:30:00+05:30,146.01,146.04,146.01,146.04,310
2015-02-04 12:45:00+05:30,146.04,146.04,146.01,146.01,670
2015-02-04 13:00:00+05:30,146.01,147.53,146.01,147.2,24560
2015-02-04 13:15:00+05:30,147.2,147.2,146.06,146.63,2710
