date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,307.7,308.4,306.0,306.35,96079
2015-02-02 09:30:00+05:30,306.25,306.95,304.3,305.5,104515
2015-02-02 09:45:00+05:30,305.5,306.7,304.95,306.2,62623
2015-02-02 10:00:00+05:30,306.2,307.0,305.3,306.0,75849
2015-02-02 10:15:00+05:30,306.0,306.85,305.45,306.5,59609
2015-02-02 10:30:00+05:30,306.5,307.6,306.25,307.0,61819
2015-02-02 10:45:00+05:30,306.95,306.95,306.0,306.75,47777
2015-02-02 11:00:00+05:30,306.75,307.1,306.5,307.0,25340
2015-02-02 11:15:00+05:30,307.0,307.4,306.5,306.6,23949
2015-02-02 11:30:00+05:30,306.6,306.8,306.0,306.2,18427
2015-02-02 11:45:00+05:30,306.2,306.65,304.5,305.0,32655
2015-02-02 12:00:00+05:30,304.85,305.5,303.7,304.6,59599
2015-02-02 12:15:00+05:30,304.6,305.3,299.4,301.1,230877
2015-02-02 12:30:00+05:30,301.05,301.05,294.55,295.3,635717
2015-02-02 12:45:00+05:30,295.6,296.8,293.15,294.6,333905
2015-02-02 13:00:00+05:30,294.85,295.9,293.0,293.35,190016
2015-02-02 13:15:00+05:30,293.35,294.9,293.05,294.45,144069
2015-02-02 13:30:00+05:30,294.4,295.25,292.1,293.0,209609
2015-02-02 13:45:00+05:30,293.0,294.0,292.4,293.45,145957
2015-02-02 14:00:00+05:30,293.4,294.85,293.0,293.9,140494
2015-02-02 14:15:00+05:30,293.9,294.25,293.1,293.2,91986
2015-02-02 14:30:00+05:30,293.2,293.2,290.6,292.1,199906
2015-02-02 14:45:00+05:30,292.3,292.3,287.2,287.6,404470
2015-02-02 15:00:00+05:30,287.85,289.4,284.45,284.9,517871
2015-02-02 15:15:00+05:30,284.9,285.8,283.05,285.25,518946
2015-02-03 09:15:00+05:30,286.05,290.95,285.0,289.6,510399
2015-02-03 09:30:00+05:30,289.65,293.0,289.65,292.0,324694
2015-02-03 09:45:00+05:30,291.8,292.45,291.0,291.25,127534
2015-02-03 10:00:00+05:30,291.4,293.35,291.05,293.35,102921
2015-02-03 10:15:00+05:30,293.35,294.7,292.75,294.4,293839
2015-02-03 10:30:00+05:30,294.4,295.8,294.0,295.25,210013
2015-02-03 10:45:00+05:30,295.3,295.4,294.4,294.45,111757
2015-02-03 11:00:00+05:30,294.45,294.9,291.4,294.65,225986
2015-02-03 11:15:00+05:30,294.65,297.15,294.1,295.6,247236
2015-02-03 11:30:00+05:30,295.65,295.85,294.65,294.8,138500
2015-02-03 11:45:00+05:30,294.8,294.85,292.25,293.2,205339
2015-02-03 12:00:00+05:30,293.2,295.7,293.15,294.9,98463
2015-02-03 12:15:00+05:30,294.9,294.95,294.0,294.4,58251
2015-02-03 12:30:00+05:30,294.4,295.25,294.1,295.15,51183
2015-02-03 12:45:00+05:30,295.15,295.4,294.05,294.2,53936
2015-02-03 13:00:00+05:30,294.2,295.15,293.75,294.8,70262
2015-02-03 13:15:00+05:30,295.0,297.2,293.75,297.0,148329
2015-02-03 13:30:00+05:30,297.15,298.9,296.1,296.95,332850
2015-02-03 13:45:00+05:30,297.35,297.95,296.5,296.5,89472
2015-02-03 14:00:00+05:30,296.55,297.25,294.0,294.8,174841
2015-02-03 14:15:00+05:30,294.8,297.0,294.35,297.0,134487
2015-02-03 14:30:00+05:30,296.85,297.25,295.25,296.15,126585
2015-02-03 14:45:00+05:30,296.15,297.0,294.05,294.05,154188
2015-02-03 15:00:00+05:30,294.05,294.45,284.6,284.6,2141482
2015-02-03 15:15:00+05:30,284.4,284.4,280.6,283.0,1422827
2015-02-04 09:15:00+05:30,287.35,289.55,284.9,287.55,435409
2015-02-04 09:30:00+05:30,287.4,289.85,286.0,289.45,189760
2015-02-04 09:45:00+05:30,289.7,292.9,289.35,289.6,415894
2015-02-04 10:00:00+05:30,289.55,290.75,287.1,290.5,233298
2015-02-04 10:15:00+05:30,290.5,294.5,290.3,294.2,334910
2015-02-04 10:30:00+05:30,294.25,296.75,293.0,293.25,462797
2015-02-04 10:45:00+05:30,293.0,296.0,292.7,295.0,135879
2015-02-04 11:00:00+05:30,295.05,295.3,294.0,294.4,70790
2015-02-04 11:15:00+05:30,294.4,295.05,294.05,294.65,56952
2015-02-04 11:30:00+05:30,294.65,295.0,294.5,294.55,46461
2015-02-04 11:45:00+05:30,294.65,294.8,294.0,294.5,56864
2015-02-04 12:00:00+05:30,294.5,294.7,292.85,293.0,85205
2015-02-04 12:15:00+05:30,293.2,293.4,291.6,292.3,147695
2015-02-04 12:30:00+05:30,292.3,293.0,291.8,292.55,45081
2015-02-04 12:45:00+05:30,292.5,294.2,292.0,294.15,58193
2015-02-04 13:00:00+05:30,294.15,294.8,293.45,294.2,53709
2015-02-04 13:15:00+05:30,294.2,294.5,293.0,293.25,33296
2015-02-04 13:30:00+05:30,293.1,293.9,292.0,293.6,53301
2015-02-04 13:45:00+05:30,293.8,295.5,293.5,295.1,109190
2015-02-04 14:00:00+05:30,295.15,297.65,294.75,295.4,212358
2015-02-04 14:15:00+05:30,295.4,296.0,295.0,295.35,60986
2015-02-04 14:30:00+05:30,295.35,296.0,295.25,295.35,53935
2015-02-04 14:45:00+05:30,295.45,295.75,294.4,294.5,118667
2015-02-04 15:00:00+05:30,294.5,295.0,292.75,293.8,198842
2015-02-04 15:15:00+05:30,293.55,296.0,293.35,295.7,235057
2015-02-06 09:15:00+05:30,294.3,295.85,293.0,294.1,217977
2015-02-06 09:30:00+05:30,294.3,294.4,289.1,291.4,232051
2015-02-06 09:45:00+05:30,291.4,293.85,290.4,290.7,80551
2015-02-06 10:00:00+05:30,290.8,291.5,289.35,289.6,64379
2015-02-06 10:15:00+05:30,289.85,290.65,286.0,287.5,154620
2015-02-06 10:30:00+05:30,287.4,288.0,285.2,287.2,83878
2015-02-06 10:45:00+05:30,287.2,291.0,286.75,289.5,58818
2015-02-06 11:00:00+05:30,289.5,292.35,289.5,291.25,83312
2015-02-06 11:15:00+05:30,291.25,291.45,290.65,290.65,21311
2015-02-06 11:30:00+05:30,290.7,292.6,290.55,292.5,45386
2015-02-06 11:45:00+05:30,292.6,294.85,292.4,293.7,116883
2015-02-06 12:00:00+05:30,294.0,294.05,293.05,293.6,73713
2015-02-06 12:15:00+05:30,293.6,295.5,293.6,294.5,96753
2015-02-06 12:30:00+05:30,294.5,294.8,293.6,294.35,32317
2015-02-06 12:45:00+05:30,294.35,295.05,293.7,294.2,27406
2015-02-06 13:00:00+05:30,294.4,294.4,292.2,292.8,32358
