date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,197.7,201.09,195.82,201.09,377914
2015-02-02 09:30:00+05:30,200.94,201.33,199.35,200.12,235451
2015-02-02 09:45:00+05:30,200.02,200.56,199.64,200.27,112754
2015-02-02 10:00:00+05:30,200.27,200.31,198.67,198.96,156654
2015-02-02 10:15:00+05:30,198.96,199.35,197.94,198.77,117931
2015-02-02 10:30:00+05:30,198.82,199.64,198.19,199.64,104521
2015-02-02 10:45:00+05:30,199.73,199.98,198.72,199.15,101365
2015-02-02 11:00:00+05:30,199.15,199.15,198.72,198.72,52671
2015-02-02 11:15:00+05:30,198.77,198.86,197.7,197.8,107046
2015-02-02 11:30:00+05:30,197.7,198.33,197.32,197.9,200801
2015-02-02 11:45:00+05:30,197.9,198.48,196.93,197.65,116738
2015-02-02 12:00:00+05:30,197.65,198.19,196.49,197.61,251807
2015-02-02 12:15:00+05:30,197.61,198.23,196.93,197.32,83950
2015-02-02 12:30:00+05:30,197.32,197.32,196.88,197.12,44806
2015-02-02 12:45:00+05:30,197.22,197.27,196.74,196.93,59957
2015-02-02 13:00:00+05:30,196.98,197.17,196.74,196.83,41409
2015-02-02 13:15:00+05:30,197.03,199.11,196.83,199.01,180436
2015-02-02 13:30:00+05:30,199.01,201.48,198.52,200.51,459599
2015-02-02 13:45:00+05:30,200.56,202.54,200.31,201.77,320453
2015-02-02 14:00:00+05:30,201.72,202.97,201.67,202.44,297365
2015-02-02 14:15:00+05:30,202.49,202.54,199.73,199.88,246839
2015-02-02 14:30:00+05:30,200.07,201.09,198.04,199.01,535885
2015-02-02 14:45:00+05:30,199.01,199.93,198.72,199.64,126381
2015-02-02 15:00:00+05:30,199.64,200.02,199.01,199.25,159144
2015-02-02 15:15:00+05:30,199.35,199.64,198.43,198.91,369639
2015-02-03 09:15:00+05:30,200.36,200.46,199.2,200.02,296889
2015-02-03 09:30:00+05:30,200.02,200.6,199.15,199.3,109205
2015-02-03 09:45:00+05:30,199.25,199.78,198.48,198.62,114448
2015-02-03 10:00:00+05:30,198.67,199.15,197.61,197.9,128324
2015-02-03 10:15:00+05:30,197.85,198.82,197.61,198.33,97019
2015-02-03 10:30:00+05:30,198.33,200.02,198.09,199.88,120299
2015-02-03 10:45:00+05:30,199.83,199.83,198.91,199.49,117346
2015-02-03 11:00:00+05:30,199.64,203.65,196.88,203.55,967174
2015-02-03 11:15:00+05:30,203.51,203.51,200.17,200.31,349600
2015-02-03 11:30:00+05:30,200.22,200.22,199.15,199.64,147287
2015-02-03 11:45:00+05:30,199.64,199.98,195.48,196.83,408868
2015-02-03 12:00:00+05:30,197.22,198.57,196.83,197.65,211915
2015-02-03 12:15:00+05:30,197.65,197.7,196.74,197.65,92202
2015-02-03 12:30:00+05:30,197.65,198.77,197.32,198.38,152427
2015-02-03 12:45:00+05:30,198.28,198.48,197.22,197.36,94740
2015-02-03 13:00:00+05:30,197.36,197.85,197.03,197.51,125563
2015-02-03 13:15:00+05:30,197.51,197.9,197.27,197.56,76658
2015-02-03 13:30:00+05:30,197.36,198.48,197.17,197.94,105737
2015-02-03 13:45:00+05:30,197.94,198.57,197.75,198.19,93329
2015-02-03 14:00:00+05:30,198.14,198.33,197.36,197.56,67837
2015-02-03 14:15:00+05:30,197.56,198.19,197.27,197.99,135398
2015-02-03 14:30:00+05:30,197.99,197.99,195.77,196.69,255996
2015-02-03 14:45:00+05:30,196.69,197.46,196.16,197.07,267425
2015-02-03 15:00:00+05:30,197.07,197.36,195.28,195.28,276607
2015-02-03 15:15:00+05:30,195.28,195.33,193.35,194.08,604505
2015-02-04 09:15:00+05:30,196.54,196.54,193.54,194.22,299025
2015-02-04 09:30:00+05:30,194.27,194.8,191.17,191.46,226472
2015-02-04 09:45:00+05:30,191.56,192.72,190.45,190.74,286887
2015-02-04 10:00:00+05:30,190.74,191.42,189.34,189.48,337111
2015-02-04 10:15:00+05:30,189.48,191.32,189.19,190.84,270111
2015-02-04 10:30:00+05:30,190.98,191.51,190.01,190.11,192009
2015-02-04 10:45:00+05:30,190.16,190.21,189.29,189.53,432708
2015-02-04 11:00:00+05:30,189.58,190.88,189.48,190.35,481696
2015-02-04 11:15:00+05:30,190.35,191.37,189.82,190.79,207310
2015-02-04 11:30:00+05:30,190.79,191.66,190.74,190.98,141900
2015-02-04 11:45:00+05:30,190.98,191.8,190.5,191.56,141989
2015-02-04 12:00:00+05:30,191.61,191.85,190.98,191.17,143702
2015-02-04 12:15:00+05:30,191.27,191.27,190.01,190.45,114558
2015-02-04 12:30:00+05:30,190.4,190.74,190.06,190.74,51343
2015-02-04 12:45:00+05:30,190.69,193.25,190.21,192.29,232496
2015-02-04 13:00:00+05:30,192.33,193.79,191.13,192.77,586616
2015-02-04 13:15:00+05:30,192.72,193.01,192.09,192.77,162885
2015-02-04 13:30:00+05:30,192.77,193.01,192.0,192.62,103338
2015-02-04 13:45:00+05:30,192.43,193.54,192.24,192.77,255888
2015-02-04 14:00:00+05:30,192.67,193.45,192.0,192.09,184945
2015-02-04 14:15:00+05:30,192.09,192.77,191.61,192.19,105309
2015-02-04 14:30:00+05:30,192.19,193.01,192.19,192.58,94643
2015-02-04 14:45:00+05:30,192.58,193.5,191.56,191.71,185076
2015-02-04 15:00:00+05:30,191.61,191.71,190.45,190.55,185261
2015-02-04 15:15:00+05:30,190.64,190.88,189.48,189.82,329120
2015-02-05 09:15:00+05:30,189.82,190.93,188.66,190.21,298896
2015-02-05 09:30:00+05:30,190.21,192.29,190.11,192.09,282148
2015-02-05 09:45:00+05:30,192.14,192.19,190.69,191.42,110211
2015-02-05 10:00:00+05:30,191.22,191.8,190.45,190.59,110068
2015-02-05 10:15:00+05:30,190.59,190.93,189.24,189.77,238320
2015-02-05 10:30:00+05:30,189.67,189.67,186.48,186.68,487079
2015-02-05 10:45:00+05:30,186.72,186.92,185.61,186.92,237659
2015-02-05 11:00:00+05:30,186.87,187.35,186.19,187.26,105637
2015-02-05 11:15:00+05:30,187.31,187.55,186.63,186.97,117244
2015-02-05 11:30:00+05:30,187.06,187.16,186.29,186.72,88915
2015-02-05 11:45:00+05:30,186.77,187.35,186.63,187.31,71941
2015-02-05 12:00:00+05:30,187.31,188.51,186.82,187.98,159092
2015-02-05 12:15:00+05:30,188.03,188.66,187.98,188.27,101304
2015-02-05 12:30:00+05:30,188.32,189.0,188.13,188.32,107707
2015-02-05 12:45:00+05:30,188.42,189.0,188.22,188.95,71150
2015-02-05 13:00:00+05:30,188.9,190.88,188.56,190.5,271630
2015-02-05 13:15:00+05:30,190.64,191.13,189.67,190.21,269692
2015-02-05 13:30:00+05:30,190.16,190.26,188.03,189.19,206459
2015-02-05 13:45:00+05:30,189.09,189.43,188.51,189.29,94363
2015-02-05 14:00:00+05:30,189.29,189.87,189.05,189.14,104611
2015-02-05 14:15:00+05:30,189.14,189.63,188.32,188.8,117264
2015-02-05 14:30:00+05:30,188.71,188.9,186.39,186.72,197918
2015-02-05 14:45:00+05:30,186.92,186.92,184.94,185.37,395065
2015-02-05 15:00:00+05:30,185.42,185.56,183.19,183.73,366085
2015-02-05 15:15:00+05:30,183.73,183.97,182.03,182.03,362016
2015-02-06 09:15:00+05:30,182.71,185.13,181.79,184.4,402016
2015-02-06 09:30:00+05:30,184.4,184.6,182.71,183.97,211888
2015-02-06 09:45:00+05:30,183.92,184.74,183.29,183.58,150382
2015-02-06 10:00:00+05:30,183.68,184.4,182.42,182.9,178541
2015-02-06 10:15:00+05:30,182.95,183.24,181.79,183.1,179416
2015-02-06 10:30:00+05:30,183.1,183.1,182.03,182.86,99585
2015-02-06 10:45:00+05:30,182.76,184.16,182.28,183.29,228606
2015-02-06 11:00:00+05:30,183.39,184.55,183.19,183.68,180916
