date,open,high,low,close,volume
2018-06-18 00:00:00+05:30,30.0,31.5,28.5,31.5,7006190
2018-06-19 00:00:00+05:30,32.7,33.05,31.0,33.05,2810926
2018-06-20 00:00:00+05:30,31.55,32.2,31.0,31.0,1103415
2018-06-21 00:00:00+05:30,29.45,30.0,29.45,29.45,2849745
2018-06-22 00:00:00+05:30,28.2,29.8,28.2,29.7,1606866
2018-06-25 00:00:00+05:30,29.45,29.8,28.5,28.8,364991
2018-06-26 00:00:00+05:30,28.0,29.4,27.55,29.0,493796
2018-06-27 00:00:00+05:30,28.3,28.3,27.4,27.4,133385
2018-06-28 00:00:00+05:30,26.05,26.05,26.05,26.05,60558
2018-06-29 00:00:00+05:30,24.75,27.35,24.75,27.35,1157938
2018-07-02 00:00:00+05:30,27.2,27.25,22.8,25.45,1358163
2018-07-03 00:00:00+05:30,25.05,26.75,24.5,26.6,509699
2018-07-04 00:00:00+05:30,26.0,29.9,25.8,29.8,1032141
2018-07-05 00:00:00+05:30,29.8,31.95,28.6,29.75,1544286
2018-07-06 00:00:00+05:30,29.0,30.9,28.85,30.5,521623
2018-07-09 00:00:00+05:30,30.5,31.4,29.55,30.65,613652
2018-07-10 00:00:00+05:30,30.55,31.85,30.25,31.0,490914
2018-07-11 00:00:00+05:30,31.0,33.35,30.6,31.85,1608283
2018-07-12 00:00:00+05:30,32.3,32.9,30.95,31.15,521491
2018-07-13 00:00:00+05:30,32.5,32.5,31.2,31.3,757107
2018-07-16 00:00:00+05:30,32.35,32.35,30.85,31.25,687292
2018-07-17 00:00:00+05:30,31.5,31.85,30.95,31.5,553844
2018-07-19 00:00:00+05:30,29.75,30.4,28.1,30.15,467906
2018-07-20 00:00:00+05:30,29.8,35.6,29.5,35.6,5889575
2018-07-23 00:00:00+05:30,38.0,42.45,37.25,42.45,2757848
2018-07-24 00:00:00+05:30,45.65,46.65,45.65,46.65,1437047
2018-07-25 00:00:00+05:30,50.6,51.3,49.0,51.3,754648
2018-07-26 00:00:00+05:30,54.8,56.4,48.1,53.2,6678769
2018-07-27 00:00:00+05:30,54.45,54.8,51.15,52.25,1411764
2018-07-30 00:00:00+05:30,52.95,57.55,52.85,57.55,2008655
2018-07-31 00:00:00+05:30,60.4,60.4,59.15,60.4,3425858
2018-08-01 00:00:00+05:30,62.7,63.4,62.7,63.4,995757
2018-08-02 00:00:00+05:30,66.55,66.55,66.55,66.55,150833
2018-08-03 00:00:00+05:30,69.85,69.85,69.85,69.85,109416
2018-08-06 00:00:00+05:30,73.3,73.3,73.3,73.3,58573
2018-08-07 00:00:00+05:30,70.25,70.25,69.65,69.65,677628
2018-08-08 00:00:00+05:30,66.2,66.2,66.2,66.2,67407
2018-08-09 00:00:00+05:30,62.9,62.9,62.9,62.9,96400
2018-08-10 00:00:00+05:30,62.25,66.0,60.15,66.0,3440666
2018-08-13 00:00:00+05:30,62.7,62.7,62.7,62.7,195229
2018-08-14 00:00:00+05:30,59.6,59.6,59.6,59.6,95222
2018-08-16 00:00:00+05:30,56.65,56.65,56.65,56.65,75566
2018-08-17 00:00:00+05:30,55.5,59.45,53.85,54.9,4314283
2018-08-20 00:00:00+05:30,55.0,57.4,55.0,57.4,579805
2018-08-21 00:00:00+05:30,58.95,60.25,56.1,57.05,2192326
2018-08-23 00:00:00+05:30,58.7,59.95,56.7,57.3,932136
2018-08-24 00:00:00+05:30,58.0,58.4,54.9,55.0,540138
2018-08-27 00:00:00+05:30,55.35,57.4,53.25,55.1,1048566
2018-08-28 00:00:00+05:30,56.0,58.25,55.35,58.25,886895
2018-08-29 00:00:00+05:30,59.9,61.15,58.2,61.15,2989275
2018-08-30 00:00:00+05:30,61.95,62.75,58.7,59.2,914775
2018-08-31 00:00:00+05:30,59.0,59.4,56.9,57.15,607456
2018-09-03 00:00:00+05:30,57.85,58.6,55.7,56.2,443788
2018-09-04 00:00:00+05:30,56.5,56.75,53.25,53.9,522048
2018-09-05 00:00:00+05:30,53.35,53.85,51.0,52.4,475308
2018-09-06 00:00:00+05:30,53.25,54.85,52.45,54.85,772911
2018-09-07 00:00:00+05:30,56.2,57.45,55.0,55.75,464043
2018-09-10 00:00:00+05:30,55.75,56.0,53.75,54.2,277504
2018-09-11 00:00:00+05:30,54.35,55.4,52.0,53.15,281366
2018-09-12 00:00:00+05:30,53.3,53.55,51.2,52.5,245820
2018-09-14 00:00:00+05:30,54.4,55.25,53.35,55.25,333177
2018-09-17 00:00:00+05:30,55.3,56.2,52.9,54.2,376392
2018-09-19 00:00:00+05:30,53.65,54.2,51.4,51.7,241383
2018-09-21 00:00:00+05:30,52.5,52.8,49.25,49.25,865215
2018-09-24 00:00:00+05:30,48.0,48.0,46.8,46.8,297036
2018-09-25 00:00:00+05:30,45.0,46.65,44.5,44.9,545306
2018-09-26 00:00:00+05:30,45.3,46.75,44.6,45.3,750806
2018-09-27 00:00:00+05:30,45.6,45.6,42.95,42.95,363720
2018-09-28 00:00:00+05:30,42.95,42.95,40.85,40.85,240241
2018-10-01 00:00:00+05:30,38.85,40.7,38.85,38.85,712122
2018-10-03 00:00:00+05:30,39.5,39.9,37.25,37.25,607741
2018-10-04 00:00:00+05:30,35.4,35.4,35.4,35.4,99994
2018-10-05 00:00:00+05:30,33.65,33.65,33.65,33.65,77855
2018-10-08 00:00:00+05:30,32.7,33.1,32.0,32.0,990581
2018-10-09 00:00:00+05:30,30.4,32.1,30.4,30.4,1122384
2018-10-10 00:00:00+05:30,30.3,31.9,29.5,31.9,233814
2018-10-11 00:00:00+05:30,32.05,33.45,32.05,33.45,319323
2018-10-12 00:00:00+05:30,35.1,35.1,35.1,35.1,170340
2018-10-15 00:00:00+05:30,36.4,36.85,35.25,36.85,2455614
2018-10-16 00:00:00+05:30,37.5,38.65,37.4,38.65,1212417
2018-10-17 00:00:00+05:30,40.55,40.55,39.1,39.6,2429393
2018-10-22 00:00:00+05:30,37.5,38.7,35.55,35.7,418329
2018-10-23 00:00:00+05:30,34.95,35.5,34.0,35.5,497878
2018-10-24 00:00:00+05:30,35.55,37.0,35.55,37.0,854985
2018-10-25 00:00:00+05:30,36.4,37.95,35.5,36.75,538256
2018-10-26 00:00:00+05:30,36.65,37.25,35.5,36.05,273825
2018-10-29 00:00:00+05:30,38.0,38.0,37.9,38.0,998750
2018-10-30 00:00:00+05:30,39.9,39.9,38.5,38.95,3878863
2018-10-31 00:00:00+05:30,39.3,40.5,37.35,39.55,2826750
2018-11-01 00:00:00+05:30,38.4,41.4,38.0,40.9,1489461
2018-11-02 00:00:00+05:30,41.95,42.8,41.1,41.3,944444
2018-11-05 00:00:00+05:30,43.35,43.35,42.6,43.35,664065
2018-11-06 00:00:00+05:30,44.6,45.5,42.5,43.5,1521034
2018-11-07 00:00:00+05:30,44.0,45.25,44.0,45.25,1002581
2018-11-09 00:00:00+05:30,46.0,46.35,44.0,45.05,723853
2018-11-12 00:00:00+05:30,45.5,45.9,43.0,43.0,487969
2018-11-13 00:00:00+05:30,42.5,42.7,41.45,42.1,432787
2018-11-14 00:00:00+05:30,42.8,43.8,42.3,42.6,411623
2018-11-15 00:00:00+05:30,41.25,44.2,41.25,43.6,366844
2018-11-16 00:00:00+05:30,44.4,44.4,41.7,42.2,492659
2018-11-20 00:00:00+05:30,41.3,42.85,41.0,41.45,363127
2018-11-21 00:00:00+05:30,41.6,43.5,41.2,43.5,590402
2018-11-22 00:00:00+05:30,44.2,45.65,43.95,45.65,1312826
2018-11-26 00:00:00+05:30,46.6,47.9,46.25,47.9,1417858
