date,open,high,low,close,volume
2015-02-03 00:00:00+05:30,34.5,37.5,34.5,37.25,37660
2015-02-04 00:00:00+05:30,37.25,38.1,35.55,36.6,53450
2015-02-05 00:00:00+05:30,35.1,37.2,35.1,36.0,14830
2015-02-06 00:00:00+05:30,36.0,36.9,35.0,35.0,19920
2015-02-09 00:00:00+05:30,35.0,37.0,35.0,36.8,16900
2015-02-10 00:00:00+05:30,37.0,37.0,35.2,35.8,7510
2015-02-11 00:00:00+05:30,35.8,36.6,35.6,36.4,7460
2015-02-12 00:00:00+05:30,36.4,36.95,36.1,36.2,6560
2015-02-13 00:00:00+05:30,36.2,36.2,34.2,35.85,45200
2015-02-16 00:00:00+05:30,35.85,35.85,35.1,35.1,11800
2015-02-18 00:00:00+05:30,35.1,36.5,34.6,34.7,17720
2015-02-19 00:00:00+05:30,34.7,35.1,34.15,35.05,3510
2015-02-20 00:00:00+05:30,35.05,38.8,34.55,38.0,236440
2015-02-23 00:00:00+05:30,37.6,39.3,36.5,36.5,544080
2015-02-24 00:00:00+05:30,36.5,38.2,35.55,36.5,80570
2015-02-25 00:00:00+05:30,36.5,36.7,35.1,35.1,98450
2015-02-26 00:00:00+05:30,35.1,36.4,35.1,36.4,6490
2015-02-27 00:00:00+05:30,36.4,38.2,34.0,34.45,43290
2015-02-28 00:00:00+05:30,34.45,35.5,34.2,35.5,28360
2015-03-02 00:00:00+05:30,35.5,36.7,34.6,35.0,19850
2015-03-03 00:00:00+05:30,35.0,37.5,35.0,35.9,9363570
2015-03-04 00:00:00+05:30,37.15,37.95,35.5,35.75,640640
2015-03-09 00:00:00+05:30,36.6,36.6,35.5,35.9,85180
2015-03-10 00:00:00+05:30,35.9,40.4,35.35,40.0,2218820
2015-03-11 00:00:00+05:30,39.9,42.0,38.6,41.3,1720330
2015-03-12 00:00:00+05:30,41.65,41.75,40.3,40.4,229420
2015-03-13 00:00:00+05:30,40.9,40.9,37.75,39.45,307010
2015-03-16 00:00:00+05:30,39.3,39.9,38.4,38.7,77270
2015-03-17 00:00:00+05:30,40.0,40.0,37.15,37.5,80820
2015-03-18 00:00:00+05:30,38.0,38.0,37.0,37.0,48690
2015-03-19 00:00:00+05:30,37.4,38.6,36.5,36.5,69330
2015-03-20 00:00:00+05:30,36.5,37.8,35.6,36.8,225480
2015-03-23 00:00:00+05:30,36.8,36.8,35.0,35.2,277450
2015-03-24 00:00:00+05:30,35.6,35.6,35.0,35.2,232680
2015-03-25 00:00:00+05:30,35.4,35.9,35.0,35.0,66160
2015-03-26 00:00:00+05:30,35.0,35.5,35.0,35.0,104300
2015-03-27 00:00:00+05:30,35.0,35.3,35.0,35.25,90290
2015-03-30 00:00:00+05:30,35.2,38.0,35.2,36.5,39680
2015-03-31 00:00:00+05:30,38.7,40.4,35.0,40.1,618470
2015-04-01 00:00:00+05:30,42.0,43.4,41.25,42.95,870840
2015-04-06 00:00:00+05:30,43.25,44.9,42.05,44.1,986670
2015-04-07 00:00:00+05:30,44.6,45.5,43.85,44.5,470140
2015-04-08 00:00:00+05:30,44.6,45.1,44.1,44.2,185550
2015-04-09 00:00:00+05:30,44.8,44.8,42.65,43.0,132910
2015-04-10 00:00:00+05:30,43.4,44.1,42.8,42.85,113740
2015-04-13 00:00:00+05:30,42.8,43.4,42.5,43.2,83990
2015-04-15 00:00:00+05:30,43.3,46.0,43.3,45.0,565770
2015-04-16 00:00:00+05:30,45.4,46.0,44.2,45.45,226910
2015-04-17 00:00:00+05:30,45.9,45.9,44.05,44.6,64480
2015-04-20 00:00:00+05:30,44.85,46.8,43.1,44.85,234060
2015-04-21 00:00:00+05:30,44.85,45.4,43.5,44.2,57710
2015-04-22 00:00:00+05:30,44.2,45.0,42.9,43.85,79420
2015-04-23 00:00:00+05:30,45.1,45.1,43.6,44.0,31130
2015-04-24 00:00:00+05:30,44.0,44.0,41.6,42.4,56870
