date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,30.4,31.0,30.3,30.6,27705298
2015-02-03 00:00:00+05:30,30.85,31.0,29.7,29.9,25494280
2015-02-04 00:00:00+05:30,30.15,30.2,29.0,29.5,22399056
2015-02-05 00:00:00+05:30,29.4,30.0,28.45,28.8,24914818
2015-02-06 00:00:00+05:30,28.7,28.7,27.5,28.0,23668656
2015-02-09 00:00:00+05:30,27.6,27.6,25.95,26.1,27749126
2015-02-10 00:00:00+05:30,25.8,28.5,25.55,28.15,63215824
2015-02-11 00:00:00+05:30,28.3,29.9,28.3,29.9,41771422
2015-02-12 00:00:00+05:30,30.0,31.25,29.9,31.2,37409230
2015-02-13 00:00:00+05:30,31.3,31.6,30.6,30.9,31763814
2015-02-16 00:00:00+05:30,31.1,31.4,30.4,30.7,21104888
2015-02-18 00:00:00+05:30,30.7,32.4,30.6,32.0,47802566
2015-02-19 00:00:00+05:30,32.4,33.1,31.7,32.5,47636438
2015-02-20 00:00:00+05:30,32.6,32.8,31.45,31.6,28606794
2015-02-23 00:00:00+05:30,31.8,32.2,31.0,31.1,24245768
2015-02-24 00:00:00+05:30,31.2,31.2,30.55,30.9,26095606
2015-02-25 00:00:00+05:30,31.2,31.6,30.9,30.9,18239662
2015-02-26 00:00:00+05:30,31.2,31.2,29.8,30.2,30633766
2015-02-27 00:00:00+05:30,30.25,31.1,30.0,30.95,24206452
2015-02-28 00:00:00+05:30,31.2,33.0,30.0,33.0,49653816
2015-03-02 00:00:00+05:30,33.5,34.1,33.0,34.0,63358500
2015-03-03 00:00:00+05:30,34.2,34.8,33.6,34.6,38332802
2015-03-04 00:00:00+05:30,34.9,35.0,33.05,33.5,35575690
2015-03-05 00:00:00+05:30,33.6,34.55,33.2,34.3,30967422
2015-03-09 00:00:00+05:30,33.9,34.55,33.6,33.9,30218488
2015-03-10 00:00:00+05:30,34.2,35.15,33.8,35.1,41522270
2015-03-11 00:00:00+05:30,35.1,35.6,34.65,35.2,38996114
2015-03-12 00:00:00+05:30,35.3,35.35,34.7,35.0,19987682
2015-03-13 00:00:00+05:30,35.2,35.3,33.6,33.85,25473532
2015-03-16 00:00:00+05:30,33.35,34.35,32.95,34.3,23420126
2015-03-17 00:00:00+05:30,34.5,34.55,33.3,33.4,60976400
2015-03-18 00:00:00+05:30,33.4,33.4,32.8,33.0,22031078
2015-03-19 00:00:00+05:30,33.35,33.9,32.6,32.7,28140186
2015-03-20 00:00:00+05:30,32.5,32.55,31.8,32.1,23845520
2015-03-23 00:00:00+05:30,32.3,32.5,31.55,31.7,15867262
2015-03-25 00:00:00+05:30,31.4,31.6,31.2,31.25,16051402
2015-03-26 00:00:00+05:30,31.1,32.0,31.0,31.85,22405416
2015-03-27 00:00:00+05:30,32.0,32.7,31.0,32.6,22559886
2015-03-30 00:00:00+05:30,33.0,34.7,32.9,34.7,32585376
2015-03-31 00:00:00+05:30,35.1,35.35,34.0,34.1,35276016
2015-04-01 00:00:00+05:30,33.9,34.9,33.9,34.6,34355298
2015-04-06 00:00:00+05:30,35.0,35.0,33.8,34.35,20135852
2015-04-07 00:00:00+05:30,34.6,34.7,33.75,34.3,23144788
2015-04-08 00:00:00+05:30,34.6,34.7,34.0,34.15,22395168
2015-04-09 00:00:00+05:30,34.2,35.6,33.9,35.3,42262750
2015-04-10 00:00:00+05:30,35.4,35.5,34.9,35.1,20077332
2015-04-13 00:00:00+05:30,35.3,35.8,35.1,35.4,24138084
2015-04-15 00:00:00+05:30,35.5,36.0,34.6,35.0,24891518
2015-04-16 00:00:00+05:30,35.15,35.2,34.3,34.65,17102312
2015-04-17 00:00:00+05:30,34.7,34.8,33.65,33.8,13525352
2015-04-20 00:00:00+05:30,33.9,33.9,32.4,32.85,17472332
2015-04-21 00:00:00+05:30,32.7,33.3,32.2,33.05,28153602
2015-04-22 00:00:00+05:30,33.1,33.2,32.1,33.0,22448014
2015-04-23 00:00:00+05:30,33.3,33.7,32.5,32.5,27339486
2015-04-27 00:00:00+05:30,31.4,31.4,29.4,30.25,34592514
2015-04-28 00:00:00+05:30,30.1,31.9,29.7,31.8,28144482
2015-04-29 00:00:00+05:30,31.9,32.4,31.5,31.9,19521042
2015-04-30 00:00:00+05:30,31.85,32.6,31.5,32.4,31900558
2015-05-04 00:00:00+05:30,32.6,33.5,32.5,33.25,29259478
2015-05-05 00:00:00+05:30,33.4,33.5,32.4,32.8,21517520
2015-05-06 00:00:00+05:30,32.6,32.8,30.65,30.7,24861326
2015-05-07 00:00:00+05:30,30.6,31.2,29.7,30.3,35446786
2015-05-08 00:00:00+05:30,31.0,32.1,30.9,31.9,20796216
2015-05-11 00:00:00+05:30,32.3,34.9,32.3,34.6,49218158
2015-05-12 00:00:00+05:30,35.1,35.3,32.35,33.7,73051732
2015-05-13 00:00:00+05:30,33.7,33.9,31.6,32.35,71474836
2015-05-14 00:00:00+05:30,32.1,33.4,31.6,33.2,40811132
2015-05-15 00:00:00+05:30,33.4,33.4,32.0,32.45,31578536
2015-05-18 00:00:00+05:30,32.9,33.0,32.55,32.9,17368506
2015-05-19 00:00:00+05:30,32.9,33.3,32.6,32.8,17519840
2015-05-20 00:00:00+05:30,33.0,33.3,32.5,32.9,14427282
2015-05-21 00:00:00+05:30,33.0,33.0,32.2,32.6,17772454
2015-05-22 00:00:00+05:30,32.55,32.7,32.05,32.1,13997658
2015-05-26 00:00:00+05:30,32.15,32.4,31.9,32.2,10568752
2015-05-27 00:00:00+05:30,31.95,33.1,31.8,33.05,17435350
2015-05-28 00:00:00+05:30,33.3,33.6,32.65,32.8,24761388
2015-05-29 00:00:00+05:30,32.9,33.4,32.6,33.3,17432558
2015-06-01 00:00:00+05:30,33.3,34.0,33.2,33.45,18303282
2015-06-02 00:00:00+05:30,33.6,33.75,31.75,31.95,21069424
2015-06-03 00:00:00+05:30,31.95,32.1,30.2,31.35,24778912
2015-06-04 00:00:00+05:30,31.3,31.6,30.4,30.9,20910140
2015-06-05 00:00:00+05:30,30.9,31.8,30.5,31.4,17758502
2015-06-08 00:00:00+05:30,31.5,31.7,30.6,30.7,12785902
2015-06-09 00:00:00+05:30,30.7,31.1,30.45,30.6,10394932
2015-06-10 00:00:00+05:30,30.75,31.4,30.75,31.25,9432034
2015-06-11 00:00:00+05:30,31.5,31.7,30.0,30.4,28075878
2015-06-12 00:00:00+05:30,30.0,30.6,29.95,30.4,14644578
2015-06-15 00:00:00+05:30,30.6,31.1,30.0,30.1,13641066
2015-06-16 00:00:00+05:30,30.1,30.15,29.5,30.0,12771438
2015-06-17 00:00:00+05:30,30.1,30.6,29.7,30.4,17299802
2015-06-18 00:00:00+05:30,30.6,31.9,30.5,31.85,24850490
2015-06-19 00:00:00+05:30,32.1,32.7,31.9,32.5,24028598
2015-06-22 00:00:00+05:30,32.6,32.9,32.1,32.8,12461424
2015-06-23 00:00:00+05:30,32.8,33.65,32.4,33.3,22528438
2015-06-24 00:00:00+05:30,33.4,33.4,32.2,32.35,20354670
2015-06-26 00:00:00+05:30,32.35,33.3,32.1,33.2,25811184
2015-06-29 00:00:00+05:30,32.2,33.1,31.8,33.1,18646990
2015-06-30 00:00:00+05:30,33.2,33.9,33.05,33.8,27381912
2015-07-01 00:00:00+05:30,34.0,35.0,34.0,34.65,31749932
2015-07-02 00:00:00+05:30,35.5,35.65,34.35,34.45,29742276
2015-07-03 00:00:00+05:30,34.5,34.5,33.7,33.95,15839820
2015-07-06 00:00:00+05:30,32.95,34.45,32.95,34.4,15007480
2015-07-07 00:00:00+05:30,34.5,34.8,33.8,34.0,13552892
2015-07-08 00:00:00+05:30,33.6,34.1,33.0,33.1,14560232
2015-07-09 00:00:00+05:30,33.4,33.5,32.9,33.2,9813554
2015-07-10 00:00:00+05:30,33.5,33.6,33.15,33.3,8722662
2015-07-13 00:00:00+05:30,33.5,34.1,33.2,34.0,14158384
2015-07-14 00:00:00+05:30,34.0,34.95,33.7,34.55,34977776
2015-07-15 00:00:00+05:30,34.8,35.25,34.45,34.7,33232404
2015-07-16 00:00:00+05:30,34.9,35.0,34.5,34.7,15760772
2015-07-17 00:00:00+05:30,34.8,35.5,34.6,35.1,19152294
2015-07-20 00:00:00+05:30,35.15,36.55,35.1,36.5,31993426
2015-07-21 00:00:00+05:30,36.7,37.9,36.65,37.3,45809774
2015-07-22 00:00:00+05:30,37.1,38.35,37.1,38.25,25027790
2015-07-23 00:00:00+05:30,38.5,39.1,38.3,38.75,28147580
2015-07-24 00:00:00+05:30,38.6,38.6,37.5,38.0,16947230
2015-07-27 00:00:00+05:30,37.6,38.6,37.15,38.0,23999712
2015-07-28 00:00:00+05:30,38.25,39.4,38.0,39.3,29489174
2015-07-29 00:00:00+05:30,39.5,40.3,39.15,40.25,28105004
2015-07-30 00:00:00+05:30,40.25,40.7,39.45,39.7,34969450
2015-07-31 00:00:00+05:30,39.85,40.2,39.35,39.9,27166014
2015-08-03 00:00:00+05:30,40.3,40.6,39.8,40.0,15871558
2015-08-04 00:00:00+05:30,40.15,41.7,39.6,41.6,37031186
2015-08-05 00:00:00+05:30,41.9,41.9,41.1,41.2,19441788
2015-08-06 00:00:00+05:30,41.3,41.75,40.8,41.1,11697854
2015-08-07 00:00:00+05:30,41.0,41.6,40.85,41.3,13583880
2015-08-10 00:00:00+05:30,41.35,42.1,41.1,41.3,16708034
2015-08-11 00:00:00+05:30,41.6,41.8,40.1,41.0,16070022
2015-08-12 00:00:00+05:30,40.9,42.5,39.6,41.5,70841350
2015-08-13 00:00:00+05:30,42.4,42.7,41.35,41.9,50108726
2015-08-14 00:00:00+05:30,42.1,42.4,41.7,42.05,27581370
2015-08-17 00:00:00+05:30,42.0,43.5,41.0,43.4,44336616
2015-08-18 00:00:00+05:30,43.7,47.35,43.6,46.05,85805006
2015-08-19 00:00:00+05:30,45.9,47.0,45.15,45.3,48290784
2015-08-20 00:00:00+05:30,45.3,46.4,45.0,45.45,37249988
2015-08-21 00:00:00+05:30,44.45,45.25,43.8,45.1,25935122
