date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,177.53,178.26,170.33,174.78,9585806
2015-02-03 00:00:00+05:30,176.52,178.16,170.91,171.97,7669049
2015-02-04 00:00:00+05:30,173.33,174.34,168.64,170.81,4621457
2015-02-05 00:00:00+05:30,171.49,172.17,162.16,162.84,6183787
2015-02-06 00:00:00+05:30,162.79,164.34,156.36,162.5,9787209
2015-02-09 00:00:00+05:30,160.42,164.67,159.41,160.28,5107529
2015-02-10 00:00:00+05:30,158.73,167.82,158.1,164.29,6835331
2015-02-11 00:00:00+05:30,164.53,169.41,163.95,167.14,4829100
2015-02-12 00:00:00+05:30,168.49,168.93,164.77,167.33,3918380
2015-02-13 00:00:00+05:30,168.69,171.73,166.95,168.59,6497436
2015-02-16 00:00:00+05:30,170.14,171.05,166.66,168.93,3803228
2015-02-18 00:00:00+05:30,170.23,170.62,166.66,169.89,2907508
2015-02-19 00:00:00+05:30,170.72,170.76,162.31,165.69,3674872
2015-02-20 00:00:00+05:30,165.98,173.13,163.27,170.18,5040530
2015-02-23 00:00:00+05:30,170.52,172.46,167.43,168.11,2599581
2015-02-24 00:00:00+05:30,167.77,168.01,162.4,163.76,5591902
2015-02-25 00:00:00+05:30,165.01,166.56,163.03,163.66,2455744
2015-02-26 00:00:00+05:30,164.38,164.48,157.04,159.07,6017608
2015-02-27 00:00:00+05:30,161.34,168.4,160.13,168.15,7510931
2015-02-28 00:00:00+05:30,171.49,177.68,163.03,171.68,11819427
2015-03-02 00:00:00+05:30,173.33,173.57,165.98,169.36,6377398
2015-03-03 00:00:00+05:30,169.94,175.36,168.25,174.87,4595523
2015-03-04 00:00:00+05:30,183.62,184.06,165.83,167.09,10021104
2015-03-05 00:00:00+05:30,168.49,171.39,165.59,170.52,4895196
2015-03-09 00:00:00+05:30,167.43,169.12,165.4,166.66,3668215
2015-03-10 00:00:00+05:30,167.48,169.36,163.03,167.04,4340726
2015-03-11 00:00:00+05:30,167.53,167.67,162.35,163.08,5388459
2015-03-12 00:00:00+05:30,165.5,168.3,164.43,166.85,3286843
2015-03-13 00:00:00+05:30,168.2,168.59,163.76,165.98,3932912
2015-03-16 00:00:00+05:30,164.77,170.52,164.77,169.46,2291637
2015-03-17 00:00:00+05:30,170.43,170.52,165.35,168.69,8327578
2015-03-18 00:00:00+05:30,169.56,171.73,167.77,168.78,5671143
2015-03-19 00:00:00+05:30,170.81,170.96,161.58,162.16,3978762
2015-03-20 00:00:00+05:30,162.6,162.69,158.44,159.26,4629214
2015-03-23 00:00:00+05:30,160.23,160.47,156.02,156.17,3817574
2015-03-25 00:00:00+05:30,155.06,155.83,151.0,153.27,3639980
2015-03-26 00:00:00+05:30,151.77,154.38,147.32,150.51,5067722
2015-03-27 00:00:00+05:30,149.93,150.32,143.07,147.95,5765767
2015-03-30 00:00:00+05:30,149.88,151.87,145.05,151.09,3851297
2015-03-31 00:00:00+05:30,151.96,154.96,149.64,150.13,3102121
2015-04-01 00:00:00+05:30,150.22,157.38,149.3,157.38,2946516
2015-04-06 00:00:00+05:30,156.6,157.47,153.61,155.06,3283133
2015-04-07 00:00:00+05:30,156.22,159.02,154.33,157.57,4176653
2015-04-08 00:00:00+05:30,157.81,158.92,154.19,155.54,3857828
2015-04-09 00:00:00+05:30,156.99,160.57,154.14,158.49,6602545
2015-04-10 00:00:00+05:30,158.78,162.06,157.86,160.76,2999701
2015-04-13 00:00:00+05:30,161.34,164.58,160.95,161.29,3607085
2015-04-15 00:00:00+05:30,161.82,167.57,161.63,163.47,5404546
2015-04-16 00:00:00+05:30,164.48,165.16,159.55,163.76,3635671
