date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,33.85,35.35,33.45,34.65,20537847
2015-02-03 00:00:00+05:30,34.9,36.65,33.9,36.45,44025795
2015-02-04 00:00:00+05:30,36.75,37.1,35.7,36.0,21923847
2015-02-05 00:00:00+05:30,35.85,35.9,35.15,35.3,7160670
2015-02-06 00:00:00+05:30,35.35,35.9,34.3,34.45,7965441
2015-02-09 00:00:00+05:30,34.4,34.45,33.3,33.35,8202843
2015-02-10 00:00:00+05:30,33.25,34.4,33.0,33.85,10562607
2015-02-11 00:00:00+05:30,34.5,35.5,34.45,35.4,31872060
2015-02-12 00:00:00+05:30,35.65,37.45,34.95,37.4,44462781
2015-02-13 00:00:00+05:30,37.55,37.65,36.4,36.6,19943055
2015-02-16 00:00:00+05:30,36.8,37.8,36.4,36.95,16016022
2015-02-18 00:00:00+05:30,37.2,41.85,37.2,39.9,109464300
2015-02-19 00:00:00+05:30,40.15,40.65,38.45,38.75,36648414
2015-02-20 00:00:00+05:30,39.05,39.8,38.55,38.65,24352119
2015-02-23 00:00:00+05:30,39.0,39.35,37.4,37.55,20737728
2015-02-24 00:00:00+05:30,38.1,38.55,37.05,37.35,31016700
2015-02-25 00:00:00+05:30,37.75,38.25,37.3,37.4,21581604
2015-02-26 00:00:00+05:30,37.6,38.15,36.55,36.85,33516747
2015-02-27 00:00:00+05:30,38.05,41.25,37.8,38.2,161046666
2015-02-28 00:00:00+05:30,38.75,39.3,36.6,37.7,52231707
2015-03-02 00:00:00+05:30,38.0,38.0,36.6,36.75,24858108
2015-03-03 00:00:00+05:30,37.0,37.2,36.4,36.8,18976617
2015-03-04 00:00:00+05:30,37.0,37.8,36.75,37.05,26063136
2015-03-05 00:00:00+05:30,37.25,37.3,35.9,36.2,24154812
2015-03-09 00:00:00+05:30,36.1,36.15,34.65,34.75,17674371
2015-03-10 00:00:00+05:30,35.05,35.15,33.15,33.6,32125599
2015-03-11 00:00:00+05:30,33.85,34.9,33.3,33.95,38332899
2015-03-12 00:00:00+05:30,34.3,34.7,34.05,34.25,20465973
2015-03-13 00:00:00+05:30,34.45,34.7,33.45,33.75,22418055
2015-03-16 00:00:00+05:30,33.15,33.35,32.8,32.95,9807831
2015-03-17 00:00:00+05:30,33.25,34.1,33.15,34.0,27013635
2015-03-18 00:00:00+05:30,34.05,34.25,33.15,33.3,12379158
2015-03-19 00:00:00+05:30,33.65,33.75,32.7,32.8,16148385
2015-03-20 00:00:00+05:30,32.9,32.9,31.8,32.4,15215310
2015-03-23 00:00:00+05:30,32.55,32.8,31.95,32.1,20802870
2015-03-25 00:00:00+05:30,32.95,32.95,32.05,32.2,11118690
2015-03-26 00:00:00+05:30,32.1,32.4,31.55,32.05,11189475
2015-03-27 00:00:00+05:30,32.25,32.3,31.15,31.3,17371827
2015-03-30 00:00:00+05:30,32.1,32.95,32.1,32.8,43724142
2015-03-31 00:00:00+05:30,33.0,34.1,32.65,33.9,35981451
2015-04-01 00:00:00+05:30,33.9,36.3,33.85,35.4,57606318
2015-04-06 00:00:00+05:30,35.55,36.45,35.5,36.35,23336379
2015-04-07 00:00:00+05:30,36.5,36.6,35.25,36.35,16350147
2015-04-08 00:00:00+05:30,36.35,37.6,36.05,37.2,21516165
2015-04-09 00:00:00+05:30,37.5,37.95,36.8,37.2,13537755
2015-04-10 00:00:00+05:30,37.3,37.35,36.35,36.6,10083150
2015-04-13 00:00:00+05:30,36.85,37.0,34.65,34.8,22529331
2015-04-15 00:00:00+05:30,34.95,35.0,33.15,33.55,31385376
2015-04-16 00:00:00+05:30,33.85,34.3,33.15,33.25,19846233
2015-04-17 00:00:00+05:30,33.45,33.65,32.3,32.35,13051863
2015-04-20 00:00:00+05:30,32.5,33.15,31.3,31.45,18737334
2015-04-21 00:00:00+05:30,31.85,32.1,31.3,31.7,11015136
2015-04-22 00:00:00+05:30,31.8,32.3,31.6,32.25,12298572
2015-04-23 00:00:00+05:30,32.5,32.9,32.15,32.25,15057504
2015-04-27 00:00:00+05:30,31.6,31.6,30.05,30.05,12400146
2015-04-28 00:00:00+05:30,30.1,30.5,29.55,30.05,12492810
2015-04-29 00:00:00+05:30,30.2,30.8,29.8,30.3,14364504
2015-04-30 00:00:00+05:30,30.4,31.4,29.9,31.35,11752290
2015-05-04 00:00:00+05:30,31.4,32.05,31.3,31.7,9342234
2015-05-05 00:00:00+05:30,31.7,33.95,31.5,33.0,30574071
2015-05-06 00:00:00+05:30,33.25,33.95,31.0,31.75,32483781
2015-05-07 00:00:00+05:30,31.4,32.55,29.9,30.55,35859087
2015-05-08 00:00:00+05:30,30.85,31.7,30.85,31.45,20045520
2015-05-11 00:00:00+05:30,31.75,32.3,31.45,31.6,11029392
2015-05-12 00:00:00+05:30,31.75,32.15,31.15,31.7,18275598
2015-05-13 00:00:00+05:30,32.05,32.2,31.85,32.0,15391629
2015-05-14 00:00:00+05:30,31.95,32.15,31.65,31.7,6986925
2015-05-15 00:00:00+05:30,31.9,32.8,31.75,31.85,10461033
2015-05-18 00:00:00+05:30,32.1,32.35,31.75,32.0,5996133
2015-05-19 00:00:00+05:30,32.05,32.35,31.85,32.2,8619039
2015-05-20 00:00:00+05:30,32.45,32.6,32.0,32.15,5281353
2015-05-21 00:00:00+05:30,32.3,32.95,32.1,32.5,12033351
2015-05-22 00:00:00+05:30,32.65,32.65,32.1,32.25,4753188
2015-05-26 00:00:00+05:30,32.45,33.5,32.45,33.35,16482906
2015-05-27 00:00:00+05:30,33.1,33.65,32.85,33.55,8240265
2015-05-28 00:00:00+05:30,33.45,34.05,33.45,33.75,8344413
2015-05-29 00:00:00+05:30,33.75,36.65,32.2,36.1,84688164
2015-06-01 00:00:00+05:30,36.25,36.9,36.0,36.25,22556358
2015-06-02 00:00:00+05:30,36.15,36.2,34.65,35.15,23106105
2015-06-03 00:00:00+05:30,35.15,35.15,32.0,33.3,24532497
2015-06-04 00:00:00+05:30,33.0,33.7,32.35,33.35,18475578
2015-06-05 00:00:00+05:30,33.3,34.3,32.85,33.55,15268671
2015-06-08 00:00:00+05:30,33.6,34.1,33.1,33.1,8032167
2015-06-09 00:00:00+05:30,33.1,33.55,32.5,32.6,8137800
2015-06-10 00:00:00+05:30,32.7,33.5,32.7,33.1,6207399
2015-06-11 00:00:00+05:30,33.3,33.45,32.2,32.45,8475588
2015-06-12 00:00:00+05:30,32.5,32.95,32.05,32.9,8965143
2015-06-15 00:00:00+05:30,32.75,33.4,32.6,32.9,7570629
2015-06-16 00:00:00+05:30,32.7,33.05,32.55,32.85,5374017
2015-06-17 00:00:00+05:30,33.1,33.7,32.85,33.5,13555278
2015-06-18 00:00:00+05:30,33.35,34.25,33.35,34.0,12566664
2015-06-19 00:00:00+05:30,34.2,34.6,34.15,34.55,11818422
2015-06-22 00:00:00+05:30,34.55,34.75,34.05,34.4,7165818
2015-06-23 00:00:00+05:30,34.35,34.8,34.1,34.3,7646958
2015-06-24 00:00:00+05:30,34.4,34.65,33.6,33.9,7562016
2015-06-26 00:00:00+05:30,34.0,35.2,33.9,34.75,15138981
2015-06-29 00:00:00+05:30,34.2,34.25,33.2,33.55,9153738
2015-06-30 00:00:00+05:30,33.8,34.25,33.7,33.95,11362527
2015-07-01 00:00:00+05:30,34.2,34.8,34.1,34.4,9984546
2015-07-02 00:00:00+05:30,34.55,35.05,34.35,34.45,9478953
2015-07-03 00:00:00+05:30,34.6,34.9,34.35,34.5,6727050
2015-07-06 00:00:00+05:30,34.3,34.45,32.25,34.15,8262243
2015-07-07 00:00:00+05:30,34.25,35.5,34.25,34.85,14363811
2015-07-08 00:00:00+05:30,34.55,35.1,34.15,34.45,8949798
2015-07-09 00:00:00+05:30,34.65,35.0,34.4,34.6,5666166
2015-07-10 00:00:00+05:30,34.85,35.05,34.35,34.75,4526577
2015-07-13 00:00:00+05:30,34.8,35.0,34.55,34.85,4235319
2015-07-14 00:00:00+05:30,34.9,35.55,34.8,35.2,9676755
2015-07-15 00:00:00+05:30,35.45,35.85,35.35,35.6,6848721
2015-07-16 00:00:00+05:30,35.85,37.1,35.55,37.1,24528834
2015-07-17 00:00:00+05:30,37.45,37.55,36.75,36.9,13873959
2015-07-20 00:00:00+05:30,37.0,37.15,36.65,37.05,5280957
2015-07-21 00:00:00+05:30,36.95,37.6,36.5,36.7,12559239
2015-07-22 00:00:00+05:30,36.65,37.15,36.15,37.1,5107806
2015-07-23 00:00:00+05:30,37.3,38.3,37.2,38.1,18209961
2015-07-24 00:00:00+05:30,38.2,38.25,36.95,37.15,13070178
2015-07-27 00:00:00+05:30,39.4,39.4,37.0,37.25,39849084
2015-07-28 00:00:00+05:30,37.55,38.05,37.35,37.9,12907521
2015-07-29 00:00:00+05:30,38.0,39.9,37.7,39.7,27277866
2015-07-30 00:00:00+05:30,40.1,40.1,39.5,39.6,14451723
2015-07-31 00:00:00+05:30,39.8,40.55,39.55,40.15,19170360
2015-08-03 00:00:00+05:30,40.2,41.95,40.2,41.9,20460924
2015-08-04 00:00:00+05:30,41.9,42.0,41.1,41.7,16463898
2015-08-05 00:00:00+05:30,41.8,41.95,40.65,40.95,10460736
2015-08-06 00:00:00+05:30,40.95,41.0,39.65,40.25,10840104
2015-08-07 00:00:00+05:30,40.3,40.85,39.8,40.25,11792781
2015-08-10 00:00:00+05:30,40.0,40.4,39.4,39.55,5702796
2015-08-11 00:00:00+05:30,39.7,39.8,38.3,38.65,11367675
2015-08-12 00:00:00+05:30,38.6,38.65,37.5,37.65,10945242
2015-08-13 00:00:00+05:30,37.85,38.75,37.75,38.0,12531717
2015-08-14 00:00:00+05:30,38.15,38.95,37.85,38.85,11849607
2015-08-17 00:00:00+05:30,39.0,39.0,38.15,38.2,7873569
2015-08-18 00:00:00+05:30,38.4,38.65,37.4,37.45,12522114
2015-08-19 00:00:00+05:30,37.8,37.8,36.75,36.75,26508834
2015-08-20 00:00:00+05:30,36.85,37.15,36.35,36.65,12984147
2015-08-21 00:00:00+05:30,36.3,36.45,35.8,36.1,15301341
