date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,69.1,71.35,69.05,70.7,2184237
2015-02-03 00:00:00+05:30,70.8,71.65,70.0,71.2,2104473
2015-02-04 00:00:00+05:30,71.3,72.0,70.85,71.15,2097855
2015-02-05 00:00:00+05:30,71.6,71.85,69.2,69.4,2194092
2015-02-06 00:00:00+05:30,69.5,70.1,68.4,68.65,1534206
2015-02-09 00:00:00+05:30,68.5,69.2,67.85,68.85,1001184
2015-02-10 00:00:00+05:30,68.7,69.75,68.35,68.7,997104
2015-02-11 00:00:00+05:30,69.0,71.15,69.0,71.1,1231737
2015-02-12 00:00:00+05:30,71.05,71.25,69.65,70.15,1167915
2015-02-13 00:00:00+05:30,70.5,75.4,70.1,75.0,5213988
2015-02-18 00:00:00+05:30,73.5,75.25,73.35,74.55,1752519
2015-02-19 00:00:00+05:30,74.5,74.7,72.8,73.6,1020309
2015-02-20 00:00:00+05:30,73.9,75.6,73.15,73.95,1754262
2015-02-23 00:00:00+05:30,74.35,75.1,72.65,72.75,1183983
2015-02-24 00:00:00+05:30,73.0,73.6,70.8,71.15,1681026
2015-02-25 00:00:00+05:30,71.45,72.45,70.55,70.85,1291938
2015-02-26 00:00:00+05:30,71.0,71.1,69.7,70.5,937164
2015-02-27 00:00:00+05:30,70.9,71.6,70.0,70.35,1602459
2015-02-28 00:00:00+05:30,70.95,71.45,70.05,71.1,1058661
2015-03-02 00:00:00+05:30,71.3,73.6,71.0,73.15,1938828
2015-03-03 00:00:00+05:30,73.65,74.1,72.1,72.65,1949625
2015-03-04 00:00:00+05:30,73.15,74.0,70.65,71.15,1902312
2015-03-05 00:00:00+05:30,71.3,72.75,71.05,72.6,1000539
2015-03-09 00:00:00+05:30,71.6,73.55,71.6,71.7,1161891
2015-03-10 00:00:00+05:30,71.65,73.25,71.65,72.15,1086663
2015-03-11 00:00:00+05:30,72.15,72.9,71.0,71.35,961710
2015-03-12 00:00:00+05:30,71.45,73.1,71.1,72.7,1642251
2015-03-13 00:00:00+05:30,72.95,73.0,70.6,71.4,1378848
2015-03-16 00:00:00+05:30,71.0,71.8,70.65,71.5,782796
2015-03-17 00:00:00+05:30,71.9,73.4,71.55,72.6,1711116
2015-03-18 00:00:00+05:30,72.85,75.2,72.3,75.0,3115737
2015-03-20 00:00:00+05:30,74.0,75.5,71.95,72.65,2061306
2015-03-23 00:00:00+05:30,72.6,73.45,72.1,72.6,1428561
2015-03-24 00:00:00+05:30,72.5,73.15,72.1,72.5,1070895
2015-03-25 00:00:00+05:30,72.5,73.15,71.95,72.4,1178253
2015-03-26 00:00:00+05:30,72.25,73.0,71.55,71.9,1947648
2015-03-27 00:00:00+05:30,72.9,73.45,69.65,70.75,1507395
2015-03-30 00:00:00+05:30,71.35,72.9,70.9,72.5,1084344
2015-03-31 00:00:00+05:30,72.7,79.1,72.6,78.1,5957109
2015-04-01 00:00:00+05:30,78.85,79.8,77.15,77.65,5798289
2015-04-06 00:00:00+05:30,78.05,80.55,77.65,79.6,4303734
2015-04-07 00:00:00+05:30,79.8,80.85,78.5,79.7,2413752
2015-04-08 00:00:00+05:30,80.0,81.65,78.7,80.95,3333636
2015-04-09 00:00:00+05:30,80.15,80.5,77.55,78.0,2563173
2015-04-10 00:00:00+05:30,80.0,80.35,77.2,78.05,5444148
2015-04-13 00:00:00+05:30,78.15,81.95,78.0,81.3,6997137
2015-04-15 00:00:00+05:30,81.75,82.6,79.15,79.5,4086201
2015-04-16 00:00:00+05:30,79.75,80.35,77.2,78.55,2745804
2015-04-17 00:00:00+05:30,78.8,79.35,77.2,77.65,1925406
2015-04-20 00:00:00+05:30,77.95,78.3,74.25,75.0,3473961
2015-04-21 00:00:00+05:30,75.0,75.7,73.5,73.8,3028497
2015-04-22 00:00:00+05:30,74.15,77.5,72.35,77.35,3924441
2015-04-23 00:00:00+05:30,78.0,78.3,75.0,75.35,5983455
2015-04-24 00:00:00+05:30,75.65,75.85,73.7,74.5,1975779
2015-04-27 00:00:00+05:30,74.55,74.85,72.15,72.2,1794123
2015-04-28 00:00:00+05:30,72.5,74.0,71.75,73.55,1902309
2015-04-29 00:00:00+05:30,73.75,74.95,73.05,73.95,2114442
2015-04-30 00:00:00+05:30,75.3,76.5,74.9,75.85,4439214
2015-05-04 00:00:00+05:30,76.05,76.45,73.85,75.7,2209170
2015-05-05 00:00:00+05:30,75.85,76.15,74.25,74.25,1820967
2015-05-06 00:00:00+05:30,74.3,74.3,70.4,70.65,2352480
2015-05-07 00:00:00+05:30,70.9,71.7,69.9,70.65,2843043
2015-05-08 00:00:00+05:30,71.8,72.6,70.9,72.45,2236773
2015-05-11 00:00:00+05:30,72.5,73.85,72.35,73.25,1262799
2015-05-12 00:00:00+05:30,73.35,73.4,71.65,72.05,1193451
2015-05-13 00:00:00+05:30,72.3,73.0,71.6,72.4,1150995
2015-05-14 00:00:00+05:30,72.3,73.55,71.7,73.1,1140876
2015-05-15 00:00:00+05:30,73.3,73.85,72.65,73.7,792213
2015-05-18 00:00:00+05:30,73.5,75.15,73.45,74.95,1809705
2015-05-19 00:00:00+05:30,75.0,75.95,74.35,74.85,1638477
2015-05-21 00:00:00+05:30,74.55,74.9,73.8,74.3,614586
2015-05-22 00:00:00+05:30,74.65,75.35,74.0,74.65,764256
2015-05-25 00:00:00+05:30,74.5,75.15,74.0,74.85,675069
2015-05-26 00:00:00+05:30,74.85,74.85,74.1,74.45,878541
2015-05-27 00:00:00+05:30,74.3,75.3,74.05,74.85,931974
2015-05-28 00:00:00+05:30,75.0,75.25,73.5,73.9,1825608
2015-05-29 00:00:00+05:30,74.2,75.45,73.75,75.25,1481931
