date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,329.55,332.35,325.95,330.6,25599395
2015-02-03 00:00:00+05:30,331.1,335.0,329.2,332.25,7663623
2015-02-04 00:00:00+05:30,332.45,343.35,332.45,339.75,15150571
2015-02-05 00:00:00+05:30,341.65,349.05,341.65,343.35,9370160
2015-02-06 00:00:00+05:30,343.9,344.6,334.3,338.9,3567144
2015-02-09 00:00:00+05:30,336.45,337.35,333.25,334.2,2495137
2015-02-10 00:00:00+05:30,333.8,343.5,333.8,343.05,5291965
2015-02-11 00:00:00+05:30,344.4,350.8,344.2,346.35,27180762
2015-02-12 00:00:00+05:30,346.25,348.8,339.8,342.8,4745661
2015-02-13 00:00:00+05:30,339.6,353.65,339.05,350.95,16973385
2015-02-16 00:00:00+05:30,351.55,357.3,349.35,351.05,4300689
2015-02-18 00:00:00+05:30,351.85,358.1,351.85,353.95,5497686
2015-02-19 00:00:00+05:30,355.4,363.05,350.25,353.7,6006679
2015-02-20 00:00:00+05:30,355.05,358.4,351.25,356.05,5967031
2015-02-23 00:00:00+05:30,358.05,360.05,355.8,357.05,4695793
2015-02-24 00:00:00+05:30,358.85,363.15,356.4,358.5,4496832
2015-02-25 00:00:00+05:30,358.95,362.85,357.3,360.25,3289690
2015-02-26 00:00:00+05:30,359.3,360.15,352.35,358.4,10630227
2015-02-27 00:00:00+05:30,360.15,370.5,358.35,366.25,24767374
2015-02-28 00:00:00+05:30,370.5,371.35,363.35,367.2,3941309
2015-03-02 00:00:00+05:30,367.95,370.5,359.4,367.6,8385150
2015-03-04 00:00:00+05:30,353.85,354.45,344.55,345.15,4494388
2015-03-05 00:00:00+05:30,346.4,349.3,336.95,338.6,4964020
2015-03-09 00:00:00+05:30,336.8,343.6,331.5,333.25,4547957
2015-03-10 00:00:00+05:30,333.75,346.1,333.5,345.95,4529908
2015-03-11 00:00:00+05:30,343.5,345.05,340.85,343.4,3131796
2015-03-12 00:00:00+05:30,344.8,346.5,338.15,340.3,2976887
2015-03-13 00:00:00+05:30,341.65,343.7,338.4,339.5,2767660
2015-03-16 00:00:00+05:30,340.7,341.45,336.1,339.95,2211757
2015-03-17 00:00:00+05:30,342.15,342.85,334.85,337.15,1994359
2015-03-18 00:00:00+05:30,337.35,340.45,336.3,340.2,1289244
2015-03-19 00:00:00+05:30,341.2,344.0,338.1,340.7,2408924
2015-03-20 00:00:00+05:30,340.7,345.4,338.7,342.55,2117473
2015-03-23 00:00:00+05:30,342.3,344.7,338.05,343.5,2538226
2015-03-24 00:00:00+05:30,342.15,347.25,341.25,343.95,1957511
2015-03-25 00:00:00+05:30,345.4,345.4,335.2,335.6,1848152
2015-03-26 00:00:00+05:30,333.8,335.1,325.8,329.65,3831544
2015-03-27 00:00:00+05:30,329.55,329.95,322.55,324.6,2340871
2015-03-30 00:00:00+05:30,326.0,335.05,322.7,334.1,2446268
2015-03-31 00:00:00+05:30,334.75,340.6,334.75,336.95,3475186
2015-04-01 00:00:00+05:30,337.6,339.1,333.4,337.95,1426865
2015-04-06 00:00:00+05:30,338.85,339.35,333.95,334.5,1243798
2015-04-07 00:00:00+05:30,335.8,337.2,331.75,334.8,1856760
2015-04-08 00:00:00+05:30,340.2,356.1,339.95,355.7,6857531
2015-04-09 00:00:00+05:30,356.9,362.5,353.2,360.15,3297698
2015-04-10 00:00:00+05:30,357.5,363.05,357.5,361.15,3576481
2015-04-13 00:00:00+05:30,362.05,368.35,357.25,365.25,2906262
2015-04-15 00:00:00+05:30,364.0,364.0,357.45,358.4,4143845
2015-04-16 00:00:00+05:30,359.25,359.35,355.25,355.55,2028660
2015-04-17 00:00:00+05:30,355.65,358.55,352.9,355.6,2102545
2015-04-20 00:00:00+05:30,354.7,356.1,344.95,346.55,3397826
2015-04-21 00:00:00+05:30,346.45,352.55,346.4,349.3,1817389
2015-04-22 00:00:00+05:30,348.4,354.55,347.65,353.3,2163803
2015-04-23 00:00:00+05:30,354.8,359.25,354.7,357.45,2809602
2015-04-24 00:00:00+05:30,357.7,358.25,348.35,351.8,2895879
2015-04-27 00:00:00+05:30,351.65,353.75,345.1,350.15,2200424
2015-04-28 00:00:00+05:30,350.0,351.85,345.4,346.3,3451924
2015-04-29 00:00:00+05:30,345.4,349.15,344.15,344.8,2448395
2015-04-30 00:00:00+05:30,342.75,344.7,334.4,338.7,4876481
2015-05-05 00:00:00+05:30,343.05,343.05,336.6,339.7,2196292
2015-05-06 00:00:00+05:30,337.1,337.95,327.8,327.85,3277089
2015-05-07 00:00:00+05:30,329.4,336.95,328.15,335.65,2918361
2015-05-08 00:00:00+05:30,337.65,340.65,334.45,338.1,2285023
2015-05-11 00:00:00+05:30,340.6,348.95,339.9,347.4,2994730
2015-05-12 00:00:00+05:30,347.25,350.6,341.65,344.15,4878264
2015-05-13 00:00:00+05:30,344.6,346.85,339.8,344.1,2221869
2015-05-14 00:00:00+05:30,343.35,345.85,338.5,344.5,2518111
2015-05-15 00:00:00+05:30,345.4,345.4,339.5,341.4,2370200
2015-05-18 00:00:00+05:30,342.4,343.35,339.05,340.6,1901452
