date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,71.0,71.0,69.0,70.0,205560
2015-02-03 00:00:00+05:30,70.0,71.0,70.0,70.0,153340
2015-02-04 00:00:00+05:30,70.0,71.0,69.5,69.5,201645
2015-02-05 00:00:00+05:30,69.5,70.5,69.5,70.0,813750
2015-02-09 00:00:00+05:30,69.0,73.0,68.0,72.0,355400
2015-02-10 00:00:00+05:30,71.5,76.0,71.0,75.5,449790
2015-02-11 00:00:00+05:30,75.0,76.0,73.5,74.0,180505
2015-02-12 00:00:00+05:30,74.0,75.0,70.5,73.5,68305
2015-02-13 00:00:00+05:30,72.0,76.0,72.0,74.0,77040
2015-02-16 00:00:00+05:30,73.0,75.0,72.0,73.5,89235
2015-02-18 00:00:00+05:30,74.0,75.0,73.5,74.5,83035
2015-02-19 00:00:00+05:30,74.5,77.0,74.5,76.0,339900
2015-02-20 00:00:00+05:30,76.5,79.0,74.5,78.5,382225
2015-02-23 00:00:00+05:30,78.0,83.0,77.5,79.0,1239665
2015-02-24 00:00:00+05:30,79.0,81.5,78.0,78.5,228870
2015-02-25 00:00:00+05:30,79.0,84.0,79.0,82.0,2176245
2015-02-26 00:00:00+05:30,82.0,85.0,82.0,84.0,1048530
2015-02-27 00:00:00+05:30,84.0,84.5,81.0,81.5,304745
2015-02-28 00:00:00+05:30,82.5,83.0,78.5,79.5,253940
2015-03-02 00:00:00+05:30,81.5,81.5,79.0,81.0,133120
2015-03-03 00:00:00+05:30,81.0,82.5,80.0,82.0,292865
2015-03-04 00:00:00+05:30,82.0,83.5,80.5,81.0,315790
2015-03-05 00:00:00+05:30,81.5,84.5,80.5,84.0,349045
2015-03-10 00:00:00+05:30,83.0,83.5,80.5,82.5,137125
2015-03-11 00:00:00+05:30,82.5,88.0,82.5,86.0,2923585
2015-03-12 00:00:00+05:30,86.5,86.5,83.5,85.0,258935
2015-03-13 00:00:00+05:30,85.0,87.0,84.0,85.5,385930
2015-03-16 00:00:00+05:30,83.5,84.5,80.5,81.0,178110
2015-03-17 00:00:00+05:30,82.0,82.5,80.5,81.0,223875
2015-03-18 00:00:00+05:30,80.5,81.5,79.5,79.5,88735
2015-03-19 00:00:00+05:30,79.0,81.0,76.5,78.0,246450
2015-03-20 00:00:00+05:30,78.0,79.0,74.0,74.0,247430
2015-03-23 00:00:00+05:30,75.0,76.0,73.5,75.0,136780
2015-03-24 00:00:00+05:30,72.0,72.0,68.5,70.5,1304330
2015-03-25 00:00:00+05:30,72.0,72.0,67.5,67.5,380385
2015-03-26 00:00:00+05:30,68.5,69.5,67.0,69.5,394570
2015-03-27 00:00:00+05:30,69.5,71.5,68.5,69.5,400200
2015-03-30 00:00:00+05:30,70.5,71.0,69.0,70.0,262580
2015-03-31 00:00:00+05:30,70.0,70.5,69.5,69.5,618160
2015-04-01 00:00:00+05:30,70.0,74.0,70.0,73.0,739390
2015-04-06 00:00:00+05:30,73.5,74.0,72.0,73.0,166400
2015-04-07 00:00:00+05:30,73.0,73.5,73.0,73.5,74365
2015-04-08 00:00:00+05:30,74.0,75.0,73.5,74.0,125640
2015-04-10 00:00:00+05:30,73.5,75.0,73.5,74.5,169075
2015-04-13 00:00:00+05:30,74.5,76.0,74.0,74.0,88935
2015-04-15 00:00:00+05:30,75.5,78.0,74.0,75.0,784750
2015-04-16 00:00:00+05:30,75.5,76.5,73.0,76.0,387595
2015-04-17 00:00:00+05:30,76.5,77.0,74.0,75.0,154355
2015-04-20 00:00:00+05:30,73.5,76.0,73.5,74.0,135560
2015-04-21 00:00:00+05:30,72.0,75.0,72.0,73.5,154490
2015-04-22 00:00:00+05:30,73.5,75.0,73.5,74.0,582850
2015-04-23 00:00:00+05:30,74.0,75.0,73.5,73.5,53545
2015-04-24 00:00:00+05:30,73.5,74.5,72.5,72.5,317450
2015-04-27 00:00:00+05:30,72.0,74.0,70.5,73.5,302340
2015-04-28 00:00:00+05:30,73.5,73.5,70.5,72.5,270845
2015-04-29 00:00:00+05:30,71.5,76.0,70.0,72.0,442820
2015-04-30 00:00:00+05:30,72.0,72.0,69.5,70.0,756540
2015-05-04 00:00:00+05:30,72.0,72.0,70.5,71.0,1025195
2015-05-05 00:00:00+05:30,71.0,85.5,67.5,79.0,6424150
2015-05-06 00:00:00+05:30,77.5,79.0,75.5,76.0,1792810
2015-05-07 00:00:00+05:30,76.0,77.5,73.0,73.0,347815
2015-05-08 00:00:00+05:30,74.0,75.5,74.0,74.5,259615
2015-05-11 00:00:00+05:30,74.5,76.5,74.0,74.5,214950
2015-05-12 00:00:00+05:30,74.5,75.0,73.5,74.5,143635
2015-05-13 00:00:00+05:30,74.5,75.0,74.0,74.0,156525
2015-05-14 00:00:00+05:30,74.0,74.5,73.5,74.5,184630
2015-05-15 00:00:00+05:30,74.5,74.5,74.0,74.5,56465
2015-05-18 00:00:00+05:30,0.0,76.5,0.0,76.0,280270
2015-05-19 00:00:00+05:30,77.0,78.5,76.5,78.0,346070
2015-05-20 00:00:00+05:30,76.5,78.5,75.5,78.0,90175
2015-05-21 00:00:00+05:30,77.5,78.0,77.0,77.0,62020
2015-05-22 00:00:00+05:30,0.0,78.0,0.0,77.0,77025
2015-05-25 00:00:00+05:30,76.0,77.5,75.5,76.0,30275
2015-05-26 00:00:00+05:30,75.0,76.0,74.5,74.5,33080
2015-05-27 00:00:00+05:30,74.5,77.0,74.5,76.5,118090
2015-05-28 00:00:00+05:30,0.0,77.0,0.0,76.0,61330
2015-05-29 00:00:00+05:30,0.0,77.0,0.0,76.5,305970
2015-06-01 00:00:00+05:30,0.0,77.5,0.0,77.5,48015
2015-06-02 00:00:00+05:30,0.0,77.0,0.0,76.5,91030
2015-06-03 00:00:00+05:30,77.0,81.0,76.0,79.5,375480
2015-06-04 00:00:00+05:30,81.0,82.0,79.5,80.0,393755
2015-06-05 00:00:00+05:30,79.5,80.0,78.0,79.0,54070
2015-06-08 00:00:00+05:30,79.0,79.0,77.0,77.0,50580
2015-06-09 00:00:00+05:30,77.0,77.5,75.0,77.5,32375
2015-06-11 00:00:00+05:30,76.0,79.0,76.0,76.5,69935
2015-06-12 00:00:00+05:30,0.0,77.5,0.0,76.5,22725
2015-06-15 00:00:00+05:30,76.0,77.0,76.0,77.0,13940
2015-06-16 00:00:00+05:30,77.0,77.0,76.0,76.5,43640
2015-06-17 00:00:00+05:30,76.0,77.0,76.0,76.5,21335
2015-06-18 00:00:00+05:30,0.0,78.0,0.0,77.5,31360
2015-06-19 00:00:00+05:30,77.0,81.0,77.0,80.0,256805
2015-06-22 00:00:00+05:30,81.0,81.5,79.0,80.5,146440
2015-06-23 00:00:00+05:30,80.5,82.0,80.0,81.0,1862150
2015-06-24 00:00:00+05:30,80.0,81.0,80.0,80.5,91130
2015-06-25 00:00:00+05:30,0.0,80.0,0.0,78.5,50195
2015-06-26 00:00:00+05:30,77.5,79.5,77.5,78.5,96280
