date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,17.7,18.15,17.45,18.15,17015136
2015-02-03 00:00:00+05:30,18.2,18.25,17.85,17.85,20999000
2015-02-05 00:00:00+05:30,17.45,17.45,16.6,17.15,43500104
2015-02-06 00:00:00+05:30,17.2,17.6,17.1,17.55,31249720
2015-02-09 00:00:00+05:30,17.35,17.8,17.3,17.6,24199296
2015-02-10 00:00:00+05:30,17.55,17.85,16.75,17.3,21826112
2015-02-11 00:00:00+05:30,17.3,17.55,17.05,17.45,14719728
2015-02-12 00:00:00+05:30,17.5,17.65,17.25,17.6,12805392
2015-02-13 00:00:00+05:30,17.65,17.65,17.35,17.5,14457088
2015-02-16 00:00:00+05:30,17.5,17.6,17.3,17.3,18593928
2015-02-18 00:00:00+05:30,17.4,17.5,17.0,17.1,22025328
2015-02-19 00:00:00+05:30,17.15,17.3,16.85,17.1,15602104
2015-02-20 00:00:00+05:30,17.05,17.55,17.0,17.4,15456408
2015-02-23 00:00:00+05:30,17.85,18.15,17.8,17.8,33078096
2015-02-24 00:00:00+05:30,17.9,17.95,17.6,17.65,19211144
2015-02-25 00:00:00+05:30,17.8,17.85,17.4,17.45,15502848
2015-02-26 00:00:00+05:30,17.5,17.6,17.25,17.3,34864000
2015-02-27 00:00:00+05:30,17.35,17.8,17.3,17.75,15588792
2015-02-28 00:00:00+05:30,18.0,18.0,17.35,17.9,11723568
2015-03-02 00:00:00+05:30,18.15,18.9,18.0,18.9,47205456
2015-03-03 00:00:00+05:30,18.9,18.95,18.55,18.8,21154584
2015-03-04 00:00:00+05:30,19.2,19.25,18.1,18.3,24862232
2015-03-05 00:00:00+05:30,18.3,18.4,18.05,18.35,11103192
2015-03-09 00:00:00+05:30,18.1,18.15,17.75,17.9,11793912
2015-03-10 00:00:00+05:30,17.85,17.95,17.05,17.3,27841920
2015-03-11 00:00:00+05:30,17.35,17.45,17.1,17.3,17094488
2015-03-12 00:00:00+05:30,17.35,17.55,17.3,17.4,10047368
2015-03-13 00:00:00+05:30,17.55,17.55,16.9,17.1,24726960
2015-03-16 00:00:00+05:30,17.0,17.15,16.9,17.1,12809440
2015-03-17 00:00:00+05:30,17.15,17.65,17.15,17.6,12052648
2015-03-18 00:00:00+05:30,17.65,17.65,17.35,17.6,94208112
2015-03-19 00:00:00+05:30,17.75,17.8,17.25,17.4,9008048
2015-03-20 00:00:00+05:30,17.3,17.55,17.15,17.2,11306544
2015-03-23 00:00:00+05:30,17.25,17.3,16.8,16.9,6387360
2015-03-24 00:00:00+05:30,16.95,17.1,16.4,16.7,14912480
2015-03-25 00:00:00+05:30,16.6,17.1,16.6,17.0,10949360
2015-03-26 00:00:00+05:30,16.65,17.1,16.55,16.7,23742352
2015-03-27 00:00:00+05:30,16.75,16.75,15.9,16.4,26924096
2015-03-30 00:00:00+05:30,16.65,16.75,16.25,16.6,12451608
2015-03-31 00:00:00+05:30,16.6,16.75,16.2,16.45,15102304
2015-04-01 00:00:00+05:30,16.5,16.7,16.35,16.7,10010544
2015-04-06 00:00:00+05:30,16.65,16.65,16.15,16.25,18245816
2015-04-08 00:00:00+05:30,16.35,16.35,16.0,16.25,29508480
2015-04-09 00:00:00+05:30,16.35,16.55,16.15,16.15,45734728
2015-04-10 00:00:00+05:30,16.35,16.35,16.0,16.05,25890672
2015-04-13 00:00:00+05:30,16.15,16.25,16.1,16.15,24821928
2015-04-15 00:00:00+05:30,16.25,16.85,16.25,16.5,32489616
2015-04-16 00:00:00+05:30,16.6,16.6,16.25,16.4,13191824
2015-04-17 00:00:00+05:30,16.4,16.55,16.3,16.4,13412192
2015-04-20 00:00:00+05:30,16.45,16.55,15.85,15.95,13910472
2015-04-21 00:00:00+05:30,15.95,16.1,15.85,16.0,12395592
2015-04-22 00:00:00+05:30,16.0,16.1,15.65,16.0,24487568
2015-04-23 00:00:00+05:30,16.05,16.2,16.0,16.1,9157792
2015-04-24 00:00:00+05:30,16.1,16.1,15.65,15.7,18205952
2015-04-27 00:00:00+05:30,15.75,15.8,15.2,15.3,26011032
2015-04-28 00:00:00+05:30,15.2,16.05,15.1,16.05,34402576
2015-04-29 00:00:00+05:30,16.0,16.55,15.75,16.5,36104272
2015-04-30 00:00:00+05:30,16.4,16.6,16.25,16.4,42289320
2015-05-04 00:00:00+05:30,16.45,17.15,16.45,16.95,11801816
2015-05-05 00:00:00+05:30,16.95,17.05,16.6,16.85,19251048
2015-05-06 00:00:00+05:30,16.75,16.95,15.9,16.1,19049376
2015-05-07 00:00:00+05:30,16.05,16.1,15.55,15.65,13058552
2015-05-11 00:00:00+05:30,16.9,17.05,16.55,16.85,33527904
2015-05-12 00:00:00+05:30,17.0,17.0,16.2,16.3,20987904
2015-05-13 00:00:00+05:30,16.45,16.65,16.25,16.45,23082864
2015-05-14 00:00:00+05:30,16.45,17.3,16.25,17.1,18193768
2015-05-15 00:00:00+05:30,17.15,17.4,17.0,17.25,23933096
2015-05-18 00:00:00+05:30,17.6,17.6,17.0,17.05,25691640
2015-05-19 00:00:00+05:30,17.25,17.65,17.1,17.3,40600120
2015-05-20 00:00:00+05:30,17.4,17.75,17.35,17.6,20381544
2015-05-21 00:00:00+05:30,17.75,18.0,17.35,17.7,30268736
2015-05-22 00:00:00+05:30,17.8,17.95,17.5,17.5,21162408
2015-05-25 00:00:00+05:30,17.55,17.75,17.25,17.65,16684512
2015-05-26 00:00:00+05:30,17.65,17.9,17.5,17.7,17431544
2015-05-27 00:00:00+05:30,17.6,18.2,17.55,18.0,20391952
2015-05-28 00:00:00+05:30,17.7,18.15,17.7,17.85,23116968
2015-05-29 00:00:00+05:30,17.85,17.95,17.75,17.85,16675664
2015-06-01 00:00:00+05:30,17.9,17.95,17.7,17.8,11215544
2015-06-02 00:00:00+05:30,17.85,17.9,17.25,17.3,7904952
2015-06-03 00:00:00+05:30,17.35,17.45,16.95,17.25,9475872
2015-06-04 00:00:00+05:30,17.2,17.35,16.8,16.95,8654072
2015-06-05 00:00:00+05:30,16.85,17.0,16.8,16.85,12259448
2015-06-09 00:00:00+05:30,16.55,17.05,16.5,16.95,9519456
2015-06-10 00:00:00+05:30,17.0,17.1,16.8,16.95,12976072
2015-06-11 00:00:00+05:30,17.1,17.1,16.4,16.45,11359624
2015-06-12 00:00:00+05:30,16.45,16.65,16.25,16.5,8722272
2015-06-15 00:00:00+05:30,16.5,16.8,16.35,16.45,9975256
2015-06-16 00:00:00+05:30,16.45,17.0,16.35,16.9,9219064
2015-06-17 00:00:00+05:30,17.0,17.75,16.85,17.55,25328216
2015-06-18 00:00:00+05:30,17.7,17.75,17.3,17.65,17431024
2015-06-19 00:00:00+05:30,17.65,17.75,17.5,17.75,6161504
2015-06-22 00:00:00+05:30,17.7,18.15,17.7,17.9,21120456
2015-06-23 00:00:00+05:30,18.05,18.05,17.35,17.8,18704344
2015-06-24 00:00:00+05:30,17.75,18.0,17.55,17.65,24474032
2015-06-25 00:00:00+05:30,17.6,18.95,17.6,18.7,107268072
2015-06-26 00:00:00+05:30,18.65,18.75,18.3,18.45,43775120
2015-06-29 00:00:00+05:30,18.1,18.45,17.6,18.3,17408672
2015-06-30 00:00:00+05:30,18.6,18.7,18.05,18.45,36206296
2015-07-01 00:00:00+05:30,18.6,18.85,18.5,18.85,18124040
2015-07-02 00:00:00+05:30,18.85,19.35,18.75,19.25,35159616
2015-07-03 00:00:00+05:30,19.45,19.9,19.2,19.2,48633320
2015-07-06 00:00:00+05:30,19.0,19.55,18.9,19.5,27826952
2015-07-07 00:00:00+05:30,39.15,39.35,38.15,38.4,15315748
2015-07-08 00:00:00+05:30,75.5,77.45,74.25,75.05,5413681
2015-07-10 00:00:00+05:30,77.0,77.0,75.4,76.1,4999195
2015-07-13 00:00:00+05:30,76.75,78.9,76.3,78.45,3425737
2015-07-14 00:00:00+05:30,78.95,79.4,77.4,77.95,4923024
2015-07-15 00:00:00+05:30,78.6,78.75,76.15,77.65,8496347
2015-07-16 00:00:00+05:30,77.9,77.9,76.4,76.55,5434889
2015-07-17 00:00:00+05:30,77.2,77.2,75.65,75.8,4722456
2015-07-20 00:00:00+05:30,70.7,71.2,68.55,70.65,24271368
2015-07-21 00:00:00+05:30,70.9,71.55,69.4,69.7,5791722
2015-07-22 00:00:00+05:30,69.7,70.85,69.25,70.25,3504461
2015-07-23 00:00:00+05:30,70.85,71.1,69.65,69.9,3041473
2015-07-24 00:00:00+05:30,69.9,70.6,69.0,69.8,2145169
2015-07-27 00:00:00+05:30,69.4,69.75,68.0,68.45,2870662
2015-07-28 00:00:00+05:30,68.65,69.15,67.85,68.6,2421819
2015-07-29 00:00:00+05:30,68.95,69.4,68.0,68.6,2399624
2015-07-30 00:00:00+05:30,69.0,69.25,66.9,68.75,7814503
2015-07-31 00:00:00+05:30,68.9,69.3,67.4,67.55,5982741
2015-08-03 00:00:00+05:30,68.0,68.5,67.45,67.6,3183595
2015-08-04 00:00:00+05:30,68.0,68.2,66.95,67.6,3408751
2015-08-05 00:00:00+05:30,67.95,69.7,67.15,68.45,5061393
2015-08-06 00:00:00+05:30,68.0,68.4,67.35,67.5,2054596
2015-08-07 00:00:00+05:30,67.7,68.5,67.45,68.05,2602245
2015-08-10 00:00:00+05:30,68.3,68.3,67.0,67.0,1985023
2015-08-11 00:00:00+05:30,67.55,68.8,66.95,67.3,5063030
2015-08-12 00:00:00+05:30,67.2,67.65,65.0,65.35,3073540
2015-08-13 00:00:00+05:30,65.5,66.6,64.05,65.15,1914977
2015-08-14 00:00:00+05:30,65.0,67.4,64.65,67.3,1661269
2015-08-17 00:00:00+05:30,67.4,68.3,66.05,67.5,2664285
2015-08-18 00:00:00+05:30,67.7,68.15,67.1,67.6,1601355
2015-08-19 00:00:00+05:30,67.0,67.75,66.6,67.3,1713686
2015-08-20 00:00:00+05:30,67.2,67.8,66.15,66.3,1846707
2015-08-21 00:00:00+05:30,65.85,68.0,65.6,67.2,2936962
2015-08-24 00:00:00+05:30,65.0,65.45,60.4,60.4,8327468
2015-08-25 00:00:00+05:30,62.95,62.95,59.5,62.25,14566606
2015-08-26 00:00:00+05:30,61.8,62.3,59.75,60.6,13109277
2015-08-27 00:00:00+05:30,61.9,62.1,61.0,61.75,11353718
2015-08-28 00:00:00+05:30,62.95,63.3,61.8,62.4,4266394
2015-08-31 00:00:00+05:30,62.25,62.65,61.0,61.35,2931382
2015-09-01 00:00:00+05:30,60.85,61.0,58.9,59.15,2851731
2015-09-02 00:00:00+05:30,59.8,60.7,58.5,59.0,2997434
2015-09-03 00:00:00+05:30,59.3,59.95,59.05,59.25,3931110
2015-09-04 00:00:00+05:30,59.1,59.1,56.3,58.0,3042764
2015-09-07 00:00:00+05:30,58.15,58.65,56.8,57.0,3359547
2015-09-08 00:00:00+05:30,57.2,59.0,57.0,58.0,1840526
2015-09-10 00:00:00+05:30,58.5,60.35,58.1,60.0,1829593
2015-09-11 00:00:00+05:30,60.2,61.85,59.75,60.35,2463085
2015-09-14 00:00:00+05:30,60.7,61.3,60.05,61.05,1371088
2015-09-15 00:00:00+05:30,61.25,61.8,59.75,59.95,1883832
2015-09-16 00:00:00+05:30,60.9,61.0,59.75,60.35,1573062
2015-09-18 00:00:00+05:30,61.2,63.7,61.05,63.1,5141652
2015-09-21 00:00:00+05:30,62.7,65.65,62.65,65.45,2868177
