date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,69.43,71.2,69.43,70.6,3978048
2015-02-03 00:00:00+05:30,71.11,72.0,70.74,71.25,4702231
2015-02-04 00:00:00+05:30,72.14,72.84,70.13,71.2,4272000
2015-02-05 00:00:00+05:30,70.92,71.06,69.11,69.76,3010894
2015-02-06 00:00:00+05:30,69.38,69.38,66.77,68.4,4491038
2015-02-09 00:00:00+05:30,64.71,66.39,63.87,65.64,5368351
2015-02-10 00:00:00+05:30,64.9,67.47,64.71,66.86,3895063
2015-02-11 00:00:00+05:30,66.67,67.75,66.34,67.14,3064354
2015-02-12 00:00:00+05:30,67.09,70.37,66.54,68.82,3379257
2015-02-13 00:00:00+05:30,69.19,69.38,65.41,66.25,6908464
2015-02-16 00:00:00+05:30,66.34,67.14,65.64,66.34,2767974
2015-02-18 00:00:00+05:30,66.39,67.85,66.3,67.33,2684172
2015-02-19 00:00:00+05:30,67.05,67.75,66.21,66.67,2086512
2015-02-20 00:00:00+05:30,66.86,67.7,66.54,66.9,1643939
2015-02-23 00:00:00+05:30,66.86,67.05,64.29,64.8,3437341
2015-02-24 00:00:00+05:30,65.28,66.16,64.29,65.88,4151722
2015-02-25 00:00:00+05:30,66.21,66.57,65.18,66.16,2394504
2015-02-26 00:00:00+05:30,66.54,67.6,65.41,67.23,7640343
2015-02-28 00:00:00+05:30,67.05,68.26,66.39,67.52,1371586
2015-03-02 00:00:00+05:30,67.56,67.7,65.83,67.05,4174035
2015-03-03 00:00:00+05:30,67.05,67.05,66.11,66.67,1671210
2015-03-04 00:00:00+05:30,67.33,67.56,65.88,66.34,3682342
2015-03-05 00:00:00+05:30,66.34,66.67,64.9,64.95,4562985
2015-03-09 00:00:00+05:30,65.46,65.46,62.56,62.74,2876283
2015-03-10 00:00:00+05:30,62.66,62.66,61.25,62.61,2905831
2015-03-11 00:00:00+05:30,62.66,64.05,61.12,63.36,2878109
2015-03-12 00:00:00+05:30,63.4,64.52,63.4,64.33,4210944
2015-03-13 00:00:00+05:30,64.57,64.57,62.79,63.17,1859926
2015-03-16 00:00:00+05:30,61.63,62.61,61.16,61.95,3744895
2015-03-17 00:00:00+05:30,61.91,62.28,61.16,61.68,2742662
2015-03-18 00:00:00+05:30,61.76,62.56,61.63,62.05,7308428
2015-03-19 00:00:00+05:30,62.38,64.48,62.38,63.54,4646366
2015-03-20 00:00:00+05:30,63.07,63.36,60.88,61.81,4994148
2015-03-23 00:00:00+05:30,61.91,62.84,61.07,62.51,2640865
2015-03-24 00:00:00+05:30,62.38,63.77,62.23,63.77,4068877
2015-03-25 00:00:00+05:30,63.97,63.97,61.63,61.86,5828919
2015-03-26 00:00:00+05:30,62.94,62.98,61.81,62.05,4629330
2015-03-27 00:00:00+05:30,62.09,62.23,60.41,61.68,4761741
2015-03-31 00:00:00+05:30,62.0,63.45,61.48,63.31,6555727
2015-04-01 00:00:00+05:30,62.66,63.31,61.72,62.66,3928762
2015-04-06 00:00:00+05:30,62.94,66.11,62.05,65.64,2218629
2015-04-07 00:00:00+05:30,65.23,66.67,64.52,65.08,3155433
2015-04-08 00:00:00+05:30,65.28,67.88,64.62,67.75,2145577
2015-04-09 00:00:00+05:30,67.23,67.56,64.43,64.76,3009810
2015-04-10 00:00:00+05:30,64.85,65.55,64.25,65.13,3558035
2015-04-13 00:00:00+05:30,64.66,64.95,62.61,64.43,6178971
2015-04-15 00:00:00+05:30,64.43,65.83,63.77,63.97,2465027
2015-04-16 00:00:00+05:30,64.2,64.99,63.92,64.62,3355195
2015-04-17 00:00:00+05:30,64.52,64.99,63.03,63.12,2755892
2015-04-20 00:00:00+05:30,63.4,64.0,62.28,62.56,1351322
2015-04-21 00:00:00+05:30,62.66,63.22,60.88,61.07,2780925
2015-04-22 00:00:00+05:30,61.25,61.53,59.99,61.07,3587790
2015-04-23 00:00:00+05:30,60.88,61.63,60.32,60.79,1994341
2015-04-24 00:00:00+05:30,61.07,61.16,59.38,59.94,2647656
2015-04-27 00:00:00+05:30,59.94,60.09,58.26,58.4,2358074
2015-04-28 00:00:00+05:30,58.45,59.01,57.09,57.7,2393631
2015-04-29 00:00:00+05:30,57.89,59.85,57.57,58.87,2670880
