date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,720.05,725.5,715.3,716.0,261429
2015-02-03 00:00:00+05:30,721.0,721.0,704.15,705.5,268686
2015-02-04 00:00:00+05:30,710.3,734.9,707.25,731.5,604766
2015-02-05 00:00:00+05:30,736.0,752.85,734.5,743.5,1239263
2015-02-06 00:00:00+05:30,746.0,749.45,733.5,740.15,541975
2015-02-09 00:00:00+05:30,735.95,746.85,724.9,737.5,441335
2015-02-10 00:00:00+05:30,733.05,753.9,723.95,748.0,813629
2015-02-11 00:00:00+05:30,750.0,773.0,741.0,752.15,1449350
2015-02-12 00:00:00+05:30,755.9,755.95,730.05,750.1,903768
2015-02-13 00:00:00+05:30,736.15,777.95,736.15,766.0,2051947
2015-02-16 00:00:00+05:30,771.0,782.95,765.65,768.6,750204
2015-02-18 00:00:00+05:30,772.0,786.8,771.1,780.5,510060
2015-02-19 00:00:00+05:30,772.0,783.85,765.0,769.0,274872
2015-02-20 00:00:00+05:30,776.4,799.0,770.95,788.6,759226
2015-02-23 00:00:00+05:30,792.0,795.95,780.05,792.0,733047
2015-02-24 00:00:00+05:30,793.85,810.95,790.2,807.35,1013037
2015-02-25 00:00:00+05:30,817.05,818.95,784.35,790.35,894675
2015-02-26 00:00:00+05:30,803.3,803.45,767.05,774.9,1139976
2015-02-27 00:00:00+05:30,774.95,789.6,774.95,778.9,482366
2015-02-28 00:00:00+05:30,783.0,792.0,766.0,792.0,259778
2015-03-02 00:00:00+05:30,792.8,798.6,783.0,787.95,360809
2015-03-03 00:00:00+05:30,788.0,806.1,782.3,797.4,481758
2015-03-04 00:00:00+05:30,802.5,814.0,794.0,798.0,804477
2015-03-05 00:00:00+05:30,806.5,842.45,805.25,841.95,1103384
2015-03-09 00:00:00+05:30,838.0,859.5,838.0,841.3,927932
2015-03-10 00:00:00+05:30,847.95,864.4,839.0,850.0,695023
2015-03-11 00:00:00+05:30,853.0,862.7,826.5,833.9,814542
2015-03-12 00:00:00+05:30,836.55,849.3,825.0,836.0,800677
2015-03-13 00:00:00+05:30,839.15,865.0,834.3,837.6,2177275
2015-03-16 00:00:00+05:30,834.0,837.85,809.9,813.2,776432
2015-03-17 00:00:00+05:30,817.65,830.85,806.15,808.45,618793
2015-03-18 00:00:00+05:30,814.65,825.95,808.2,824.0,479885
2015-03-19 00:00:00+05:30,832.0,860.5,823.25,857.05,1215473
2015-03-20 00:00:00+05:30,860.95,879.1,825.55,832.0,1387110
2015-03-23 00:00:00+05:30,808.25,824.15,790.0,790.15,1245126
2015-03-25 00:00:00+05:30,814.65,821.3,801.8,805.0,725175
2015-03-26 00:00:00+05:30,808.95,808.95,787.1,793.5,1210339
2015-03-27 00:00:00+05:30,799.45,799.45,751.5,770.0,1551077
2015-03-30 00:00:00+05:30,780.0,789.0,770.0,786.8,666188
2015-03-31 00:00:00+05:30,785.0,798.8,780.0,783.3,572058
2015-04-01 00:00:00+05:30,788.0,791.35,783.1,788.9,718329
2015-04-06 00:00:00+05:30,797.0,863.1,792.7,848.15,1543938
2015-04-07 00:00:00+05:30,848.15,861.0,834.05,843.3,996916
2015-04-08 00:00:00+05:30,880.5,901.05,866.75,879.05,3060135
2015-04-09 00:00:00+05:30,885.0,886.0,857.6,863.0,741707
2015-04-10 00:00:00+05:30,865.0,881.4,852.1,871.0,874677
2015-04-13 00:00:00+05:30,872.5,920.9,862.1,918.0,1999004
2015-04-15 00:00:00+05:30,927.0,940.65,900.15,906.45,1411421
2015-04-16 00:00:00+05:30,911.0,919.9,861.0,878.0,1992155
2015-04-17 00:00:00+05:30,880.05,880.45,852.0,868.1,1467414
2015-04-20 00:00:00+05:30,897.9,921.0,881.8,904.05,2988057
2015-04-21 00:00:00+05:30,904.9,904.9,873.85,894.0,1148480
2015-04-22 00:00:00+05:30,888.5,921.45,874.05,899.2,1798509
2015-04-23 00:00:00+05:30,902.0,911.0,889.2,895.7,813750
2015-04-27 00:00:00+05:30,901.0,905.9,862.0,872.0,853285
2015-04-28 00:00:00+05:30,866.0,872.9,817.05,861.55,1535759
2015-04-29 00:00:00+05:30,843.35,864.0,842.4,861.5,544518
2015-04-30 00:00:00+05:30,858.5,894.0,843.6,890.0,1090448
2015-05-04 00:00:00+05:30,906.1,929.5,888.6,907.8,1393464
2015-05-05 00:00:00+05:30,908.95,916.8,891.0,898.0,884465
2015-05-06 00:00:00+05:30,888.1,895.0,842.85,855.0,1280099
2015-05-07 00:00:00+05:30,851.05,851.05,807.05,823.0,1349277
2015-05-08 00:00:00+05:30,834.4,853.25,831.25,836.0,976291
2015-05-11 00:00:00+05:30,850.75,873.35,843.05,871.65,633740
2015-05-12 00:00:00+05:30,872.9,876.9,848.9,873.0,655544
2015-05-13 00:00:00+05:30,878.0,901.35,869.55,894.0,1167856
2015-05-14 00:00:00+05:30,903.45,915.95,891.0,913.95,928919
2015-05-15 00:00:00+05:30,918.0,918.7,881.35,900.25,1072947
2015-05-18 00:00:00+05:30,904.8,910.0,890.2,906.1,576455
2015-05-19 00:00:00+05:30,904.9,913.9,896.05,900.0,463896
2015-05-20 00:00:00+05:30,924.9,928.85,904.15,908.0,1539679
2015-05-21 00:00:00+05:30,909.65,913.55,890.55,896.85,705193
2015-05-22 00:00:00+05:30,901.95,905.2,876.45,883.35,719405
2015-05-26 00:00:00+05:30,876.05,876.75,858.15,868.0,328150
2015-05-27 00:00:00+05:30,863.0,865.5,852.0,863.0,697895
2015-05-28 00:00:00+05:30,866.45,868.2,850.75,861.75,647114
2015-05-29 00:00:00+05:30,870.7,880.5,857.0,872.0,805530
2015-06-01 00:00:00+05:30,852.1,870.55,819.25,868.0,1460379
2015-06-02 00:00:00+05:30,873.55,884.65,853.55,869.0,1171619
2015-06-03 00:00:00+05:30,870.0,870.0,829.5,853.25,622480
2015-06-04 00:00:00+05:30,858.95,858.95,821.3,836.0,747690
