date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,353.5,359.57,348.59,356.67,396501
2015-02-03 00:00:00+05:30,356.67,364.53,356.67,361.83,203103
2015-02-04 00:00:00+05:30,361.23,361.23,340.75,341.75,428874
2015-02-05 00:00:00+05:30,341.67,362.67,341.67,358.8,1857270
2015-02-06 00:00:00+05:30,359.67,378.87,359.67,373.23,714717
2015-02-09 00:00:00+05:30,369.67,370.72,358.87,365.17,319566
2015-02-10 00:00:00+05:30,361.23,380.07,347.33,354.05,794331
2015-02-11 00:00:00+05:30,360.67,374.63,356.0,372.33,775959
2015-02-12 00:00:00+05:30,376.67,383.33,372.02,382.67,362601
2015-02-13 00:00:00+05:30,382.07,401.3,373.72,396.67,437511
2015-02-16 00:00:00+05:30,394.0,395.85,386.67,391.17,239874
2015-02-18 00:00:00+05:30,391.67,396.92,388.67,392.62,319587
2015-02-19 00:00:00+05:30,393.33,393.33,377.17,378.33,424869
2015-02-20 00:00:00+05:30,384.67,384.67,367.03,368.0,287442
2015-02-23 00:00:00+05:30,372.0,376.32,364.02,365.3,422106
2015-02-24 00:00:00+05:30,364.67,375.0,364.6,374.32,238272
2015-02-25 00:00:00+05:30,376.75,380.93,368.5,370.67,282207
2015-02-26 00:00:00+05:30,378.29,380.67,367.87,375.33,659751
2015-02-27 00:00:00+05:30,376.37,385.62,374.35,379.35,890667
2015-02-28 00:00:00+05:30,383.0,384.1,374.33,378.67,58860
2015-03-02 00:00:00+05:30,380.02,382.65,368.33,376.67,964020
2015-03-03 00:00:00+05:30,375.42,390.33,373.33,388.33,380586
2015-03-04 00:00:00+05:30,390.0,406.33,388.8,400.7,467427
2015-03-05 00:00:00+05:30,401.67,409.0,392.53,400.33,773496
2015-03-09 00:00:00+05:30,401.67,402.97,391.09,395.67,233280
2015-03-10 00:00:00+05:30,397.97,405.89,394.9,399.33,442389
2015-03-11 00:00:00+05:30,405.32,405.32,378.0,379.67,409011
2015-03-12 00:00:00+05:30,382.23,389.67,379.33,384.22,355839
2015-03-13 00:00:00+05:30,384.4,385.0,369.33,375.0,291951
2015-03-16 00:00:00+05:30,358.67,365.12,356.29,360.59,431940
2015-03-17 00:00:00+05:30,364.02,372.17,361.72,370.33,316257
2015-03-18 00:00:00+05:30,369.99,381.03,367.67,380.0,860352
2015-03-19 00:00:00+05:30,380.67,384.3,368.4,370.65,583254
