date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,762.55,772.6,757.0,757.0,306422
2015-02-03 00:00:00+05:30,761.95,777.3,757.0,773.9,876112
2015-02-04 00:00:00+05:30,775.9,783.95,772.35,773.95,454532
2015-02-05 00:00:00+05:30,767.15,781.9,766.95,773.95,901073
2015-02-06 00:00:00+05:30,773.55,779.35,753.8,757.75,468169
2015-02-09 00:00:00+05:30,756.0,757.15,734.35,741.05,205057
2015-02-10 00:00:00+05:30,734.3,762.8,727.5,759.3,372129
2015-02-11 00:00:00+05:30,760.0,774.45,756.0,763.75,591087
2015-02-12 00:00:00+05:30,777.1,783.2,758.5,762.4,564495
2015-02-13 00:00:00+05:30,767.35,775.7,764.95,769.85,303536
2015-02-16 00:00:00+05:30,769.95,776.85,764.15,769.55,200814
2015-02-18 00:00:00+05:30,766.75,771.75,759.0,769.95,441882
2015-02-19 00:00:00+05:30,770.55,776.3,749.25,751.2,620192
2015-02-20 00:00:00+05:30,754.6,760.0,747.25,747.25,212029
2015-02-23 00:00:00+05:30,751.2,755.35,727.6,729.6,342576
2015-02-24 00:00:00+05:30,735.1,738.45,727.9,734.1,229887
2015-02-25 00:00:00+05:30,739.05,741.05,727.1,732.05,215214
2015-02-26 00:00:00+05:30,732.1,739.8,713.3,717.35,611855
2015-02-27 00:00:00+05:30,723.7,751.6,716.35,751.6,610829
2015-02-28 00:00:00+05:30,749.5,758.4,738.45,753.45,456147
2015-03-02 00:00:00+05:30,757.0,798.35,754.7,792.45,782782
2015-03-03 00:00:00+05:30,793.85,801.8,780.9,789.5,582381
2015-03-04 00:00:00+05:30,796.0,798.35,769.3,771.2,360576
2015-03-05 00:00:00+05:30,778.85,778.85,748.55,753.75,448181
2015-03-09 00:00:00+05:30,753.35,753.4,737.05,738.85,322179
2015-03-10 00:00:00+05:30,738.85,746.7,732.1,737.65,306898
2015-03-11 00:00:00+05:30,733.3,741.25,725.15,737.6,193493
2015-03-12 00:00:00+05:30,742.05,752.8,739.65,744.6,235189
2015-03-13 00:00:00+05:30,750.0,754.4,720.35,736.05,648936
2015-03-16 00:00:00+05:30,729.4,741.0,727.7,734.1,122832
2015-03-17 00:00:00+05:30,740.05,742.05,733.1,737.05,240310
2015-03-18 00:00:00+05:30,739.45,739.45,727.5,728.3,239066
2015-03-19 00:00:00+05:30,732.7,742.8,716.15,717.15,265650
2015-03-20 00:00:00+05:30,717.15,725.1,707.2,721.15,270965
2015-03-23 00:00:00+05:30,726.1,734.05,713.1,717.55,241813
2015-03-25 00:00:00+05:30,719.15,724.5,707.4,712.15,465510
2015-03-26 00:00:00+05:30,709.2,717.35,702.95,707.2,900546
2015-03-27 00:00:00+05:30,707.2,716.95,705.8,711.95,278599
2015-03-30 00:00:00+05:30,712.75,730.3,708.2,722.45,405618
2015-03-31 00:00:00+05:30,723.5,728.1,715.8,722.15,427742
2015-04-01 00:00:00+05:30,723.5,741.05,715.15,737.45,205984
2015-04-06 00:00:00+05:30,737.85,743.05,732.55,735.35,147229
2015-04-07 00:00:00+05:30,739.05,754.0,733.2,752.05,334306
2015-04-08 00:00:00+05:30,751.0,759.0,749.05,755.4,221769
2015-04-09 00:00:00+05:30,759.0,761.65,749.2,749.7,165473
2015-04-10 00:00:00+05:30,753.0,757.8,747.45,755.0,133128
2015-04-13 00:00:00+05:30,755.2,756.75,746.45,754.25,142932
2015-04-15 00:00:00+05:30,755.2,762.35,753.25,758.6,214082
2015-04-16 00:00:00+05:30,757.2,762.0,735.35,741.65,492226
2015-04-17 00:00:00+05:30,743.05,746.0,723.1,723.1,358091
2015-04-20 00:00:00+05:30,724.1,734.65,713.4,720.9,340149
2015-04-21 00:00:00+05:30,718.35,730.9,710.5,726.1,379020
2015-04-22 00:00:00+05:30,723.95,739.05,722.15,727.5,281805
2015-04-23 00:00:00+05:30,733.05,738.05,716.35,725.1,223295
2015-04-27 00:00:00+05:30,729.9,730.7,714.3,718.65,390133
2015-04-28 00:00:00+05:30,718.55,725.6,708.4,719.25,388419
2015-04-29 00:00:00+05:30,717.8,735.1,704.2,722.15,343705
