date,open,high,low,close,volume
2018-04-02 00:00:00+05:30,565.0,577.5,559.0,575.0,350896
2018-04-03 00:00:00+05:30,573.5,573.5,563.2,564.5,114036
2018-04-04 00:00:00+05:30,567.5,570.0,557.5,557.5,162960
2018-04-05 00:00:00+05:30,561.05,565.5,554.75,556.5,148918
2018-04-06 00:00:00+05:30,552.5,559.4,550.0,551.0,144836
2018-04-09 00:00:00+05:30,552.5,556.0,550.55,551.85,118486
2018-04-10 00:00:00+05:30,555.0,555.0,546.3,551.0,106966
2018-04-11 00:00:00+05:30,551.0,553.0,547.5,547.5,79476
2018-04-12 00:00:00+05:30,549.0,549.0,540.05,541.6,109110
2018-04-13 00:00:00+05:30,559.45,574.3,553.55,561.5,286272
2018-04-16 00:00:00+05:30,562.5,579.5,562.0,573.5,269672
2018-04-17 00:00:00+05:30,578.5,582.0,571.0,571.0,122310
2018-04-18 00:00:00+05:30,574.65,577.5,562.5,563.5,83420
2018-04-19 00:00:00+05:30,570.0,576.7,564.55,570.6,101134
2018-04-20 00:00:00+05:30,570.6,572.95,559.0,560.55,69378
2018-04-23 00:00:00+05:30,562.8,574.5,561.2,566.5,79368
2018-04-24 00:00:00+05:30,568.5,572.2,565.0,565.65,59984
2018-04-25 00:00:00+05:30,565.55,572.95,561.4,562.25,69168
2018-04-26 00:00:00+05:30,564.8,569.0,562.5,564.3,32576
2018-04-27 00:00:00+05:30,566.3,567.5,561.0,563.5,32996
2018-04-30 00:00:00+05:30,563.5,567.0,559.5,559.55,36644
2018-05-03 00:00:00+05:30,557.05,557.5,544.6,547.25,37908
2018-05-04 00:00:00+05:30,550.5,551.0,545.0,545.5,24400
2018-05-07 00:00:00+05:30,545.5,561.0,541.0,552.6,41960
2018-05-08 00:00:00+05:30,550.9,559.45,549.5,550.5,25148
2018-05-09 00:00:00+05:30,550.0,552.0,545.0,545.6,19466
2018-05-10 00:00:00+05:30,545.0,545.9,542.0,543.25,24954
2018-05-11 00:00:00+05:30,543.8,545.5,535.6,545.5,32024
2018-05-14 00:00:00+05:30,541.0,544.0,532.0,532.75,35238
2018-05-15 00:00:00+05:30,537.5,541.8,525.75,527.0,30692
2018-05-16 00:00:00+05:30,527.4,528.95,521.5,521.55,206006
2018-05-17 00:00:00+05:30,524.95,525.3,516.5,521.0,18812
2018-05-18 00:00:00+05:30,520.0,522.0,515.0,516.5,22910
2018-05-21 00:00:00+05:30,515.0,515.0,504.5,509.55,51204
2018-05-22 00:00:00+05:30,512.5,514.5,505.6,510.05,21612
2018-05-23 00:00:00+05:30,508.1,512.0,503.0,509.0,23698
2018-05-24 00:00:00+05:30,507.5,507.6,502.5,503.5,20442
2018-05-25 00:00:00+05:30,503.0,512.5,502.8,512.5,27426
2018-05-28 00:00:00+05:30,512.6,527.5,512.6,521.1,45026
2018-05-29 00:00:00+05:30,521.2,525.5,518.0,525.0,16990
2018-05-30 00:00:00+05:30,521.5,549.0,506.5,547.0,168628
2018-05-31 00:00:00+05:30,546.0,549.5,523.25,528.0,684490
2018-06-01 00:00:00+05:30,525.0,525.0,513.8,514.1,31006
2018-06-04 00:00:00+05:30,520.0,520.0,507.5,509.5,20512
2018-06-05 00:00:00+05:30,505.55,508.7,495.0,496.5,42240
2018-06-06 00:00:00+05:30,496.5,502.2,494.5,497.5,18550
2018-06-07 00:00:00+05:30,503.45,505.0,498.25,498.5,21118
2018-06-08 00:00:00+05:30,498.3,499.5,494.0,494.0,26780
2018-06-11 00:00:00+05:30,496.0,497.35,492.0,492.5,29456
2018-06-12 00:00:00+05:30,494.5,496.0,484.35,485.0,45820
2018-06-13 00:00:00+05:30,485.1,490.0,481.75,482.0,38520
2018-06-14 00:00:00+05:30,480.0,504.0,474.5,485.0,412138
2018-06-15 00:00:00+05:30,485.0,487.5,480.0,484.25,26944
2018-06-18 00:00:00+05:30,483.0,483.5,472.8,474.0,31954
2018-06-19 00:00:00+05:30,473.5,475.5,464.4,464.5,35534
2018-06-20 00:00:00+05:30,465.5,468.0,461.5,462.5,30252
2018-06-21 00:00:00+05:30,462.55,463.5,455.5,455.6,35122
2018-06-22 00:00:00+05:30,455.0,460.5,448.0,458.5,55460
2018-06-25 00:00:00+05:30,455.9,457.0,449.0,451.0,19764
2018-06-26 00:00:00+05:30,448.0,448.5,442.55,443.5,35262
2018-06-27 00:00:00+05:30,440.0,442.7,430.0,432.5,53838
2018-06-28 00:00:00+05:30,425.5,430.0,420.0,420.05,45100
2018-06-29 00:00:00+05:30,422.5,425.0,421.5,422.5,26272
2018-07-02 00:00:00+05:30,424.1,439.5,416.6,428.5,38570
2018-07-04 00:00:00+05:30,420.6,423.25,417.5,418.0,21126
2018-07-05 00:00:00+05:30,417.5,419.9,413.0,414.0,16588
2018-07-06 00:00:00+05:30,415.0,417.9,412.0,413.25,27770
2018-07-09 00:00:00+05:30,414.0,416.3,410.0,410.5,19022
2018-07-10 00:00:00+05:30,412.5,427.9,410.55,424.0,42722
2018-07-11 00:00:00+05:30,423.6,425.0,417.8,419.1,18456
2018-07-12 00:00:00+05:30,422.4,424.5,414.0,415.0,14980
2018-07-13 00:00:00+05:30,416.5,420.4,410.75,412.5,26022
2018-07-16 00:00:00+05:30,409.6,411.9,406.0,407.5,18312
