date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,450.0,475.0,450.0,473.4,5037234
2015-02-03 00:00:00+05:30,477.5,478.2,467.75,475.0,4213230
2015-02-04 00:00:00+05:30,475.05,477.5,471.45,475.7,2461718
2015-02-05 00:00:00+05:30,474.15,495.2,471.75,493.5,4246212
2015-02-06 00:00:00+05:30,493.05,499.0,486.65,490.0,2008178
2015-02-09 00:00:00+05:30,485.2,502.35,483.1,497.0,2334326
2015-02-10 00:00:00+05:30,496.05,496.9,481.25,485.4,2891292
2015-02-11 00:00:00+05:30,484.9,491.7,480.65,489.7,1069884
2015-02-12 00:00:00+05:30,488.75,497.5,487.8,496.55,2174546
2015-02-13 00:00:00+05:30,498.9,501.0,494.25,499.0,1638674
2015-02-16 00:00:00+05:30,500.0,502.0,495.15,496.95,1510788
2015-02-18 00:00:00+05:30,497.9,510.0,497.9,509.5,3161660
2015-02-19 00:00:00+05:30,506.75,513.65,505.05,512.5,2066906
2015-02-20 00:00:00+05:30,512.5,512.65,499.0,500.0,1332490
2015-02-23 00:00:00+05:30,500.3,506.8,489.6,490.0,1332104
2015-02-24 00:00:00+05:30,493.0,499.7,488.9,493.95,1821118
2015-02-25 00:00:00+05:30,497.25,498.4,493.0,495.25,1131728
2015-02-26 00:00:00+05:30,495.7,502.0,491.3,494.25,2076538
2015-02-27 00:00:00+05:30,497.2,506.4,494.5,504.75,2402186
2015-02-28 00:00:00+05:30,506.25,507.45,496.8,506.25,791542
2015-03-02 00:00:00+05:30,507.4,507.5,500.5,506.25,2046988
2015-03-03 00:00:00+05:30,507.5,511.2,496.65,507.5,2151522
2015-03-05 00:00:00+05:30,509.0,518.7,509.0,515.0,1723280
2015-03-09 00:00:00+05:30,514.4,518.7,502.75,513.75,3273398
2015-03-10 00:00:00+05:30,512.75,517.25,507.1,511.85,2708768
2015-03-11 00:00:00+05:30,516.25,529.1,509.15,515.25,5030172
2015-03-12 00:00:00+05:30,516.45,519.8,510.6,513.75,2439278
2015-03-13 00:00:00+05:30,513.75,513.75,495.3,506.25,3183150
2015-03-16 00:00:00+05:30,504.2,516.25,503.65,514.55,3751884
2015-03-17 00:00:00+05:30,516.65,516.7,508.25,509.25,4998588
2015-03-18 00:00:00+05:30,510.3,513.2,498.85,502.25,4725948
2015-03-19 00:00:00+05:30,492.5,503.2,486.0,488.25,5076109
2015-03-20 00:00:00+05:30,489.95,491.95,482.85,490.25,3133125
2015-03-23 00:00:00+05:30,492.15,493.75,480.9,483.5,1946254
2015-03-24 00:00:00+05:30,484.5,489.5,480.15,481.45,2649087
2015-03-25 00:00:00+05:30,485.3,508.85,484.75,504.0,3754886
2015-03-26 00:00:00+05:30,501.6,504.7,489.2,492.5,3518181
2015-03-27 00:00:00+05:30,492.55,501.5,477.6,482.0,2138238
2015-03-30 00:00:00+05:30,482.1,493.05,478.25,490.0,1635265
2015-03-31 00:00:00+05:30,490.0,492.0,483.5,491.4,1862448
2015-04-01 00:00:00+05:30,475.5,481.45,467.5,471.7,4126594
2015-04-06 00:00:00+05:30,466.95,468.5,456.35,467.0,3847174
2015-04-07 00:00:00+05:30,470.25,477.8,463.7,468.4,2170426
2015-04-08 00:00:00+05:30,471.45,484.4,470.0,482.65,1792426
2015-04-09 00:00:00+05:30,483.5,483.5,470.5,480.3,1335236
2015-04-10 00:00:00+05:30,478.95,488.6,478.0,479.5,1416896
2015-04-13 00:00:00+05:30,483.6,489.25,477.55,487.85,1547490
2015-04-15 00:00:00+05:30,488.75,488.75,469.35,470.55,1547709
2015-04-16 00:00:00+05:30,474.5,478.95,466.75,476.5,1025075
2015-04-17 00:00:00+05:30,472.85,474.7,467.2,470.2,1565205
2015-04-20 00:00:00+05:30,472.3,473.45,456.5,458.5,1608879
2015-04-21 00:00:00+05:30,420.35,459.25,417.65,447.5,7269882
2015-04-22 00:00:00+05:30,442.0,445.95,431.95,442.5,3964871
2015-04-23 00:00:00+05:30,442.0,453.0,441.65,446.0,3194352
2015-04-24 00:00:00+05:30,446.6,456.4,444.1,451.95,3202508
2015-04-27 00:00:00+05:30,448.0,452.95,437.0,441.0,1893414
2015-04-28 00:00:00+05:30,439.0,441.45,427.65,433.0,2900993
2015-04-29 00:00:00+05:30,435.0,446.6,429.2,443.5,2037246
2015-04-30 00:00:00+05:30,441.85,443.9,431.25,442.55,3667431
