date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,174.6,176.15,170.4,174.0,842071
2015-02-03 00:00:00+05:30,173.0,175.5,172.6,174.7,1301005
2015-02-04 00:00:00+05:30,174.2,177.4,173.9,174.5,977074
2015-02-05 00:00:00+05:30,176.0,176.8,170.35,170.9,840727
2015-02-06 00:00:00+05:30,171.4,172.0,167.1,170.85,866146
2015-02-09 00:00:00+05:30,165.55,177.2,165.55,173.6,842787
2015-02-10 00:00:00+05:30,170.0,179.4,170.0,179.15,1100631
2015-02-11 00:00:00+05:30,180.0,184.5,179.55,182.3,1315805
2015-02-12 00:00:00+05:30,184.0,184.0,172.6,174.8,1317817
2015-02-13 00:00:00+05:30,176.15,177.7,175.05,176.3,602332
2015-02-16 00:00:00+05:30,177.95,182.5,175.35,180.6,683413
2015-02-18 00:00:00+05:30,177.5,180.9,176.15,177.0,570464
2015-02-19 00:00:00+05:30,178.8,190.35,175.0,184.6,1787930
2015-02-20 00:00:00+05:30,186.6,186.6,180.25,182.75,951565
2015-02-23 00:00:00+05:30,182.7,182.7,173.45,174.6,749665
2015-02-24 00:00:00+05:30,174.8,179.35,172.8,173.0,983662
2015-02-25 00:00:00+05:30,174.0,177.95,171.25,173.15,1188157
2015-02-26 00:00:00+05:30,173.05,178.35,173.05,176.1,979466
2015-02-27 00:00:00+05:30,176.75,179.65,175.5,177.65,559805
2015-02-28 00:00:00+05:30,178.35,179.5,172.4,175.8,408268
2015-03-02 00:00:00+05:30,178.05,178.05,174.25,176.8,328099
2015-03-03 00:00:00+05:30,174.85,180.1,174.85,179.9,427915
2015-03-05 00:00:00+05:30,174.1,176.9,171.1,172.0,1201169
2015-03-09 00:00:00+05:30,170.9,172.4,167.4,170.7,1053346
2015-03-10 00:00:00+05:30,170.5,171.85,170.0,171.3,383389
2015-03-11 00:00:00+05:30,170.3,170.85,168.9,168.9,632948
2015-03-12 00:00:00+05:30,170.4,171.0,166.6,170.1,970194
2015-03-13 00:00:00+05:30,171.45,172.5,166.95,167.0,647464
2015-03-16 00:00:00+05:30,165.6,169.1,164.8,168.5,531136
2015-03-17 00:00:00+05:30,167.8,172.0,167.8,171.35,716305
2015-03-18 00:00:00+05:30,171.9,177.0,171.9,176.4,1064163
2015-03-19 00:00:00+05:30,176.55,177.55,170.0,170.45,892960
2015-03-20 00:00:00+05:30,168.4,171.6,162.7,163.25,1107113
2015-03-23 00:00:00+05:30,165.0,165.0,160.1,162.55,1209822
2015-03-24 00:00:00+05:30,163.4,164.9,158.0,158.5,772752
2015-03-25 00:00:00+05:30,159.5,162.5,159.45,162.0,1338598
2015-03-26 00:00:00+05:30,162.0,164.3,156.35,157.0,1616567
2015-03-27 00:00:00+05:30,158.8,161.9,157.4,160.95,513558
2015-03-30 00:00:00+05:30,162.15,163.5,159.9,162.15,645943
2015-03-31 00:00:00+05:30,162.5,166.65,161.45,161.65,412005
2015-04-01 00:00:00+05:30,162.0,165.15,160.5,164.8,294431
2015-04-06 00:00:00+05:30,164.65,165.8,161.6,163.0,364876
2015-04-07 00:00:00+05:30,163.6,166.0,162.25,165.55,421703
2015-04-08 00:00:00+05:30,165.5,167.2,163.85,165.35,456807
2015-04-09 00:00:00+05:30,166.15,166.2,162.7,164.0,414614
2015-04-10 00:00:00+05:30,165.15,175.0,165.0,174.4,1083087
2015-04-13 00:00:00+05:30,174.4,174.6,170.2,170.8,800223
2015-04-15 00:00:00+05:30,170.8,171.85,169.4,170.3,749329
2015-04-16 00:00:00+05:30,173.0,173.35,170.45,172.35,1047751
2015-04-17 00:00:00+05:30,172.1,173.2,171.05,172.45,444222
2015-04-20 00:00:00+05:30,173.0,173.5,167.65,171.0,1951987
2015-04-21 00:00:00+05:30,171.9,174.9,166.5,168.35,1958652
2015-04-22 00:00:00+05:30,168.85,172.55,165.7,169.4,1324377
2015-04-23 00:00:00+05:30,170.0,173.65,169.25,171.8,1241145
2015-04-24 00:00:00+05:30,170.2,172.1,166.3,168.5,756030
2015-04-27 00:00:00+05:30,168.2,170.2,162.25,163.5,1043806
2015-04-28 00:00:00+05:30,163.0,169.85,162.55,169.2,1954555
2015-04-29 00:00:00+05:30,170.0,172.0,168.3,170.9,820374
2015-04-30 00:00:00+05:30,170.05,171.0,167.7,169.0,2255103
2015-05-04 00:00:00+05:30,170.5,173.75,169.55,172.7,1194372
2015-05-06 00:00:00+05:30,181.0,183.0,173.6,175.9,1608535
2015-05-07 00:00:00+05:30,174.2,179.8,172.0,175.35,1396505
2015-05-08 00:00:00+05:30,175.0,178.15,174.95,175.75,852568
2015-05-11 00:00:00+05:30,177.7,180.85,175.0,175.55,1744112
2015-05-12 00:00:00+05:30,174.0,175.3,166.8,169.8,1527355
2015-05-13 00:00:00+05:30,170.4,174.5,169.8,173.0,803460
2015-05-14 00:00:00+05:30,172.05,176.75,171.75,175.7,929457
2015-05-15 00:00:00+05:30,177.0,177.0,172.8,175.9,619669
2015-05-18 00:00:00+05:30,175.1,176.8,174.5,174.5,428933
2015-05-19 00:00:00+05:30,175.2,179.45,175.2,177.3,532734
2015-05-20 00:00:00+05:30,176.8,177.65,174.95,174.95,535191
2015-05-21 00:00:00+05:30,175.05,178.4,173.65,178.4,644032
2015-05-22 00:00:00+05:30,177.45,180.0,176.35,177.15,1060656
2015-05-25 00:00:00+05:30,175.1,179.05,175.05,177.5,668515
2015-05-26 00:00:00+05:30,179.0,179.0,172.0,173.0,319718
2015-05-27 00:00:00+05:30,171.5,175.0,170.2,173.6,964412
2015-05-28 00:00:00+05:30,173.25,174.65,170.45,171.5,969596
2015-05-29 00:00:00+05:30,171.3,171.7,167.6,169.5,1431939
2015-06-01 00:00:00+05:30,169.0,170.2,167.2,167.9,723797
2015-06-02 00:00:00+05:30,169.95,169.95,166.5,167.25,817087
2015-06-03 00:00:00+05:30,167.8,168.8,164.0,168.3,913394
2015-06-04 00:00:00+05:30,168.0,171.45,166.8,167.75,997483
2015-06-08 00:00:00+05:30,172.0,172.0,168.0,168.5,509460
2015-06-09 00:00:00+05:30,168.4,171.9,168.1,168.55,504079
2015-06-10 00:00:00+05:30,168.5,169.25,164.1,167.75,1115267
2015-06-11 00:00:00+05:30,168.0,168.1,163.25,164.0,742693
2015-06-12 00:00:00+05:30,167.0,167.0,162.65,164.25,510896
2015-06-15 00:00:00+05:30,166.0,167.2,163.65,164.0,595668
2015-06-16 00:00:00+05:30,164.8,165.15,162.75,164.75,394738
2015-06-17 00:00:00+05:30,164.25,166.1,162.6,163.85,937821
2015-06-18 00:00:00+05:30,164.2,166.3,164.1,165.0,354020
2015-06-19 00:00:00+05:30,165.7,168.0,165.1,167.0,542662
2015-06-22 00:00:00+05:30,167.0,168.9,166.0,168.2,685823
2015-06-23 00:00:00+05:30,168.55,173.7,167.3,173.15,1215841
2015-06-24 00:00:00+05:30,173.75,173.8,168.55,169.65,468357
2015-06-25 00:00:00+05:30,168.6,169.9,166.55,169.9,715424
2015-06-26 00:00:00+05:30,168.9,171.2,168.05,169.15,433971
2015-06-29 00:00:00+05:30,168.8,170.5,166.45,169.1,980766
2015-06-30 00:00:00+05:30,169.0,170.55,165.15,167.1,1029421
2015-07-01 00:00:00+05:30,167.1,169.6,166.8,167.5,763562
2015-07-02 00:00:00+05:30,167.5,168.7,163.75,164.3,1163828
2015-07-03 00:00:00+05:30,163.95,164.1,161.05,161.85,1037338
2015-07-07 00:00:00+05:30,160.75,163.0,160.75,161.1,435395
2015-07-08 00:00:00+05:30,158.2,158.95,155.65,158.1,1143600
2015-07-09 00:00:00+05:30,158.0,160.9,157.6,160.2,535090
2015-07-10 00:00:00+05:30,161.55,161.6,158.1,158.7,720366
2015-07-13 00:00:00+05:30,159.4,160.35,157.3,160.2,354615
2015-07-14 00:00:00+05:30,159.9,162.05,159.3,160.15,542065
2015-07-15 00:00:00+05:30,161.0,164.2,160.65,164.0,534802
2015-07-16 00:00:00+05:30,164.0,164.7,162.3,164.0,482449
2015-07-17 00:00:00+05:30,166.0,166.0,163.2,164.0,403886
2015-07-20 00:00:00+05:30,165.4,168.4,162.7,166.75,1481106
2015-07-21 00:00:00+05:30,169.8,170.05,164.0,165.55,1079043
2015-07-22 00:00:00+05:30,164.15,165.65,163.0,165.0,488420
2015-07-23 00:00:00+05:30,164.4,166.85,164.1,165.65,294518
2015-07-24 00:00:00+05:30,165.95,165.95,163.6,164.3,351091
2015-07-27 00:00:00+05:30,164.0,165.75,161.0,162.8,675426
2015-07-28 00:00:00+05:30,163.5,163.5,155.5,155.5,963536
2015-07-29 00:00:00+05:30,156.35,159.65,153.1,157.75,742819
2015-07-30 00:00:00+05:30,160.0,160.0,156.1,158.5,416407
2015-07-31 00:00:00+05:30,159.0,159.0,156.65,156.85,170230
2015-08-03 00:00:00+05:30,157.8,162.5,156.0,161.75,563059
2015-08-04 00:00:00+05:30,161.85,162.25,157.1,159.25,568194
2015-08-05 00:00:00+05:30,157.9,160.4,157.65,159.0,512745
2015-08-07 00:00:00+05:30,157.5,157.5,154.4,155.3,677036
2015-08-10 00:00:00+05:30,155.8,156.5,152.6,154.1,1139463
2015-08-11 00:00:00+05:30,155.05,155.15,150.75,151.95,1044879
2015-08-12 00:00:00+05:30,150.0,150.3,145.35,145.55,736379
2015-08-13 00:00:00+05:30,146.5,147.25,140.3,146.0,2290777
2015-08-14 00:00:00+05:30,143.1,147.1,143.1,144.95,1083259
2015-08-17 00:00:00+05:30,147.9,150.4,145.0,149.25,342790
2015-08-18 00:00:00+05:30,150.1,151.8,146.55,146.85,641490
2015-08-19 00:00:00+05:30,147.4,147.4,139.6,141.0,1807688
2015-08-20 00:00:00+05:30,141.0,141.65,137.0,139.95,628269
2015-08-21 00:00:00+05:30,138.7,139.45,135.1,137.0,666589
2015-08-24 00:00:00+05:30,134.0,134.0,118.1,124.0,1938298
2015-08-25 00:00:00+05:30,126.0,127.95,117.1,127.25,1288305
2015-08-26 00:00:00+05:30,126.7,128.6,121.0,127.2,1311393
2015-08-27 00:00:00+05:30,129.25,131.0,127.4,130.2,1595334
2015-08-28 00:00:00+05:30,133.05,134.9,130.7,131.0,1285300
2015-08-31 00:00:00+05:30,132.0,132.0,125.45,127.0,790083
2015-09-01 00:00:00+05:30,126.7,129.9,124.35,126.15,600395
2015-09-02 00:00:00+05:30,127.0,130.0,124.9,127.65,685118
2015-09-03 00:00:00+05:30,129.95,134.2,127.35,133.0,717404
2015-09-04 00:00:00+05:30,132.5,133.0,129.1,131.0,710975
2015-09-07 00:00:00+05:30,132.9,134.0,130.0,130.05,411901
2015-09-08 00:00:00+05:30,130.15,132.95,129.85,132.0,604685
2015-09-09 00:00:00+05:30,134.5,138.45,133.2,135.3,911220
2015-09-10 00:00:00+05:30,134.9,134.9,129.2,131.55,841990
2015-09-11 00:00:00+05:30,132.0,133.0,129.3,130.1,503349
2015-09-14 00:00:00+05:30,129.75,137.0,128.0,137.0,1140217
2015-09-15 00:00:00+05:30,134.15,136.6,132.05,134.7,1221074
2015-09-16 00:00:00+05:30,135.95,135.95,131.7,133.6,689191
2015-09-18 00:00:00+05:30,136.7,138.05,133.5,135.8,1297827
2015-09-21 00:00:00+05:30,134.8,137.35,132.25,135.85,574447
2015-09-22 00:00:00+05:30,135.7,137.8,132.7,134.7,626867
2015-09-23 00:00:00+05:30,130.0,137.4,129.45,136.25,869785
2015-09-24 00:00:00+05:30,136.1,144.7,134.6,144.5,1595226
2015-09-28 00:00:00+05:30,143.5,143.5,136.8,137.0,355115
2015-09-29 00:00:00+05:30,135.0,137.0,134.1,134.6,384774
2015-09-30 00:00:00+05:30,135.05,140.75,135.0,139.0,428259
2015-10-01 00:00:00+05:30,140.4,140.4,136.1,139.75,505840
2015-10-05 00:00:00+05:30,138.55,144.85,138.1,142.15,822531
2015-10-06 00:00:00+05:30,144.0,144.5,140.35,144.05,670182
2015-10-08 00:00:00+05:30,150.15,150.15,144.0,145.0,558503
2015-10-09 00:00:00+05:30,147.7,154.2,147.4,150.5,2585541
2015-10-12 00:00:00+05:30,152.0,154.7,147.25,148.0,1394878
2015-10-13 00:00:00+05:30,149.4,153.75,146.95,152.75,1573469
2015-10-14 00:00:00+05:30,152.8,154.5,150.5,151.0,1090994
2015-10-15 00:00:00+05:30,151.1,152.0,146.8,146.9,780258
2015-10-16 00:00:00+05:30,147.95,154.7,147.35,153.9,1107113
2015-10-19 00:00:00+05:30,155.0,159.8,153.5,159.4,1451382
2015-10-20 00:00:00+05:30,163.0,163.0,158.15,159.25,1963938
2015-10-21 00:00:00+05:30,159.25,163.05,158.0,162.35,801513
2015-10-23 00:00:00+05:30,162.25,162.25,155.6,157.8,1067098
2015-10-26 00:00:00+05:30,157.9,160.0,156.25,157.3,614976
2015-10-27 00:00:00+05:30,157.0,160.0,155.85,159.7,907127
2015-10-28 00:00:00+05:30,158.9,159.5,156.5,157.0,506303
2015-10-29 00:00:00+05:30,157.25,159.9,153.9,155.7,1337560
2015-10-30 00:00:00+05:30,156.0,159.35,154.85,156.75,553194
2015-11-02 00:00:00+05:30,156.95,158.25,153.35,155.05,365533
2015-11-03 00:00:00+05:30,157.0,158.7,156.75,157.9,652669
2015-11-04 00:00:00+05:30,159.0,159.6,155.3,156.9,496220
2015-11-05 00:00:00+05:30,157.0,157.9,153.85,156.0,372220
2015-11-06 00:00:00+05:30,155.5,156.85,152.0,153.5,261767
2015-11-09 00:00:00+05:30,150.0,157.5,149.65,155.5,336653
2015-11-10 00:00:00+05:30,154.9,154.95,143.7,144.05,1401282
2015-11-11 00:00:00+05:30,147.65,147.85,144.25,145.95,86526
2015-11-13 00:00:00+05:30,143.0,145.85,141.65,144.55,869753
2015-11-16 00:00:00+05:30,144.0,144.95,142.6,144.15,551173
2015-11-17 00:00:00+05:30,144.0,148.05,144.0,147.8,863705
2015-11-18 00:00:00+05:30,147.45,147.5,140.3,140.45,758935
2015-11-19 00:00:00+05:30,141.6,145.6,140.5,142.45,956365
2015-11-20 00:00:00+05:30,142.05,142.95,140.6,141.7,1629130
2015-11-23 00:00:00+05:30,143.75,143.75,140.6,142.5,1393134
2015-11-24 00:00:00+05:30,142.0,142.9,140.95,141.25,740449
2015-11-26 00:00:00+05:30,141.9,143.35,140.85,141.7,1082531
2015-11-27 00:00:00+05:30,142.5,144.7,141.6,142.3,487043
2015-11-30 00:00:00+05:30,142.0,144.1,141.7,144.1,492699
2015-12-01 00:00:00+05:30,143.6,150.65,143.6,147.45,1855464
2015-12-02 00:00:00+05:30,148.5,149.8,143.85,144.9,788277
2015-12-03 00:00:00+05:30,143.0,145.15,142.5,144.05,622111
2015-12-04 00:00:00+05:30,143.0,147.75,142.55,147.3,957788
2015-12-07 00:00:00+05:30,147.7,148.5,144.75,147.4,498721
2015-12-09 00:00:00+05:30,141.05,144.55,140.6,142.6,1110668
2015-12-10 00:00:00+05:30,143.3,143.9,142.05,142.6,475255
2015-12-11 00:00:00+05:30,142.85,143.45,139.5,140.1,734754
2015-12-14 00:00:00+05:30,139.4,141.9,138.55,141.85,833677
2015-12-15 00:00:00+05:30,141.5,149.15,141.5,145.0,1817907
2015-12-16 00:00:00+05:30,146.1,149.0,143.6,147.2,1128961
2015-12-17 00:00:00+05:30,146.5,149.8,145.4,149.4,846226
2015-12-18 00:00:00+05:30,148.2,148.85,144.95,145.75,927424
2015-12-21 00:00:00+05:30,145.75,148.75,144.0,148.6,640951
2015-12-22 00:00:00+05:30,148.65,151.9,144.0,144.3,1047159
2015-12-23 00:00:00+05:30,146.1,148.95,145.4,146.2,618638
2015-12-24 00:00:00+05:30,148.0,150.0,146.05,148.95,506505
2015-12-28 00:00:00+05:30,149.0,149.75,146.6,147.95,309273
2015-12-29 00:00:00+05:30,148.1,148.6,144.75,146.05,496465
2015-12-30 00:00:00+05:30,146.85,148.35,145.85,146.1,324266
2015-12-31 00:00:00+05:30,146.4,148.25,145.8,146.6,638402
2016-01-04 00:00:00+05:30,147.85,150.65,144.5,144.9,720012
2016-01-05 00:00:00+05:30,145.75,153.0,143.9,152.95,1736155
2016-01-06 00:00:00+05:30,151.05,151.65,145.2,145.4,1159520
2016-01-07 00:00:00+05:30,144.0,144.25,138.1,139.5,929889
2016-01-11 00:00:00+05:30,139.7,140.5,137.0,139.7,754501
2016-01-12 00:00:00+05:30,140.15,142.8,140.1,142.4,934746
2016-01-13 00:00:00+05:30,142.0,143.35,139.9,142.1,1212997
2016-01-14 00:00:00+05:30,140.1,142.9,139.2,142.4,815191
2016-01-15 00:00:00+05:30,141.25,142.55,137.45,139.15,554435
2016-01-18 00:00:00+05:30,139.5,141.45,137.9,138.1,976781
2016-01-19 00:00:00+05:30,139.5,141.5,137.7,139.0,1091479
2016-01-20 00:00:00+05:30,136.2,140.0,136.2,138.9,605054
2016-01-21 00:00:00+05:30,137.3,145.0,137.25,143.5,2180703
2016-01-22 00:00:00+05:30,144.0,147.95,142.5,144.95,1766464
2016-01-25 00:00:00+05:30,146.55,152.4,146.55,151.0,2603828
2016-01-27 00:00:00+05:30,152.4,163.5,150.95,162.9,3018404
2016-01-28 00:00:00+05:30,159.75,172.75,157.7,163.95,8418708
2016-01-29 00:00:00+05:30,162.2,163.65,155.05,162.0,1489675
2016-02-01 00:00:00+05:30,160.0,161.75,157.15,161.15,604247
2016-02-02 00:00:00+05:30,158.5,160.3,154.5,155.9,563600
2016-02-03 00:00:00+05:30,155.0,156.65,153.0,153.45,362345
2016-02-04 00:00:00+05:30,155.7,164.95,155.7,162.6,1110538
2016-02-05 00:00:00+05:30,163.0,169.5,163.0,168.55,956815
2016-02-09 00:00:00+05:30,164.95,168.45,161.7,165.5,591999
2016-02-10 00:00:00+05:30,163.95,166.8,159.1,161.45,618698
2016-02-11 00:00:00+05:30,161.5,163.7,155.1,158.5,1160264
2016-02-12 00:00:00+05:30,161.45,162.0,155.1,158.0,1402616
2016-02-15 00:00:00+05:30,160.0,169.9,160.0,168.9,613284
2016-02-16 00:00:00+05:30,170.0,170.9,163.6,165.0,1115049
2016-02-17 00:00:00+05:30,163.75,165.65,160.4,163.75,1083908
2016-02-18 00:00:00+05:30,165.55,167.15,162.55,165.2,1532776
2016-02-19 00:00:00+05:30,166.15,166.15,162.9,163.75,444254
2016-02-22 00:00:00+05:30,163.05,164.45,162.9,164.0,450147
2016-02-23 00:00:00+05:30,164.5,165.8,163.2,164.0,535957
2016-02-24 00:00:00+05:30,163.45,164.15,158.15,163.5,1048618
2016-02-25 00:00:00+05:30,162.5,164.75,161.6,163.85,926056
2016-02-26 00:00:00+05:30,164.1,164.15,159.45,163.9,714627
2016-02-29 00:00:00+05:30,162.0,163.05,156.9,160.85,573509
2016-03-01 00:00:00+05:30,161.15,165.45,160.95,162.85,1050491
2016-03-02 00:00:00+05:30,162.7,166.8,161.5,161.6,1397656
2016-03-03 00:00:00+05:30,163.2,172.3,161.25,170.5,1757554
2016-03-04 00:00:00+05:30,172.5,176.0,171.1,171.7,2787066
2016-03-08 00:00:00+05:30,173.0,178.25,171.8,174.0,1785664
2016-03-09 00:00:00+05:30,172.0,174.5,168.7,171.7,1141812
2016-03-11 00:00:00+05:30,169.5,171.75,166.9,170.6,992457
2016-03-14 00:00:00+05:30,170.85,172.2,169.6,170.0,542458
2016-03-15 00:00:00+05:30,169.95,172.85,169.1,171.7,879548
2016-03-16 00:00:00+05:30,170.45,171.9,166.8,168.3,601774
2016-03-17 00:00:00+05:30,171.0,172.4,168.4,170.0,726931
2016-03-18 00:00:00+05:30,171.1,173.2,171.0,171.5,991103
2016-03-21 00:00:00+05:30,170.45,173.2,170.45,171.65,706375
2016-03-22 00:00:00+05:30,171.1,172.65,169.2,170.2,1000878
2016-03-23 00:00:00+05:30,170.6,172.05,169.05,170.0,1057876
2016-03-28 00:00:00+05:30,170.15,170.35,166.2,167.8,864552
2016-03-29 00:00:00+05:30,168.1,171.45,167.2,170.2,1004512
2016-03-30 00:00:00+05:30,172.05,176.0,172.05,176.0,1970950
2016-03-31 00:00:00+05:30,195.9,195.9,180.8,182.95,20861794
2016-04-01 00:00:00+05:30,184.0,186.25,183.75,184.45,4299495
2016-04-04 00:00:00+05:30,186.0,189.7,185.0,188.5,5863702
2016-04-05 00:00:00+05:30,188.5,189.1,185.25,186.9,5007779
2016-04-06 00:00:00+05:30,163.0,165.1,160.85,162.45,4240077
2016-04-07 00:00:00+05:30,163.0,163.1,159.85,160.4,1947729
2016-04-08 00:00:00+05:30,159.1,161.4,158.2,160.0,1673496
2016-04-11 00:00:00+05:30,160.0,161.4,158.55,160.6,1448020
2016-04-12 00:00:00+05:30,160.55,160.9,159.0,159.25,995618
2016-04-13 00:00:00+05:30,162.4,166.35,160.5,166.1,2441074
2016-04-18 00:00:00+05:30,166.65,169.5,166.05,168.6,1443407
2016-04-20 00:00:00+05:30,170.2,180.0,170.2,174.9,3549948
2016-04-21 00:00:00+05:30,176.0,176.0,171.5,173.25,4540790
2016-04-22 00:00:00+05:30,171.0,173.8,167.85,171.8,3006319
2016-04-25 00:00:00+05:30,172.1,172.1,168.05,169.1,683955
2016-04-26 00:00:00+05:30,169.1,173.35,169.1,172.35,2129829
2016-04-27 00:00:00+05:30,173.3,174.45,172.45,172.65,1300306
2016-04-28 00:00:00+05:30,172.75,173.65,169.4,169.9,3523210
2016-04-29 00:00:00+05:30,171.5,173.0,170.35,172.0,949599
2016-05-02 00:00:00+05:30,171.1,176.1,170.2,174.45,1241632
2016-05-03 00:00:00+05:30,174.75,176.45,172.2,173.45,972000
2016-05-04 00:00:00+05:30,171.1,172.3,164.25,166.8,1127113
2016-05-05 00:00:00+05:30,166.5,170.15,165.0,167.75,1277251
2016-05-06 00:00:00+05:30,166.4,170.7,166.4,169.9,993579
2016-05-09 00:00:00+05:30,170.9,171.6,169.1,169.95,547827
2016-05-10 00:00:00+05:30,168.5,169.7,165.15,166.05,1207051
2016-05-12 00:00:00+05:30,168.15,169.35,166.7,167.8,937407
2016-05-13 00:00:00+05:30,167.3,168.15,166.0,166.1,491973
2016-05-16 00:00:00+05:30,167.0,168.15,165.1,166.75,867944
2016-05-17 00:00:00+05:30,167.1,170.1,167.1,168.7,1210799
2016-05-18 00:00:00+05:30,167.7,168.65,167.1,168.0,1165661
2016-05-19 00:00:00+05:30,167.95,168.6,166.15,166.65,1352446
2016-05-20 00:00:00+05:30,167.35,167.95,161.1,162.4,729499
2016-05-23 00:00:00+05:30,163.0,167.25,160.85,166.25,1234772
2016-05-24 00:00:00+05:30,166.7,167.9,164.3,167.0,958866
2016-05-25 00:00:00+05:30,167.5,167.9,165.9,166.75,708383
2016-05-26 00:00:00+05:30,166.95,167.25,164.7,166.95,1290913
2016-05-27 00:00:00+05:30,166.95,170.3,165.85,168.85,1114059
2016-05-30 00:00:00+05:30,169.95,172.9,167.65,171.55,973889
2016-05-31 00:00:00+05:30,171.7,173.95,170.0,171.0,6217903
2016-06-01 00:00:00+05:30,170.55,172.75,168.05,168.4,470630
2016-06-02 00:00:00+05:30,168.6,171.65,167.5,168.1,1110927
2016-06-03 00:00:00+05:30,168.8,170.5,166.65,168.0,1607028
2016-06-06 00:00:00+05:30,168.5,171.5,167.3,169.6,845564
2016-06-07 00:00:00+05:30,170.35,172.6,170.1,171.3,715505
2016-06-08 00:00:00+05:30,172.0,172.55,169.25,170.3,1043928
2016-06-09 00:00:00+05:30,170.5,177.95,170.15,176.55,1429812
2016-06-10 00:00:00+05:30,177.5,179.8,173.0,173.15,1057448
2016-06-13 00:00:00+05:30,173.0,176.4,171.5,175.6,1183538
2016-06-14 00:00:00+05:30,176.5,177.3,173.55,176.05,637525
2016-06-15 00:00:00+05:30,176.2,176.25,173.05,173.95,636359
2016-06-16 00:00:00+05:30,172.2,175.15,171.0,171.8,1827540
2016-06-17 00:00:00+05:30,172.8,173.45,171.0,172.25,594493
2016-06-20 00:00:00+05:30,171.85,177.25,170.7,177.0,1181830
2016-06-21 00:00:00+05:30,176.15,179.0,175.4,177.05,874613
2016-06-22 00:00:00+05:30,176.95,176.95,172.75,175.0,425494
2016-06-23 00:00:00+05:30,174.05,175.9,173.25,173.55,288353
2016-06-24 00:00:00+05:30,170.05,172.0,165.55,170.0,706040
2016-06-27 00:00:00+05:30,171.1,171.9,167.5,167.95,1446641
2016-06-28 00:00:00+05:30,168.9,172.0,167.7,170.95,835095
2016-06-29 00:00:00+05:30,172.2,178.0,172.05,177.25,1151945
2016-06-30 00:00:00+05:30,178.5,181.5,178.45,180.9,1108564
2016-07-01 00:00:00+05:30,180.85,181.05,176.1,176.5,930840
2016-07-04 00:00:00+05:30,178.55,185.65,178.4,185.2,1410958
2016-07-05 00:00:00+05:30,185.2,187.4,184.2,184.8,2131546
2016-07-07 00:00:00+05:30,185.0,188.25,185.0,186.65,1095783
2016-07-08 00:00:00+05:30,186.9,190.4,184.0,187.4,1337162
2016-07-11 00:00:00+05:30,187.9,190.8,187.6,189.65,1745062
2016-07-13 00:00:00+05:30,196.35,203.6,192.1,193.4,2632866
2016-07-14 00:00:00+05:30,193.85,196.4,193.45,194.6,979407
2016-07-15 00:00:00+05:30,195.0,197.85,192.75,195.3,1374859
2016-07-18 00:00:00+05:30,194.95,197.95,185.7,188.9,1771538
2016-07-19 00:00:00+05:30,190.9,193.75,190.0,192.5,1994051
2016-07-20 00:00:00+05:30,193.0,196.5,192.45,193.5,2137997
2016-07-21 00:00:00+05:30,190.0,196.1,190.0,194.35,3905570
2016-07-22 00:00:00+05:30,194.5,195.0,189.0,193.8,2444271
2016-07-25 00:00:00+05:30,195.1,200.3,191.15,195.55,4034935
2016-07-26 00:00:00+05:30,196.4,209.4,196.4,203.0,4827567
2016-07-27 00:00:00+05:30,204.8,210.8,204.15,208.2,3173429
2016-07-28 00:00:00+05:30,209.5,209.5,198.55,206.0,2604436
2016-07-29 00:00:00+05:30,206.95,209.05,203.5,204.4,1104089
2016-08-01 00:00:00+05:30,205.1,216.15,205.1,211.0,2675855
2016-08-02 00:00:00+05:30,210.8,214.3,205.95,206.9,1432889
