date,open,high,low,close,volume
2017-05-19 00:00:00+05:30,73.0,77.8,71.3,72.1,210875466
2017-05-22 00:00:00+05:30,72.65,73.45,69.65,69.85,19088142
2017-05-23 00:00:00+05:30,69.35,69.9,66.55,68.1,14660634
2017-05-24 00:00:00+05:30,68.6,69.45,66.4,66.7,8648905
2017-05-25 00:00:00+05:30,67.1,72.2,66.95,70.9,13221417
2017-05-26 00:00:00+05:30,71.2,73.25,70.55,73.1,11990626
2017-05-29 00:00:00+05:30,73.3,74.7,72.85,73.25,8870248
2017-05-30 00:00:00+05:30,73.25,74.0,71.55,73.1,10375877
2017-05-31 00:00:00+05:30,72.55,73.65,71.65,73.65,5588943
2017-06-01 00:00:00+05:30,73.25,74.25,72.5,73.05,3652549
2017-06-02 00:00:00+05:30,73.4,73.6,72.55,73.0,3079124
2017-06-05 00:00:00+05:30,73.2,73.25,72.0,72.0,1676231
2017-06-06 00:00:00+05:30,72.05,72.9,71.3,71.9,2079380
2017-06-07 00:00:00+05:30,72.25,72.25,71.3,71.35,1268595
2017-06-08 00:00:00+05:30,71.6,71.9,69.85,69.95,2292352
2017-06-09 00:00:00+05:30,70.0,70.7,69.7,70.2,1626443
2017-06-12 00:00:00+05:30,70.1,70.1,68.55,68.8,2123169
2017-06-13 00:00:00+05:30,69.0,69.4,68.1,68.2,2054906
2017-06-14 00:00:00+05:30,68.5,68.7,68.0,68.2,1095676
2017-06-15 00:00:00+05:30,68.25,70.7,68.0,69.15,2360877
2017-06-16 00:00:00+05:30,69.4,69.7,68.35,68.45,1382314
2017-06-19 00:00:00+05:30,68.45,69.0,67.75,68.0,2137480
2017-06-20 00:00:00+05:30,68.15,68.35,67.55,68.05,1850507
2017-06-21 00:00:00+05:30,67.9,69.0,67.55,68.0,1739168
2017-06-22 00:00:00+05:30,68.15,68.3,67.8,67.9,1427570
2017-06-23 00:00:00+05:30,69.6,70.0,68.25,68.6,3387472
2017-06-27 00:00:00+05:30,68.7,68.8,66.6,67.1,1897473
2017-06-28 00:00:00+05:30,67.2,67.2,66.0,66.15,1730545
2017-06-29 00:00:00+05:30,66.4,68.15,66.25,67.8,1861146
