date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,326.68,327.27,318.18,320.59,37040115
2015-02-03 00:00:00+05:30,320.09,324.09,313.77,314.91,25926791
2015-02-04 00:00:00+05:30,313.86,315.64,309.73,314.55,15569599
2015-02-05 00:00:00+05:30,310.0,313.91,302.5,305.45,18666323
2015-02-06 00:00:00+05:30,305.64,309.09,297.91,299.55,17789700
2015-02-09 00:00:00+05:30,297.18,297.18,289.55,292.82,15304110
2015-02-10 00:00:00+05:30,288.23,304.5,287.64,301.73,31285319
2015-02-11 00:00:00+05:30,305.32,309.05,303.73,304.55,13714260
2015-02-12 00:00:00+05:30,307.55,310.27,300.0,309.27,14356211
2015-02-13 00:00:00+05:30,313.0,314.45,309.27,312.32,9902463
2015-02-16 00:00:00+05:30,314.91,315.0,305.86,307.23,11067224
2015-02-18 00:00:00+05:30,308.86,312.73,308.86,311.68,8804318
2015-02-19 00:00:00+05:30,310.09,312.59,302.14,309.09,10306840
2015-02-20 00:00:00+05:30,304.55,305.09,298.64,300.41,17090259
2015-02-23 00:00:00+05:30,302.73,304.09,297.36,297.91,12221798
2015-02-24 00:00:00+05:30,299.73,301.27,295.0,297.09,12167473
2015-02-25 00:00:00+05:30,297.77,300.91,292.05,294.45,18016519
2015-02-26 00:00:00+05:30,295.55,295.64,291.14,292.64,18340215
2015-02-27 00:00:00+05:30,295.09,306.36,293.73,305.45,17145485
2015-02-28 00:00:00+05:30,309.5,316.23,301.91,315.45,18943770
2015-03-02 00:00:00+05:30,319.14,319.68,309.95,317.73,16177616
2015-03-03 00:00:00+05:30,316.36,317.68,312.82,316.91,16271963
2015-03-04 00:00:00+05:30,327.45,327.55,314.59,316.73,26889400
2015-03-05 00:00:00+05:30,314.77,318.09,309.23,315.68,12631103
2015-03-09 00:00:00+05:30,310.45,311.55,301.77,302.18,13678141
2015-03-10 00:00:00+05:30,302.0,307.05,300.41,304.41,15663181
2015-03-11 00:00:00+05:30,302.64,306.27,299.09,304.45,11706175
2015-03-12 00:00:00+05:30,307.41,308.82,304.23,307.73,12262182
2015-03-13 00:00:00+05:30,312.73,313.77,299.09,300.91,14325789
2015-03-16 00:00:00+05:30,299.5,302.59,296.05,302.41,11676130
2015-03-17 00:00:00+05:30,301.82,305.77,300.14,305.0,11163537
2015-03-18 00:00:00+05:30,303.14,305.91,301.09,303.05,9539244
2015-03-19 00:00:00+05:30,308.41,310.32,298.55,299.36,15439709
2015-03-20 00:00:00+05:30,298.36,299.27,288.05,290.32,23170665
2015-03-23 00:00:00+05:30,292.77,292.77,284.23,285.45,11436194
2015-03-25 00:00:00+05:30,283.64,290.0,283.32,287.59,15078677
2015-03-26 00:00:00+05:30,283.64,285.09,275.91,283.64,34900799
2015-03-27 00:00:00+05:30,284.55,287.32,280.32,286.0,17358730
2015-03-30 00:00:00+05:30,288.55,290.32,284.95,289.45,14097271
2015-03-31 00:00:00+05:30,289.91,293.41,285.45,286.09,14272536
2015-04-01 00:00:00+05:30,286.59,294.77,286.36,293.64,9156379
2015-04-06 00:00:00+05:30,295.45,295.77,290.41,291.64,10488409
2015-04-07 00:00:00+05:30,293.45,293.45,286.36,288.86,9835390
2015-04-08 00:00:00+05:30,289.82,290.59,285.95,287.0,9135757
2015-04-09 00:00:00+05:30,289.14,292.64,288.09,291.55,13484642
2015-04-10 00:00:00+05:30,290.27,292.32,288.59,289.27,9027076
2015-04-13 00:00:00+05:30,290.73,290.73,287.27,288.18,8794540
2015-04-15 00:00:00+05:30,289.41,293.0,284.59,285.55,11257625
2015-04-16 00:00:00+05:30,286.82,287.18,281.95,283.73,9670620
2015-04-17 00:00:00+05:30,285.82,285.82,280.32,282.27,11586560
2015-04-20 00:00:00+05:30,283.36,288.73,280.32,283.64,11638055
2015-04-21 00:00:00+05:30,281.82,287.82,281.77,284.09,9940020
2015-04-22 00:00:00+05:30,284.5,286.36,275.82,284.55,12245011
2015-04-23 00:00:00+05:30,285.73,287.18,281.64,283.68,10334586
2015-04-27 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-04-28 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-04-29 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-04-30 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-05-04 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-05-05 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-05-06 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-05-07 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-05-08 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-05-11 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-05-12 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-05-13 00:00:00+05:30,0.0,0.0,0.0,0.0,0
2015-05-14 00:00:00+05:30,288.64,289.05,283.09,286.73,11659479
2015-05-15 00:00:00+05:30,286.82,287.68,282.36,283.95,11996758
2015-05-18 00:00:00+05:30,285.77,288.09,284.45,287.36,7617330
2015-05-19 00:00:00+05:30,285.14,289.91,283.64,286.73,9042308
2015-05-20 00:00:00+05:30,288.09,291.82,287.86,289.14,7521644
2015-05-21 00:00:00+05:30,291.36,291.64,284.36,285.91,11118780
2015-05-22 00:00:00+05:30,286.36,289.18,283.5,284.59,8932639
