date,open,high,low,close,volume
2015-11-06 00:00:00+05:30,70.5,73.0,67.0,70.4,22383200
2015-11-09 00:00:00+05:30,67.6,67.9,66.9,66.9,9998871
2015-11-10 00:00:00+05:30,66.3,66.35,64.1,64.8,10730237
2015-11-11 00:00:00+05:30,65.0,66.5,65.0,66.4,823518
2015-11-13 00:00:00+05:30,65.8,65.8,63.0,63.5,6767599
2015-11-16 00:00:00+05:30,63.1,65.5,62.0,65.0,5634923
2015-11-17 00:00:00+05:30,65.05,65.9,64.1,64.65,4898396
2015-11-18 00:00:00+05:30,65.0,66.05,64.1,64.9,2687778
2015-11-19 00:00:00+05:30,65.95,66.0,63.55,63.75,1686218
2015-11-20 00:00:00+05:30,63.6,66.0,63.5,65.4,2688109
2015-11-23 00:00:00+05:30,66.5,66.75,63.5,63.75,5331525
2015-11-24 00:00:00+05:30,63.4,64.4,62.5,63.0,3960969
2015-11-26 00:00:00+05:30,63.0,63.35,61.5,61.5,3136702
2015-11-27 00:00:00+05:30,62.0,62.5,60.6,60.9,11881457
2015-11-30 00:00:00+05:30,61.2,61.2,58.85,59.3,14273276
2015-12-01 00:00:00+05:30,59.55,60.95,59.25,60.2,8077850
2015-12-02 00:00:00+05:30,60.3,61.75,59.9,60.3,3467759
2015-12-03 00:00:00+05:30,60.3,61.0,60.0,60.95,1758551
2015-12-04 00:00:00+05:30,60.4,60.95,60.1,60.5,2312317
2015-12-07 00:00:00+05:30,60.25,60.9,59.2,59.4,2469622
2015-12-08 00:00:00+05:30,59.45,59.7,57.5,57.8,5014885
2015-12-09 00:00:00+05:30,57.5,57.75,54.9,56.75,3841921
2015-12-10 00:00:00+05:30,57.0,57.4,54.9,57.2,4063173
2015-12-11 00:00:00+05:30,57.85,57.9,55.1,55.3,2146030
2015-12-14 00:00:00+05:30,55.1,56.0,54.05,55.65,2461120
2015-12-15 00:00:00+05:30,56.0,56.35,55.1,55.5,1172436
2015-12-16 00:00:00+05:30,56.2,56.7,55.5,56.0,2552905
2015-12-17 00:00:00+05:30,56.55,59.8,56.35,57.8,4103072
2015-12-18 00:00:00+05:30,57.9,58.8,56.8,58.4,1939001
2015-12-21 00:00:00+05:30,58.1,58.5,57.05,57.45,2025179
2015-12-22 00:00:00+05:30,58.0,59.5,57.3,59.4,4016469
2015-12-23 00:00:00+05:30,59.9,61.45,59.05,59.45,3098573
2015-12-24 00:00:00+05:30,59.9,61.2,59.0,61.05,1193480
2015-12-28 00:00:00+05:30,60.85,61.35,59.75,59.85,1366801
2015-12-29 00:00:00+05:30,59.85,62.25,59.7,61.95,3251609
2015-12-30 00:00:00+05:30,61.85,62.4,61.25,61.25,1070183
2015-12-31 00:00:00+05:30,61.9,62.1,60.25,60.65,1203337
2016-01-04 00:00:00+05:30,60.85,60.85,58.75,58.95,1380601
2016-01-05 00:00:00+05:30,58.95,59.9,58.6,59.0,717446
2016-01-07 00:00:00+05:30,57.25,57.45,55.4,55.8,1828465
2016-01-08 00:00:00+05:30,56.2,56.5,54.95,55.0,1600325
2016-01-11 00:00:00+05:30,54.5,54.95,53.75,53.95,2031667
2016-01-12 00:00:00+05:30,54.4,54.45,52.0,52.55,2401643
2016-01-13 00:00:00+05:30,53.05,53.3,48.75,51.4,3740296
2016-01-14 00:00:00+05:30,50.2,50.95,48.4,49.2,3746821
2016-01-15 00:00:00+05:30,49.85,50.0,46.0,46.75,3708366
2016-01-18 00:00:00+05:30,45.5,47.0,44.65,45.15,4811913
2016-01-19 00:00:00+05:30,45.55,46.5,44.35,45.8,2305301
2016-01-20 00:00:00+05:30,45.65,46.35,43.1,43.35,4719122
2016-01-21 00:00:00+05:30,44.5,45.4,43.1,43.5,4994605
2016-01-22 00:00:00+05:30,44.1,47.05,43.95,47.0,14499155
2016-01-25 00:00:00+05:30,47.1,48.0,46.65,47.8,1859379
2016-01-27 00:00:00+05:30,48.65,51.0,47.8,50.1,2317605
2016-01-28 00:00:00+05:30,51.5,52.4,49.55,50.6,3562494
2016-01-29 00:00:00+05:30,50.95,53.0,49.5,52.75,3018791
2016-02-01 00:00:00+05:30,52.95,57.4,52.0,56.75,4663640
2016-02-02 00:00:00+05:30,58.3,58.75,53.75,53.9,4096335
2016-02-03 00:00:00+05:30,53.35,53.55,51.2,51.9,4382070
2016-02-04 00:00:00+05:30,52.85,54.1,52.8,53.5,1787890
2016-02-05 00:00:00+05:30,53.8,55.35,53.6,55.0,7998711
2016-02-08 00:00:00+05:30,55.4,56.4,54.0,54.6,1932949
2016-02-09 00:00:00+05:30,52.0,54.0,51.8,53.75,2199308
2016-02-10 00:00:00+05:30,53.85,54.0,52.5,53.35,2207286
2016-02-11 00:00:00+05:30,53.0,53.0,50.4,50.9,2298451
2016-02-12 00:00:00+05:30,51.4,51.8,48.5,50.25,7723485
2016-02-15 00:00:00+05:30,51.3,54.3,51.2,53.8,1852618
2016-02-16 00:00:00+05:30,54.45,55.1,50.0,50.55,1303720
2016-02-17 00:00:00+05:30,50.6,51.8,49.9,51.5,915778
2016-02-18 00:00:00+05:30,51.65,53.2,50.1,50.6,1232326
2016-02-19 00:00:00+05:30,51.2,52.2,50.25,50.8,1412921
2016-02-22 00:00:00+05:30,51.35,51.7,49.2,49.5,2204240
2016-02-23 00:00:00+05:30,49.7,50.0,48.0,48.0,1621515
