date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,46.35,47.4,46.05,46.85,2804770
2015-02-03 00:00:00+05:30,46.6,47.05,46.0,46.2,1305980
2015-02-04 00:00:00+05:30,46.55,47.4,45.8,46.8,3065920
2015-02-05 00:00:00+05:30,47.0,47.85,46.1,46.3,3342010
2015-02-09 00:00:00+05:30,45.5,46.1,44.65,44.85,3439200
2015-02-10 00:00:00+05:30,45.2,45.55,42.55,43.15,5587650
2015-02-11 00:00:00+05:30,43.4,43.5,41.9,42.95,3088930
2015-02-12 00:00:00+05:30,42.7,43.8,42.35,43.0,3509840
2015-02-13 00:00:00+05:30,43.05,43.95,42.0,42.65,4232430
2015-02-16 00:00:00+05:30,43.0,43.45,42.5,42.5,1252310
2015-02-18 00:00:00+05:30,42.8,43.65,42.45,42.8,2352750
2015-02-19 00:00:00+05:30,43.05,43.3,42.05,42.9,1773660
2015-02-20 00:00:00+05:30,43.1,43.9,42.9,43.8,8317560
2015-02-23 00:00:00+05:30,43.9,44.5,43.35,43.8,4168810
2015-02-24 00:00:00+05:30,43.9,44.7,43.9,43.95,2971780
2015-02-25 00:00:00+05:30,44.2,44.5,43.55,44.3,1599590
2015-02-26 00:00:00+05:30,44.2,44.2,42.5,42.7,4286100
2015-02-27 00:00:00+05:30,43.0,44.3,42.6,44.1,1680150
2015-02-28 00:00:00+05:30,44.8,44.8,43.2,43.6,946180
2015-03-02 00:00:00+05:30,44.4,44.9,43.0,44.9,1601510
2015-03-03 00:00:00+05:30,44.5,44.8,43.5,44.25,2500150
2015-03-04 00:00:00+05:30,44.5,44.85,43.25,43.5,3175410
2015-03-05 00:00:00+05:30,43.8,44.0,42.95,43.25,1149920
2015-03-10 00:00:00+05:30,43.25,44.15,43.1,43.2,1815970
2015-03-11 00:00:00+05:30,43.4,44.0,42.8,43.5,1994070
2015-03-12 00:00:00+05:30,44.1,44.45,43.35,43.4,2414330
2015-03-13 00:00:00+05:30,43.9,43.9,42.1,42.15,5556410
2015-03-16 00:00:00+05:30,41.7,42.8,41.7,42.55,1482470
2015-03-17 00:00:00+05:30,42.5,42.9,42.0,42.35,877380
2015-03-18 00:00:00+05:30,42.3,42.75,41.85,42.1,2956310
2015-03-19 00:00:00+05:30,42.4,42.7,41.6,41.7,1436760
