date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,180.35,187.2,175.65,181.25,1484518
2015-02-03 00:00:00+05:30,183.35,187.45,176.5,177.35,260282
2015-02-04 00:00:00+05:30,179.4,181.45,176.6,176.65,145092
2015-02-05 00:00:00+05:30,177.45,180.25,173.9,175.6,296256
2015-02-06 00:00:00+05:30,175.5,176.35,171.5,173.3,517242
2015-02-09 00:00:00+05:30,171.6,172.8,168.45,172.6,230071
2015-02-10 00:00:00+05:30,171.6,179.9,169.45,173.5,150061
2015-02-11 00:00:00+05:30,174.35,178.45,174.35,177.45,98464
2015-02-12 00:00:00+05:30,179.0,182.1,174.85,175.4,160981
2015-02-13 00:00:00+05:30,177.8,182.15,177.55,181.35,93413
2015-02-16 00:00:00+05:30,182.3,184.25,178.05,182.25,60115
2015-02-18 00:00:00+05:30,182.1,182.1,177.45,178.05,55820
2015-02-19 00:00:00+05:30,179.25,180.15,172.6,174.7,86424
2015-02-23 00:00:00+05:30,185.45,185.45,180.85,181.3,62169
2015-02-24 00:00:00+05:30,181.9,184.8,178.45,179.95,55898
2015-02-25 00:00:00+05:30,180.55,188.8,180.55,183.4,157741
2015-02-26 00:00:00+05:30,182.5,182.85,179.5,180.45,46480
2015-02-27 00:00:00+05:30,183.5,189.15,182.8,188.2,237414
2015-02-28 00:00:00+05:30,187.85,191.15,179.4,179.45,132788
2015-03-02 00:00:00+05:30,181.55,183.9,173.45,174.05,216006
2015-03-03 00:00:00+05:30,174.55,177.25,170.7,174.0,758588
2015-03-04 00:00:00+05:30,181.15,181.15,167.8,168.3,271503
2015-03-05 00:00:00+05:30,169.65,171.3,169.0,169.8,68053
2015-03-09 00:00:00+05:30,168.5,168.7,164.8,165.3,81988
2015-03-10 00:00:00+05:30,166.8,171.55,165.9,170.7,368024
2015-03-11 00:00:00+05:30,170.5,171.3,167.15,170.15,74085
2015-03-12 00:00:00+05:30,171.2,172.05,166.3,170.85,85085
2015-03-13 00:00:00+05:30,172.15,173.05,168.15,172.7,104054
2015-03-16 00:00:00+05:30,169.7,171.6,167.9,169.15,160705
2015-03-17 00:00:00+05:30,169.8,175.0,169.75,173.65,382369
2015-03-18 00:00:00+05:30,172.4,174.55,170.9,172.55,79136
2015-03-19 00:00:00+05:30,172.9,174.55,170.15,170.65,275630
2015-03-20 00:00:00+05:30,171.55,171.55,166.7,168.2,97056
2015-03-24 00:00:00+05:30,165.7,167.2,164.1,167.05,39263
2015-03-25 00:00:00+05:30,166.85,167.55,161.85,164.1,51443
2015-03-26 00:00:00+05:30,162.1,163.05,158.95,160.25,79252
2015-03-27 00:00:00+05:30,160.15,164.6,159.9,162.95,90234
2015-03-30 00:00:00+05:30,166.75,169.65,164.9,167.2,79598
2015-03-31 00:00:00+05:30,167.2,170.65,167.2,170.15,76771
2015-04-01 00:00:00+05:30,170.05,170.9,165.25,167.7,132185
2015-04-06 00:00:00+05:30,170.05,170.45,164.8,165.0,381590
2015-04-07 00:00:00+05:30,167.35,168.1,160.6,161.4,630853
2015-04-08 00:00:00+05:30,161.8,163.3,160.95,161.75,837184
2015-04-09 00:00:00+05:30,164.5,166.25,161.35,164.7,120772
2015-04-10 00:00:00+05:30,165.75,167.15,163.7,165.45,264931
2015-04-13 00:00:00+05:30,165.45,167.2,165.15,165.25,40072
2015-04-15 00:00:00+05:30,163.8,173.2,163.8,169.15,194323
2015-04-16 00:00:00+05:30,169.65,169.65,161.35,162.45,192220
2015-04-17 00:00:00+05:30,162.65,162.85,159.0,159.15,142835
2015-04-20 00:00:00+05:30,160.8,160.8,157.1,157.45,57442
2015-04-21 00:00:00+05:30,157.85,158.7,156.0,156.35,50898
2015-04-22 00:00:00+05:30,157.85,157.95,148.35,157.3,121985
2015-04-24 00:00:00+05:30,153.1,153.1,148.2,149.7,84493
2015-04-27 00:00:00+05:30,149.85,149.9,142.0,143.05,142223
2015-04-28 00:00:00+05:30,144.15,144.25,140.8,142.35,68408
2015-04-29 00:00:00+05:30,142.2,143.9,137.0,137.95,144606
2015-04-30 00:00:00+05:30,137.5,141.05,133.8,137.5,322765
2015-05-04 00:00:00+05:30,136.55,141.8,136.5,141.15,102875
2015-05-05 00:00:00+05:30,141.4,143.15,139.5,140.3,109758
2015-05-06 00:00:00+05:30,139.45,141.35,136.55,139.8,119637
2015-05-07 00:00:00+05:30,139.45,141.0,135.65,140.4,149099
2015-05-08 00:00:00+05:30,141.4,143.35,140.4,141.4,37412
2015-05-11 00:00:00+05:30,142.45,148.6,138.75,144.3,123077
2015-05-12 00:00:00+05:30,145.4,148.05,139.45,145.75,90221
2015-05-13 00:00:00+05:30,146.2,152.05,144.3,151.35,98919
2015-05-14 00:00:00+05:30,151.25,160.9,151.25,154.45,1836666
2015-05-15 00:00:00+05:30,153.1,157.4,152.55,156.4,480484
2015-05-18 00:00:00+05:30,157.0,158.7,155.05,156.0,167582
2015-05-19 00:00:00+05:30,156.75,156.75,153.65,154.15,97426
2015-05-20 00:00:00+05:30,155.7,156.2,153.3,155.25,51943
2015-05-21 00:00:00+05:30,155.85,156.2,152.5,154.5,74957
2015-05-22 00:00:00+05:30,155.75,157.85,153.55,156.2,127334
2015-05-25 00:00:00+05:30,157.0,157.25,152.4,155.1,47549
2015-05-26 00:00:00+05:30,155.95,155.95,153.55,154.15,25928
2015-05-27 00:00:00+05:30,153.5,160.9,152.8,160.45,171165
2015-05-28 00:00:00+05:30,160.85,161.75,157.2,158.1,44495
2015-05-29 00:00:00+05:30,158.1,166.65,157.6,166.25,114877
2015-06-01 00:00:00+05:30,163.8,167.15,160.7,161.45,58532
2015-06-02 00:00:00+05:30,162.85,164.5,156.95,157.25,63804
2015-06-03 00:00:00+05:30,157.95,157.95,154.75,155.15,74901
2015-06-04 00:00:00+05:30,157.0,157.0,151.15,152.1,56190
2015-06-05 00:00:00+05:30,152.95,152.95,147.25,147.45,84306
2015-06-08 00:00:00+05:30,147.5,148.15,141.5,141.9,68960
2015-06-09 00:00:00+05:30,142.3,143.1,139.6,139.9,61885
2015-06-10 00:00:00+05:30,141.35,143.8,139.55,140.25,66360
2015-06-11 00:00:00+05:30,141.4,143.35,137.55,137.9,74610
2015-06-12 00:00:00+05:30,139.35,140.4,136.5,139.45,43895
2015-06-15 00:00:00+05:30,140.2,142.35,138.95,140.15,53922
2015-06-16 00:00:00+05:30,141.15,146.05,138.3,143.95,62581
2015-06-17 00:00:00+05:30,144.3,147.25,143.35,145.1,40519
2015-06-18 00:00:00+05:30,145.3,147.65,142.35,144.3,39928
2015-06-19 00:00:00+05:30,145.3,146.9,141.4,142.35,99390
2015-06-22 00:00:00+05:30,142.85,150.95,142.85,150.55,174421
2015-06-23 00:00:00+05:30,147.05,150.05,146.95,147.3,106608
2015-06-25 00:00:00+05:30,144.3,146.0,138.25,140.5,127657
2015-06-26 00:00:00+05:30,141.2,141.95,139.9,140.1,63979
2015-06-29 00:00:00+05:30,138.2,138.2,134.15,136.45,68905
2015-06-30 00:00:00+05:30,135.55,140.2,135.55,138.9,54171
2015-07-01 00:00:00+05:30,138.45,141.75,137.0,139.5,103057
2015-07-02 00:00:00+05:30,139.55,143.35,136.0,136.35,129178
2015-07-03 00:00:00+05:30,136.9,139.35,134.75,135.75,105469
2015-07-06 00:00:00+05:30,135.55,138.75,132.8,137.95,100818
2015-07-07 00:00:00+05:30,138.45,140.2,135.05,135.5,150666
2015-07-08 00:00:00+05:30,134.6,136.45,133.6,134.5,107061
2015-07-09 00:00:00+05:30,135.55,136.8,134.05,134.55,63799
2015-07-10 00:00:00+05:30,136.5,136.8,133.25,133.9,105309
2015-07-13 00:00:00+05:30,134.55,135.8,133.25,133.5,99161
2015-07-14 00:00:00+05:30,134.55,135.55,133.5,133.95,85702
2015-07-15 00:00:00+05:30,134.95,135.9,133.7,135.35,56604
2015-07-16 00:00:00+05:30,135.55,135.8,134.55,134.85,53112
2015-07-17 00:00:00+05:30,134.7,137.95,134.65,134.9,97828
2015-07-20 00:00:00+05:30,134.9,136.5,132.4,132.85,83345
2015-07-21 00:00:00+05:30,132.85,134.2,126.75,127.95,187283
2015-07-22 00:00:00+05:30,126.75,130.65,126.25,129.8,115444
2015-07-23 00:00:00+05:30,130.55,138.45,125.2,138.45,957514
2015-07-24 00:00:00+05:30,134.05,137.4,134.05,135.8,212368
2015-07-27 00:00:00+05:30,134.55,137.5,129.7,131.65,98707
2015-07-28 00:00:00+05:30,131.65,133.6,127.05,127.15,125524
2015-07-29 00:00:00+05:30,129.05,129.6,124.5,125.0,113693
2015-07-30 00:00:00+05:30,126.4,127.6,124.2,124.5,174650
2015-07-31 00:00:00+05:30,126.0,131.45,125.7,129.45,553665
2015-08-03 00:00:00+05:30,131.65,142.55,131.2,141.4,594964
2015-08-04 00:00:00+05:30,145.1,151.15,138.65,151.1,544966
2015-08-05 00:00:00+05:30,152.15,155.75,149.3,151.8,621455
2015-08-06 00:00:00+05:30,151.2,153.45,144.9,146.85,185847
2015-08-07 00:00:00+05:30,148.05,149.75,143.5,144.7,97254
2015-08-10 00:00:00+05:30,144.3,148.1,144.3,146.25,101179
2015-08-11 00:00:00+05:30,148.1,148.1,141.8,145.35,105310
2015-08-12 00:00:00+05:30,146.05,146.05,140.25,144.05,122066
2015-08-13 00:00:00+05:30,143.45,145.25,134.85,136.95,93116
2015-08-14 00:00:00+05:30,138.45,146.9,138.15,143.55,125572
2015-08-17 00:00:00+05:30,145.25,164.0,145.2,158.05,567453
