date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,40.69,40.69,38.99,39.27,3996036
2015-02-03 00:00:00+05:30,39.51,39.69,37.99,38.23,4485810
2015-02-04 00:00:00+05:30,37.99,39.46,37.8,38.7,3689994
2015-02-05 00:00:00+05:30,39.03,40.74,38.28,38.51,6120624
2015-02-06 00:00:00+05:30,38.46,38.94,37.23,37.46,3392652
2015-02-09 00:00:00+05:30,37.13,37.37,36.09,36.33,2637300
2015-02-10 00:00:00+05:30,35.9,36.8,34.38,35.0,4430586
2015-02-11 00:00:00+05:30,35.14,36.38,35.0,35.95,3468978
2015-02-12 00:00:00+05:30,36.42,36.75,35.42,35.71,3164028
2015-02-13 00:00:00+05:30,35.71,36.52,34.33,34.85,18396036
2015-02-18 00:00:00+05:30,36.23,38.61,35.33,38.28,8342022
2015-02-19 00:00:00+05:30,38.61,40.56,38.33,40.13,8161134
2015-02-20 00:00:00+05:30,40.03,40.03,38.33,38.36,3417846
2015-02-23 00:00:00+05:30,38.79,39.32,38.18,39.08,4942188
2015-02-24 00:00:00+05:30,39.61,39.61,37.7,37.8,3967434
2015-02-25 00:00:00+05:30,38.08,38.36,37.42,37.75,2416776
2015-02-26 00:00:00+05:30,37.8,37.9,37.08,37.8,5898954
2015-02-27 00:00:00+05:30,37.7,38.75,37.37,38.46,3871350
2015-02-28 00:00:00+05:30,38.79,38.94,37.51,38.36,4829436
2015-03-02 00:00:00+05:30,39.27,42.02,39.27,41.22,14386008
2015-03-03 00:00:00+05:30,40.94,42.59,40.31,42.26,6928620
2015-03-04 00:00:00+05:30,42.22,42.45,39.32,39.79,4004160
2015-03-05 00:00:00+05:30,39.74,41.07,39.41,40.84,5443056
2015-03-09 00:00:00+05:30,40.56,41.41,40.17,40.98,4883748
2015-03-10 00:00:00+05:30,40.79,40.98,39.65,40.46,3698232
2015-03-11 00:00:00+05:30,40.79,41.07,39.27,39.36,4305690
2015-03-12 00:00:00+05:30,39.56,40.79,39.51,40.79,4007856
2015-03-13 00:00:00+05:30,40.84,40.89,39.23,39.46,3180816
2015-03-16 00:00:00+05:30,39.94,40.56,39.56,39.74,2950740
2015-03-17 00:00:00+05:30,40.31,41.27,39.79,40.74,7251084
2015-03-18 00:00:00+05:30,41.17,41.69,40.79,41.03,11834010
2015-03-20 00:00:00+05:30,41.41,41.55,39.89,40.36,4128114
2015-03-23 00:00:00+05:30,40.36,40.46,39.74,39.74,1615896
2015-03-24 00:00:00+05:30,40.03,41.22,39.79,40.74,3239556
2015-03-25 00:00:00+05:30,40.98,41.69,40.6,41.5,3503592
2015-03-26 00:00:00+05:30,41.31,42.12,40.69,41.07,6999780
2015-03-27 00:00:00+05:30,40.98,41.64,39.65,40.56,3752316
2015-03-30 00:00:00+05:30,41.07,42.12,40.69,42.12,2949048
2015-03-31 00:00:00+05:30,42.07,45.11,42.02,44.02,13887312
