date,open,high,low,close,volume
2023-11-29 00:00:00+05:30,46.8,60.0,46.8,60.0,563024877
2023-11-30 00:00:00+05:30,64.3,68.9,60.55,66.1,381226270
2023-12-01 00:00:00+05:30,67.0,68.4,62.3,62.7,141643979
2023-12-04 00:00:00+05:30,64.9,65.9,63.15,64.7,57555343
2023-12-05 00:00:00+05:30,64.9,65.0,62.85,63.15,35763261
2023-12-06 00:00:00+05:30,63.5,64.95,61.5,64.05,46475236
2023-12-07 00:00:00+05:30,64.15,64.85,63.45,64.15,22839776
2023-12-08 00:00:00+05:30,64.2,73.7,64.2,71.55,230455846
2023-12-11 00:00:00+05:30,74.0,85.0,73.4,85.0,188986381
2023-12-12 00:00:00+05:30,94.0,102.0,92.55,102.0,344661541
2023-12-13 00:00:00+05:30,104.6,112.0,98.9,112.0,196003986
2023-12-14 00:00:00+05:30,121.3,123.2,113.8,119.3,228423553
2023-12-15 00:00:00+05:30,120.4,121.0,108.3,108.3,105579719
2023-12-18 00:00:00+05:30,102.0,114.2,98.3,111.1,164645312
2023-12-19 00:00:00+05:30,113.0,116.2,111.35,112.35,46773447
2023-12-20 00:00:00+05:30,114.0,114.7,103.3,105.85,54172587
2023-12-21 00:00:00+05:30,102.0,111.25,100.0,110.2,49554329
2023-12-22 00:00:00+05:30,111.3,111.8,108.25,109.5,24177160
2023-12-26 00:00:00+05:30,103.85,105.75,100.35,102.2,96623113
2023-12-27 00:00:00+05:30,104.0,104.35,97.35,99.85,55211356
2023-12-28 00:00:00+05:30,99.85,100.7,95.55,97.55,51058335
2024-01-01 00:00:00+05:30,103.35,107.55,102.1,104.5,48430403
2024-01-02 00:00:00+05:30,105.3,105.4,101.75,103.7,23293151
2024-01-03 00:00:00+05:30,103.5,103.55,100.2,101.95,23679697
2024-01-04 00:00:00+05:30,102.7,106.25,102.45,104.05,36402707
2024-01-05 00:00:00+05:30,105.0,107.25,104.0,104.95,32285405
2024-01-08 00:00:00+05:30,105.8,106.3,103.15,103.9,21853285
2024-01-09 00:00:00+05:30,104.7,104.85,102.6,103.1,14639818
2024-01-10 00:00:00+05:30,103.5,103.8,101.2,102.75,14600943
2024-01-11 00:00:00+05:30,103.4,106.4,103.0,103.55,18795557
2024-01-12 00:00:00+05:30,104.3,112.5,103.8,110.0,81414503
2024-01-15 00:00:00+05:30,111.6,121.8,111.6,121.8,164441566
2024-01-16 00:00:00+05:30,125.0,127.4,116.75,119.4,108192998
2024-01-17 00:00:00+05:30,118.55,125.6,114.3,124.4,80870730
2024-01-18 00:00:00+05:30,125.3,126.4,116.0,122.7,54571289
2024-01-19 00:00:00+05:30,124.2,135.35,123.7,135.35,110756318
2024-01-20 00:00:00+05:30,141.0,148.85,141.0,148.85,63116745
2024-01-23 00:00:00+05:30,156.25,156.25,144.1,156.25,120020241
2024-01-24 00:00:00+05:30,157.5,161.75,148.55,161.75,72627629
2024-01-25 00:00:00+05:30,167.0,169.8,166.0,169.8,8124873
2024-01-30 00:00:00+05:30,184.8,187.15,169.4,173.95,97153550
2024-01-31 00:00:00+05:30,174.9,181.8,169.6,181.8,51277326
2024-02-01 00:00:00+05:30,183.0,190.85,177.8,186.0,118455055
2024-02-02 00:00:00+05:30,191.4,195.05,186.3,195.05,59156608
2024-02-05 00:00:00+05:30,203.0,204.8,193.2,204.8,27098817
2024-02-06 00:00:00+05:30,214.8,214.8,198.05,209.3,70652372
2024-02-07 00:00:00+05:30,213.15,213.15,199.0,199.0,40112075
2024-02-08 00:00:00+05:30,190.0,191.95,189.05,189.05,6500661
2024-02-09 00:00:00+05:30,179.6,179.6,179.6,179.6,3449097
2024-02-12 00:00:00+05:30,170.65,170.65,170.65,170.65,2203809
2024-02-13 00:00:00+05:30,162.15,162.15,162.15,162.15,2592121
2024-02-14 00:00:00+05:30,154.05,170.25,154.05,170.25,52699402
2024-02-15 00:00:00+05:30,177.05,177.05,177.05,177.05,3496929
2024-02-16 00:00:00+05:30,175.0,185.7,171.35,177.6,70251942
2024-02-19 00:00:00+05:30,179.0,182.3,173.7,178.2,23694684
2024-02-20 00:00:00+05:30,179.65,179.8,174.25,175.1,12645344
2024-02-21 00:00:00+05:30,172.45,176.3,166.3,166.3,30249835
2024-02-22 00:00:00+05:30,167.0,171.5,160.0,167.55,27426814
2024-02-23 00:00:00+05:30,160.6,162.05,159.45,159.45,12153475
2024-02-26 00:00:00+05:30,151.5,151.5,151.5,151.5,6929752
2024-02-27 00:00:00+05:30,146.6,159.05,146.6,155.2,134981794
2024-02-28 00:00:00+05:30,156.8,158.5,148.1,149.6,30453944
2024-03-01 00:00:00+05:30,153.45,157.55,150.85,157.55,24417871
2024-03-02 00:00:00+05:30,158.7,163.7,157.0,160.65,13958126
2024-03-04 00:00:00+05:30,160.8,160.8,152.85,152.85,20089172
2024-03-05 00:00:00+05:30,151.0,154.25,146.0,147.8,22386123
2024-03-06 00:00:00+05:30,147.2,149.6,140.0,141.6,28623078
2024-03-07 00:00:00+05:30,142.05,148.8,140.15,147.85,22609696
2024-03-11 00:00:00+05:30,148.9,148.9,140.8,141.15,16961659
2024-03-12 00:00:00+05:30,143.5,143.5,134.05,134.05,32281289
2024-03-13 00:00:00+05:30,133.75,136.5,127.35,127.35,33134961
2024-03-14 00:00:00+05:30,122.55,133.4,121.05,131.5,64098380
2024-03-15 00:00:00+05:30,130.0,133.4,126.7,128.7,21592128
2024-03-18 00:00:00+05:30,129.55,135.0,127.8,133.0,20547644
2024-03-19 00:00:00+05:30,132.0,132.8,128.65,129.6,12402651
2024-03-20 00:00:00+05:30,128.0,129.9,124.4,125.9,13856540
2024-03-21 00:00:00+05:30,127.25,132.05,126.5,132.05,19555006
2024-03-22 00:00:00+05:30,133.7,138.65,132.2,138.65,22352702
