date,open,high,low,close,volume
2021-01-29 00:00:00+05:30,21.0,25.8,21.0,24.8,319318915
2021-02-01 00:00:00+05:30,25.25,25.4,24.9,25.15,71239740
2021-02-02 00:00:00+05:30,25.45,25.45,24.7,24.8,36372763
2021-02-03 00:00:00+05:30,24.8,24.9,24.05,24.15,45577083
2021-02-04 00:00:00+05:30,24.25,25.8,23.85,25.35,88203082
2021-02-05 00:00:00+05:30,25.6,26.2,25.55,25.65,56048640
2021-02-08 00:00:00+05:30,25.9,25.95,25.6,25.75,27903461
2021-02-09 00:00:00+05:30,25.75,25.8,25.2,25.25,25005447
2021-02-10 00:00:00+05:30,25.4,25.8,25.0,25.35,32950213
2021-02-11 00:00:00+05:30,25.4,25.65,25.25,25.5,13418191
2021-02-12 00:00:00+05:30,25.5,25.55,25.3,25.4,15489975
2021-02-15 00:00:00+05:30,26.2,26.2,25.7,25.85,44462751
2021-02-16 00:00:00+05:30,25.9,26.0,25.8,25.85,34196054
2021-02-17 00:00:00+05:30,25.3,25.55,25.0,25.35,28148291
2021-02-18 00:00:00+05:30,25.45,25.8,25.4,25.7,20790661
2021-02-19 00:00:00+05:30,25.65,25.7,25.2,25.4,14400322
2021-02-22 00:00:00+05:30,25.3,25.4,24.95,25.0,16498745
2021-02-23 00:00:00+05:30,25.0,25.15,24.9,24.95,12885691
2021-02-24 00:00:00+05:30,24.9,25.2,24.85,24.85,10878043
2021-02-25 00:00:00+05:30,24.95,25.15,24.9,24.95,22708136
2021-02-26 00:00:00+05:30,24.85,24.95,24.5,24.65,36296813
2021-03-01 00:00:00+05:30,24.65,26.65,24.65,25.85,181926970
2021-03-02 00:00:00+05:30,26.1,26.3,25.45,25.7,48004798
2021-03-03 00:00:00+05:30,25.8,25.95,25.45,25.5,18654097
2021-03-04 00:00:00+05:30,25.25,25.7,25.25,25.5,21611880
2021-03-05 00:00:00+05:30,25.4,25.55,24.85,24.95,25048737
2021-03-08 00:00:00+05:30,25.1,25.25,24.8,24.85,16231150
2021-03-09 00:00:00+05:30,24.95,25.5,24.8,25.0,21295308
2021-03-10 00:00:00+05:30,25.0,25.1,24.85,24.85,11216801
2021-03-12 00:00:00+05:30,24.9,25.05,24.8,24.85,16989264
2021-03-15 00:00:00+05:30,24.9,24.95,24.5,24.6,17258152
2021-03-16 00:00:00+05:30,24.65,24.8,24.5,24.55,9592202
2021-03-17 00:00:00+05:30,24.55,24.6,24.1,24.2,14243124
2021-03-18 00:00:00+05:30,24.2,24.6,23.9,24.05,15996823
2021-03-19 00:00:00+05:30,24.0,24.1,23.5,23.95,15108048
2021-03-22 00:00:00+05:30,24.0,24.5,23.85,23.9,13713850
2021-03-23 00:00:00+05:30,23.9,24.1,23.75,23.8,13585734
2021-03-24 00:00:00+05:30,23.8,23.9,23.4,23.5,16696287
2021-03-25 00:00:00+05:30,23.45,23.5,22.9,22.95,19167961
2021-03-26 00:00:00+05:30,23.2,23.3,22.9,23.0,15718702
2021-03-30 00:00:00+05:30,23.15,23.3,22.9,23.0,14094728
2021-04-01 00:00:00+05:30,23.0,23.2,22.75,22.85,18179917
2021-04-05 00:00:00+05:30,22.85,22.9,22.35,22.4,19927214
2021-04-06 00:00:00+05:30,22.5,22.5,21.9,22.05,24918754
2021-04-07 00:00:00+05:30,22.0,22.3,21.9,22.1,14394155
2021-04-08 00:00:00+05:30,22.1,22.35,21.9,22.0,17951516
2021-04-09 00:00:00+05:30,22.0,22.05,21.9,21.95,16298464
2021-04-12 00:00:00+05:30,21.85,21.85,20.8,20.85,25775723
2021-04-13 00:00:00+05:30,20.85,21.5,20.8,21.4,14775316
2021-04-15 00:00:00+05:30,21.3,21.35,20.9,21.2,18081257
2021-04-16 00:00:00+05:30,21.25,22.0,21.05,21.8,22038115
2021-04-19 00:00:00+05:30,21.2,21.3,20.9,21.15,10357868
2021-04-20 00:00:00+05:30,21.15,21.65,21.1,21.2,12110981
2021-04-22 00:00:00+05:30,21.15,21.3,21.0,21.1,8826592
2021-04-23 00:00:00+05:30,21.1,21.45,21.0,21.1,15560051
2021-04-26 00:00:00+05:30,21.1,21.35,20.95,21.05,11935028
2021-04-27 00:00:00+05:30,21.1,21.5,21.1,21.2,14134262
2021-04-28 00:00:00+05:30,21.3,21.35,21.1,21.15,14462215
2021-04-29 00:00:00+05:30,21.3,21.3,21.1,21.2,9431626
2021-04-30 00:00:00+05:30,21.05,21.4,21.0,21.25,11635020
2021-05-03 00:00:00+05:30,21.15,21.25,20.95,21.05,17321886
2021-05-04 00:00:00+05:30,21.15,21.15,20.9,20.95,26359033
2021-05-05 00:00:00+05:30,21.0,21.2,20.95,21.05,9236031
2021-05-06 00:00:00+05:30,21.1,21.15,21.0,21.1,7408284
2021-05-07 00:00:00+05:30,21.1,21.15,21.0,21.1,8126724
2021-05-10 00:00:00+05:30,21.1,22.7,21.1,22.6,51111926
2021-05-11 00:00:00+05:30,22.25,23.1,22.2,23.0,32817663
2021-05-12 00:00:00+05:30,23.0,23.8,23.0,23.45,33959706
